gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453216E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.73561605E+01,  0.73561605E+01,  0.10300783E-01,  0.19680823E+03,  0.10000000E+04,  0.20438530E+03,  0.54076602E-08,  0.33251853E-05,  0.58539961E-06,  0.26554411E+01,  0.50810882E+01,  0.37268257E+01,  0.60331686E-03,  0.15082922E-02,  0.55713060E-01,  0.13928265E+00,  0.90604664E-04,  0.22651166E-03,  0.34877154E-01, -0.45400717E-02,  0.87192884E-01,  0.18582262E+01,  0.10558826E+00,  0.46455656E+01,  0.52787941E-02, -0.13489532E+02,  0.13196985E-01, -0.51822162E+08, -0.51815555E+06, -0.13005756E+12,  0.60075904E+07,  0.55476859E+09,  0.90220536E+06,  0.27567600E-05,  0.10616914E-05,  0.25965738E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.25339236E+02,  0.10495992E+01,  0.14009065E-01,  0.16666691E+03,  0.77076214E+03,  0.20069673E+03,  0.17945737E-06,  0.20356042E-05,  0.57423291E-06,  0.83828147E+00,  0.33619828E+01,  0.10142609E+01,  0.59069243E-03,  0.14767311E-02,  0.16788238E-02,  0.41970594E-02,  0.14800387E-03,  0.37000967E-03,  0.34714741E-01,  0.22245153E-02,  0.86786854E-01,  0.84849724E-01,  0.25224707E+00,  0.21212431E+00,  0.86724123E-02, -0.79728907E-01,  0.21681031E-01, -0.85199664E+05, -0.78619369E+05, -0.49863612E+07,  0.58818812E+07,  0.16717062E+08,  0.14737639E+07,  0.40586138E-06,  0.19014454E-05,  0.21344888E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.34475328E+01,  0.74572274E+00,  0.12566955E-01,  0.16666678E+03,  0.90393033E+03,  0.19998646E+03,  0.59525530E-07,  0.15341984E-05,  0.57271019E-06,  0.84081726E+00,  0.49372312E+01,  0.10172360E+01,  0.59330139E-03,  0.14832535E-02,  0.50613123E-02,  0.12653281E-01,  0.19637441E-03,  0.49093602E-03,  0.34874458E-01,  0.22731616E-02,  0.87186145E-01,  0.29168330E+00,  0.29536781E+00,  0.72920825E+00,  0.11543513E-01, -0.12211881E+00,  0.28858783E-01, -0.13434790E+06, -0.11403514E+06, -0.43158895E+08,  0.59078602E+07,  0.50398543E+08,  0.19554186E+07,  0.51453131E-06,  0.11511189E-05,  0.44698364E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.29051513E+01,  0.66710821E+00,  0.13391018E-01,  0.16666996E+03,  0.32589025E+03,  0.19962356E+03,  0.10779440E-06,  0.15273488E-05,  0.57263852E-06,  0.84462348E+00,  0.11839631E+01,  0.94597377E+00,  0.59299966E-03,  0.14824992E-02,  0.27949254E-02,  0.69873136E-02,  0.19725508E-03,  0.49313769E-03,  0.34857046E-01,  0.22553939E-02,  0.87142615E-01,  0.16432682E+00,  0.10198599E+00,  0.41081705E+00,  0.11574334E-01, -0.11994045E+00,  0.28935834E-01, -0.18249007E+06, -0.17683837E+06, -0.80008729E+06,  0.59048558E+07,  0.27830760E+08,  0.19641879E+07,  0.32643261E-06,  0.55900127E-06,  0.58395683E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.33068532E+01,  0.10786465E+01,  0.11742892E-01,  0.16666808E+03,  0.35572749E+03,  0.19959288E+03,  0.14873054E-06,  0.17313383E-05,  0.57301863E-06,  0.85460164E+00,  0.14263427E+01,  0.97585298E+00,  0.59251907E-03,  0.14812977E-02,  0.20256586E-02,  0.50641466E-02,  0.17401412E-03,  0.43503529E-03,  0.34811393E-01,  0.24429496E-02,  0.87028481E-01,  0.76253153E-01,  0.45750261E+00,  0.19063288E+00,  0.10229310E-01, -0.10178697E+00,  0.25573276E-01, -0.19714366E+06, -0.19097669E+06, -0.99761111E+06,  0.59000702E+07,  0.20170706E+08,  0.17327637E+07,  0.43970498E-06,  0.88000397E-06,  0.49966249E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.10698265E+02,  0.10698265E+02,  0.26988051E-01,  0.16669422E+03,  0.83106426E+03,  0.20126053E+03,  0.19705589E-06,  0.22436001E-05,  0.57613164E-06,  0.84036393E+00,  0.41610918E+01,  0.12984306E+01,  0.58944489E-03,  0.14736122E-02,  0.15288926E-02,  0.38222315E-02,  0.13428298E-03,  0.33570744E-03,  0.34636342E-01,  0.20771023E-02,  0.86590855E-01,  0.89490983E-01,  0.95745047E-01,  0.22372746E+00,  0.72691167E-02, -0.19892945E+00,  0.18172792E-01, -0.24504348E+06, -0.21480099E+06, -0.25902146E+08,  0.58694587E+07,  0.15224107E+08,  0.13371367E+07,  0.12229887E-05,  0.26144504E-05,  0.46778041E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.41005833E+01,  0.57057167E+00,  0.12154924E-01,  0.16666705E+03,  0.33293871E+03,  0.19964325E+03,  0.13295195E-06,  0.17653674E-05,  0.57311912E-06,  0.84831933E+00,  0.10540565E+01,  0.92688359E+00,  0.59277363E-03,  0.14819341E-02,  0.22660615E-02,  0.56651538E-02,  0.17065983E-03,  0.42664957E-03,  0.34836217E-01,  0.23791354E-02,  0.87090543E-01,  0.11498352E+00,  0.33663274E+00,  0.28745881E+00,  0.10009635E-01, -0.10362354E+00,  0.25024089E-01, -0.23038587E+06, -0.22371117E+06, -0.10473204E+07,  0.59026051E+07,  0.22564543E+08,  0.16993630E+07,  0.29053846E-06,  0.98488977E-06,  0.29499591E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.42024771E+01,  0.72091145E+00,  0.96827359E-02,  0.16667428E+03,  0.29084937E+03,  0.19953451E+03,  0.91036780E-07,  0.12337338E-05,  0.57077019E-06,  0.86532429E+00,  0.11091169E+01,  0.96605633E+00,  0.59448225E-03,  0.14862056E-02,  0.33094020E-02,  0.82735049E-02,  0.24419960E-03,  0.61049900E-03,  0.34940075E-01,  0.24413215E-02,  0.87350187E-01,  0.19100251E+00,  0.18603843E+00,  0.47750628E+00,  0.14321269E-01, -0.13255101E+00,  0.35803173E-01, -0.11368120E+06, -0.11023751E+06, -0.41951209E+06,  0.59196187E+07,  0.32953714E+08,  0.24316429E+07,  0.53782446E-06,  0.82082514E-06,  0.65522416E+00, -0.10000000E+01, -0.10000000E+01,
