  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12278455963E-04,0.12254107184E-06,-.10608585952E+01,0.10587548607E-01,0.56917368502E-12,0.11383473698E-04,0.49176606385E-07,0.98353212754E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11785488202E-04,0.00000000000E+00,-.20791247759E+01,0.10587548607E-01,0.57437826591E-12,0.11487565310E-04,0.98802888560E-07,0.19760577704E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11565376416E-04,0.20995331353E-08,-.30783732982E+01,0.10768948270E-01,0.57526989878E-12,0.11505397973E-04,0.14850620782E-06,0.29701241552E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11500267317E-04,0.16077486227E-08,-.40719963944E+01,0.10907857751E-01,0.57793579206E-12,0.11558715837E-04,0.19843986025E-06,0.39687972035E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11563557561E-04,0.20309771603E-08,-.50710877677E+01,0.11083334177E-01,0.58086608175E-12,0.11617321631E-04,0.24862668971E-06,0.49725337924E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11626125982E-04,0.18922719323E-08,-.60755850526E+01,0.11246826472E-01,0.58330635010E-12,0.11666126997E-04,0.29902435836E-06,0.59804871650E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11697801732E-04,0.19049241744E-08,-.70862751222E+01,0.11411411921E-01,0.58620303500E-12,0.11724060694E-04,0.34967230059E-06,0.69934460089E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11934741120E-04,0.19328065486E-08,-.81174367550E+01,0.11578406407E-01,0.59282298404E-12,0.11856459674E-04,0.40089220641E-06,0.80178441248E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11827302339E-04,0.18034734144E-08,-.91393156771E+01,0.11734226510E-01,0.59162414435E-12,0.11832482879E-04,0.45200853248E-06,0.90401706455E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11889279270E-04,0.16655531355E-08,-.10166549406E+02,0.11878130301E-01,0.59516389059E-12,0.11903277803E-04,0.50343069262E-06,0.10068613848E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11943616843E-04,0.16785493180E-08,-.11198477901E+02,0.12023156962E-01,0.59780210806E-12,0.11956042152E-04,0.55508079476E-06,0.11101615890E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12205342574E-04,0.18624912580E-08,-.12253019500E+02,0.12184076206E-01,0.60517598986E-12,0.12103519788E-04,0.60736800029E-06,0.12147359999E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12072740127E-04,0.17234838554E-08,-.13296104247E+02,0.12332985212E-01,0.60399118188E-12,0.12079823626E-04,0.65955283840E-06,0.13191056761E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12323208795E-04,0.19511338040E-08,-.14360829487E+02,0.12501563172E-01,0.61169453336E-12,0.12233890656E-04,0.71240324608E-06,0.14248064913E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12195700711E-04,0.17833330694E-08,-.15414538028E+02,0.12655643149E-01,0.61037959572E-12,0.12207591902E-04,0.76514004315E-06,0.15302800854E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12283386151E-04,0.17615037283E-08,-.16475822591E+02,0.12807837072E-01,0.61444120077E-12,0.12288824002E-04,0.81822776290E-06,0.16364555247E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12332842828E-04,0.17869150536E-08,-.17541380212E+02,0.12962226532E-01,0.61728441404E-12,0.12345688267E-04,0.87156113627E-06,0.17431222714E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12601740232E-04,0.19090000841E-08,-.18630170568E+02,0.13127164139E-01,0.62522260482E-12,0.12504452083E-04,0.92558036933E-06,0.18511607374E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12478029356E-04,0.17855392401E-08,-.19708272304E+02,0.13281434730E-01,0.62431379646E-12,0.12486275913E-04,0.97952108134E-06,0.19590421613E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12561478074E-04,0.17627921024E-08,-.20793584010E+02,0.13433739967E-01,0.62830485693E-12,0.12566097122E-04,0.10338066210E-05,0.20676132404E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12771914152E-04,0.18812827037E-08,-.21897077393E+02,0.13596282793E-01,0.63559588783E-12,0.12711917740E-04,0.10887221057E-05,0.21774442097E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12701096390E-04,0.17661554417E-08,-.22994452121E+02,0.13748878623E-01,0.63501701241E-12,0.12700340229E-04,0.11435875756E-05,0.22871751492E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12787925845E-04,0.17744481237E-08,-.24099328914E+02,0.13902190941E-01,0.63955451132E-12,0.12791090208E-04,0.11988450853E-05,0.23976901686E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12855791067E-04,0.17744234838E-08,-.25210069262E+02,0.14055501130E-01,0.64282288584E-12,0.12856457694E-04,0.12543849827E-05,0.25087699631E+02
 0.21600000000E+07,0.68493150685E-01,0.30000000000E+03,-.13109030910E-04,0.18489604213E-08,-.26342689533E+02,0.14215251310E-01,0.65131572978E-12,0.13026314571E-04,0.13106586617E-05,0.26213173210E+02
 0.22464000000E+07,0.71232876712E-01,0.30000000000E+03,-.13010206689E-04,0.17769489459E-08,-.27466771391E+02,0.14368779699E-01,0.65069663206E-12,0.13013932615E-04,0.13668788507E-05,0.27337576988E+02
 0.23328000000E+07,0.73972602740E-01,0.30000000000E+03,-.13104520812E-04,0.17612063571E-08,-.28599001989E+02,0.14520947929E-01,0.65521179000E-12,0.13104235774E-04,0.14234891494E-05,0.28469782959E+02
 0.24192000000E+07,0.76712328767E-01,0.30000000000E+03,-.13182048614E-04,0.17659697155E-08,-.29737930989E+02,0.14673527712E-01,0.65911523976E-12,0.13182304767E-04,0.14804367061E-05,0.29608734091E+02
 0.25056000000E+07,0.79452054795E-01,0.30000000000E+03,-.13272822674E-04,0.17686940689E-08,-.30884702868E+02,0.14826342880E-01,0.66358904938E-12,0.13271780958E-04,0.15377708000E-05,0.30755415965E+02
 0.25920000000E+07,0.82191780822E-01,0.30000000000E+03,-.13355466966E-04,0.17773459591E-08,-.32038615214E+02,0.14979905570E-01,0.66784165448E-12,0.13356833061E-04,0.15954723189E-05,0.31909446342E+02
 0.26784000000E+07,0.84931506849E-01,0.30000000000E+03,-.13446092613E-04,0.17721326909E-08,-.33200357616E+02,0.15133017835E-01,0.67227667846E-12,0.13445533540E-04,0.16535570239E-05,0.33071140440E+02
 0.27648000000E+07,0.87671232877E-01,0.30000000000E+03,-.13537062307E-04,0.17716273816E-08,-.34369959799E+02,0.15286086441E-01,0.67685384142E-12,0.13537076795E-04,0.17120371958E-05,0.34240743875E+02
 0.28512000000E+07,0.90410958904E-01,0.30000000000E+03,-.13628503928E-04,0.17604600132E-08,-.35547462538E+02,0.15438190186E-01,0.68132353020E-12,0.13626470570E-04,0.17709035488E-05,0.35418070932E+02
 0.29376000000E+07,0.93150684932E-01,0.30000000000E+03,-.13724735215E-04,0.17538333932E-08,-.36733279661E+02,0.15589721391E-01,0.68613121513E-12,0.13722624269E-04,0.18301852858E-05,0.36603705669E+02
 0.30240000000E+07,0.95890410959E-01,0.30000000000E+03,-.13817768461E-04,0.17471528844E-08,-.37927134856E+02,0.15740675400E-01,0.69076698201E-12,0.13815339605E-04,0.18898675531E-05,0.37797351011E+02
 0.31104000000E+07,0.98630136986E-01,0.30000000000E+03,-.13917191757E-04,0.17352533676E-08,-.39129580224E+02,0.15890601291E-01,0.69572589163E-12,0.13914517796E-04,0.19499782701E-05,0.38999565348E+02
 0.31968000000E+07,0.10136986301E+00,0.30000000000E+03,-.14017697859E-04,0.17264785004E-08,-.40340709319E+02,0.16039769034E-01,0.70075115058E-12,0.14015022974E-04,0.20105231695E-05,0.40210463333E+02
 0.32832000000E+07,0.10410958904E+00,0.30000000000E+03,-.14119487844E-04,0.17111934440E-08,-.41560633069E+02,0.16187616147E-01,0.70583215754E-12,0.14116643111E-04,0.20715070679E-05,0.41430141298E+02
 0.33696000000E+07,0.10684931507E+00,0.30000000000E+03,-.14224080814E-04,0.16979680960E-08,-.42789593651E+02,0.16334320591E-01,0.71106094405E-12,0.14221218841E-04,0.21329427335E-05,0.42658854606E+02
 0.34560000000E+07,0.10958904110E+00,0.30000000000E+03,-.14329616143E-04,0.16810388745E-08,-.44027672486E+02,0.16479562349E-01,0.71633599090E-12,0.14326719776E-04,0.21948341631E-05,0.43896683195E+02
 0.35424000000E+07,0.11232876712E+00,0.30000000000E+03,-.14436792975E-04,0.16651014281E-08,-.45275011399E+02,0.16623427113E-01,0.72169315829E-12,0.14433863123E-04,0.22571884520E-05,0.45143768968E+02
 0.36288000000E+07,0.11506849315E+00,0.30000000000E+03,-.14548455532E-04,0.16459706335E-08,-.46531997957E+02,0.16765638976E-01,0.72727872696E-12,0.14545574495E-04,0.23200253340E-05,0.46400506605E+02
 0.37152000000E+07,0.11780821918E+00,0.30000000000E+03,-.14661570796E-04,0.16262878685E-08,-.47798757673E+02,0.16906150247E-01,0.73293225397E-12,0.14658645035E-04,0.23833506807E-05,0.47667013536E+02
 0.38016000000E+07,0.12054794521E+00,0.30000000000E+03,-.14776053666E-04,0.16057344369E-08,-.49075408710E+02,0.17044885703E-01,0.73865927598E-12,0.14773185473E-04,0.24471708422E-05,0.48943416761E+02
 0.38880000000E+07,0.12328767123E+00,0.30000000000E+03,-.14896475562E-04,0.15824279871E-08,-.50362464199E+02,0.17181607481E-01,0.74468229107E-12,0.14893645774E-04,0.25115113921E-05,0.50230227756E+02
 0.39744000000E+07,0.12602739726E+00,0.30000000000E+03,-.15021944542E-04,0.15581168144E-08,-.51660360207E+02,0.17316228774E-01,0.75095450518E-12,0.15019090055E-04,0.25763938614E-05,0.51527877136E+02
 0.40608000000E+07,0.12876712329E+00,0.30000000000E+03,-.15132676661E-04,0.15409209448E-08,-.52967823471E+02,0.17449364343E-01,0.75640230337E-12,0.15128046015E-04,0.26417470204E-05,0.52834940312E+02
 0.41472000000E+07,0.13150684932E+00,0.30000000000E+03,-.15270064582E-04,0.15101129942E-08,-.54287157051E+02,0.17579838106E-01,0.76336006928E-12,0.15267201334E-04,0.27077013304E-05,0.54154026507E+02
 0.42336000000E+07,0.13424657534E+00,0.30000000000E+03,-.15391533843E-04,0.14907388628E-08,-.55616985575E+02,0.17708637944E-01,0.76933511881E-12,0.15386702316E-04,0.27741718847E-05,0.55483437588E+02
 0.43200000000E+07,0.13698630137E+00,0.30000000000E+03,-.15533186607E-04,0.14623156124E-08,-.56959052897E+02,0.17834982013E-01,0.77651589353E-12,0.15530317810E-04,0.28412628579E-05,0.56825257046E+02
 0.44064000000E+07,0.13972602740E+00,0.30000000000E+03,-.15675183509E-04,0.14388957545E-08,-.58313388753E+02,0.17959302606E-01,0.78363086510E-12,0.15672617246E-04,0.29089685646E-05,0.58179371176E+02
 0.44928000000E+07,0.14246575342E+00,0.30000000000E+03,-.15813471480E-04,0.14140984997E-08,-.59679672688E+02,0.18081480716E-01,0.79054346502E-12,0.15810869243E-04,0.29772715200E-05,0.59545430279E+02
 0.45792000000E+07,0.14520547945E+00,0.30000000000E+03,-.15948848963E-04,0.13911233133E-08,-.61057653239E+02,0.18201673770E-01,0.79720590011E-12,0.15944117934E-04,0.30461501097E-05,0.60923002068E+02
 0.46656000000E+07,0.14794520548E+00,0.30000000000E+03,-.16094539571E-04,0.13680956482E-08,-.62448221458E+02,0.18319877234E-01,0.80449244058E-12,0.16089848737E-04,0.31156582566E-05,0.62313164999E+02
 0.47520000000E+07,0.15068493151E+00,0.30000000000E+03,-.16246173787E-04,0.13432830713E-08,-.63851890873E+02,0.18435936892E-01,0.81207871465E-12,0.16241574225E-04,0.31858218576E-05,0.63716437012E+02
