time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,       10,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       1,        8,       10,
       1,        9,       10,
       2,        1,        1,
       2,        2,        1,
       2,        3,       10,
       2,        4,        9,
       3,        1,        1,
       3,        2,        1,
       3,        3,        4,
       3,        4,        2,
       4,        1,        1,
       4,        2,        1,
       4,        3,        5,
       4,        4,        2,
       5,        1,        1,
       5,        2,        1,
       5,        3,        5,
       5,        4,        2,
       6,        1,        1,
       6,        2,        1,
       6,        3,        5,
       6,        4,        1,
       7,        1,        1,
       7,        2,        1,
       7,        3,        4,
       7,        4,        2,
       8,        1,        1,
       8,        2,        1,
       8,        3,        6,
       9,        1,        1,
       9,        2,        1,
       9,        3,        7,
       9,        4,        1,
       9,        5,        1,
       9,        6,        6,
      10,        1,        1,
      10,        2,        1,
      10,        3,        6,
      10,        4,        1,
      11,        1,        1,
      11,        2,        1,
      11,        3,        5,
      11,        4,        1,
      12,        1,        1,
      12,        2,        1,
      12,        3,        6,
      13,        1,        1,
      13,        2,        1,
      13,        3,        5,
      13,        4,        1,
      14,        1,        1,
      14,        2,        1,
      14,        3,        6,
      15,        1,        1,
      15,        2,        1,
      15,        3,        5,
      15,        4,        1,
      16,        1,        1,
      16,        2,        1,
      16,        3,        6,
      16,        4,        1,
      17,        1,        1,
      17,        2,        1,
      17,        3,        6,
      17,        4,        1,
      18,        1,        1,
      18,        2,        1,
      18,        3,        6,
      19,        1,        1,
      19,        2,        1,
      19,        3,        6,
      19,        4,        1,
      20,        1,        1,
      20,        2,        1,
      20,        3,        6,
      20,        4,        1,
      21,        1,        1,
      21,        2,        1,
      21,        3,        6,
      22,        1,        1,
      22,        2,        1,
      22,        3,        6,
      22,        4,        1,
      23,        1,        1,
      23,        2,        1,
      23,        3,        6,
      23,        4,        1,
      24,        1,        1,
      24,        2,        1,
      24,        3,        5,
      24,        4,        1,
      25,        1,        1,
      25,        2,        1,
      25,        3,        6,
      26,        1,        1,
      26,        2,        1,
      26,        3,        6,
      26,        4,        1,
      27,        1,        1,
      27,        2,        1,
      27,        3,        6,
      27,        4,        1,
      28,        1,        1,
      28,        2,        1,
      28,        3,        6,
      28,        4,        1,
      29,        1,        1,
      29,        2,        1,
      29,        3,        7,
      29,        4,        1,
      30,        1,        1,
      30,        2,        1,
      30,        3,        6,
      30,        4,        1,
      31,        1,        1,
      31,        2,        1,
      31,        3,        7,
      31,        4,        1,
      32,        1,        1,
      32,        2,        1,
      32,        3,        7,
      32,        4,        1,
      33,        1,        1,
      33,        2,        1,
      33,        3,        6,
      33,        4,        1,
      34,        1,        1,
      34,        2,        1,
      34,        3,        7,
      34,        4,        1,
      35,        1,        1,
      35,        2,        1,
      35,        3,        7,
      35,        4,        1,
      36,        1,        1,
      36,        2,        1,
      36,        3,        6,
      36,        4,        1,
      37,        1,        1,
      37,        2,        1,
      37,        3,        6,
      37,        4,        1,
      38,        1,        1,
      38,        2,        1,
      38,        3,        6,
      38,        4,        1,
      39,        1,        1,
      39,        2,        1,
      39,        3,        6,
      39,        4,        1,
      40,        1,        1,
      40,        2,        1,
      40,        3,        7,
      40,        4,        1,
      41,        1,        1,
      41,        2,        1,
      41,        3,        7,
      41,        4,        1,
      42,        1,        1,
      42,        2,        1,
      42,        3,        7,
      42,        4,        1,
      43,        1,        1,
      43,        2,        1,
      43,        3,        7,
      43,        4,        1,
      44,        1,        1,
      44,        2,        1,
      44,        3,        7,
