gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.72332275E+00, -0.72332275E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.73058087E+00, -0.73058087E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.48186018E+01,  0.48186018E+01,  0.10300783E-01,  0.19765235E+03,  0.54826574E+03,  0.20178602E+03,  0.13441579E-06,  0.10833756E-05,  0.57407161E-06,  0.16007921E+01,  0.27738893E+01,  0.21161268E+01,  0.59063859E-03,  0.14765965E-02,  0.22413833E-02,  0.56034583E-02,  0.27809128E-03,  0.69522821E-03,  0.34717703E-01,  0.24828951E-02,  0.86794257E-01,  0.13139468E+00,  0.18595887E+00,  0.32848669E+00,  0.16336098E-01, -0.81937406E-01,  0.40840245E-01, -0.56026215E+05, -0.53245506E+05, -0.72566720E+06,  0.58813451E+07,  0.22318807E+08,  0.27691229E+07,  0.80914598E-06,  0.10616914E-05,  0.76212919E+00, -0.58768850E+00, -0.58768850E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.14379320E+01,  0.39647098E+00,  0.94767202E-02,  0.16667361E+03,  0.31922640E+03,  0.19982773E+03,  0.11281315E-06,  0.17461915E-05,  0.57346584E-06,  0.87091899E+00,  0.10193239E+01,  0.93944504E+00,  0.59258038E-03,  0.14814510E-02,  0.26705868E-02,  0.66764669E-02,  0.17253393E-03,  0.43133484E-03,  0.34833520E-01,  0.22061722E-02,  0.87083799E-01,  0.15460399E+00,  0.88750331E-01,  0.38650998E+00,  0.10114723E-01, -0.13749398E+00,  0.25286808E-01, -0.16643047E+06, -0.16118954E+06, -0.70600456E+06,  0.59006808E+07,  0.26592645E+08,  0.17180246E+07,  0.16429781E-06,  0.28369369E-06,  0.57913806E+00, -0.59390476E+00, -0.59390476E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.37893896E+01,  0.45230636E+00,  0.59744541E-02,  0.16666795E+03,  0.31407306E+03,  0.19962344E+03,  0.10540788E-06,  0.15730106E-05,  0.57246509E-06,  0.86386345E+00,  0.98909262E+00,  0.91147425E+00,  0.59293602E-03,  0.14823401E-02,  0.28582047E-02,  0.71455116E-02,  0.19152909E-03,  0.47882272E-03,  0.34854776E-01,  0.22707127E-02,  0.87136939E-01,  0.16804375E+00,  0.11949136E+00,  0.42010939E+00,  0.11244287E-01, -0.10327969E+00,  0.28110717E-01, -0.12061542E+06, -0.11673150E+06, -0.49855028E+06,  0.59042221E+07,  0.28460870E+08,  0.19071708E+07,  0.56530576E-07,  0.69231775E-07,  0.81654091E+00, -0.58138095E+00, -0.58138095E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28275147E+01,  0.49282388E+00,  0.51503914E-02,  0.16666836E+03,  0.29485978E+03,  0.19954344E+03,  0.81150364E-07,  0.11994945E-05,  0.57068318E-06,  0.86610458E+00,  0.98044775E+00,  0.91581003E+00,  0.59486932E-03,  0.14871733E-02,  0.37125810E-02,  0.92814524E-02,  0.25117023E-03,  0.62792557E-03,  0.34967563E-01,  0.24242882E-02,  0.87418907E-01,  0.21701489E+00,  0.16234651E+00,  0.54253722E+00,  0.14730886E-01, -0.92923513E-01,  0.36827216E-01, -0.77642729E+05, -0.75146535E+05, -0.29179796E+06,  0.59234731E+07,  0.36968411E+08,  0.25010536E+07,  0.50678443E-06,  0.34214781E-07,  0.14811857E+02, -0.76881398E+00, -0.76881398E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.39871689E+01,  0.53626094E+00,  0.10506799E-01,  0.16667265E+03,  0.54176007E+03,  0.20224366E+03,  0.15700619E-07,  0.89862540E-06,  0.56883321E-06,  0.85160848E+00,  0.10645968E+01,  0.91942744E+00,  0.66418576E-03,  0.16604644E-02,  0.19188880E-01,  0.47972199E-01,  0.33526461E-03,  0.83816153E-03,  0.37157003E-01,  0.18849664E-01,  0.92892508E-01,  0.43465510E+00,  0.56314641E+01,  0.10866377E+01,  0.69223442E-02, -0.48493357E+00,  0.17305860E-01, -0.48510927E+05, -0.44020981E+05, -0.57916310E+06,  0.66136987E+07,  0.19107526E+09,  0.33384322E+07,  0.18693364E-06,  0.50678443E-06,  0.36886224E+00, -0.58493200E+00, -0.58493200E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83642067E+00,  0.54750555E+00,  0.94767202E-02,  0.16667460E+03,  0.44664680E+03,  0.20194850E+03,  0.67058545E-07,  0.98922369E-06,  0.57197833E-06,  0.85198304E+00,  0.10873102E+01,  0.91485879E+00,  0.59971590E-03,  0.14992897E-02,  0.44927503E-02,  0.11231876E-01,  0.30455932E-03,  0.76139831E-03,  0.35230882E-01,  0.32176014E-02,  0.88077205E-01,  0.22853856E+00,  0.66253075E+00,  0.57134640E+00,  0.17853873E-01, -0.70208847E-01,  0.44634682E-01, -0.55262511E+05, -0.50435354E+05, -0.40797537E+06,  0.59717334E+07,  0.44737028E+08,  0.30326811E+07,  0.10899271E-06,  0.18693364E-06,  0.58305561E+00, -0.60911905E+00, -0.60911905E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.23305362E+01,  0.50923419E+00,  0.65925010E-02,  0.16666667E+03,  0.48178940E+03,  0.20196824E+03,  0.10317611E-06,  0.94484140E-06,  0.57082283E-06,  0.86931504E+00,  0.97278466E+00,  0.91954210E+00,  0.60288415E-03,  0.15072104E-02,  0.29200296E-02,  0.73000740E-02,  0.31886547E-03,  0.79716367E-03,  0.35422632E-01,  0.34475281E-02,  0.88556580E-01,  0.16658849E+00,  0.29043984E+00,  0.41647122E+00,  0.18745606E-01, -0.38346989E-02,  0.46864014E-01, -0.45830811E+05, -0.41526258E+05, -0.39990777E+06,  0.60032816E+07,  0.29076498E+08,  0.31751361E+07,  0.27524490E-07,  0.47126511E-07,  0.58405533E+00, -0.52129833E+00, -0.52129833E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15450892E+01,  0.50594421E+00,  0.53564071E-02,  0.16667026E+03,  0.47042841E+03,  0.20184295E+03,  0.82684320E-07,  0.93703661E-06,  0.57084294E-06,  0.87505870E+00,  0.97579300E+00,  0.92291130E+00,  0.60203486E-03,  0.15050871E-02,  0.36437053E-02,  0.91092633E-02,  0.32152137E-03,  0.80380343E-03,  0.35372224E-01,  0.33468575E-02,  0.88430559E-01,  0.20199359E+00,  0.35712732E+00,  0.50498398E+00,  0.18902230E-01, -0.52250668E-01,  0.47255576E-01, -0.49505599E+05, -0.44945295E+05, -0.40888266E+06,  0.59948247E+07,  0.36282575E+08,  0.32015825E+07,  0.83622196E-08,  0.17019125E-07,  0.49134252E+00, -0.55443616E+00, -0.55443616E+00,
