  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12789919410E-04,0.00000000000E+00,-.11050490370E+01,0.00000000000E+00,0.56466950386E-12,0.11293390076E-04,0.48787445134E-07,0.97574890258E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.10958987380E-04,0.00000000000E+00,-.20519055466E+01,0.00000000000E+00,0.57467998019E-12,0.11493599602E-04,0.98439795422E-07,0.19687959082E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11589327692E-04,0.90703114862E-09,-.30532234592E+01,0.78367491241E-04,0.57590658433E-12,0.11518131684E-04,0.14819812431E-06,0.29639624857E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11563466143E-04,0.17837532300E-08,-.40523069340E+01,0.23248377032E-03,0.57917878866E-12,0.11583575770E-04,0.19823917165E-06,0.39647834322E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11631685241E-04,0.19183956502E-08,-.50572845389E+01,0.39823315449E-03,0.58190097715E-12,0.11638019539E-04,0.24851541607E-06,0.49703083203E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11647265004E-04,0.19781388799E-08,-.60636082352E+01,0.56914435371E-03,0.58351627475E-12,0.11670325490E-04,0.29893122221E-06,0.59786244426E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11704760568E-04,0.19021300573E-08,-.70748995482E+01,0.73348839066E-03,0.58618301472E-12,0.11723660289E-04,0.34957743468E-06,0.69915486915E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11801484288E-04,0.18711384924E-08,-.80945477907E+01,0.89515475640E-03,0.59027254251E-12,0.11805450844E-04,0.40057698236E-06,0.80115396444E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11834429890E-04,0.18725788275E-08,-.91170425332E+01,0.10569455671E-02,0.59216301173E-12,0.11843260227E-04,0.45173986657E-06,0.90347973281E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11928719449E-04,0.18403501245E-08,-.10147683894E+02,0.12159518179E-02,0.59618511668E-12,0.11923702326E-04,0.50325026065E-06,0.10065005209E+02
