gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.81783333E+00, -0.81783333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.71360000E+00, -0.71360000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.46640107E+01,  0.46640107E+01,  0.10300783E-01,  0.19770594E+03,  0.52562995E+03,  0.20165723E+03,  0.13346611E-06,  0.10954060E-05,  0.57400211E-06,  0.15493882E+01,  0.26586452E+01,  0.20363381E+01,  0.59070907E-03,  0.14767727E-02,  0.22573319E-02,  0.56433296E-02,  0.27503710E-03,  0.68759275E-03,  0.34721884E-01,  0.24687826E-02,  0.86804709E-01,  0.13245235E+00,  0.18398505E+00,  0.33113087E+00,  0.16155163E-01, -0.85721877E-01,  0.40387908E-01, -0.58586188E+05, -0.55928850E+05, -0.67511976E+06,  0.58820469E+07,  0.22477617E+08,  0.27387105E+07,  0.78819471E-06,  0.10616914E-05,  0.74239533E+00, -0.53000000E+00, -0.53000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.14922236E+01,  0.39538690E+00,  0.94767202E-02,  0.16666681E+03,  0.32024440E+03,  0.19982975E+03,  0.11269410E-06,  0.17414304E-05,  0.57345866E-06,  0.86996333E+00,  0.10245229E+01,  0.94146033E+00,  0.59257399E-03,  0.14814350E-02,  0.26734079E-02,  0.66835199E-02,  0.17300565E-03,  0.43251412E-03,  0.34833217E-01,  0.22095933E-02,  0.87083042E-01,  0.15500068E+00,  0.89029855E-01,  0.38750170E+00,  0.10142955E-01, -0.13090960E+00,  0.25357387E-01, -0.16539363E+06, -0.16015651E+06, -0.70497306E+06,  0.59006171E+07,  0.26620737E+08,  0.17227217E+07,  0.16023317E-06,  0.27688952E-06,  0.57868988E+00, -0.57086667E+00, -0.57086667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.37365823E+01,  0.45309074E+00,  0.59744541E-02,  0.16666744E+03,  0.31434033E+03,  0.19961710E+03,  0.10545846E-06,  0.15758526E-05,  0.57246054E-06,  0.86430352E+00,  0.99054503E+00,  0.91262899E+00,  0.59295068E-03,  0.14823767E-02,  0.28568337E-02,  0.71420844E-02,  0.19118368E-03,  0.47795919E-03,  0.34855657E-01,  0.22713867E-02,  0.87139142E-01,  0.16796943E+00,  0.11929716E+00,  0.41992356E+00,  0.11224038E-01, -0.10286431E+00,  0.28060096E-01, -0.12083642E+06, -0.11694540E+06, -0.50011878E+06,  0.59043680E+07,  0.28447219E+08,  0.19037313E+07,  0.55554905E-07,  0.68002335E-07,  0.81695584E+00, -0.61692289E+00, -0.61692289E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28288289E+01,  0.49455889E+00,  0.51503914E-02,  0.16666897E+03,  0.29514967E+03,  0.19954220E+03,  0.81146899E-07,  0.11997802E-05,  0.57068106E-06,  0.86618290E+00,  0.98042196E+00,  0.91600478E+00,  0.59487113E-03,  0.14871778E-02,  0.37127395E-02,  0.92818487E-02,  0.25111041E-03,  0.62777603E-03,  0.34967668E-01,  0.24245596E-02,  0.87419171E-01,  0.21700004E+00,  0.16223789E+00,  0.54250011E+00,  0.14727347E-01, -0.92815124E-01,  0.36818367E-01, -0.77581518E+05, -0.75087320E+05, -0.29199206E+06,  0.59234911E+07,  0.36969989E+08,  0.25004580E+07,  0.50681748E-06,  0.33905414E-07,  0.14947981E+02, -0.73610734E+00, -0.73610734E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.39031572E+01,  0.53984212E+00,  0.10506799E-01,  0.16671356E+03,  0.52852406E+03,  0.20207133E+03,  0.20881873E-07,  0.89878381E-06,  0.56888819E-06,  0.85302169E+00,  0.10515289E+01,  0.91565985E+00,  0.65574185E-03,  0.16393546E-02,  0.14427695E-01,  0.36069237E-01,  0.33520552E-03,  0.83801381E-03,  0.37331715E-01,  0.15419009E-01,  0.93329289E-01,  0.61752585E+00,  0.30448004E+01,  0.15438146E+01,  0.19708173E-01, -0.50815326E+00,  0.49270432E-01, -0.47540868E+05, -0.43341942E+05, -0.53125826E+06,  0.65296176E+07,  0.14366527E+09,  0.33378438E+07,  0.18480518E-06,  0.50681748E-06,  0.36463853E+00, -0.61717426E+00, -0.61717426E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83610027E+00,  0.54510719E+00,  0.94767202E-02,  0.16668092E+03,  0.44089863E+03,  0.20196240E+03,  0.75604912E-07,  0.99030044E-06,  0.57191748E-06,  0.85181112E+00,  0.10838026E+01,  0.91460707E+00,  0.59947813E-03,  0.14986953E-02,  0.39848905E-02,  0.99622264E-02,  0.30422818E-03,  0.76057044E-03,  0.35221884E-01,  0.31764643E-02,  0.88054709E-01,  0.21432521E+00,  0.47346107E+00,  0.53581301E+00,  0.17831106E-01, -0.54483953E-01,  0.44577766E-01, -0.51833311E+05, -0.47298099E+05, -0.37199790E+06,  0.59693658E+07,  0.39679962E+08,  0.30293837E+07,  0.10415356E-06,  0.18480518E-06,  0.56358571E+00, -0.68100000E+00, -0.68100000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.21485469E+01,  0.45749050E+00,  0.61804697E-02,  0.16666672E+03,  0.48026157E+03,  0.20194756E+03,  0.10554957E-06,  0.94515111E-06,  0.57080425E-06,  0.87011070E+00,  0.96823226E+00,  0.91784518E+00,  0.60308771E-03,  0.15077193E-02,  0.28543678E-02,  0.71359194E-02,  0.31876098E-03,  0.79690246E-03,  0.35434471E-01,  0.34325972E-02,  0.88586177E-01,  0.16552744E+00,  0.28301553E+00,  0.41381861E+00,  0.18739458E-01, -0.10392963E-02,  0.46848646E-01, -0.45019274E+05, -0.40814796E+05, -0.39004547E+06,  0.60053086E+07,  0.28422664E+08,  0.31740956E+07,  0.26796531E-07,  0.47136162E-07,  0.56849201E+00, -0.55167661E+00, -0.55167661E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15630039E+01,  0.50734638E+00,  0.53564071E-02,  0.16667028E+03,  0.48415291E+03,  0.20186267E+03,  0.83572840E-07,  0.93467910E-06,  0.57085462E-06,  0.87348168E+00,  0.97530180E+00,  0.92160461E+00,  0.60209937E-03,  0.15052484E-02,  0.36049666E-02,  0.90124165E-02,  0.32233233E-03,  0.80583084E-03,  0.35375927E-01,  0.33597881E-02,  0.88439817E-01,  0.20013708E+00,  0.34918804E+00,  0.50034271E+00,  0.18949821E-01, -0.49765251E-01,  0.47374551E-01, -0.49358661E+05, -0.44802441E+05, -0.43663054E+06,  0.59954670E+07,  0.35896830E+08,  0.32096577E+07,  0.80046539E-08,  0.21410206E-07,  0.37387093E+00, -0.64233071E+00, -0.64233071E+00,
