  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12778563429E-04,0.00000000000E+00,-.11040678802E+01,0.00000000000E+00,0.56467675180E-12,0.11293535035E-04,0.48788071355E-07,0.97576142701E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.10923638740E-04,0.00000000000E+00,-.20478702674E+01,0.00000000000E+00,0.57485404442E-12,0.11497080887E-04,0.98455460793E-07,0.19691092156E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11568452058E-04,0.10809687520E-08,-.30473845251E+01,0.93395700174E-04,0.57582888328E-12,0.11516577663E-04,0.14820707631E-06,0.29641415257E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11558786572E-04,0.19528989531E-08,-.40460636849E+01,0.26212616972E-03,0.57922340050E-12,0.11584468006E-04,0.19825197811E-06,0.39650395614E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11584129460E-04,0.19651834407E-08,-.50469324703E+01,0.43191801900E-03,0.58050316393E-12,0.11610063274E-04,0.24840745148E-06,0.49681490283E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11666260475E-04,0.20281649766E-08,-.60548973753E+01,0.60715147298E-03,0.58440096926E-12,0.11688019380E-04,0.29889969522E-06,0.59779939028E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11739407456E-04,0.19687082959E-08,-.70691821795E+01,0.77724786974E-03,0.58750767092E-12,0.11750153413E-04,0.34966035799E-06,0.69932071576E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11797767677E-04,0.19151297328E-08,-.80885093068E+01,0.94271507866E-03,0.59015210139E-12,0.11803042021E-04,0.40064949955E-06,0.80129899883E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11872051337E-04,0.19198223379E-08,-.91142545423E+01,0.11085877286E-02,0.59330312019E-12,0.11866062397E-04,0.45191088913E-06,0.90382177793E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11894017527E-04,0.18865348782E-08,-.10141897657E+02,0.12715843421E-02,0.59512751090E-12,0.11902550210E-04,0.50332990607E-06,0.10066598117E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11958106513E-04,0.18816196964E-08,-.11175078059E+02,0.14341562839E-02,0.59813455686E-12,0.11962691128E-04,0.55500873179E-06,0.11100174631E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12046145938E-04,0.18342673863E-08,-.12215865068E+02,0.15926369861E-02,0.60226973660E-12,0.12045394723E-04,0.60704483703E-06,0.12140896735E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12114778656E-04,0.18585836603E-08,-.13262581944E+02,0.17532186143E-02,0.60550751579E-12,0.12110150305E-04,0.65936068639E-06,0.13187213721E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12177802121E-04,0.18587125220E-08,-.14314744047E+02,0.19138113762E-02,0.60878639319E-12,0.12175727852E-04,0.71195983076E-06,0.14239196608E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12241569469E-04,0.18808802438E-08,-.15372415650E+02,0.20763194293E-02,0.61197701479E-12,0.12239540284E-04,0.76483464484E-06,0.15296692888E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12312638147E-04,0.18723990760E-08,-.16436227585E+02,0.22380947094E-02,0.61541926538E-12,0.12308385294E-04,0.81800686937E-06,0.16360137378E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12382343528E-04,0.18746270381E-08,-.17506062066E+02,0.24000624855E-02,0.61888228780E-12,0.12377645742E-04,0.87147829904E-06,0.17429565970E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12422846427E-04,0.18461309029E-08,-.18579395998E+02,0.25595681956E-02,0.62119987375E-12,0.12423997460E-04,0.92514996813E-06,0.18502999350E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12516670030E-04,0.18554607535E-08,-.19660836288E+02,0.27198800047E-02,0.62577142297E-12,0.12515428445E-04,0.97921661907E-06,0.19584332368E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12594889753E-04,0.18476144920E-08,-.20749034763E+02,0.28795138968E-02,0.62950908182E-12,0.12590181620E-04,0.10336062037E-05,0.20672124060E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12662645250E-04,0.18443263835E-08,-.21843087312E+02,0.30388636963E-02,0.63293804211E-12,0.12658760825E-04,0.10882920506E-05,0.21765840995E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12741119854E-04,0.18469334359E-08,-.22943920068E+02,0.31984387452E-02,0.63681980437E-12,0.12736396069E-04,0.11433132817E-05,0.22866265616E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12817962040E-04,0.18473798210E-08,-.24051391988E+02,0.33580523617E-02,0.64063919085E-12,0.12812783798E-04,0.11986645078E-05,0.23973290136E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12891780873E-04,0.18471566222E-08,-.25165241855E+02,0.35176466938E-02,0.64436069927E-12,0.12887213965E-04,0.12543372722E-05,0.25086745422E+02
 0.21600000000E+07,0.68493150685E-01,0.30000000000E+03,-.12971817541E-04,0.18423690176E-08,-.26286006891E+02,0.36768273770E-02,0.64836922566E-12,0.12967384491E-04,0.13103563733E-05,0.26207127442E+02
 0.22464000000E+07,0.71232876712E-01,0.30000000000E+03,-.13051010807E-04,0.18368429087E-08,-.27413614225E+02,0.38355306043E-02,0.65230681114E-12,0.13046136198E-04,0.13667156818E-05,0.27334313610E+02
 0.23328000000E+07,0.73972602740E-01,0.30000000000E+03,-.13132376255E-04,0.18286561574E-08,-.28548251533E+02,0.39935264963E-02,0.65633868829E-12,0.13126773740E-04,0.14234233444E-05,0.28468466861E+02
 0.24192000000E+07,0.76712328767E-01,0.30000000000E+03,-.13217822916E-04,0.18232702004E-08,-.29690271433E+02,0.41510570416E-02,0.66062071702E-12,0.13212414313E-04,0.14805009744E-05,0.29610019458E+02
 0.25056000000E+07,0.79452054795E-01,0.30000000000E+03,-.13276575890E-04,0.17936334659E-08,-.30837367590E+02,0.43060269730E-02,0.66366295986E-12,0.13273259168E-04,0.15378414541E-05,0.30756829050E+02
 0.25920000000E+07,0.82191780822E-01,0.30000000000E+03,-.13385178879E-04,0.18095007715E-08,-.31993847045E+02,0.44623678397E-02,0.66896903592E-12,0.13379380689E-04,0.15956403788E-05,0.31912807541E+02
 0.26784000000E+07,0.84931506849E-01,0.30000000000E+03,-.13475725478E-04,0.18065169467E-08,-.33158149726E+02,0.46184509039E-02,0.67350055319E-12,0.13470011034E-04,0.16538308266E-05,0.33076616495E+02
 0.27648000000E+07,0.87671232877E-01,0.30000000000E+03,-.13563131505E-04,0.17965174677E-08,-.34330004288E+02,0.47736700131E-02,0.67786657887E-12,0.13557331545E-04,0.17123984990E-05,0.34247969940E+02
 0.28512000000E+07,0.90410958904E-01,0.30000000000E+03,-.13655260591E-04,0.17880757567E-08,-.35509818803E+02,0.49281597585E-02,0.68250889866E-12,0.13650177940E-04,0.17713672679E-05,0.35427345314E+02
 0.29376000000E+07,0.93150684932E-01,0.30000000000E+03,-.13750266666E-04,0.17823201397E-08,-.36697841843E+02,0.50821522185E-02,0.68722516697E-12,0.13744503306E-04,0.18307435223E-05,0.36614870400E+02
 0.30240000000E+07,0.95890410959E-01,0.30000000000E+03,-.13844632685E-04,0.17702949942E-08,-.37894018107E+02,0.52351057060E-02,0.69195590768E-12,0.13839118118E-04,0.18905285127E-05,0.37810570205E+02
 0.31104000000E+07,0.98630136986E-01,0.30000000000E+03,-.13942675724E-04,0.17580297724E-08,-.39098665290E+02,0.53869994784E-02,0.69683187628E-12,0.13936637488E-04,0.19507347868E-05,0.39014695684E+02
 0.31968000000E+07,0.10136986301E+00,0.30000000000E+03,-.14015072921E-04,0.17388918525E-08,-.40309567590E+02,0.55372397344E-02,0.70047313618E-12,0.14009462686E-04,0.20112556658E-05,0.40225113260E+02
 0.32832000000E+07,0.10410958904E+00,0.30000000000E+03,-.14142195673E-04,0.17305974160E-08,-.41531453296E+02,0.56867633512E-02,0.70679334266E-12,0.14135866815E-04,0.20723226106E-05,0.41446452153E+02
 0.33696000000E+07,0.10684931507E+00,0.30000000000E+03,-.14246169035E-04,0.17166738977E-08,-.42762322301E+02,0.58350839759E-02,0.71197308563E-12,0.14239461672E-04,0.21338370852E-05,0.42676741641E+02
 0.34560000000E+07,0.10958904110E+00,0.30000000000E+03,-.14353215512E-04,0.16963661102E-08,-.44002440121E+02,0.59816500079E-02,0.71735416599E-12,0.14347083279E-04,0.21958164851E-05,0.43916329637E+02
 0.35424000000E+07,0.11232876712E+00,0.30000000000E+03,-.14461212998E-04,0.16789214201E-08,-.45251888924E+02,0.61267088186E-02,0.72275077643E-12,0.14455015485E-04,0.22582621522E-05,0.45165242975E+02
 0.36288000000E+07,0.11506849315E+00,0.30000000000E+03,-.14544251504E-04,0.16623794836E-08,-.46508512254E+02,0.62703384059E-02,0.72694014077E-12,0.14538802771E-04,0.23210697804E-05,0.46421395534E+02
