  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.62025101917E-05,0.50636642304E-07,-.53589688056E+00,0.43750058950E-02,0.26572939870E-12,0.53145879709E-05,0.22959020048E-07,0.45918040068E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.51704476068E-05,0.11373459299E-06,-.98262355379E+00,0.14201674729E-01,0.26635753790E-12,0.53271507502E-05,0.45972311323E-07,0.91944622550E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.54188479569E-05,0.13301606699E-06,-.14508120173E+01,0.25694262917E-01,0.26679503194E-12,0.53359006276E-05,0.69023402082E-07,0.13804680397E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54428107667E-05,0.16125952020E-06,-.19210708675E+01,0.39627085463E-01,0.26749639547E-12,0.53499278950E-05,0.92135090650E-07,0.18427018098E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55094970199E-05,0.18339513444E-06,-.23970914100E+01,0.55472425078E-01,0.26810005656E-12,0.53620011126E-05,0.11529893554E-06,0.23059787060E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55316935841E-05,0.19445946677E-06,-.28750297357E+01,0.72273723007E-01,0.26877108750E-12,0.53754217301E-05,0.13852075750E-06,0.27704151435E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55801332145E-05,0.20972011361E-06,-.33571532454E+01,0.90393540823E-01,0.26946948126E-12,0.53893896021E-05,0.16180292068E-06,0.32360584051E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55952994657E-05,0.21963026230E-06,-.38405871193E+01,0.10936959549E+00,0.27003053814E-12,0.54006107364E-05,0.18513355917E-06,0.37026711727E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56295640433E-05,0.22892352500E-06,-.43269814526E+01,0.12914858805E+00,0.27071464577E-12,0.54142928861E-05,0.20852330457E-06,0.41704660781E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56535435599E-05,0.23356903896E-06,-.48154476162E+01,0.14932895301E+00,0.27132650930E-12,0.54265301529E-05,0.23196591497E-06,0.46393182833E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56726154802E-05,0.23918367423E-06,-.53055615937E+01,0.16999442247E+00,0.27197611152E-12,0.54395221909E-05,0.25546465101E-06,0.51092930006E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56895509734E-05,0.24570652078E-06,-.57971387978E+01,0.19122346586E+00,0.27259782784E-12,0.54519565136E-05,0.27901710333E-06,0.55803420433E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57020852220E-05,0.24919599406E-06,-.62897989609E+01,0.21275399975E+00,0.27322477797E-12,0.54644955126E-05,0.30262372415E-06,0.60524744556E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57064628142E-05,0.25329639292E-06,-.67828373481E+01,0.23463880810E+00,0.27386324572E-12,0.54772648639E-05,0.32628550858E-06,0.65257101399E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57181573437E-05,0.25672941014E-06,-.72768861426E+01,0.25682022913E+00,0.27448200601E-12,0.54896400661E-05,0.35000075390E-06,0.70000150416E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57344528758E-05,0.25942470656E-06,-.77723428711E+01,0.27923452378E+00,0.27510819679E-12,0.55021638778E-05,0.37377010210E-06,0.74754020006E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57521636671E-05,0.26155083569E-06,-.82693298119E+01,0.30183251598E+00,0.27573677963E-12,0.55147355311E-05,0.39759375986E-06,0.79518751505E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57705879028E-05,0.26336412383E-06,-.87679086067E+01,0.32458717628E+00,0.27634661067E-12,0.55269321480E-05,0.42147010702E-06,0.84294020881E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57829686829E-05,0.26451536547E-06,-.92675571009E+01,0.34744130386E+00,0.27697257028E-12,0.55394513366E-05,0.44540053710E-06,0.89080106836E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.58050169293E-05,0.26591967085E-06,-.97691105636E+01,0.37041676342E+00,0.27757731699E-12,0.55515462667E-05,0.46938321728E-06,0.93876642810E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58128654219E-05,0.26662725338E-06,-.10271342136E+02,0.39345335811E+00,0.27821789290E-12,0.55643577811E-05,0.49342124323E-06,0.98684247933E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58279214090E-05,0.26761097139E-06,-.10774874546E+02,0.41657494604E+00,0.27883407884E-12,0.55766814961E-05,0.51751250764E-06,0.10350250075E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58433257817E-05,0.26826475691E-06,-.11279737893E+02,0.43975302104E+00,0.27946964778E-12,0.55893928711E-05,0.54165868521E-06,0.10833173619E+02
 0.20736000000E+07,0.65753424658E-01,0.40000000000E+03,-.58571601087E-05,0.26860656946E-06,-.11785796527E+02,0.46296062864E+00,0.28011188559E-12,0.56022376234E-05,0.56586035213E-06,0.11317206949E+02
 0.21600000000E+07,0.68493150685E-01,0.40000000000E+03,-.58701443597E-05,0.26912025462E-06,-.12292976999E+02,0.48621261864E+00,0.28073028284E-12,0.56146055647E-05,0.59011544856E-06,0.11802308870E+02
 0.22464000000E+07,0.71232876712E-01,0.40000000000E+03,-.58838051882E-05,0.26930492235E-06,-.12801337768E+02,0.50948056393E+00,0.28138889726E-12,0.56277778496E-05,0.61442744929E-06,0.12288548876E+02
 0.23328000000E+07,0.73972602740E-01,0.40000000000E+03,-.58963450180E-05,0.26922462959E-06,-.13310781977E+02,0.53274157193E+00,0.28200739463E-12,0.56401477928E-05,0.63879288818E-06,0.12775857646E+02
 0.24192000000E+07,0.76712328767E-01,0.40000000000E+03,-.59100604831E-05,0.26907268995E-06,-.13821411203E+02,0.55598945234E+00,0.28267153578E-12,0.56534306118E-05,0.66321570887E-06,0.13264314050E+02
 0.25056000000E+07,0.79452054795E-01,0.40000000000E+03,-.59223475624E-05,0.26901578848E-06,-.14333102032E+02,0.57923241646E+00,0.28331531024E-12,0.56663060973E-05,0.68769415168E-06,0.13753882897E+02
 0.25920000000E+07,0.82191780822E-01,0.40000000000E+03,-.59357023066E-05,0.26882731517E-06,-.14845946712E+02,0.60245909649E+00,0.28396897776E-12,0.56793794438E-05,0.71222907136E-06,0.14244581281E+02
 0.26784000000E+07,0.84931506849E-01,0.40000000000E+03,-.59479968256E-05,0.26830924446E-06,-.15359853637E+02,0.62564101522E+00,0.28463591453E-12,0.56927181757E-05,0.73682161437E-06,0.14736432132E+02
 0.27648000000E+07,0.87671232877E-01,0.40000000000E+03,-.59608515833E-05,0.26748177127E-06,-.15874871214E+02,0.64875144025E+00,0.28529393228E-12,0.57058785263E-05,0.76147101012E-06,0.15229420036E+02
 0.28512000000E+07,0.90410958904E-01,0.40000000000E+03,-.59744950139E-05,0.26695930935E-06,-.16391067583E+02,0.67181672458E+00,0.28597374890E-12,0.57194748550E-05,0.78617914203E-06,0.15723582664E+02
 0.29376000000E+07,0.93150684932E-01,0.40000000000E+03,-.59877639452E-05,0.26593339445E-06,-.16908410388E+02,0.69479336986E+00,0.28664886936E-12,0.57329772604E-05,0.81094560434E-06,0.16218911899E+02
 0.30240000000E+07,0.95890410959E-01,0.40000000000E+03,-.60014523022E-05,0.26530947774E-06,-.17426935867E+02,0.71771610874E+00,0.28733442320E-12,0.57466883332E-05,0.83577129850E-06,0.16715425771E+02
 0.31104000000E+07,0.98630136986E-01,0.40000000000E+03,-.60146708894E-05,0.26428456597E-06,-.17946603432E+02,0.74055029524E+00,0.28802376484E-12,0.57604751623E-05,0.86065655178E-06,0.17213130825E+02
 0.31968000000E+07,0.10136986301E+00,0.40000000000E+03,-.60283575155E-05,0.26346299653E-06,-.18467453521E+02,0.76331349814E+00,0.28872217579E-12,0.57744433833E-05,0.88560214777E-06,0.17712042733E+02
 0.32832000000E+07,0.10410958904E+00,0.40000000000E+03,-.60421375053E-05,0.26248643938E-06,-.18989494202E+02,0.78599232650E+00,0.28941949638E-12,0.57883897918E-05,0.91060799226E-06,0.18212159611E+02
 0.33696000000E+07,0.10684931507E+00,0.40000000000E+03,-.60556630205E-05,0.26192039242E-06,-.19512703487E+02,0.80862224841E+00,0.29013526116E-12,0.58027050835E-05,0.93567567882E-06,0.18713513331E+02
 0.34560000000E+07,0.10958904110E+00,0.40000000000E+03,-.60697357262E-05,0.26053275027E-06,-.20037128653E+02,0.83113227803E+00,0.29084685312E-12,0.58169369191E-05,0.96080484693E-06,0.19216096680E+02
 0.35424000000E+07,0.11232876712E+00,0.40000000000E+03,-.60841312757E-05,0.25994090532E-06,-.20562797596E+02,0.85359117225E+00,0.29158294119E-12,0.58316586766E-05,0.98599761305E-06,0.19719951990E+02
 0.36288000000E+07,0.11506849315E+00,0.40000000000E+03,-.60987931053E-05,0.25886030663E-06,-.21089733320E+02,0.87595670274E+00,0.29230342238E-12,0.58460682965E-05,0.10112526287E-05,0.20225052291E+02
 0.37152000000E+07,0.11780821918E+00,0.40000000000E+03,-.61127018184E-05,0.25808058945E-06,-.21617870757E+02,0.89825486567E+00,0.29305576070E-12,0.58611150591E-05,0.10365726465E-05,0.20731452632E+02
 0.38016000000E+07,0.12054794521E+00,0.40000000000E+03,-.61274588533E-05,0.25675113827E-06,-.22147283202E+02,0.92043816402E+00,0.29380608713E-12,0.58761215836E-05,0.10619574924E-05,0.21239149537E+02
 0.38880000000E+07,0.12328767123E+00,0.40000000000E+03,-.61411041113E-05,0.25610322068E-06,-.22677874597E+02,0.94256548228E+00,0.29455177878E-12,0.58910354130E-05,0.10874067661E-05,0.21748134996E+02
 0.39744000000E+07,0.12602739726E+00,0.40000000000E+03,-.61563271893E-05,0.25475911177E-06,-.23209781266E+02,0.96457666954E+00,0.29532486748E-12,0.59064971827E-05,0.11129228346E-05,0.22258456353E+02
 0.40608000000E+07,0.12876712329E+00,0.40000000000E+03,-.61711275720E-05,0.25416553748E-06,-.23742966689E+02,0.98653657198E+00,0.29611408226E-12,0.59222814746E-05,0.11385070913E-05,0.22770141472E+02
 0.41472000000E+07,0.13150684932E+00,0.40000000000E+03,-.61868590070E-05,0.25282399787E-06,-.24277511307E+02,0.10083805654E+01,0.29691692241E-12,0.59383382735E-05,0.11641607134E-05,0.23283213899E+02
 0.42336000000E+07,0.13424657534E+00,0.40000000000E+03,-.62013521014E-05,0.25207922424E-06,-.24813308128E+02,0.10301602104E+01,0.29770087967E-12,0.59540174150E-05,0.11898820694E-05,0.23797641004E+02
 0.43200000000E+07,0.13698630137E+00,0.40000000000E+03,-.62169824548E-05,0.25095432175E-06,-.25350455412E+02,0.10518426638E+01,0.29850864725E-12,0.59701727626E-05,0.12156732166E-05,0.24313463931E+02
 0.44064000000E+07,0.13972602740E+00,0.40000000000E+03,-.62325413838E-05,0.25015719072E-06,-.25888946988E+02,0.10734562450E+01,0.29935353861E-12,0.59870705860E-05,0.12415373623E-05,0.24830746829E+02
 0.44928000000E+07,0.14246575342E+00,0.40000000000E+03,-.62493281055E-05,0.24913118644E-06,-.26428888936E+02,0.10949811796E+01,0.30020762127E-12,0.60041522350E-05,0.12674753008E-05,0.25349505582E+02
 0.45792000000E+07,0.14520547945E+00,0.40000000000E+03,-.62656926200E-05,0.24837328454E-06,-.26970244779E+02,0.11164406313E+01,0.30107969674E-12,0.60215937403E-05,0.12934885866E-05,0.25869771282E+02
 0.46656000000E+07,0.14794520548E+00,0.40000000000E+03,-.62818432131E-05,0.24732731935E-06,-.27512996032E+02,0.11378097117E+01,0.30192651638E-12,0.60385301291E-05,0.13195750376E-05,0.26391500285E+02
 0.47520000000E+07,0.15068493151E+00,0.40000000000E+03,-.62976801614E-05,0.24652897015E-06,-.28057115598E+02,0.11591098148E+01,0.30278845577E-12,0.60557689130E-05,0.13457359602E-05,0.26914718719E+02
 0.48384000000E+07,0.15342465753E+00,0.40000000000E+03,-.63111848244E-05,0.24556125915E-06,-.28602401967E+02,0.11803263075E+01,0.30349110341E-12,0.60698218616E-05,0.13719575915E-05,0.27439151328E+02
 0.49248000000E+07,0.15616438356E+00,0.40000000000E+03,-.63032323448E-05,0.24383647123E-06,-.29147001242E+02,0.12013937787E+01,0.30351612162E-12,0.60703222199E-05,0.13981813844E-05,0.27963627167E+02
