  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59524620229E-05,0.21454581681E-07,-.51429271878E+00,0.18536758572E-02,0.26417100346E-12,0.52834200656E-05,0.22824374699E-07,0.45648749367E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52151923591E-05,0.76439038153E-07,-.96488533861E+00,0.84580087537E-02,0.26640141214E-12,0.53280282364E-05,0.45841456708E-07,0.91682913330E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53581271060E-05,0.12799051814E-06,-.14278275206E+01,0.19516389521E-01,0.26674761348E-12,0.53349522574E-05,0.68888450513E-07,0.13777690083E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54230524336E-05,0.14937780657E-06,-.18963792508E+01,0.32422632009E-01,0.26753930845E-12,0.53507861551E-05,0.92003846763E-07,0.18400769321E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55022325363E-05,0.17269424863E-06,-.23717721420E+01,0.47343415090E-01,0.26818923788E-12,0.53637847404E-05,0.11517539692E-06,0.23035079337E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55202242033E-05,0.18852337265E-06,-.28487195131E+01,0.63631834487E-01,0.26881633269E-12,0.53763266324E-05,0.13840112806E-06,0.27680225547E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55767096913E-05,0.20582297740E-06,-.33305472305E+01,0.81414939734E-01,0.26944955323E-12,0.53889910384E-05,0.16168156946E-06,0.32336313805E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55967398292E-05,0.21563964875E-06,-.38141055517E+01,0.10004620539E+00,0.27006892625E-12,0.54013784987E-05,0.18501552469E-06,0.37003104828E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56308634728E-05,0.22536710809E-06,-.43006121558E+01,0.11951792352E+00,0.27069995826E-12,0.54139991356E-05,0.20840400108E-06,0.41680800081E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56493530307E-05,0.23135630590E-06,-.47887162576E+01,0.13950710835E+00,0.27135297199E-12,0.54270594071E-05,0.23184889786E-06,0.46369779409E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56723229681E-05,0.23722623952E-06,-.52788049620E+01,0.16000345545E+00,0.27197977939E-12,0.54395955486E-05,0.25534795080E-06,0.51069589962E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56874722654E-05,0.24366765705E-06,-.57702025658E+01,0.18105634102E+00,0.27260092265E-12,0.54520184099E-05,0.27890067052E-06,0.55780133869E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57016937194E-05,0.24810272221E-06,-.62628289031E+01,0.20249241622E+00,0.27323662981E-12,0.54647325495E-05,0.30250831533E-06,0.60501662791E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57031053105E-05,0.25240886072E-06,-.67555772020E+01,0.22430054178E+00,0.27386136462E-12,0.54772272420E-05,0.32616993723E-06,0.65233987128E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57186777492E-05,0.25607722185E-06,-.72496709595E+01,0.24642561375E+00,0.27449848470E-12,0.54899696402E-05,0.34988660631E-06,0.69977320898E+01
