gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.71134513E+00, -0.71134513E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293906E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694175E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094059E+02,  0.70040994E+02,  0.52601177E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504855E+10,  0.23166984E+07,  0.67480607E-06,  0.23907852E-13,  0.28225291E+08, -0.73082601E+00, -0.73082601E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.46918691E+01,  0.46918691E+01,  0.47694754E-02,  0.16682979E+03,  0.52900812E+03,  0.20043900E+03,  0.81757384E-09,  0.12973705E-05,  0.27293622E-06,  0.83452624E+00,  0.26701174E+01,  0.16242228E+01,  0.22165507E-02,  0.55413767E-01,  0.20181663E+00,  0.50454158E+01,  0.12718032E-03,  0.31795080E-02,  0.11747161E+00,  0.17596971E+00,  0.29367903E+01,  0.32368569E+01,  0.57577742E+02,  0.80921423E+02,  0.52502867E-02,  0.62752481E-04,  0.13125717E+00, -0.17027140E+06, -0.16765498E+06, -0.20602921E+07,  0.40300921E+08,  0.36693933E+10,  0.23123695E+07,  0.49390565E-06,  0.67480607E-06,  0.73192236E+00, -0.67457847E+00, -0.67457847E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.18999510E+01,  0.44658570E+00,  0.47694754E-02,  0.16666669E+03,  0.29497554E+03,  0.19982910E+03,  0.19935465E-08,  0.14654273E-05,  0.27270550E-06,  0.86494516E+00,  0.10067632E+01,  0.90569348E+00,  0.21247999E-02,  0.53119997E-01,  0.82767067E-01,  0.20691767E+01,  0.11259515E-03,  0.28148787E-02,  0.11759093E+00,  0.13791160E+00,  0.29397732E+01,  0.44870914E+01,  0.11079068E+02,  0.11217728E+03,  0.52833529E-02, -0.56252594E-02,  0.13208382E+00, -0.16852262E+06, -0.16669323E+06, -0.64765441E+06,  0.38632725E+08,  0.15048558E+10,  0.20471845E+07,  0.96553443E-07,  0.16725403E-06,  0.57728620E+00, -0.73374585E+00, -0.73374585E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24378829E+01,  0.40260533E+00,  0.49682035E-02,  0.16682677E+03,  0.27038963E+03,  0.19974338E+03,  0.18067622E-08,  0.13738778E-05,  0.27230933E-06,  0.83904526E+00,  0.97258042E+00,  0.89812913E+00,  0.21327954E-02,  0.53319885E-01,  0.91323585E-01,  0.22830896E+01,  0.12009802E-03,  0.30024504E-02,  0.11777700E+00,  0.14066922E+00,  0.29444250E+01,  0.48440620E+01,  0.11586742E+02,  0.12110155E+03,  0.52800175E-02, -0.35196805E-03,  0.13200044E+00, -0.16859358E+06, -0.16676497E+06, -0.57136048E+06,  0.38778098E+08,  0.16604288E+10,  0.21836003E+07,  0.24593442E-07,  0.91373454E-07,  0.26915303E+00, -0.70545596E+00, -0.70545596E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24510345E+01,  0.40713342E+00,  0.53656598E-02,  0.16670084E+03,  0.26340226E+03,  0.19973058E+03,  0.19680117E-08,  0.13901654E-05,  0.27237566E-06,  0.83613315E+00,  0.99483610E+00,  0.90437858E+00,  0.21267929E-02,  0.53169822E-01,  0.83840963E-01,  0.20960241E+01,  0.11869091E-03,  0.29672728E-02,  0.11766441E+00,  0.13845689E+00,  0.29416101E+01,  0.45387625E+01,  0.11117357E+02,  0.11346906E+03,  0.52825286E-02, -0.20190019E-02,  0.13206321E+00, -0.16857228E+06, -0.16671421E+06, -0.55050375E+06,  0.38668962E+08,  0.15243811E+10,  0.21580166E+07,  0.19272040E-07,  0.30415482E-07,  0.63362601E+00, -0.64554590E+00, -0.64554590E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24126556E+01,  0.44137256E+00,  0.53656598E-02,  0.16671714E+03,  0.25718559E+03,  0.19972571E+03,  0.93881762E-09,  0.12945948E-05,  0.27152664E-06,  0.83791204E+00,  0.10076769E+01,  0.90491742E+00,  0.21904009E-02,  0.54760024E-01,  0.17575299E+00,  0.43938246E+01,  0.12745301E-03,  0.31863252E-02,  0.11736664E+00,  0.16578472E+00,  0.29341659E+01,  0.32199563E+01,  0.49099168E+02,  0.80498909E+02,  0.52615459E-02,  0.60354335E-04,  0.13153865E+00, -0.16918830E+06, -0.16734037E+06, -0.53444173E+06,  0.39825472E+08,  0.31955088E+10,  0.23173274E+07,  0.34858723E-06,  0.17111378E-06,  0.20371663E+01, -0.73220230E+00, -0.73220230E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.39584563E+01,  0.43913784E+00,  0.63593005E-02,  0.16680581E+03,  0.52504297E+03,  0.20045836E+03,  0.13458978E-08,  0.13049667E-05,  0.27210411E-06,  0.84997783E+00,  0.10497702E+01,  0.90808533E+00,  0.22279290E-02,  0.55698225E-01,  0.12259475E+00,  0.30648687E+01,  0.12644001E-03,  0.31610003E-02,  0.11691639E+00,  0.18557981E+00,  0.29229098E+01,  0.39329325E+01,  0.33494737E+02,  0.98323313E+02,  0.81419950E-03,  0.66604506E-04,  0.20354988E-01, -0.17401849E+06, -0.16878027E+06, -0.20310486E+07,  0.40507800E+08,  0.22289954E+10,  0.22989093E+07,  0.14446041E-06,  0.34858723E-06,  0.41441682E+00, -0.68106378E+00, -0.68106378E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.14752452E+01,  0.43429585E+00,  0.59618442E-02,  0.16679555E+03,  0.46369319E+03,  0.20043714E+03,  0.16672207E-08,  0.13018794E-05,  0.27259651E-06,  0.84539149E+00,  0.10159761E+01,  0.89145691E+00,  0.22118679E-02,  0.55296697E-01,  0.98967104E-01,  0.24741776E+01,  0.12673985E-03,  0.31684963E-02,  0.11822638E+00,  0.17524233E+00,  0.29556595E+01,  0.49549085E+01,  0.18508671E+02,  0.12387271E+03,  0.89414794E-03,  0.65076197E-04,  0.22353699E-01, -0.17359510E+06, -0.16827190E+06, -0.14804134E+07,  0.40215779E+08,  0.17994019E+10,  0.23043609E+07,  0.80708058E-07,  0.14446041E-06,  0.55868634E+00, -0.67357918E+00, -0.67357918E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22615024E+01,  0.41491591E+00,  0.53656598E-02,  0.16687215E+03,  0.48940145E+03,  0.20037884E+03,  0.14147121E-08,  0.13009686E-05,  0.27245147E-06,  0.85320655E+00,  0.10338167E+01,  0.91304031E+00,  0.22110390E-02,  0.55275976E-01,  0.11663150E+00,  0.29157876E+01,  0.12682858E-03,  0.31707144E-02,  0.11845013E+00,  0.17385733E+00,  0.29612534E+01,  0.55917686E+01,  0.19851549E+02,  0.13979422E+03,  0.19068295E-02,  0.63974121E-04,  0.47670737E-01, -0.17359376E+06, -0.16813021E+06, -0.16826463E+07,  0.40200710E+08,  0.21205728E+10,  0.23059741E+07,  0.14863442E-07,  0.27174596E-07,  0.54696091E+00, -0.62964156E+00, -0.62964156E+00,
