  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59549096884E-05,0.20783641033E-07,-.51450419707E+00,0.17957065853E-02,0.26416454202E-12,0.52832908368E-05,0.22823816431E-07,0.45647632830E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52237621380E-05,0.76892380100E-07,-.96583724579E+00,0.84392082259E-02,0.26643438350E-12,0.53286876628E-05,0.45843747165E-07,0.91687494236E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53620973475E-05,0.12720036403E-06,-.14291224566E+01,0.19429319678E-01,0.26675810929E-12,0.53351621707E-05,0.68891647808E-07,0.13778329539E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54442921448E-05,0.14838336766E-06,-.18995092979E+01,0.32249642644E-01,0.26754650705E-12,0.53509301282E-05,0.92007666017E-07,0.18401533170E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55143192074E-05,0.17214250129E-06,-.23759464774E+01,0.47122754756E-01,0.26818844538E-12,0.53637688909E-05,0.11517914770E-06,0.23035829492E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55186595078E-05,0.18786224570E-06,-.28527586589E+01,0.63354052784E-01,0.26881773250E-12,0.53763546303E-05,0.13840499979E-06,0.27680999892E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55796288312E-05,0.20537547267E-06,-.33348385899E+01,0.81098493623E-01,0.26945773095E-12,0.53891545937E-05,0.16168614774E-06,0.32337229461E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55949662859E-05,0.21547948730E-06,-.38182436770E+01,0.99715921326E-01,0.27009750240E-12,0.54019500221E-05,0.18502257195E-06,0.37004514280E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56311171084E-05,0.22568010812E-06,-.43047721952E+01,0.11921468267E+00,0.27069411186E-12,0.54138822078E-05,0.20841054321E-06,0.41682108508E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56485577551E-05,0.23195066921E-06,-.47928075852E+01,0.13925522049E+00,0.27136997356E-12,0.54273994385E-05,0.23185690893E-06,0.46371381623E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56725904151E-05,0.23733159864E-06,-.52829193971E+01,0.15976067061E+00,0.27198859788E-12,0.54397719181E-05,0.25535672378E-06,0.51071344560E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56830329450E-05,0.24369706850E-06,-.57739334436E+01,0.18081609733E+00,0.27260755594E-12,0.54521510756E-05,0.27891001662E-06,0.55782003089E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57000502905E-05,0.24826781191E-06,-.62664177887E+01,0.20226643628E+00,0.27324982043E-12,0.54649963617E-05,0.30251880110E-06,0.60503759946E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57045376007E-05,0.25244434808E-06,-.67592898374E+01,0.22407762795E+00,0.27385767025E-12,0.54771533544E-05,0.32618010381E-06,0.65236020444E+01
