gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.71678571E+00, -0.71678571E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999991E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969334E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221714E+00,  0.36527127E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076249E+00, -0.31239285E+07, -0.31239284E+07, -0.31239302E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.62551984E+00, -0.62551984E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16796567E+02,  0.69872386E+01,  0.32596857E-01,  0.10444323E+03,  0.16000000E+03,  0.15909110E+03,  0.51088439E-07,  0.83485627E-05,  0.18705789E-05,  0.65313357E+00,  0.98525462E+00,  0.74969150E+00,  0.29722388E-05,  0.14419182E-01,  0.60036254E-04,  0.29125307E+00,  0.36738761E-06,  0.17823026E-02,  0.14268103E-02, -0.11836766E-03,  0.69218659E+01,  0.24616585E-01,  0.53465955E+00,  0.11942211E+03,  0.16817500E-03, -0.10592489E+01,  0.81586514E+00, -0.32251284E+07, -0.31034052E+07, -0.22007478E+08,  0.24552254E+06,  0.49593099E+07,  0.30348146E+05,  0.12306933E-03,  0.23529659E-03,  0.52303917E+00, -0.65488095E+00, -0.65488095E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12404507E+02,  0.12404507E+02,  0.36875681E-01,  0.10435001E+03,  0.17050587E+03,  0.15808849E+03,  0.79935144E-07,  0.90032261E-05,  0.18543176E-05,  0.65458381E+00,  0.98969362E+00,  0.74103670E+00,  0.29563666E-05,  0.14342182E-01,  0.38370588E-04,  0.18614672E+00,  0.34067327E-06,  0.16527037E-02,  0.14188230E-02, -0.76991166E-04,  0.68831171E+01,  0.12530602E-01,  0.30206226E+00,  0.60789543E+02,  0.16339041E-03, -0.94732218E+00,  0.79265373E+00, -0.38691002E+07, -0.36134788E+07, -0.48079978E+08,  0.24421141E+06,  0.31696121E+07,  0.28141401E+05,  0.38554547E-04,  0.67687954E-04,  0.56959245E+00, -0.68809524E+00, -0.68809524E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17956650E+02,  0.32680066E+01,  0.36408900E-01,  0.10434792E+03,  0.16872108E+03,  0.15772592E+03,  0.92240413E-07,  0.85519420E-05,  0.18407636E-05,  0.65749214E+00,  0.10406587E+01,  0.73990366E+00,  0.29583037E-05,  0.14351579E-01,  0.33251786E-04,  0.16131394E+00,  0.35865053E-06,  0.17399165E-02,  0.14196547E-02, -0.87730343E-04,  0.68871518E+01,  0.12821027E-01,  0.23905941E+00,  0.62198478E+02,  0.17161520E-03, -0.90759690E+00,  0.83255450E+00, -0.39630204E+07, -0.36829455E+07, -0.47216485E+08,  0.24437142E+06,  0.27467722E+07,  0.29626417E+05,  0.35313685E-04,  0.54452346E-04,  0.64852458E+00, -0.71321429E+00, -0.71321429E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17535542E+02,  0.17535542E+02,  0.36720087E-01,  0.10434871E+03,  0.17263722E+03,  0.15763005E+03,  0.93246179E-07,  0.86192774E-05,  0.18376694E-05,  0.65379710E+00,  0.10443439E+01,  0.74205350E+00,  0.29584790E-05,  0.14352430E-01,  0.32893128E-04,  0.15957399E+00,  0.35584868E-06,  0.17263239E-02,  0.14197117E-02, -0.80153386E-04,  0.68874285E+01,  0.12631410E-01,  0.24064761E+00,  0.61278589E+02,  0.17038626E-03, -0.90404705E+00,  0.82659256E+00, -0.40205364E+07, -0.37322254E+07, -0.51926701E+08,  0.24438591E+06,  0.27171451E+07,  0.29394970E+05,  0.78942417E-05,  0.22226170E-04,  0.35517778E+00, -0.65614286E+00, -0.65614286E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18070544E+02,  0.18070544E+02,  0.37342461E-01,  0.10434783E+03,  0.17158949E+03,  0.15760762E+03,  0.62097453E-07,  0.83088755E-05,  0.18368514E-05,  0.65484430E+00,  0.10456865E+01,  0.74396978E+00,  0.29990110E-05,  0.14549062E-01,  0.49392662E-04,  0.23961796E+00,  0.36914243E-06,  0.17908157E-02,  0.14364187E-02, -0.38672532E-03,  0.69684789E+01,  0.18705317E-01,  0.43444026E+00,  0.90744854E+02,  0.17267891E-03, -0.15293748E+01,  0.83771486E+00, -0.34393518E+07, -0.31927501E+07, -0.43455357E+08,  0.24773406E+06,  0.40800933E+07,  0.30493104E+05,  0.13547582E-03,  0.73716476E-05,  0.18377957E+02, -0.72054762E+00, -0.72054762E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14001320E+02,  0.17691152E+01,  0.37887039E-01,  0.10434900E+03,  0.25737090E+03,  0.15774717E+03,  0.17176965E-07,  0.83644999E-05,  0.18366586E-05,  0.65575475E+00,  0.11020818E+01,  0.75505068E+00,  0.31294248E-05,  0.15181736E-01,  0.17856230E-03,  0.86625691E+00,  0.36668761E-06,  0.17789067E-02,  0.14899849E-02,  0.68146830E-03,  0.72283438E+01,  0.70184898E-01,  0.34689831E+01,  0.34048705E+03,  0.16805450E-03, -0.10954866E+01,  0.81528054E+00, -0.42977078E+07, -0.31333097E+07, -0.52920743E+09,  0.25850692E+06,  0.14750184E+08,  0.30290323E+05,  0.62246104E-04,  0.13547582E-03,  0.45946282E+00, -0.68450000E+00, -0.68450000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16678310E+02,  0.33934235E+01,  0.37109071E-01,  0.10434964E+03,  0.24557207E+03,  0.15775613E+03,  0.15620810E-07,  0.83651815E-05,  0.18363326E-05,  0.65340111E+00,  0.12423936E+01,  0.76425947E+00,  0.31303728E-05,  0.15186336E-01,  0.19635079E-03,  0.95255397E+00,  0.36665773E-06,  0.17787617E-02,  0.14900924E-02, -0.14814183E-02,  0.72288652E+01,  0.59745663E-01,  0.11376979E+01,  0.28984334E+03,  0.17082064E-03, -0.51117038E+01,  0.82869989E+00, -0.42859955E+07, -0.31233301E+07, -0.31490700E+09,  0.25858524E+06,  0.16219607E+08,  0.30287854E+05,  0.50160096E-04,  0.62246104E-04,  0.80583511E+00, -0.70726190E+00, -0.70726190E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13990171E+02,  0.32526759E+01,  0.37264665E-01,  0.10434836E+03,  0.24662505E+03,  0.15734743E+03,  0.12349717E-07,  0.83487786E-05,  0.18219444E-05,  0.65233241E+00,  0.11216346E+01,  0.76384807E+00,  0.31457373E-05,  0.15260873E-01,  0.24835861E-03,  0.12048588E+01,  0.36737811E-06,  0.17822565E-02,  0.14902832E-02, -0.20777813E-02,  0.72297911E+01,  0.58241992E-01,  0.10796976E+01,  0.28254859E+03,  0.17456447E-03, -0.72837999E+01,  0.84686228E+00, -0.41359517E+07, -0.31218939E+07, -0.32818840E+09,  0.25985443E+06,  0.20515725E+08,  0.30347361E+05,  0.20345310E-04,  0.36018963E-04,  0.56484996E+00, -0.68073810E+00, -0.68073810E+00,
