  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37280572284E-09,0.59648893097E-02,0.32210414454E-03,0.51536643635E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.38150481998E-09,0.61040746010E-02,0.65172430900E-03,0.10427584819E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37752276465E-09,0.60403614836E-02,0.97790397765E-03,0.15646457141E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37910796164E-09,0.60657243912E-02,0.13054532565E-02,0.20887243015E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37812627538E-09,0.60500171650E-02,0.16321543584E-02,0.26114457845E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37861066283E-09,0.60577671177E-02,0.19592739711E-02,0.31348368635E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37735850459E-09,0.60377323568E-02,0.22853117191E-02,0.36564969391E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37716023797E-09,0.60345598523E-02,0.26111781647E-02,0.41778829104E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37828756710E-09,0.60525968593E-02,0.29380186227E-02,0.47008272790E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37853771524E-09,0.60565989846E-02,0.32650752086E-02,0.52241174313E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37789424554E-09,0.60463032404E-02,0.35915758368E-02,0.57465180312E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37930218668E-09,0.60688300261E-02,0.39192929261E-02,0.62708649455E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37948095637E-09,0.60716900952E-02,0.42471644724E-02,0.67954589697E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37994721175E-09,0.60791499302E-02,0.45754388633E-02,0.73206975237E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38032593905E-09,0.60852093108E-02,0.49040404747E-02,0.78464596082E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37959285365E-09,0.60734797197E-02,0.52320087002E-02,0.83712082559E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38066671512E-09,0.60906612124E-02,0.55609047421E-02,0.88974413847E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.16062724916E-08,0.60869563109E-02,0.69487241748E-02,0.94233544099E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.92415806908E-05,0.60451948167E-02,0.79916744410E+01,0.99456592421E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.18654872761E-03,0.58371035975E-02,0.16916977509E+03,0.10449984993E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.52205622082E-03,0.56436207040E-02,0.62022634988E+03,0.10937593822E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.69126822383E-03,0.54237549270E-02,0.12174820953E+04,0.11406206247E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.84515988699E-03,0.53304387753E-02,0.19477002376E+04,0.11866756158E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.94135065213E-03,0.52775389471E-02,0.27610272011E+04,0.12322735523E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.10069106362E-02,0.52463231879E-02,0.36309979908E+04,0.12776017846E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10495465634E-02,0.52237164413E-02,0.45378062215E+04,0.13227346947E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10964829136E-02,0.52025688608E-02,0.54851674588E+04,0.13676848896E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11314849412E-02,0.51873979274E-02,0.64627704480E+04,0.14125040077E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11647441234E-02,0.51729649653E-02,0.74691093706E+04,0.14571984250E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11933645747E-02,0.51609809125E-02,0.85001763632E+04,0.15017893001E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12212892770E-02,0.51492786636E-02,0.95553702985E+04,0.15462790678E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12471951418E-02,0.51372257575E-02,0.10632946901E+05,0.15906646983E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12707185321E-02,0.51257459765E-02,0.11730847713E+05,0.16349511435E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12948225865E-02,0.51126461608E-02,0.12849574427E+05,0.16791244064E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13160410180E-02,0.51038143484E-02,0.13986633867E+05,0.17232213623E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13359761159E-02,0.50952566651E-02,0.15140917231E+05,0.17672443799E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13550138122E-02,0.50872747350E-02,0.16311649165E+05,0.18111984336E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13717520337E-02,0.50805391612E-02,0.17496842922E+05,0.18550942920E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13905044160E-02,0.50939278469E-02,0.18698238737E+05,0.18991058286E+06
 0.34560000000E+08,0.10958904110E+01,0.12030803138E+07,0.14098225034E-02,0.50683415235E-02,0.19916325380E+05,0.19428962993E+06
 0.35424000000E+08,0.11232876712E+01,0.12030803138E+07,0.14263136727E-02,0.50644548033E-02,0.21148660394E+05,0.19866531888E+06
 0.36288000000E+08,0.11506849315E+01,0.12030803138E+07,0.14417041415E-02,0.50602870953E-02,0.22394292772E+05,0.20303740693E+06
 0.37152000000E+08,0.11780821918E+01,0.12030803138E+07,0.14569271097E-02,0.50564330370E-02,0.23653077795E+05,0.20740616508E+06
 0.38016000000E+08,0.12054794521E+01,0.12030803138E+07,0.14714395162E-02,0.50544029640E-02,0.24924401537E+05,0.21177316924E+06
 0.38880000000E+08,0.12328767123E+01,0.12030803138E+07,0.14852225221E-02,0.50546100850E-02,0.26207633796E+05,0.21614035235E+06
 0.39744000000E+08,0.12602739726E+01,0.12030803138E+07,0.14978798371E-02,0.50558260713E-02,0.27501801975E+05,0.22050858608E+06
 0.40608000000E+08,0.12876712329E+01,0.12030803138E+07,0.15093289444E-02,0.50582324241E-02,0.28805862183E+05,0.22487889889E+06
 0.41472000000E+08,0.13150684932E+01,0.12030803138E+07,0.15224318449E-02,0.50589725376E-02,0.30121243297E+05,0.22924985117E+06
 0.42336000000E+08,0.13424657534E+01,0.12030803138E+07,0.15351367586E-02,0.50616023368E-02,0.31447601456E+05,0.23362307558E+06
 0.43200000000E+08,0.13698630137E+01,0.12030803138E+07,0.15449613756E-02,0.50629757739E-02,0.32782448085E+05,0.23799748665E+06
 0.44064000000E+08,0.13972602740E+01,0.12030803138E+07,0.15617262866E-02,0.50898579992E-02,0.34131779596E+05,0.24239512396E+06
 0.44928000000E+08,0.14246575342E+01,0.12030803138E+07,0.15701947738E-02,0.50694732228E-02,0.35488427881E+05,0.24677514883E+06
 0.45792000000E+08,0.14520547945E+01,0.12030803138E+07,0.15778142051E-02,0.50744869397E-02,0.36851659354E+05,0.25115950554E+06
 0.46656000000E+08,0.14794520548E+01,0.12030803138E+07,0.15873151112E-02,0.50763357498E-02,0.38223099610E+05,0.25554545963E+06
 0.47520000000E+08,0.15068493151E+01,0.12030803138E+07,0.15978244967E-02,0.50804742870E-02,0.39603619975E+05,0.25993498942E+06
 0.48384000000E+08,0.15342465753E+01,0.12030803138E+07,0.16054990168E-02,0.50835417451E-02,0.40990771126E+05,0.26432716948E+06
 0.49248000000E+08,0.15616438356E+01,0.12030803138E+07,0.16158884992E-02,0.50886851429E-02,0.42386898789E+05,0.26872379345E+06
 0.50112000000E+08,0.15890410959E+01,0.12030803138E+07,0.16244714169E-02,0.50943886589E-02,0.43790442093E+05,0.27312534525E+06
 0.50976000000E+08,0.16164383562E+01,0.12030803138E+07,0.16318603862E-02,0.51015043564E-02,0.45200369467E+05,0.27753304501E+06
 0.51840000000E+08,0.16438356164E+01,0.12030803138E+07,0.16479197118E-02,0.51329684865E-02,0.46624172098E+05,0.28196792979E+06
 0.52704000000E+08,0.16712328767E+01,0.12030803138E+07,0.16509752169E-02,0.51130357659E-02,0.48050614686E+05,0.28638559269E+06
 0.53568000000E+08,0.16986301370E+01,0.12030803138E+07,0.16589181069E-02,0.51174835612E-02,0.49483919930E+05,0.29080709848E+06
 0.54432000000E+08,0.17260273973E+01,0.12030803138E+07,0.16644952393E-02,0.51226524920E-02,0.50922043817E+05,0.29523307024E+06
 0.55296000000E+08,0.17534246575E+01,0.12030803138E+07,0.16811985544E-02,0.51538333232E-02,0.52374599368E+05,0.29968598223E+06
 0.56160000000E+08,0.17808219178E+01,0.12030803138E+07,0.16882547508E-02,0.51574204841E-02,0.53833251472E+05,0.30414199353E+06
 0.57024000000E+08,0.18082191781E+01,0.12030803138E+07,0.16962540048E-02,0.51605497634E-02,0.55298814932E+05,0.30860070852E+06
 0.57888000000E+08,0.18356164384E+01,0.12030803138E+07,0.17003701737E-02,0.51693788806E-02,0.56767934763E+05,0.31306705187E+06
 0.58752000000E+08,0.18630136986E+01,0.12030803138E+07,0.17501274572E-02,0.51812688682E-02,0.58280044886E+05,0.31754366818E+06
 0.59616000000E+08,0.18904109589E+01,0.12030803138E+07,0.17145433169E-02,0.51830672569E-02,0.59761410311E+05,0.32202183829E+06
 0.60480000000E+08,0.19178082192E+01,0.12030803138E+07,0.17191871711E-02,0.51942103452E-02,0.61246788027E+05,0.32650963603E+06
 0.61344000000E+08,0.19452054795E+01,0.12030803138E+07,0.17188555524E-02,0.51718262475E-02,0.62731879225E+05,0.33097809390E+06
 0.62208000000E+08,0.19726027397E+01,0.12030803138E+07,0.17232008850E-02,0.51820635176E-02,0.64220724789E+05,0.33545539678E+06
 0.63072000000E+08,0.20000000000E+01,0.12030803138E+07,0.17397715917E-02,0.52223845769E-02,0.65723887444E+05,0.33996753706E+06
 0.63936000000E+08,0.20273972603E+01,0.12030803138E+07,0.17366523621E-02,0.52017711673E-02,0.67224355085E+05,0.34446186735E+06
 0.64800000000E+08,0.20547945205E+01,0.12030803138E+07,0.17412493007E-02,0.52109707396E-02,0.68728794481E+05,0.34896414606E+06
 0.65664000000E+08,0.20821917808E+01,0.12030803138E+07,0.17778139521E-02,0.52355015798E-02,0.70264825736E+05,0.35348761943E+06
 0.66528000000E+08,0.21095890411E+01,0.12030803138E+07,0.18237832097E-02,0.51692156762E-02,0.71840574429E+05,0.35795382177E+06
 0.67392000000E+08,0.21369863014E+01,0.12030803138E+07,0.18667333005E-02,0.51300915415E-02,0.73453432000E+05,0.36238622087E+06
 0.68256000000E+08,0.21643835616E+01,0.12030803138E+07,0.19091327569E-02,0.51039049997E-02,0.75102922702E+05,0.36679599478E+06
 0.69120000000E+08,0.21917808219E+01,0.12030803138E+07,0.19375727452E-02,0.50921595040E-02,0.76776985554E+05,0.37119562060E+06
 0.69984000000E+08,0.22191780822E+01,0.12030803138E+07,0.19682690785E-02,0.50813381757E-02,0.78477570038E+05,0.37558589678E+06
 0.70848000000E+08,0.22465753425E+01,0.12030803138E+07,0.20037190317E-02,0.50642156005E-02,0.80208783281E+05,0.37996137906E+06
 0.71712000000E+08,0.22739726027E+01,0.12030803138E+07,0.20505742122E-02,0.50368243971E-02,0.81980479401E+05,0.38431319534E+06
 0.72576000000E+08,0.23013698630E+01,0.12030803138E+07,0.21043905021E-02,0.49974563989E-02,0.83798672795E+05,0.38863099767E+06
 0.73440000000E+08,0.23287671233E+01,0.12030803138E+07,0.21599795001E-02,0.49601047368E-02,0.85664895083E+05,0.39291652816E+06
 0.74304000000E+08,0.23561643836E+01,0.12030803138E+07,0.22167035323E-02,0.49219646973E-02,0.87580126934E+05,0.39716910566E+06
 0.75168000000E+08,0.23835616438E+01,0.12030803138E+07,0.22689254804E-02,0.48820636072E-02,0.89540478549E+05,0.40138720861E+06
 0.76032000000E+08,0.24109589041E+01,0.12030803138E+07,0.23579937998E-02,0.48786811142E-02,0.91577785193E+05,0.40560238910E+06
 0.76896000000E+08,0.24383561644E+01,0.12030803138E+07,0.23668411623E-02,0.48107086508E-02,0.93622735957E+05,0.40975884137E+06
 0.77760000000E+08,0.24657534247E+01,0.12030803138E+07,0.24119439223E-02,0.47894709028E-02,0.95706655506E+05,0.41389694423E+06
 0.78624000000E+08,0.24931506849E+01,0.12030803138E+07,0.24503825565E-02,0.47618637260E-02,0.97823786035E+05,0.41801119449E+06
 0.79488000000E+08,0.25205479452E+01,0.12030803138E+07,0.24868417212E-02,0.47425674791E-02,0.99972417282E+05,0.42210877279E+06
 0.80352000000E+08,0.25479452055E+01,0.12030803138E+07,0.25197917994E-02,0.47212607410E-02,0.10214951740E+06,0.42618794207E+06
 0.81216000000E+08,0.25753424658E+01,0.12030803138E+07,0.25531521012E-02,0.47038866067E-02,0.10435544081E+06,0.43025210010E+06
 0.82080000000E+08,0.26027397260E+01,0.12030803138E+07,0.25968276924E-02,0.47029148333E-02,0.10659909994E+06,0.43431541852E+06
 0.82944000000E+08,0.26301369863E+01,0.12030803138E+07,0.26375406774E-02,0.46841029031E-02,0.10887793508E+06,0.43836248343E+06
 0.83808000000E+08,0.26575342466E+01,0.12030803138E+07,0.26810371809E-02,0.46539225878E-02,0.11119435121E+06,0.44238347254E+06
 0.84672000000E+08,0.26849315068E+01,0.12030803138E+07,0.27366126118E-02,0.45624309638E-02,0.11355878450E+06,0.44632541289E+06
 0.85536000000E+08,0.27123287671E+01,0.12030803138E+07,0.28943635505E-02,0.44911188336E-02,0.11605951461E+06,0.45020573957E+06
 0.86400000000E+08,0.27397260274E+01,0.12030803138E+07,0.30379791852E-02,0.43271535745E-02,0.11868432863E+06,0.45394440025E+06
