gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.77197201E+00, -0.77197201E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999990E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969333E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221714E+00,  0.36527127E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076249E+00, -0.31239285E+07, -0.31239284E+07, -0.31239304E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.61105759E+00, -0.61105759E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16798744E+02,  0.69902692E+01,  0.31974483E-01,  0.10444139E+03,  0.16000000E+03,  0.15908278E+03,  0.51052325E-07,  0.83483612E-05,  0.18704291E-05,  0.65281873E+00,  0.95734577E+00,  0.74528919E+00,  0.29721974E-05,  0.14418981E-01,  0.60078723E-04,  0.29145910E+00,  0.36739648E-06,  0.17823456E-02,  0.14267451E-02, -0.12189164E-03,  0.69215492E+01,  0.24487357E-01,  0.53252104E+00,  0.11879519E+03,  0.16824565E-03, -0.10763554E+01,  0.81620785E+00, -0.32171928E+07, -0.31033998E+07, -0.20407963E+08,  0.24551912E+06,  0.49628181E+07,  0.30348879E+05,  0.12124501E-03,  0.23529659E-03,  0.51528587E+00, -0.65639842E+00, -0.65639842E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12445073E+02,  0.12445073E+02,  0.36953478E-01,  0.10435219E+03,  0.17007962E+03,  0.15808948E+03,  0.79599034E-07,  0.89755839E-05,  0.18542512E-05,  0.65467498E+00,  0.98922900E+00,  0.74122904E+00,  0.29564489E-05,  0.14342581E-01,  0.38532609E-04,  0.18693273E+00,  0.34172245E-06,  0.16577935E-02,  0.14188573E-02, -0.77180222E-04,  0.68832832E+01,  0.12607990E-01,  0.30431808E+00,  0.61164971E+02,  0.16391259E-03, -0.94974881E+00,  0.79518696E+00, -0.38645372E+07, -0.36095451E+07, -0.47602446E+08,  0.24421821E+06,  0.31829959E+07,  0.28228069E+05,  0.38743199E-04,  0.67574440E-04,  0.57334103E+00, -0.68608889E+00, -0.68608889E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17847999E+02,  0.33812231E+01,  0.36564494E-01,  0.10434785E+03,  0.16865667E+03,  0.15772601E+03,  0.92206525E-07,  0.85725178E-05,  0.18407804E-05,  0.65755462E+00,  0.10402106E+01,  0.74044740E+00,  0.29582624E-05,  0.14351379E-01,  0.33264007E-04,  0.16137323E+00,  0.35778969E-06,  0.17357403E-02,  0.14196389E-02, -0.86988603E-04,  0.68870753E+01,  0.12817928E-01,  0.23913895E+00,  0.62183440E+02,  0.17119312E-03, -0.90745870E+00,  0.83050691E+00, -0.39630169E+07, -0.36831844E+07, -0.47156417E+08,  0.24436801E+06,  0.27477817E+07,  0.29555308E+05,  0.35015439E-04,  0.54346495E-04,  0.64429985E+00, -0.69587461E+00, -0.69587461E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17971609E+02,  0.17971609E+02,  0.36875681E-01,  0.10434933E+03,  0.17270933E+03,  0.15762623E+03,  0.93225549E-07,  0.86771844E-05,  0.18375307E-05,  0.65407542E+00,  0.10441636E+01,  0.74296404E+00,  0.29585733E-05,  0.14352887E-01,  0.32900407E-04,  0.15960930E+00,  0.35347393E-06,  0.17148033E-02,  0.14197557E-02, -0.80291187E-04,  0.68876419E+01,  0.12634000E-01,  0.24067866E+00,  0.61291156E+02,  0.16928085E-03, -0.90413371E+00,  0.82122990E+00, -0.40180188E+07, -0.37319344E+07, -0.52001383E+08,  0.24439369E+06,  0.27177464E+07,  0.29198803E+05,  0.78475846E-05,  0.41891858E-04,  0.18732959E+00, -0.70550810E+00, -0.70550810E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17580532E+02,  0.17580532E+02,  0.37342461E-01,  0.10434783E+03,  0.17172082E+03,  0.15760240E+03,  0.62125015E-07,  0.83098862E-05,  0.18366856E-05,  0.65313435E+00,  0.10459131E+01,  0.74381467E+00,  0.29991254E-05,  0.14549617E-01,  0.49370748E-04,  0.23951165E+00,  0.36909753E-06,  0.17905979E-02,  0.14364817E-02, -0.38696582E-03,  0.69687844E+01,  0.18712448E-01,  0.43396404E+00,  0.90779447E+02,  0.17271462E-03, -0.15288173E+01,  0.83788811E+00, -0.34375028E+07, -0.31922677E+07, -0.43568478E+08,  0.24774351E+06,  0.40782831E+07,  0.30489395E+05,  0.13532386E-03,  0.10043204E-04,  0.13474172E+02, -0.72646985E+00, -0.72646985E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14081306E+02,  0.17734482E+01,  0.38276023E-01,  0.10434783E+03,  0.25827437E+03,  0.15775538E+03,  0.17300936E-07,  0.83659188E-05,  0.18364887E-05,  0.65594754E+00,  0.11065291E+01,  0.75591594E+00,  0.31300610E-05,  0.15184823E-01,  0.17728281E-03,  0.86004971E+00,  0.36662542E-06,  0.17786050E-02,  0.14900098E-02,  0.68924590E-03,  0.72284644E+01,  0.68814193E-01,  0.35277556E+01,  0.33383737E+03,  0.16789586E-03, -0.10976597E+01,  0.81451094E+00, -0.43324079E+07, -0.31329093E+07, -0.55327950E+09,  0.25855948E+06,  0.14644491E+08,  0.30285185E+05,  0.62308807E-04,  0.13532386E-03,  0.46044214E+00, -0.72410544E+00, -0.72410544E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17542157E+02,  0.33959946E+01,  0.37264665E-01,  0.10435033E+03,  0.25317957E+03,  0.15776592E+03,  0.14972785E-07,  0.83658862E-05,  0.18365818E-05,  0.65315078E+00,  0.12496481E+01,  0.76452866E+00,  0.31332083E-05,  0.15200091E-01,  0.20484889E-03,  0.99378069E+00,  0.36662685E-06,  0.17786119E-02,  0.14908022E-02, -0.15533717E-02,  0.72323087E+01,  0.61289047E-01,  0.11298614E+01,  0.29733073E+03,  0.17085045E-03, -0.53912336E+01,  0.82884450E+00, -0.43571898E+07, -0.31230635E+07, -0.43341014E+09,  0.25881946E+06,  0.16921595E+08,  0.30285303E+05,  0.53682183E-04,  0.62308807E-04,  0.86155048E+00, -0.68796985E+00, -0.68796985E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14248069E+02,  0.32687568E+01,  0.37264665E-01,  0.10434785E+03,  0.24568806E+03,  0.15735806E+03,  0.12386008E-07,  0.83494472E-05,  0.18222353E-05,  0.65222446E+00,  0.11210951E+01,  0.76381680E+00,  0.31453404E-05,  0.15258948E-01,  0.24763092E-03,  0.12013286E+01,  0.36734869E-06,  0.17821138E-02,  0.14906815E-02, -0.20515244E-02,  0.72317230E+01,  0.60189776E-01,  0.10886819E+01,  0.29199785E+03,  0.17455536E-03, -0.71782952E+01,  0.84681806E+00, -0.41726544E+07, -0.31220781E+07, -0.31622148E+09,  0.25982164E+06,  0.20455615E+08,  0.30344931E+05,  0.28729489E-04,  0.42698025E-04,  0.67285288E+00, -0.70642223E+00, -0.70642223E+00,
