  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37278796747E-09,0.59646052228E-02,0.32208880389E-03,0.51534189125E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37950477104E-09,0.60720738245E-02,0.64998092607E-03,0.10399690697E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37748176790E-09,0.60397055327E-02,0.97612517353E-03,0.15617996277E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37750659420E-09,0.60401025180E-02,0.13022908709E-02,0.20836644853E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37695130812E-09,0.60312176983E-02,0.16279768011E-02,0.26047616944E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37732247953E-09,0.60371561987E-02,0.19539834235E-02,0.31263719900E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37721298931E-09,0.60354041106E-02,0.22798954462E-02,0.36478309051E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37836091763E-09,0.60537707130E-02,0.26067992790E-02,0.41708766947E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37828100997E-09,0.60524919452E-02,0.29336340717E-02,0.46938119988E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37854261867E-09,0.60566774370E-02,0.32606948942E-02,0.52171089294E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37785954897E-09,0.60457480969E-02,0.35871655445E-02,0.57394615649E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37834081881E-09,0.60534481588E-02,0.39140520120E-02,0.62624794858E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37953310588E-09,0.60725244860E-02,0.42419686154E-02,0.67871456014E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37902706464E-09,0.60644275903E-02,0.45694479993E-02,0.73111121452E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38022195250E-09,0.60835455289E-02,0.48979597662E-02,0.78367304789E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37952454872E-09,0.60723868421E-02,0.52258689763E-02,0.83613847021E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38071925229E-09,0.60915018015E-02,0.55548104103E-02,0.88876904577E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.14449342174E-08,0.60844201600E-02,0.68032335742E-02,0.94133843596E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.97047583665E-05,0.60441640858E-02,0.83917144622E+01,0.99356001366E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.21954761793E-03,0.59977140131E-02,0.19808085635E+03,0.10453802627E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.51815376862E-03,0.56177448261E-02,0.64576571244E+03,0.10939175780E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.69126026622E-03,0.54241719694E-02,0.12430145825E+04,0.11407824238E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.84098254273E-03,0.53316934336E-02,0.19696234994E+04,0.11868482551E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.94167693698E-03,0.52772805952E-02,0.27832323729E+04,0.12324439595E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.10034433059E-02,0.52472244192E-02,0.36502073892E+04,0.12777799784E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10513955169E-02,0.52223465879E-02,0.45586131159E+04,0.13229010530E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10919795817E-02,0.52044143798E-02,0.55020834744E+04,0.13678671932E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11270645392E-02,0.51887210181E-02,0.64758672363E+04,0.14126977428E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11620698024E-02,0.51739236739E-02,0.74798955456E+04,0.14574004433E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11907770330E-02,0.51623247303E-02,0.85087269021E+04,0.15020029290E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12192484685E-02,0.51503432543E-02,0.95621575788E+04,0.15465018947E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12432066996E-02,0.51381317904E-02,0.10636288167E+05,0.15908953534E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12657779306E-02,0.51256566829E-02,0.11729920299E+05,0.16351810271E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12891667536E-02,0.51131534918E-02,0.12843760374E+05,0.16793586733E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13143721813E-02,0.51038251113E-02,0.13979377939E+05,0.17234557223E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13338081133E-02,0.51141029786E-02,0.15131788149E+05,0.17676415720E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13569927638E-02,0.50871515770E-02,0.16304229897E+05,0.18115945616E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13728709967E-02,0.51012917041E-02,0.17490390438E+05,0.18556697219E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13939448576E-02,0.50749000509E-02,0.18694758795E+05,0.18995168584E+06
 0.34560000000E+08,0.10958904110E+01,0.12030803138E+07,0.14085003052E-02,0.50694986689E-02,0.19911703059E+05,0.19433173269E+06
 0.35424000000E+08,0.11232876712E+01,0.12030803138E+07,0.14216420590E-02,0.50647843356E-02,0.21140001798E+05,0.19870770635E+06
