gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.72253333E+00, -0.72253333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999991E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969333E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221714E+00,  0.36527127E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076249E+00, -0.31239285E+07, -0.31239284E+07, -0.31239302E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.51943333E+00, -0.51943333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16812532E+02,  0.70094718E+01,  0.30574140E-01,  0.10445549E+03,  0.16000000E+03,  0.15906237E+03,  0.50143343E-07,  0.83488076E-05,  0.18697734E-05,  0.65307256E+00,  0.85186268E+00,  0.73328400E+00,  0.29728908E-05,  0.14422345E-01,  0.61167810E-04,  0.29674257E+00,  0.36737683E-06,  0.17822503E-02,  0.14267442E-02, -0.14327816E-03,  0.69215448E+01,  0.24031130E-01,  0.52544909E+00,  0.11658190E+03,  0.16861771E-03, -0.11894252E+01,  0.81801283E+00, -0.31801660E+07, -0.31040416E+07, -0.13392439E+08,  0.24557639E+06,  0.50527823E+07,  0.30347256E+05,  0.11668362E-03,  0.23529659E-03,  0.49590019E+00, -0.59166667E+00, -0.59166667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12532687E+02,  0.12532687E+02,  0.36331103E-01,  0.10434787E+03,  0.16972384E+03,  0.15799090E+03,  0.81826868E-07,  0.86912794E-05,  0.18488071E-05,  0.65382472E+00,  0.10040528E+01,  0.74166247E+00,  0.29563768E-05,  0.14342231E-01,  0.37483513E-04,  0.18184327E+00,  0.35290069E-06,  0.17120224E-02,  0.14188578E-02, -0.69311179E-04,  0.68832856E+01,  0.12317554E-01,  0.29587254E+00,  0.59755985E+02,  0.16940254E-03, -0.92715776E+00,  0.82182028E+00, -0.39080428E+07, -0.36452620E+07, -0.47718375E+08,  0.24421225E+06,  0.30963351E+07,  0.29151450E+05,  0.45725899E-04,  0.65949509E-04,  0.69334707E+00, -0.51453333E+00, -0.51453333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18392096E+02,  0.18392096E+02,  0.37420258E-01,  0.10435804E+03,  0.16768481E+03,  0.15771339E+03,  0.91217916E-07,  0.85326649E-05,  0.18400089E-05,  0.65535194E+00,  0.10372682E+01,  0.74114465E+00,  0.29583771E-05,  0.14351935E-01,  0.33624518E-04,  0.16312217E+00,  0.35946079E-06,  0.17438473E-02,  0.14196978E-02, -0.84766610E-04,  0.68873607E+01,  0.12737974E-01,  0.24667912E+00,  0.61795564E+02,  0.17200111E-03, -0.91430603E+00,  0.83442670E+00, -0.39550823E+07, -0.36775040E+07, -0.46143997E+08,  0.24437749E+06,  0.27775618E+07,  0.29693349E+05,  0.16194168E-04,  0.32209702E-04,  0.50277299E+00, -0.60036667E+00, -0.60036667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18486120E+02,  0.18486120E+02,  0.36797884E-01,  0.10434971E+03,  0.17405127E+03,  0.15762273E+03,  0.61934937E-07,  0.83090590E-05,  0.18373138E-05,  0.65493000E+00,  0.10459500E+01,  0.74295717E+00,  0.29987694E-05,  0.14547890E-01,  0.49522267E-04,  0.24024671E+00,  0.36913428E-06,  0.17907762E-02,  0.14362987E-02, -0.38619965E-03,  0.69678968E+01,  0.18627695E-01,  0.43872020E+00,  0.90368285E+02,  0.17257707E-03, -0.15323066E+01,  0.83722083E+00, -0.34384985E+07, -0.31929147E+07, -0.45765961E+08,  0.24771410E+06,  0.40907994E+07,  0.30492430E+05,  0.13509174E-03,  0.58887613E-04,  0.22940604E+01, -0.49155000E+00, -0.49155000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14037218E+02,  0.18120985E+01,  0.39287381E-01,  0.10434990E+03,  0.22801486E+03,  0.15757335E+03,  0.20684984E-07,  0.83584175E-05,  0.18348555E-05,  0.65705713E+00,  0.10240257E+01,  0.75233965E+00,  0.30928333E-05,  0.15004221E-01,  0.14827947E-03,  0.71934622E+00,  0.36695445E-06,  0.17802012E-02,  0.14789323E-02, -0.66948386E-03,  0.71747244E+01,  0.64978963E-01,  0.12902762E+01,  0.31523157E+03,  0.16984747E-03, -0.20721202E+01,  0.82397873E+00, -0.37017631E+07, -0.31262909E+07, -0.17124363E+09,  0.25548427E+06,  0.12248663E+08,  0.30312365E+05,  0.75795604E-04,  0.13509174E-03,  0.56106763E+00, -0.57136667E+00, -0.57136667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13334079E+02,  0.12796825E+01,  0.37109071E-01,  0.10434789E+03,  0.26713171E+03,  0.15784262E+03,  0.21447862E-07,  0.83693837E-05,  0.18374860E-05,  0.65771285E+00,  0.12085524E+01,  0.76428608E+00,  0.31097558E-05,  0.15086316E-01,  0.14300533E-03,  0.69375982E+00,  0.36647364E-06,  0.17778686E-02,  0.14827196E-02, -0.12020629E-02,  0.71930976E+01,  0.42124509E-01,  0.10607562E+01,  0.20435807E+03,  0.17016084E-03, -0.37996545E+01,  0.82549900E+00, -0.46392515E+07, -0.31246984E+07, -0.90173501E+09,  0.25688216E+06,  0.11812991E+08,  0.30272647E+05,  0.48407681E-04,  0.75795604E-04,  0.63866080E+00, -0.50743333E+00, -0.50743333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13993746E+02,  0.31628976E+01,  0.37498055E-01,  0.10434923E+03,  0.25086486E+03,  0.15736453E+03,  0.13496869E-07,  0.83433961E-05,  0.18223293E-05,  0.65234360E+00,  0.11194808E+01,  0.76431310E+00,  0.31354141E-05,  0.15210793E-01,  0.22724963E-03,  0.11024531E+01,  0.36761511E-06,  0.17834063E-02,  0.14893001E-02, -0.18085214E-02,  0.72250218E+01,  0.64421853E-01,  0.11221938E+01,  0.31252887E+03,  0.17478917E-03, -0.61694844E+01,  0.84795235E+00, -0.41673706E+07, -0.31175957E+07, -0.39076999E+09,  0.25900168E+06,  0.18772013E+08,  0.30366939E+05,  0.25057253E-04,  0.39294623E-04,  0.63767637E+00, -0.48386667E+00, -0.48386667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14144008E+02,  0.41257048E+01,  0.37498055E-01,  0.10434796E+03,  0.25050762E+03,  0.15729909E+03,  0.15408020E-07,  0.83438350E-05,  0.18203837E-05,  0.65359058E+00,  0.11694593E+01,  0.76514355E+00,  0.31295062E-05,  0.15182132E-01,  0.19906247E-03,  0.96570908E+00,  0.36759577E-06,  0.17833125E-02,  0.14902933E-02, -0.14530581E-02,  0.72298401E+01,  0.65310514E-01,  0.11866114E+01,  0.31684002E+03,  0.17450861E-03, -0.48950709E+01,  0.84659130E+00, -0.41397331E+07, -0.31175509E+07, -0.38481936E+09,  0.25851365E+06,  0.16443605E+08,  0.30365342E+05,  0.17419598E-04,  0.33015988E-04,  0.52761100E+00, -0.55420000E+00, -0.55420000E+00,
