  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37355461730E-09,0.59768716348E-02,0.32275118935E-03,0.51640170925E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37930112479E-09,0.60688154840E-02,0.65046736117E-03,0.10407473671E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37776368216E-09,0.60442161641E-02,0.97685518256E-03,0.15629676436E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37928335252E-09,0.60685306421E-02,0.13045559991E-02,0.20872886911E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37680525703E-09,0.60288808839E-02,0.16301157412E-02,0.26081839995E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37867995571E-09,0.60588758059E-02,0.19572952229E-02,0.31316708691E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37821408196E-09,0.60514215908E-02,0.22840721897E-02,0.36545136946E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37824102805E-09,0.60518524812E-02,0.26108724380E-02,0.41773937489E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37823674719E-09,0.60517837406E-02,0.29376689876E-02,0.47002678641E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37847082375E-09,0.60555287257E-02,0.32646677793E-02,0.52234655460E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37860712522E-09,0.60577093020E-02,0.35917843355E-02,0.57468516297E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37920064179E-09,0.60672053110E-02,0.39194136900E-02,0.62710581686E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37876387977E-09,0.60602168848E-02,0.42466656821E-02,0.67946609074E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37911058059E-09,0.60657638448E-02,0.45742172237E-02,0.73187429036E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38012542248E-09,0.60820010519E-02,0.49026455887E-02,0.78442277945E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37962809265E-09,0.60740435441E-02,0.52306442608E-02,0.83690251567E+05
