gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359996E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382675E+00,  0.49007689E+01,  0.49448652E+02,  0.35438277E+03,  0.32173055E-03,  0.23057406E-02,  0.13300828E+02,  0.14114776E+02,  0.95322809E+02,  0.11314684E+04,  0.12666369E+04,  0.81088744E+04,  0.73021964E-02, -0.10074258E+04,  0.52332520E-01, -0.66089726E+07, -0.66089726E+07, -0.66089730E+07,  0.37410676E+09,  0.27052283E+11,  0.17601179E+06,  0.26630660E-03,  0.40639691E-10,  0.65528697E+07, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.12588992E+01,  0.37200048E-01,  0.10435590E+03,  0.26813839E+03,  0.15921327E+03,  0.50083687E-10,  0.76738307E-05,  0.12995450E-05,  0.65247568E+00,  0.17177745E+01,  0.81673258E+00,  0.68091963E+00,  0.48799345E+01,  0.49721459E+02,  0.35633789E+03,  0.32450989E-03,  0.23256592E-02,  0.13275147E+02,  0.13942294E+02,  0.95138758E+02,  0.11369923E+04,  0.12698682E+04,  0.81484625E+04,  0.73653180E-02, -0.10165246E+04,  0.52784893E-01, -0.89600706E+07, -0.66015742E+07, -0.20295637E+10,  0.37251634E+09,  0.27201530E+11,  0.17753231E+06,  0.19964641E-03,  0.26630660E-03,  0.74968629E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.16425915E+01,  0.15128348E+01,  0.43289521E-01,  0.10434800E+03,  0.16000000E+03,  0.15842933E+03,  0.47350112E-10,  0.95188468E-05,  0.12698646E-05,  0.65217508E+00,  0.93091609E+00,  0.73287030E+00,  0.69066349E+00,  0.49497656E+01,  0.52591934E+02,  0.37690967E+03,  0.26161089E-03,  0.18748821E-02,  0.13471183E+02,  0.13827223E+02,  0.96543684E+02,  0.11969129E+04,  0.13024163E+04,  0.85778945E+04,  0.60971720E-02, -0.11102928E+04,  0.43696494E-01, -0.69604073E+07, -0.67504155E+07, -0.48362434E+08,  0.37784699E+09,  0.28771904E+11,  0.14312163E+06,  0.11330420E-03,  0.16010869E-03,  0.70767053E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18862429E+01,  0.15133361E+01,  0.44435066E-01,  0.10436104E+03,  0.29971155E+03,  0.15854286E+03,  0.50773865E-10,  0.52179522E-04,  0.13162424E-05,  0.65225666E+00,  0.10884032E+01,  0.72825753E+00,  0.68088934E+00,  0.48797174E+01,  0.49045586E+02,  0.35149412E+03,  0.47724354E-04,  0.34202527E-03,  0.13319241E+02,  0.13486542E+02,  0.95454769E+02,  0.11234427E+04,  0.12621658E+04,  0.80513569E+04,  0.11128795E-02, -0.99452782E+03,  0.79756539E-02, -0.52790155E+09, -0.66789546E+07, -0.14529414E+13,  0.37249976E+09,  0.26831775E+11,  0.26108957E+05,  0.18924842E-03,  0.10656879E-03,  0.17758334E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.69943161E+02,  0.69943161E+02,  0.43771856E-01,  0.10434820E+03,  0.21608406E+03,  0.15849954E+03,  0.48004922E-10,  0.88985717E-05,  0.12732066E-05,  0.65235429E+00,  0.15368065E+01,  0.73246831E+00,  0.68818294E+00,  0.49319883E+01,  0.51874554E+02,  0.37176844E+03,  0.27984648E-03,  0.20055708E-02,  0.13441959E+02,  0.13800733E+02,  0.96334245E+02,  0.11803795E+04,  0.12945218E+04,  0.84594049E+04,  0.64660660E-02, -0.10872078E+04,  0.46340239E-01, -0.71158582E+07, -0.67373884E+07, -0.26083001E+09,  0.37648993E+09,  0.28379442E+11,  0.15309793E+06,  0.15065145E-03,  0.32687549E-02,  0.46088329E-01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17290891E+01,  0.14274668E+01,  0.44254190E-01,  0.10435503E+03,  0.19309372E+03,  0.15838772E+03,  0.47443483E-10,  0.91241992E-05,  0.12691353E-05,  0.65264911E+00,  0.85267844E+00,  0.72874913E+00,  0.69020998E+00,  0.49465155E+01,  0.52488431E+02,  0.37616789E+03,  0.27292630E-03,  0.19559760E-02,  0.13469226E+02,  0.13816537E+02,  0.96529662E+02,  0.11943290E+04,  0.13012860E+04,  0.85593765E+04,  0.63590278E-02, -0.11069797E+04,  0.45573130E-01, -0.70004980E+07, -0.67467055E+07, -0.14697690E+09,  0.37759889E+09,  0.28715280E+11,  0.14931205E+06,  0.46886868E-04,  0.44265695E-04,  0.10592145E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18078095E+01,  0.14833780E+01,  0.44435066E-01,  0.10440245E+03,  0.18971809E+03,  0.15834823E+03,  0.47260563E-10,  0.92196092E-05,  0.12674358E-05,  0.65251542E+00,  0.86842725E+00,  0.72698847E+00,  0.69074089E+00,  0.49503204E+01,  0.52691585E+02,  0.37762384E+03,  0.27010190E-03,  0.19357345E-02,  0.13475554E+02,  0.13822191E+02,  0.96575010E+02,  0.11994000E+04,  0.13035167E+04,  0.85957184E+04,  0.62958403E-02, -0.11135102E+04,  0.45120286E-01, -0.70266211E+07, -0.67497933E+07, -0.13613322E+09,  0.37788933E+09,  0.28826421E+11,  0.14776688E+06,  0.13594043E-04,  0.39284405E-04,  0.34604173E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18457287E+01,  0.15097773E+01,  0.44435066E-01,  0.10436937E+03,  0.16000000E+03,  0.15831965E+03,  0.47203390E-10,  0.92423604E-05,  0.12666700E-05,  0.65230858E+00,  0.87225510E+00,  0.72650752E+00,  0.69101663E+00,  0.49522965E+01,  0.52755405E+02,  0.37808122E+03,  0.26943701E-03,  0.19309694E-02,  0.13481288E+02,  0.13820809E+02,  0.96616102E+02,  0.12009937E+04,  0.13042124E+04,  0.86071402E+04,  0.62799588E-02, -0.11155538E+04,  0.45006468E-01, -0.70029624E+07, -0.67529871E+07, -0.38957909E+08,  0.37804019E+09,  0.28861336E+11,  0.14740314E+06,  0.64467767E-05,  0.13848574E-04,  0.46551918E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18504548E+01,  0.15152793E+01,  0.44435066E-01,  0.10437873E+03,  0.17871984E+03,  0.15833629E+03,  0.47202132E-10,  0.92196545E-05,  0.12668227E-05,  0.65236707E+00,  0.87335116E+00,  0.72659610E+00,  0.69099243E+00,  0.49521231E+01,  0.52756811E+02,  0.37809129E+03,  0.27010057E-03,  0.19357249E-02,  0.13480393E+02,  0.13821275E+02,  0.96609693E+02,  0.12010287E+04,  0.13042281E+04,  0.86073910E+04,  0.62955501E-02, -0.11156007E+04,  0.45118206E-01, -0.70263338E+07, -0.67520752E+07, -0.10689343E+09,  0.37802695E+09,  0.28862105E+11,  0.14776616E+06,  0.44775912E-05,  0.99563427E-05,  0.44972248E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18526069E+01,  0.15176557E+01,  0.44435066E-01,  0.10437534E+03,  0.16000000E+03,  0.15831733E+03,  0.47199663E-10,  0.92264437E-05,  0.12665861E-05,  0.65234590E+00,  0.87297774E+00,  0.72663170E+00,  0.69101901E+00,  0.49523136E+01,  0.52759571E+02,  0.37811107E+03,  0.26990182E-03,  0.19343005E-02,  0.13481410E+02,  0.13820463E+02,  0.96616981E+02,  0.12010976E+04,  0.13042589E+04,  0.86078850E+04,  0.62908548E-02, -0.11156902E+04,  0.45084557E-01, -0.70040044E+07, -0.67530964E+07, -0.36695850E+08,  0.37804149E+09,  0.28863615E+11,  0.14765742E+06,  0.25452266E-05,  0.51204975E-05,  0.49706627E+00, -0.10000000E+01, -0.10000000E+01,
