time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,       10,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       1,        8,       10,
       1,        9,        7,
       1,       10,        6,
       1,       11,        7,
       1,       12,        5,
       1,       13,        3,
       2,        1,        1,
       2,        2,        1,
       2,        3,       10,
       2,        4,        9,
       2,        5,       10,
       2,        6,       10,
       3,        1,        1,
       3,        2,        1,
       3,        3,       10,
       3,        4,       10,
       4,        1,        1,
       4,        2,        1,
       4,        3,       10,
       5,        1,        1,
       5,        2,        1,
       5,        3,        8,
       6,        1,        1,
       6,        2,        1,
       6,        3,       10,
       7,        1,        1,
       7,        2,        1,
       7,        3,        9,
       8,        1,        1,
       8,        2,        1,
       8,        3,        5,
       9,        1,        1,
       9,        2,        1,
       9,        3,        7,
      10,        1,        1,
      10,        2,        1,
      10,        3,        5,
      11,        1,        1,
      11,        2,        1,
      11,        3,        5,
      11,        4,        2,
      11,        5,        3,
      11,        6,        2,
      11,        7,        2,
      12,        1,        1,
      12,        2,        1,
      12,        3,        5,
      13,        1,        1,
      13,        2,        1,
      13,        3,        7,
      13,        4,        5,
      13,        5,        2,
      13,        6,        2,
      13,        7,        2,
      13,        8,        2,
      13,        9,        2,
      13,       10,        2,
      13,       11,        2,
      13,       12,        2,
      13,       13,        2,
      13,       14,        2,
      13,       15,        2,
      14,        1,        1,
      14,        2,        1,
      14,        3,        5,
      15,        1,        1,
      15,        2,        1,
      15,        3,       10,
      15,        4,       10,
      15,        5,       10,
      15,        6,       10,
      15,        7,       10,
      15,        8,       10,
      15,        9,       10,
      15,       10,       10,
      15,       11,       10,
      15,       12,       10,
      15,       13,       10,
      15,       14,       10,
      15,       15,       10,
      15,       16,       10,
      15,       17,       10,
      15,       18,       10,
      15,       19,       10,
      15,       20,       10,
      15,       21,       10,
      15,       22,       10,
      15,       23,       10,
      15,       24,       10,
      15,       25,       10,
      15,       26,       10,
      15,       27,       10,
      15,       28,       10,
      15,       29,       10,
