gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.63164679E+00, -0.63164679E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359969E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382701E+00,  0.49007708E+01,  0.49448680E+02,  0.35438297E+03,  0.32173055E-03,  0.23057406E-02,  0.13300834E+02,  0.14114785E+02,  0.95322848E+02,  0.11314691E+04,  0.12666375E+04,  0.81088797E+04,  0.73021964E-02, -0.10074253E+04,  0.52332520E-01, -0.66089727E+07, -0.66089726E+07, -0.66089729E+07,  0.37410690E+09,  0.27052298E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.59957143E+00, -0.59957143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10431517E+01,  0.34366333E-01,  0.10443277E+03,  0.16000000E+03,  0.15893049E+03,  0.49508521E-10,  0.79720723E-05,  0.12868753E-05,  0.65271021E+00,  0.85269824E+00,  0.72531004E+00,  0.68322987E+00,  0.48964913E+01,  0.50299099E+02,  0.36047765E+03,  0.31236971E-03,  0.22386544E-02,  0.13308409E+02,  0.13961696E+02,  0.95377138E+02,  0.11486489E+04,  0.12765828E+04,  0.82320015E+04,  0.72838734E-02, -0.10356117E+04,  0.52201205E-01, -0.68083315E+07, -0.66409136E+07, -0.35156138E+08,  0.37378022E+09,  0.27517544E+11,  0.17089069E+06,  0.10816012E-03,  0.26630661E-03,  0.40614886E+00, -0.60700000E+00, -0.60700000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14257585E+01,  0.11764485E+01,  0.40696973E-01,  0.10434783E+03,  0.16000000E+03,  0.15851147E+03,  0.47521509E-10,  0.93774887E-05,  0.12717490E-05,  0.65219190E+00,  0.90673365E+00,  0.72567780E+00,  0.69001007E+00,  0.49450828E+01,  0.52402249E+02,  0.37555026E+03,  0.26555446E-03,  0.19031444E-02,  0.13452864E+02,  0.13847918E+02,  0.96412397E+02,  0.11921780E+04,  0.13003351E+04,  0.85439606E+04,  0.61872037E-02, -0.11041968E+04,  0.44341722E-01, -0.69784311E+07, -0.67472005E+07, -0.38898300E+08,  0.37748952E+09,  0.28668132E+11,  0.14527908E+06,  0.30605015E-04,  0.73267680E-04,  0.41771508E+00, -0.62259524E+00, -0.62259524E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18179938E+01,  0.14806992E+01,  0.43651272E-01,  0.10435399E+03,  0.16000000E+03,  0.15835863E+03,  0.47281709E-10,  0.91703215E-05,  0.12673451E-05,  0.65221275E+00,  0.86531382E+00,  0.72582519E+00,  0.69076213E+00,  0.49504726E+01,  0.52668019E+02,  0.37745495E+03,  0.27155362E-03,  0.19461384E-02,  0.13473983E+02,  0.13829991E+02,  0.96563749E+02,  0.11988121E+04,  0.13032572E+04,  0.85915052E+04,  0.63299384E-02, -0.11127510E+04,  0.45364656E-01, -0.70012663E+07, -0.67523060E+07, -0.36677677E+08,  0.37790096E+09,  0.28813529E+11,  0.14856108E+06,  0.91249987E-05,  0.25550215E-04,  0.35713979E+00, -0.61119048E+00, -0.61119048E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18403410E+01,  0.15072025E+01,  0.44435066E-01,  0.10436362E+03,  0.16000000E+03,  0.15833437E+03,  0.47219666E-10,  0.92375799E-05,  0.12668043E-05,  0.65227263E+00,  0.87213898E+00,  0.72728530E+00,  0.69099962E+00,  0.49521746E+01,  0.52737221E+02,  0.37795090E+03,  0.26957645E-03,  0.19319687E-02,  0.13479653E+02,  0.13825399E+02,  0.96604385E+02,  0.12005397E+04,  0.13040144E+04,  0.86038862E+04,  0.62829396E-02, -0.11149731E+04,  0.45027831E-01, -0.70068270E+07, -0.67541894E+07, -0.36916319E+08,  0.37803088E+09,  0.28851388E+11,  0.14747942E+06,  0.21017290E-05,  0.32870056E-05,  0.63940536E+00, -0.57345040E+00, -0.57345040E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18523679E+01,  0.15157038E+01,  0.44435066E-01,  0.10437795E+03,  0.16000000E+03,  0.15832438E+03,  0.49251727E-10,  0.75711503E-05,  0.12664071E-05,  0.65236222E+00,  0.87339861E+00,  0.72675469E+00,  0.68565910E+00,  0.49139008E+01,  0.50561353E+02,  0.36235714E+03,  0.32891091E-03,  0.23572000E-02,  0.13352864E+02,  0.13997917E+02,  0.95695733E+02,  0.11539365E+04,  0.12796059E+04,  0.82698964E+04,  0.74652969E-02, -0.10442448E+04,  0.53501409E-01, -0.69001365E+07, -0.66507270E+07, -0.36140812E+08,  0.37510920E+09,  0.27661018E+11,  0.17994002E+06,  0.18738954E-03,  0.12028552E-05,  0.15578728E+03, -0.67673611E+00, -0.67673611E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17732800E+01,  0.90988425E+00,  0.55468467E-01,  0.10434794E+03,  0.18932847E+03,  0.15820315E+03,  0.51055876E-10,  0.78527232E-05,  0.12644670E-05,  0.65218541E+00,  0.10727336E+01,  0.75132081E+00,  0.68761730E+00,  0.49279346E+01,  0.48774679E+02,  0.34955261E+03,  0.31711725E-03,  0.22726785E-02,  0.13336403E+02,  0.14161210E+02,  0.95577757E+02,  0.11178328E+04,  0.12586376E+04,  0.80111525E+04,  0.71974078E-02, -0.98495027E+03,  0.51581533E-01, -0.72717052E+07, -0.65724011E+07, -0.13139339E+09,  0.37618048E+09,  0.26683567E+11,  0.17348796E+06,  0.73034913E-04,  0.18738954E-03,  0.38974915E+00, -0.65104762E+00, -0.65104762E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14912810E+01,  0.86531986E+00,  0.59568311E-01,  0.10434800E+03,  0.18337659E+03,  0.15808842E+03,  0.50758117E-10,  0.77978668E-05,  0.12607992E-05,  0.65232764E+00,  0.11468146E+01,  0.75665167E+00,  0.68632307E+00,  0.49186593E+01,  0.49060803E+02,  0.35160318E+03,  0.31934810E-03,  0.22886663E-02,  0.13337271E+02,  0.14226664E+02,  0.95583983E+02,  0.11236274E+04,  0.12620549E+04,  0.80526804E+04,  0.72480668E-02, -0.99451848E+03,  0.51944590E-01, -0.73881045E+07, -0.65895225E+07, -0.11540646E+09,  0.37547244E+09,  0.26840099E+11,  0.17470841E+06,  0.37580644E-04,  0.73034913E-04,  0.51455725E+00, -0.59706944E+00, -0.59706944E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14783903E+01,  0.85832443E+00,  0.62040275E-01,  0.10434783E+03,  0.18352626E+03,  0.15788094E+03,  0.50561756E-10,  0.77717847E-05,  0.12550613E-05,  0.65263029E+00,  0.10249106E+01,  0.75091396E+00,  0.68760911E+00,  0.49278759E+01,  0.49251334E+02,  0.35296865E+03,  0.32041984E-03,  0.22963471E-02,  0.13354368E+02,  0.14180887E+02,  0.95706512E+02,  0.11274824E+04,  0.12643161E+04,  0.80803082E+04,  0.72724127E-02, -0.10008719E+04,  0.52119069E-01, -0.73685448E+07, -0.65995737E+07, -0.11596233E+09,  0.37617601E+09,  0.26944335E+11,  0.17529473E+06,  0.48630396E-05,  0.13210611E-04,  0.36811617E+00, -0.63959524E+00, -0.63959524E+00,
