gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.67780000E+00, -0.67780000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359972E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382698E+00,  0.49007706E+01,  0.49448676E+02,  0.35438294E+03,  0.32173055E-03,  0.23057406E-02,  0.13300833E+02,  0.14114784E+02,  0.95322843E+02,  0.11314691E+04,  0.12666374E+04,  0.81088790E+04,  0.73021964E-02, -0.10074253E+04,  0.52332520E-01, -0.66089727E+07, -0.66089726E+07, -0.66089729E+07,  0.37410688E+09,  0.27052297E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.54065000E+00, -0.54065000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10433710E+01,  0.33220789E-01,  0.10435581E+03,  0.16000000E+03,  0.15895627E+03,  0.49531379E-10,  0.79671374E-05,  0.12865038E-05,  0.65318284E+00,  0.85300126E+00,  0.72606770E+00,  0.68340255E+00,  0.48977288E+01,  0.50275886E+02,  0.36031129E+03,  0.31256320E-03,  0.22400411E-02,  0.13310159E+02,  0.13970772E+02,  0.95389679E+02,  0.11481804E+04,  0.12763137E+04,  0.82286440E+04,  0.72884469E-02, -0.10348454E+04,  0.52233982E-01, -0.67768318E+07, -0.66412954E+07, -0.27639707E+08,  0.37387469E+09,  0.27504845E+11,  0.17099654E+06,  0.11592096E-03,  0.26630661E-03,  0.43529133E+00, -0.54186667E+00, -0.54186667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14266518E+01,  0.11711676E+01,  0.39852888E-01,  0.10435510E+03,  0.16000000E+03,  0.15854001E+03,  0.47611190E-10,  0.93575947E-05,  0.12728004E-05,  0.65225436E+00,  0.89629249E+00,  0.72523131E+00,  0.68966419E+00,  0.49426040E+01,  0.52303544E+02,  0.37484287E+03,  0.26611902E-03,  0.19071904E-02,  0.13445073E+02,  0.13853146E+02,  0.96356564E+02,  0.11897144E+04,  0.12992445E+04,  0.85263046E+04,  0.62002425E-02, -0.11010114E+04,  0.44435167E-01, -0.69681734E+07, -0.67434697E+07, -0.38183251E+08,  0.37730030E+09,  0.28614132E+11,  0.14558794E+06,  0.35001511E-04,  0.72913659E-04,  0.48004052E+00, -0.54600000E+00, -0.54600000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17752127E+01,  0.14642367E+01,  0.43651272E-01,  0.10434998E+03,  0.16000000E+03,  0.15836471E+03,  0.47285561E-10,  0.91818987E-05,  0.12674532E-05,  0.65218768E+00,  0.86850937E+00,  0.72632301E+00,  0.69076893E+00,  0.49505213E+01,  0.52663729E+02,  0.37742420E+03,  0.27121122E-03,  0.19436846E-02,  0.13473660E+02,  0.13831257E+02,  0.96561440E+02,  0.11987050E+04,  0.13032104E+04,  0.85907374E+04,  0.63218954E-02, -0.11126141E+04,  0.45307015E-01, -0.70002709E+07, -0.67526379E+07, -0.36535586E+08,  0.37790468E+09,  0.28811182E+11,  0.14837377E+06,  0.95214338E-05,  0.27800521E-04,  0.34249120E+00, -0.57706667E+00, -0.57706667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18425529E+01,  0.15094446E+01,  0.44435066E-01,  0.10436599E+03,  0.16000000E+03,  0.15833808E+03,  0.47230930E-10,  0.92315388E-05,  0.12668917E-05,  0.65228747E+00,  0.87267395E+00,  0.72741484E+00,  0.69095908E+00,  0.49518841E+01,  0.52724644E+02,  0.37786076E+03,  0.26975286E-03,  0.19332330E-02,  0.13478528E+02,  0.13826520E+02,  0.96596325E+02,  0.12002257E+04,  0.13038765E+04,  0.86016361E+04,  0.62870601E-02, -0.11145690E+04,  0.45057361E-01, -0.70062940E+07, -0.67538805E+07, -0.36939676E+08,  0.37800870E+09,  0.28844507E+11,  0.14757593E+06,  0.24649422E-05,  0.35356109E-05,  0.69717576E+00, -0.55416667E+00, -0.55416667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18513036E+01,  0.15136993E+01,  0.44435066E-01,  0.10437880E+03,  0.16000000E+03,  0.15832587E+03,  0.49254114E-10,  0.75721104E-05,  0.12664509E-05,  0.65236758E+00,  0.87340340E+00,  0.72687592E+00,  0.68564536E+00,  0.49138023E+01,  0.50558902E+02,  0.36233958E+03,  0.32886921E-03,  0.23569011E-02,  0.13352390E+02,  0.13998478E+02,  0.95692336E+02,  0.11538870E+04,  0.12795776E+04,  0.82695416E+04,  0.74643495E-02, -0.10441638E+04,  0.53494620E-01, -0.68997106E+07, -0.66504072E+07, -0.36153228E+08,  0.37510168E+09,  0.27659677E+11,  0.17991720E+06,  0.18743301E-03,  0.14357201E-05,  0.13054983E+03, -0.52286667E+00, -0.52286667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.16347987E+01,  0.91662587E+00,  0.53780297E-01,  0.10434792E+03,  0.16984920E+03,  0.15816938E+03,  0.50852572E-10,  0.78223622E-05,  0.12640387E-05,  0.65219573E+00,  0.10333245E+01,  0.74525175E+00,  0.68605479E+00,  0.49167366E+01,  0.48969676E+02,  0.35095010E+03,  0.31834808E-03,  0.22814995E-02,  0.13324689E+02,  0.14186622E+02,  0.95493811E+02,  0.11217814E+04,  0.12609669E+04,  0.80394507E+04,  0.72253653E-02, -0.99146981E+03,  0.51781896E-01, -0.71207338E+07, -0.65796870E+07, -0.86356739E+08,  0.37532567E+09,  0.26790246E+11,  0.17416132E+06,  0.94173702E-04,  0.18743301E-03,  0.50243925E+00, -0.53183333E+00, -0.53183333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14823626E+01,  0.87803843E+00,  0.57819848E-01,  0.10434830E+03,  0.19307335E+03,  0.15816404E+03,  0.50787577E-10,  0.78011817E-05,  0.12625201E-05,  0.65217835E+00,  0.11259410E+01,  0.75424817E+00,  0.68628390E+00,  0.49183785E+01,  0.49032345E+02,  0.35139923E+03,  0.31921240E-03,  0.22876938E-02,  0.13337922E+02,  0.14214848E+02,  0.95588645E+02,  0.11230515E+04,  0.12617165E+04,  0.80485528E+04,  0.72449842E-02, -0.99356868E+03,  0.51922499E-01, -0.73843554E+07, -0.65877918E+07, -0.14344758E+09,  0.37545101E+09,  0.26824531E+11,  0.17463417E+06,  0.52911163E-04,  0.94173702E-04,  0.56184648E+00, -0.52273333E+00, -0.52273333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14798313E+01,  0.85032847E+00,  0.62040275E-01,  0.10434825E+03,  0.17538151E+03,  0.15786403E+03,  0.50542129E-10,  0.77699284E-05,  0.12547692E-05,  0.65283993E+00,  0.10183709E+01,  0.75120029E+00,  0.68772943E+00,  0.49287382E+01,  0.49270460E+02,  0.35310573E+03,  0.32049639E-03,  0.22968957E-02,  0.13357737E+02,  0.14165331E+02,  0.95730652E+02,  0.11278687E+04,  0.12645417E+04,  0.80830766E+04,  0.72741518E-02, -0.10015070E+04,  0.52131534E-01, -0.73497843E+07, -0.66001655E+07, -0.97304426E+08,  0.37624183E+09,  0.26954799E+11,  0.17533661E+06,  0.63384428E-05,  0.20079258E-04,  0.31567117E+00, -0.63350000E+00, -0.63350000E+00,
