gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.52444444E+00, -0.52444444E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843230E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.90833333E+00, -0.90833333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.64774350E+01,  0.64774350E+01,  0.10300783E-01,  0.19709413E+03,  0.82675000E+03,  0.20338356E+03,  0.10700206E-06,  0.95718648E-06,  0.57485844E-06,  0.22460976E+01,  0.41946963E+01,  0.31059234E+01,  0.59025942E-03,  0.14756486E-02,  0.28156215E-02,  0.70390538E-02,  0.31475298E-03,  0.78688245E-03,  0.34689528E-01,  0.26990842E-02,  0.86723820E-01,  0.15886994E+00,  0.26367436E+00,  0.39717484E+00,  0.18506697E-01, -0.48354859E-01,  0.46266741E-01, -0.46517035E+05, -0.38643568E+05, -0.44222422E+07,  0.58775695E+07,  0.28036844E+08,  0.31341855E+07,  0.10057703E-05,  0.10616914E-05,  0.94732834E+00, -0.66000000E+00, -0.66000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.11150163E+01,  0.42685495E+00,  0.94767202E-02,  0.16667300E+03,  0.27997611E+03,  0.19977171E+03,  0.10852927E-06,  0.18428512E-05,  0.57355633E-06,  0.87745542E+00,  0.10362804E+01,  0.94665190E+00,  0.59273862E-03,  0.14818465E-02,  0.27760004E-02,  0.69400010E-02,  0.16348434E-03,  0.40871084E-03,  0.34840998E-01,  0.21486269E-02,  0.87102494E-01,  0.15538591E+00,  0.84370490E-01,  0.38846476E+00,  0.95784979E-02, -0.24994345E+00,  0.23946245E-01, -0.17892560E+06, -0.17389291E+06, -0.62613963E+06,  0.59022564E+07,  0.27642312E+08,  0.16279123E+07,  0.20467968E-06,  0.33468673E-06,  0.61155600E+00, -0.72222222E+00, -0.72222222E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.50209715E+01,  0.27773764E+01,  0.18747425E-01,  0.16667158E+03,  0.67174821E+03,  0.20009604E+03,  0.11917010E-06,  0.16902297E-05,  0.57380669E-06,  0.85237311E+00,  0.19032941E+01,  0.11433597E+01,  0.59220420E-03,  0.14805105E-02,  0.25281282E-02,  0.63203205E-02,  0.17824637E-03,  0.44561591E-03,  0.34813272E-01,  0.24596809E-02,  0.87033179E-01,  0.14708418E+00,  0.11096758E+00,  0.36771045E+00,  0.10480003E-01, -0.49641454E-01,  0.26200009E-01, -0.66044506E+05, -0.63179043E+05, -0.18224326E+07,  0.58969349E+07,  0.25174099E+08,  0.17749067E+07,  0.94899012E-06,  0.18270920E-05,  0.51939920E+00, -0.67333333E+00, -0.67333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.31292632E+01,  0.63498231E+00,  0.74165637E-02,  0.16667946E+03,  0.30326330E+03,  0.19956576E+03,  0.11658991E-06,  0.16742165E-05,  0.57285063E-06,  0.86792686E+00,  0.10502060E+01,  0.91983071E+00,  0.59318472E-03,  0.14829618E-02,  0.25840770E-02,  0.64601925E-02,  0.17995121E-03,  0.44987804E-03,  0.34867479E-01,  0.21892622E-02,  0.87168697E-01,  0.14713037E+00,  0.92679555E-01,  0.36782593E+00,  0.10560860E-01, -0.18970700E+00,  0.26402151E-01, -0.17599494E+06, -0.17053092E+06, -0.69051784E+06,  0.59066985E+07,  0.25731215E+08,  0.17918829E+07,  0.14474349E-06,  0.28658478E-06,  0.50506343E+00, -0.56250000E+00, -0.56250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.33029116E+01,  0.50336144E+00,  0.61804697E-02,  0.16666911E+03,  0.32682516E+03,  0.19953607E+03,  0.10690799E-06,  0.16273348E-05,  0.57244785E-06,  0.86766914E+00,  0.10004402E+01,  0.92263734E+00,  0.59314999E-03,  0.14828750E-02,  0.28180990E-02,  0.70452476E-02,  0.18513541E-03,  0.46283854E-03,  0.34868321E-01,  0.22815097E-02,  0.87170803E-01,  0.16569938E+00,  0.11080692E+00,  0.41424846E+00,  0.10863408E-01, -0.87950270E-01,  0.27158521E-01, -0.11582269E+06, -0.11212655E+06, -0.50961302E+06,  0.59063526E+07,  0.28061514E+08,  0.18435051E+07,  0.32385999E-07,  0.93608003E-07,  0.34597468E+00, -0.64000000E+00, -0.64000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28934046E+01,  0.50397518E+00,  0.57684384E-02,  0.16666738E+03,  0.29729581E+03,  0.19952034E+03,  0.81158522E-07,  0.12008587E-05,  0.57065620E-06,  0.86775869E+00,  0.98201565E+00,  0.91907378E+00,  0.59489257E-03,  0.14872314E-02,  0.37122078E-02,  0.92805195E-02,  0.25088489E-03,  0.62721223E-03,  0.34969059E-01,  0.24216897E-02,  0.87422648E-01,  0.21702459E+00,  0.16110920E+00,  0.54256147E+00,  0.14713785E-01, -0.90968869E-01,  0.36784463E-01, -0.77479966E+05, -0.74999635E+05, -0.29480057E+06,  0.59237046E+07,  0.36964695E+08,  0.24982124E+07,  0.50711050E-06,  0.31653875E-07,  0.16020487E+02, -0.83750000E+00, -0.83750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.42296121E+01,  0.55681832E+00,  0.94767202E-02,  0.16668803E+03,  0.56979054E+03,  0.20260654E+03,  0.19986909E-07,  0.89809240E-06,  0.56873303E-06,  0.84930840E+00,  0.10332484E+01,  0.91599356E+00,  0.67643836E-03,  0.16910959E-02,  0.15073731E-01,  0.37684328E-01,  0.33546359E-03,  0.83865897E-03,  0.37222220E-01,  0.23173225E-01,  0.93055550E-01,  0.46387452E+00,  0.40814456E+01,  0.11596863E+01,  0.19724363E-01, -0.44958946E+00,  0.49310906E-01, -0.45218636E+05, -0.40587725E+05, -0.62309841E+06,  0.67357053E+07,  0.15009825E+09,  0.33404135E+07,  0.19392125E-06,  0.50711050E-06,  0.38240434E+00, -0.70714286E+00, -0.70714286E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83739117E+00,  0.51727872E+00,  0.96827359E-02,  0.16666670E+03,  0.43171743E+03,  0.20192712E+03,  0.70355369E-07,  0.10144780E-05,  0.57210261E-06,  0.84729834E+00,  0.10040995E+01,  0.90478073E+00,  0.59945921E-03,  0.14986480E-02,  0.42822218E-02,  0.10705555E-01,  0.29697766E-03,  0.74244414E-03,  0.35216415E-01,  0.31749643E-02,  0.88041037E-01,  0.22099033E+00,  0.60340318E+00,  0.55247583E+00,  0.17396768E-01, -0.82725587E-01,  0.43491919E-01, -0.59417179E+05, -0.54233118E+05, -0.40790571E+06,  0.59691774E+07,  0.42640669E+08,  0.29571859E+07,  0.12454994E-06,  0.19392125E-06,  0.64227068E+00, -0.69208443E+00, -0.69208443E+00,
