  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12848609312E-04,0.00000000000E+00,-.11101198445E+01,0.00000000000E+00,0.56406105387E-12,0.11281221077E-04,0.48734875055E-07,0.97469750103E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.10958270153E-04,0.10890549375E-08,-.20569143857E+01,0.94094346603E-04,0.57477525036E-12,0.11495505003E-04,0.98395456686E-07,0.19679091333E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11572501758E-04,0.70418546557E-09,-.30567785376E+01,0.15493597083E-03,0.57570176406E-12,0.11514035279E-04,0.14813608910E-06,0.29627217814E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11548269304E-04,0.17416533295E-08,-.40545490055E+01,0.30541481850E-03,0.57918911338E-12,0.11583782264E-04,0.19817802850E-06,0.39635605690E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11588935863E-04,0.18615629639E-08,-.50558330640E+01,0.46625385857E-03,0.58068796556E-12,0.11613759307E-04,0.24834946872E-06,0.49669893731E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11659502371E-04,0.19328731952E-08,-.60632140689E+01,0.63325410264E-03,0.58426197464E-12,0.11685239488E-04,0.29882970333E-06,0.59765940649E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11713040607E-04,0.19009215550E-08,-.70752207774E+01,0.79749372499E-03,0.58639617488E-12,0.11727923492E-04,0.34949433284E-06,0.69898866545E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11781516073E-04,0.18638360774E-08,-.80931437661E+01,0.95852916208E-03,0.58997655001E-12,0.11799530994E-04,0.40046830676E-06,0.80093661324E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11866525566E-04,0.19078119715E-08,-.91184115750E+01,0.11233641164E-02,0.59327399481E-12,0.11865479889E-04,0.45172717991E-06,0.90345435948E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11907944874E-04,0.18758862784E-08,-.10147258012E+02,0.12854406909E-02,0.59591092272E-12,0.11918218447E-04,0.50321388364E-06,0.10064277669E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11962709787E-04,0.18891929447E-08,-.11180836138E+02,0.14486669613E-02,0.59826091041E-12,0.11965218199E-04,0.55490362630E-06,0.11098072521E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12034741151E-04,0.18482112634E-08,-.12220637773E+02,0.16083524145E-02,0.60206441801E-12,0.12041288351E-04,0.60692199201E-06,0.12138439834E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12115713150E-04,0.18618566216E-08,-.13267435389E+02,0.17692168266E-02,0.60563540852E-12,0.12112708159E-04,0.65924889131E-06,0.13184977819E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12148544433E-04,0.18539701876E-08,-.14317069628E+02,0.19293998508E-02,0.60774222442E-12,0.12154844477E-04,0.71175781950E-06,0.14235156382E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12225616773E-04,0.18722687663E-08,-.15373362918E+02,0.20911638722E-02,0.61110174729E-12,0.12222034933E-04,0.76455701046E-06,0.15291140200E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12292081342E-04,0.18634186400E-08,-.16435398746E+02,0.22521632427E-02,0.61447002156E-12,0.12289400417E-04,0.81764722033E-06,0.16352944396E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12373846446E-04,0.18828155329E-08,-.17504499078E+02,0.24148385047E-02,0.61872352485E-12,0.12374470484E-04,0.87110493287E-06,0.17422098646E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12447647791E-04,0.18684203895E-08,-.18579975848E+02,0.25762700264E-02,0.62223696453E-12,0.12444739276E-04,0.92486620661E-06,0.18497324120E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12501070912E-04,0.18393074138E-08,-.19660068374E+02,0.27351861869E-02,0.62479803599E-12,0.12495960703E-04,0.97884875692E-06,0.19576975124E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12669466173E-04,0.19363295894E-08,-.20754710252E+02,0.29024850634E-02,0.63074000123E-12,0.12614800009E-04,0.10333446930E-05,0.20666893845E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12629977426E-04,0.18402567322E-08,-.21845940301E+02,0.30614832451E-02,0.63140421262E-12,0.12628084232E-04,0.10878980170E-05,0.21757960323E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12743246154E-04,0.18484660146E-08,-.22946956769E+02,0.32211907088E-02,0.63696990468E-12,0.12739398076E-04,0.11429322168E-05,0.22858644317E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12806515876E-04,0.18609194225E-08,-.24053439741E+02,0.33819741469E-02,0.64029342559E-12,0.12805868492E-04,0.11982535687E-05,0.23965071354E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12890460409E-04,0.18478782621E-08,-.25167175520E+02,0.35416308287E-02,0.64429426280E-12,0.12885885237E-04,0.12539205930E-05,0.25078411839E+02
 0.21600000000E+07,0.68493150685E-01,0.30000000000E+03,-.12969251711E-04,0.18523606837E-08,-.26287718868E+02,0.37016747918E-02,0.64832630969E-12,0.12966526169E-04,0.13099359862E-05,0.26198719700E+02
 0.22464000000E+07,0.71232876712E-01,0.30000000000E+03,-.13031655066E-04,0.18122516006E-08,-.27413653866E+02,0.38582533301E-02,0.65139943693E-12,0.13027988714E-04,0.13662168975E-05,0.27324337925E+02
 0.23328000000E+07,0.73972602740E-01,0.30000000000E+03,-.13131827991E-04,0.18346909792E-08,-.28548243804E+02,0.40167706307E-02,0.65635729376E-12,0.13127145849E-04,0.14229261677E-05,0.28458523326E+02
 0.24192000000E+07,0.76712328767E-01,0.30000000000E+03,-.13215030441E-04,0.18289516040E-08,-.29690022434E+02,0.41747920493E-02,0.66051629069E-12,0.13210325786E-04,0.14799947752E-05,0.29599895474E+02
 0.25056000000E+07,0.79452054795E-01,0.30000000000E+03,-.13281169387E-04,0.17982386114E-08,-.30837515469E+02,0.43301598653E-02,0.66385315344E-12,0.13277063040E-04,0.15373516877E-05,0.30747033721E+02
 0.25920000000E+07,0.82191780822E-01,0.30000000000E+03,-.13382081820E-04,0.18182528701E-08,-.31993727338E+02,0.44872569133E-02,0.66891579496E-12,0.13378315871E-04,0.15951460124E-05,0.31902920212E+02
 0.26784000000E+07,0.84931506849E-01,0.30000000000E+03,-.13476301729E-04,0.18124541923E-08,-.33158079808E+02,0.46438529555E-02,0.67359457027E-12,0.13471891376E-04,0.16533445833E-05,0.33066891627E+02
