  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.13029743154E-04,0.00000000000E+00,-.11257698085E+01,0.00000000000E+00,0.56533747820E-12,0.11306749563E-04,0.48845158116E-07,0.97690316225E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11042708557E-04,0.32999601483E-08,-.20798598278E+01,0.28511655681E-03,0.57452135810E-12,0.11490427159E-04,0.98483803456E-07,0.19696760688E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11518989854E-04,0.15936496603E-08,-.30751005512E+01,0.42280788746E-03,0.57450810903E-12,0.11490162178E-04,0.14812130408E-06,0.29624260809E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11504351864E-04,0.18680465287E-08,-.40690765523E+01,0.58420710754E-03,0.57808949563E-12,0.11561789909E-04,0.19806823650E-06,0.39613647291E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11614720951E-04,0.19643057335E-08,-.50725884424E+01,0.75392312291E-03,0.58150870235E-12,0.11630174043E-04,0.24831058838E-06,0.49662117663E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11662298004E-04,0.19291280486E-08,-.60802109900E+01,0.92059978631E-03,0.58397663135E-12,0.11679532622E-04,0.29876616933E-06,0.59753233849E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11735664964E-04,0.19104365557E-08,-.70941724429E+01,0.10856615047E-02,0.58692056249E-12,0.11738411244E-04,0.34947610593E-06,0.69895221164E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11808727120E-04,0.18582711012E-08,-.81144464661E+01,0.12462161279E-02,0.59028568748E-12,0.11805713743E-04,0.40047678933E-06,0.80095357837E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11867530423E-04,0.18764837663E-08,-.91398010946E+01,0.14083443253E-02,0.59294485430E-12,0.11858897079E-04,0.45170722474E-06,0.90341444913E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11888374734E-04,0.18263640434E-08,-.10166956672E+02,0.15661421786E-02,0.59514023766E-12,0.11902804745E-04,0.50312734127E-06,0.10062546821E+02
