gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.78633333E+00, -0.78633333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.72919048E+00, -0.72919048E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.48059146E+01,  0.48059146E+01,  0.10300783E-01,  0.19765674E+03,  0.54638631E+03,  0.20177532E+03,  0.13434735E-06,  0.10843529E-05,  0.57406589E-06,  0.15965160E+01,  0.27643192E+01,  0.21094970E+01,  0.59064428E-03,  0.14766107E-02,  0.22425251E-02,  0.56063127E-02,  0.27784063E-03,  0.69460158E-03,  0.34718042E-01,  0.24817280E-02,  0.86795104E-01,  0.13147254E+00,  0.18579181E+00,  0.32868136E+00,  0.16321249E-01, -0.82248134E-01,  0.40803123E-01, -0.56228103E+05, -0.53458148E+05, -0.72115779E+06,  0.58814018E+07,  0.22330177E+08,  0.27666270E+07,  0.80744106E-06,  0.10616914E-05,  0.76052334E+00, -0.62520238E+00, -0.62520238E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.14422538E+01,  0.39621674E+00,  0.88586733E-02,  0.16677074E+03,  0.31877776E+03,  0.19982205E+03,  0.11282697E-06,  0.17370397E-05,  0.57340487E-06,  0.87441064E+00,  0.10196744E+01,  0.94441765E+00,  0.59258629E-03,  0.14814657E-02,  0.26702595E-02,  0.66756487E-02,  0.17344296E-03,  0.43360740E-03,  0.34833867E-01,  0.22119313E-02,  0.87084668E-01,  0.15467912E+00,  0.88848473E-01,  0.38669780E+00,  0.10167079E-01, -0.13480582E+00,  0.25417698E-01, -0.16668231E+06, -0.16144266E+06, -0.70556602E+06,  0.59007396E+07,  0.26589386E+08,  0.17270763E+07,  0.17057968E-06,  0.34023303E-06,  0.50136133E+00, -0.63773810E+00, -0.63773810E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.37856519E+01,  0.45362959E+00,  0.57684384E-02,  0.16666672E+03,  0.31406628E+03,  0.19961878E+03,  0.10539477E-06,  0.15748248E-05,  0.57246422E-06,  0.86460812E+00,  0.98843138E+00,  0.91306023E+00,  0.59295071E-03,  0.14823768E-02,  0.28585603E-02,  0.71464007E-02,  0.19130846E-03,  0.47827115E-03,  0.34855656E-01,  0.22710229E-02,  0.87139139E-01,  0.16806751E+00,  0.11936378E+00,  0.42016878E+00,  0.11231913E-01, -0.10306989E+00,  0.28079783E-01, -0.12052840E+06, -0.11664591E+06, -0.49816816E+06,  0.59043683E+07,  0.28464411E+08,  0.19049739E+07,  0.56861756E-07,  0.73632611E-07,  0.77223604E+00, -0.53692830E+00, -0.53692830E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28307933E+01,  0.49548073E+00,  0.55624227E-02,  0.16666908E+03,  0.29478793E+03,  0.19954443E+03,  0.81143109E-07,  0.11997023E-05,  0.57068252E-06,  0.86637933E+00,  0.98042155E+00,  0.91508190E+00,  0.59486980E-03,  0.14871745E-02,  0.37129129E-02,  0.92822823E-02,  0.25112672E-03,  0.62781680E-03,  0.34967590E-01,  0.24241365E-02,  0.87418975E-01,  0.21703306E+00,  0.16240436E+00,  0.54258264E+00,  0.14728352E-01, -0.92892075E-01,  0.36820881E-01, -0.77634807E+05, -0.75137729E+05, -0.29165868E+06,  0.59234778E+07,  0.36971716E+08,  0.25006204E+07,  0.50690169E-06,  0.26896037E-07,  0.18846706E+02, -0.76765646E+00, -0.76765646E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.39833727E+01,  0.53685211E+00,  0.10506799E-01,  0.16667390E+03,  0.54125241E+03,  0.20223662E+03,  0.15267739E-07,  0.89905463E-06,  0.56882788E-06,  0.85175329E+00,  0.10642749E+01,  0.91929220E+00,  0.66390865E-03,  0.16597716E-02,  0.19732935E-01,  0.49332338E-01,  0.33510455E-03,  0.83776137E-03,  0.37151182E-01,  0.18705270E-01,  0.92877954E-01,  0.43439883E+00,  0.57979382E+01,  0.10859971E+01,  0.96270030E-02, -0.48689797E+00,  0.24067507E-01, -0.48373466E+05, -0.43904611E+05, -0.57605258E+06,  0.66109394E+07,  0.19649275E+09,  0.33368384E+07,  0.18684472E-06,  0.50690169E-06,  0.36860149E+00, -0.69057143E+00, -0.69057143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83643660E+00,  0.53941957E+00,  0.96827359E-02,  0.16670300E+03,  0.44324179E+03,  0.20192772E+03,  0.69310036E-07,  0.99928831E-06,  0.57197892E-06,  0.84783210E+00,  0.99850082E+00,  0.90686719E+00,  0.59971526E-03,  0.14992882E-02,  0.43468062E-02,  0.10867016E-01,  0.30149186E-03,  0.75372966E-03,  0.35232733E-01,  0.32095397E-02,  0.88081833E-01,  0.22442135E+00,  0.61160513E+00,  0.56105337E+00,  0.17668197E-01, -0.62129939E-01,  0.44170493E-01, -0.53203486E+05, -0.48564824E+05, -0.38635559E+06,  0.59717271E+07,  0.43283775E+08,  0.30021366E+07,  0.11282754E-06,  0.18684472E-06,  0.60385726E+00, -0.61926190E+00, -0.61926190E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.23122994E+01,  0.44237830E+00,  0.55624227E-02,  0.16666689E+03,  0.47725700E+03,  0.20195173E+03,  0.10573102E-06,  0.94617843E-06,  0.57075383E-06,  0.87239041E+00,  0.97276801E+00,  0.92021845E+00,  0.60322406E-03,  0.15080601E-02,  0.28494694E-02,  0.71236735E-02,  0.31841489E-03,  0.79603721E-03,  0.35442088E-01,  0.34677153E-02,  0.88605220E-01,  0.16607936E+00,  0.28387888E+00,  0.41519841E+00,  0.18719123E-01, -0.10205483E-02,  0.46797808E-01, -0.45977343E+05, -0.41659941E+05, -0.39215946E+06,  0.60066663E+07,  0.28373888E+08,  0.31706493E+07,  0.24699205E-07,  0.48241146E-07,  0.51199456E+00, -0.58302381E+00, -0.58302381E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15662282E+01,  0.51147051E+00,  0.53564071E-02,  0.16666994E+03,  0.47917013E+03,  0.20185092E+03,  0.83858613E-07,  0.93540306E-06,  0.57083424E-06,  0.87587622E+00,  0.97666685E+00,  0.92358324E+00,  0.60200876E-03,  0.15050219E-02,  0.35926816E-02,  0.89817040E-02,  0.32208286E-03,  0.80520716E-03,  0.35370953E-01,  0.33470652E-02,  0.88427383E-01,  0.19946381E+00,  0.34787266E+00,  0.49865952E+00,  0.18935135E-01, -0.50385429E-01,  0.47337838E-01, -0.49448516E+05, -0.44880089E+05, -0.42654868E+06,  0.59945648E+07,  0.35774501E+08,  0.32071736E+07,  0.79956057E-08,  0.15056331E-07,  0.53104610E+00, -0.53131973E+00, -0.53131973E+00,
