  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12790672718E-04,0.00000000000E+00,-.11051141229E+01,0.00000000000E+00,0.56471668721E-12,0.11294333743E-04,0.48791521775E-07,0.97583043539E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.10946439554E-04,0.14061677838E-09,-.20508865003E+01,0.12149289652E-04,0.57470033348E-12,0.11494006668E-04,0.98445630588E-07,0.19689126115E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11584536034E-04,0.93084065556E-09,-.30517904137E+01,0.92573922292E-04,0.57593032514E-12,0.11518606500E-04,0.14820601068E-06,0.29641202131E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11553313336E-04,0.17971616318E-08,-.40499966859E+01,0.24784868728E-03,0.57915913619E-12,0.11583182720E-04,0.19824536005E-06,0.39649072001E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11620467986E-04,0.19393157515E-08,-.50540051199E+01,0.41540556821E-03,0.58182510738E-12,0.11636502143E-04,0.24851504932E-06,0.49703009853E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11673261840E-04,0.19763984464E-08,-.60625749428E+01,0.58616639398E-03,0.58453007957E-12,0.11690601586E-04,0.29901844820E-06,0.59803689623E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11711624696E-04,0.18966504072E-08,-.70744593165E+01,0.75003698916E-03,0.58621663812E-12,0.11724332756E-04,0.34966756573E-06,0.69933513125E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11805319995E-04,0.18665197907E-08,-.80944389641E+01,0.91130429908E-03,0.59027731614E-12,0.11805546316E-04,0.40066752585E-06,0.80133505142E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11833638050E-04,0.18759995540E-08,-.91168652916E+01,0.10733906605E-02,0.59219509653E-12,0.11843901923E-04,0.45183318219E-06,0.90366636404E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11924058577E-04,0.18331966924E-08,-.10147103953E+02,0.12317788548E-02,0.59614367979E-12,0.11922873588E-04,0.50333999612E-06,0.10066799918E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11994294936E-04,0.18699897285E-08,-.11183411035E+02,0.13933459673E-02,0.59938212590E-12,0.11987642509E-04,0.55512661180E-06,0.11102532231E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12021422560E-04,0.18245973664E-08,-.12222061944E+02,0.15509911798E-02,0.60137661926E-12,0.12027532375E-04,0.60708555170E-06,0.12141711028E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12092085966E-04,0.18331176297E-08,-.13266818172E+02,0.17093725430E-02,0.60462566091E-12,0.12092513207E-04,0.65932520881E-06,0.13186504169E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12146775554E-04,0.18454937722E-08,-.14316299580E+02,0.18688232049E-02,0.60774544938E-12,0.12154908976E-04,0.71183441563E-06,0.14236688305E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12245286828E-04,0.18696704993E-08,-.15374292362E+02,0.20303627360E-02,0.61195628163E-12,0.12239125621E-04,0.76470743837E-06,0.15294148759E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12313721595E-04,0.18679332350E-08,-.16438197907E+02,0.21917521675E-02,0.61537348055E-12,0.12307469598E-04,0.81787570708E-06,0.16357514132E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12381477142E-04,0.18665834802E-08,-.17507957533E+02,0.23530249802E-02,0.61878627907E-12,0.12375725568E-04,0.87133884160E-06,0.17426776821E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12449672914E-04,0.18541427072E-08,-.18583609272E+02,0.25132229101E-02,0.62219593955E-12,0.12443918777E-04,0.92509657077E-06,0.18501931403E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12519278976E-04,0.18459202120E-08,-.19665274976E+02,0.26727104165E-02,0.62574906850E-12,0.12514981355E-04,0.97916129029E-06,0.19583225792E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12594221766E-04,0.18433424405E-08,-.20753415736E+02,0.28319752033E-02,0.62940432684E-12,0.12588086521E-04,0.10335418241E-05,0.20670836468E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12661709120E-04,0.18409166580E-08,-.21847387404E+02,0.29910304026E-02,0.63290600819E-12,0.12658120146E-04,0.10882249032E-05,0.21764498048E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12740057220E-04,0.18427213317E-08,-.22948128348E+02,0.31502415256E-02,0.63668243869E-12,0.12733648756E-04,0.11432342659E-05,0.22864685301E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12818163773E-04,0.18416395613E-08,-.24055617698E+02,0.33093591837E-02,0.64059731548E-12,0.12811946291E-04,0.11985818740E-05,0.23971637460E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12891400416E-04,0.18426081643E-08,-.25169434694E+02,0.34685605291E-02,0.64424411303E-12,0.12884882241E-04,0.12542445654E-05,0.25084891286E+02
