gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.28624433E+00, -0.28624433E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843230E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.95180623E+03, -0.95180623E+03,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.73561604E+01,  0.73561604E+01,  0.10300783E-01,  0.19680823E+03,  0.10000000E+04,  0.20438530E+03,  0.54076571E-08,  0.33251853E-05,  0.58539961E-06,  0.26554411E+01,  0.50810882E+01,  0.37268257E+01,  0.60331688E-03,  0.15082922E-02,  0.55713092E-01,  0.13928273E+00,  0.90604664E-04,  0.22651166E-03,  0.34877153E-01, -0.45400770E-02,  0.87192884E-01,  0.18582257E+01,  0.10558826E+00,  0.46455641E+01,  0.52787941E-02, -0.13489545E+02,  0.13196985E-01, -0.51822162E+08, -0.51815555E+06, -0.13005756E+12,  0.60075905E+07,  0.55476890E+09,  0.90220536E+06,  0.27567600E-05,  0.10616914E-05,  0.25965738E+01, -0.51519961E+00, -0.51519961E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28883800E+02,  0.14248400E+02,  0.18129378E-01,  0.16667138E+03,  0.99434230E+03,  0.20213937E+03,  0.19597745E-06,  0.20478362E-05,  0.57624108E-06,  0.83970077E+00,  0.47731270E+01,  0.13828449E+01,  0.58796072E-03,  0.14699018E-02,  0.15373059E-02,  0.38432649E-02,  0.14711982E-03,  0.36779955E-03,  0.34540196E-01,  0.21388440E-02,  0.86350489E-01,  0.81024834E-01,  0.39815077E+00,  0.20256208E+00,  0.86012742E-02, -0.10264650E+00,  0.21503186E-01, -0.69644545E+07, -0.38379365E+06, -0.16492254E+11,  0.58546800E+07,  0.15307884E+08,  0.14649609E+07,  0.77317918E-06,  0.44144322E-05,  0.17514805E+00, -0.50425031E+00, -0.50425031E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.69424855E+01,  0.69424855E+01,  0.14627112E-01,  0.16667256E+03,  0.99871244E+03,  0.20012531E+03,  0.12837502E-06,  0.16090307E-05,  0.57937235E-06,  0.83475145E+00,  0.55613191E+01,  0.11754192E+01,  0.58373792E-03,  0.14593448E-02,  0.23468529E-02,  0.58671322E-02,  0.18724148E-03,  0.46810370E-03,  0.34230733E-01,  0.13835540E-02,  0.85576833E-01,  0.10203100E+00,  0.39757935E+00,  0.25507750E+00,  0.84747085E-02, -0.52661419E+00,  0.21186771E-01, -0.28427817E+08, -0.49524773E+06, -0.71125619E+11,  0.58126310E+07,  0.23369032E+08,  0.18644765E+07,  0.83663523E-06,  0.21486696E-05,  0.38937361E+00, -0.50028500E+00, -0.50028500E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.12067495E+02,  0.55523155E+00,  0.57684384E-02,  0.16666763E+03,  0.94913898E+03,  0.20040060E+03,  0.18735859E-06,  0.16342958E-05,  0.57361633E-06,  0.87590765E+00,  0.14406898E+01,  0.10390590E+01,  0.59029679E-03,  0.14757420E-02,  0.16080250E-02,  0.40200626E-02,  0.18434686E-03,  0.46086715E-03,  0.34691166E-01,  0.20785845E-02,  0.86727916E-01,  0.79521786E-01,  0.18748769E+00,  0.19880446E+00,  0.10817765E-01, -0.25575095E+00,  0.27044411E-01, -0.16115741E+06, -0.10307166E+06, -0.13360472E+09,  0.58779416E+07,  0.16012076E+08,  0.18356530E+07,  0.34631566E-06,  0.92604280E-06,  0.37397371E+00, -0.49298433E+00, -0.49298433E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28752531E+01,  0.44961089E+00,  0.53564071E-02,  0.16666701E+03,  0.75618587E+03,  0.19993605E+03,  0.19637883E-06,  0.16220718E-05,  0.57291158E-06,  0.87742409E+00,  0.10221133E+01,  0.94543479E+00,  0.59205141E-03,  0.14801285E-02,  0.15341638E-02,  0.38354095E-02,  0.18573611E-03,  0.46434027E-03,  0.34789185E-01,  0.21523233E-02,  0.86972963E-01,  0.63484610E-01,  0.12069044E+00,  0.15871152E+00,  0.10900061E-01, -0.32044257E+00,  0.27250154E-01, -0.19610443E+06, -0.18493274E+06, -0.10274465E+08,  0.58954134E+07,  0.15276595E+08,  0.18494866E+07,  0.13648402E-06,  0.19834664E-06,  0.68810854E+00, -0.49200981E+00, -0.49200981E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28710786E+01,  0.53510574E+00,  0.49443758E-02,  0.16666694E+03,  0.31181814E+03,  0.19955895E+03,  0.12587892E-06,  0.16162929E-05,  0.57252640E-06,  0.87388613E+00,  0.99578129E+00,  0.92952820E+00,  0.59285525E-03,  0.14821381E-02,  0.23933896E-02,  0.59834739E-02,  0.18640018E-03,  0.46600045E-03,  0.34850575E-01,  0.22491885E-02,  0.87126437E-01,  0.14073125E+00,  0.11015335E+00,  0.35182813E+00,  0.10939646E-01, -0.95103946E-01,  0.27349114E-01, -0.12718133E+06, -0.12309429E+06, -0.51993758E+06,  0.59034178E+07,  0.23832425E+08,  0.18560992E+07,  0.46084285E-07,  0.82811393E-07,  0.55649691E+00, -0.49159510E+00, -0.49159510E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28664163E+01,  0.50837946E+00,  0.49443758E-02,  0.16666711E+03,  0.29494266E+03,  0.19953287E+03,  0.10641471E-06,  0.16183055E-05,  0.57250985E-06,  0.86582940E+00,  0.98161016E+00,  0.91476974E+00,  0.59320722E-03,  0.14830181E-02,  0.28311622E-02,  0.70779056E-02,  0.18616837E-03,  0.46542092E-03,  0.34870572E-01,  0.22602016E-02,  0.87176431E-01,  0.16632107E+00,  0.10326607E+00,  0.41580267E+00,  0.10925759E-01, -0.10158315E+00,  0.27314396E-01, -0.15397131E+06, -0.14903489E+06, -0.57895088E+06,  0.59069226E+07,  0.28191592E+08,  0.18537909E+07,  0.12289419E-07,  0.18852680E-07,  0.65186590E+00, -0.49148922E+00, -0.49148922E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.30635043E+01,  0.51618686E+00,  0.51503914E-02,  0.16666722E+03,  0.30186200E+03,  0.19952791E+03,  0.11035321E-06,  0.16174917E-05,  0.57250293E-06,  0.86458238E+00,  0.98171937E+00,  0.91597201E+00,  0.59313709E-03,  0.14828427E-02,  0.27301180E-02,  0.68252950E-02,  0.18626203E-03,  0.46565508E-03,  0.34866891E-01,  0.22668769E-02,  0.87167227E-01,  0.16050611E+00,  0.10632410E+00,  0.40126529E+00,  0.10931399E-01, -0.97848964E-01,  0.27328498E-01, -0.13863709E+06, -0.13418653E+06, -0.53958446E+06,  0.59062242E+07,  0.27185434E+08,  0.18547235E+07,  0.46984132E-08,  0.15039167E-07,  0.31241178E+00, -0.49164258E+00, -0.49164258E+00,
