  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12803723956E-04,0.00000000000E+00,-.11062417498E+01,0.00000000000E+00,0.56426268807E-12,0.11285253761E-04,0.48752296249E-07,0.97504592493E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11168195193E-04,0.16759110169E-08,-.20711738145E+01,0.14479871186E-03,0.57529511375E-12,0.11505902273E-04,0.98457794077E-07,0.19691558813E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11531138401E-04,0.11789647798E-08,-.30674641724E+01,0.24666126884E-03,0.57483021903E-12,0.11496604378E-04,0.14812312500E-06,0.29624624996E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11603050434E-04,0.18306234621E-08,-.40699677299E+01,0.40482713596E-03,0.57891741712E-12,0.11578348339E-04,0.19814158984E-06,0.39628317960E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11663760194E-04,0.19354751745E-08,-.50777166107E+01,0.57205219104E-03,0.58131754439E-12,0.11626350883E-04,0.24836742567E-06,0.49673485124E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11715754062E-04,0.19313178081E-08,-.60899577616E+01,0.73891804966E-03,0.58419203182E-12,0.11683840631E-04,0.29884161722E-06,0.59768323429E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11757920696E-04,0.19085098452E-08,-.71058421098E+01,0.90381330029E-03,0.58667745259E-12,0.11733549046E-04,0.34953054913E-06,0.69906109805E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11825115831E-04,0.18482130002E-08,-.81275321176E+01,0.10634989035E-02,0.58995445073E-12,0.11799089008E-04,0.40050261367E-06,0.80100522707E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11870217054E-04,0.18776516903E-08,-.91531188710E+01,0.12257280095E-02,0.59253950994E-12,0.11850790191E-04,0.45169802733E-06,0.90339605433E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11929718092E-04,0.18185011863E-08,-.10183846514E+02,0.13828465120E-02,0.59576860009E-12,0.11915371993E-04,0.50317243438E-06,0.10063448683E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11993539872E-04,0.18464127765E-08,-.11220088359E+02,0.15423765759E-02,0.59876715032E-12,0.11975342997E-04,0.55490591617E-06,0.11098118318E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12050892739E-04,0.17900798912E-08,-.12261285492E+02,0.16970394785E-02,0.60172288717E-12,0.12034457734E-04,0.60689477362E-06,0.12137895467E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12100806447E-04,0.17854379951E-08,-.13306795169E+02,0.18513013213E-02,0.60485363745E-12,0.12097072737E-04,0.65915412789E-06,0.13183082551E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12175760517E-04,0.18055320244E-08,-.14358780877E+02,0.20072992882E-02,0.60804488328E-12,0.12160897654E-04,0.71168920581E-06,0.14233784108E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12226811965E-04,0.18205587805E-08,-.15415177431E+02,0.21645955669E-02,0.61121387998E-12,0.12224277587E-04,0.76449808504E-06,0.15289961692E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12312782730E-04,0.18349009030E-08,-.16479001859E+02,0.23231310049E-02,0.61468200440E-12,0.12293640075E-04,0.81760661022E-06,0.16352132194E+02
