gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.42134510E+00, -0.42134510E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843230E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.11860469E+04, -0.11860469E+04,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.73561604E+01,  0.73561604E+01,  0.10300783E-01,  0.19680823E+03,  0.10000000E+04,  0.20438530E+03,  0.54076577E-08,  0.33251853E-05,  0.58539961E-06,  0.26554411E+01,  0.50810882E+01,  0.37268257E+01,  0.60331687E-03,  0.15082922E-02,  0.55713086E-01,  0.13928271E+00,  0.90604664E-04,  0.22651166E-03,  0.34877154E-01, -0.45400760E-02,  0.87192884E-01,  0.18582258E+01,  0.10558826E+00,  0.46455644E+01,  0.52787941E-02, -0.13489543E+02,  0.13196985E-01, -0.51822162E+08, -0.51815555E+06, -0.13005756E+12,  0.60075905E+07,  0.55476884E+09,  0.90220536E+06,  0.27567600E-05,  0.10616914E-05,  0.25965738E+01, -0.89628360E+00, -0.89628360E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.23681354E+02,  0.36166517E+01,  0.14833127E-01,  0.16668140E+03,  0.99556133E+03,  0.20077076E+03,  0.90774401E-08,  0.20138120E-05,  0.57429115E-06,  0.83762532E+00,  0.49786664E+01,  0.11440551E+01,  0.60533351E-03,  0.15133338E-02,  0.33189676E-01,  0.82974190E-01,  0.14960548E-03,  0.37401369E-03,  0.35548044E-01,  0.21385285E-02,  0.88870111E-01,  0.19490553E+01,  0.47605137E+00,  0.48726382E+01,  0.87577942E-02, -0.49351840E+00,  0.21894485E-01, -0.96398616E+07, -0.41610210E+06, -0.23433507E+11,  0.60276714E+07,  0.33048965E+09,  0.14897121E+07,  0.11467189E-05,  0.35577453E-05,  0.32231620E+00, -0.84488340E+00, -0.84488340E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.11687316E+02,  0.11687316E+02,  0.18953440E-01,  0.16670081E+03,  0.99968647E+03,  0.20178687E+03,  0.84758857E-07,  0.18511287E-05,  0.58019264E-06,  0.83472906E+00,  0.52346423E+01,  0.13605928E+01,  0.58410967E-03,  0.14602742E-02,  0.35545229E-02,  0.88863072E-02,  0.16275329E-03,  0.40688324E-03,  0.34223069E-01,  0.22040965E-02,  0.85557671E-01,  0.19340720E+00,  0.61243131E+00,  0.48351801E+00,  0.75787872E-02, -0.14384226E+00,  0.18946968E-01, -0.15279691E+09, -0.87248006E+06, -0.18831231E+12,  0.58163327E+07,  0.35394531E+08,  0.16206328E+07,  0.11461300E-05,  0.12431299E-05,  0.92197116E+00, -0.91060470E+00, -0.91060470E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.10350749E+02,  0.10350749E+02,  0.88586733E-02,  0.16666671E+03,  0.66774257E+03,  0.20038414E+03,  0.25102552E-06,  0.16464316E-05,  0.57340860E-06,  0.84768450E+00,  0.14439467E+01,  0.98125672E+00,  0.59068204E-03,  0.14767051E-02,  0.12001859E-02,  0.30004648E-02,  0.18298804E-03,  0.45747010E-03,  0.34725647E-01,  0.21620995E-02,  0.86814119E-01,  0.70468655E-01,  0.78912042E-01,  0.17617164E+00,  0.10741849E-01, -0.28304761E-01,  0.26854621E-01, -0.89979196E+05, -0.84659545E+05, -0.23759401E+07,  0.58817779E+07,  0.11950976E+08,  0.18221224E+07,  0.29045440E-06,  0.33069508E-05,  0.87831486E-01, -0.87948110E+00, -0.87948110E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.36576249E+01,  0.50004950E+00,  0.65925010E-02,  0.16669310E+03,  0.61205766E+03,  0.20005547E+03,  0.14061895E-06,  0.16190674E-05,  0.57338951E-06,  0.84310865E+00,  0.11438464E+01,  0.96288589E+00,  0.59128062E-03,  0.14782016E-02,  0.21425085E-02,  0.53562712E-02,  0.18608076E-03,  0.46520190E-03,  0.34743319E-01,  0.22924677E-02,  0.86858298E-01,  0.98036736E-01,  0.39558919E+00,  0.24509184E+00,  0.10921042E-01, -0.16540887E+00,  0.27302605E-01, -0.17349705E+06, -0.16528673E+06, -0.32460342E+07,  0.58877382E+07,  0.21334251E+08,  0.18529185E+07,  0.20947111E-06,  0.28977775E-06,  0.72286816E+00, -0.74692310E+00, -0.74692310E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.29461441E+01,  0.43520515E+00,  0.55624227E-02,  0.16669544E+03,  0.27652570E+03,  0.19955414E+03,  0.98791613E-07,  0.16117648E-05,  0.57254132E-06,  0.87085155E+00,  0.10121504E+01,  0.93106539E+00,  0.59321760E-03,  0.14830440E-02,  0.30496242E-02,  0.76240606E-02,  0.18692386E-03,  0.46730964E-03,  0.34867679E-01,  0.23311972E-02,  0.87169198E-01,  0.17457282E+00,  0.20489273E+00,  0.43643205E+00,  0.10971996E-01, -0.11615023E+00,  0.27429991E-01, -0.20971072E+06, -0.20312204E+06, -0.71849777E+06,  0.59070259E+07,  0.30366950E+08,  0.18613137E+07,  0.99506472E-07,  0.22876490E-06,  0.43497264E+00, -0.64254360E+00, -0.64254360E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.44640247E+01,  0.70522086E+00,  0.11742892E-01,  0.16666854E+03,  0.40877587E+03,  0.19964023E+03,  0.14245609E-06,  0.16473958E-05,  0.57260697E-06,  0.85091323E+00,  0.13055234E+01,  0.94262232E+00,  0.59240871E-03,  0.14810218E-02,  0.21148783E-02,  0.52871958E-02,  0.18288094E-03,  0.45720236E-03,  0.34810678E-01,  0.23798912E-02,  0.87026695E-01,  0.10392519E+00,  0.34145579E+00,  0.25981298E+00,  0.10736752E-01, -0.13084112E+00,  0.26841881E-01, -0.23283502E+06, -0.22515811E+06, -0.15159711E+07,  0.58989713E+07,  0.21059121E+08,  0.18210560E+07,  0.34554457E-06,  0.88762776E-06,  0.38928995E+00, -0.76275030E+00, -0.76275030E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.29320099E+01,  0.52305219E+00,  0.59744541E-02,  0.16667356E+03,  0.25920097E+03,  0.19951483E+03,  0.11157828E-06,  0.16122008E-05,  0.57260019E-06,  0.86629869E+00,  0.10026169E+01,  0.91576036E+00,  0.59318615E-03,  0.14829654E-02,  0.27001429E-02,  0.67503573E-02,  0.18687330E-03,  0.46718326E-03,  0.34868753E-01,  0.22556118E-02,  0.87171883E-01,  0.15831596E+00,  0.10044276E+00,  0.39578990E+00,  0.10965099E-01, -0.10600613E+00,  0.27412748E-01, -0.17706614E+06, -0.17150453E+06, -0.55373058E+06,  0.59067127E+07,  0.26886954E+08,  0.18608103E+07,  0.75547037E-07,  0.21699903E-06,  0.34814458E+00, -0.66126490E+00, -0.66126490E+00,
