  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12869361834E-04,0.45501278231E-09,-.11119128624E+01,0.39313104392E-04,0.56510182257E-12,0.11302036450E-04,0.48824797470E-07,0.97649594927E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11081548830E-04,0.28654561052E-08,-.20693586814E+01,0.28688851188E-03,0.57483864586E-12,0.11496772915E-04,0.98490856472E-07,0.19698171291E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11557004611E-04,0.18472098721E-08,-.30678838798E+01,0.44648744484E-03,0.57610898756E-12,0.11522179749E-04,0.14826667300E-06,0.29653334594E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11558143139E-04,0.21996207084E-08,-.40665074470E+01,0.63653467404E-03,0.57909689697E-12,0.11581937936E-04,0.19830064490E-06,0.39660128970E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11606569396E-04,0.20302811895E-08,-.50693150428E+01,0.81195096882E-03,0.58170707435E-12,0.11634141483E-04,0.24856013612E-06,0.49712027211E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11675001579E-04,0.19825000274E-08,-.60780351792E+01,0.98323897119E-03,0.58441541043E-12,0.11688308203E-04,0.29905362758E-06,0.59810725499E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11711378152E-04,0.19018801716E-08,-.70898982516E+01,0.11475614180E-02,0.58630705593E-12,0.11726141113E-04,0.34971055721E-06,0.69942111420E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11893206276E-04,0.19814111611E-08,-.81174712738E+01,0.13187553423E-02,0.59247527577E-12,0.11849505509E-04,0.40090042104E-06,0.80180084180E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11829991864E-04,0.18508845606E-08,-.91395825708E+01,0.14786717684E-02,0.59234866751E-12,0.11846973343E-04,0.45207934591E-06,0.90415869149E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11931185765E-04,0.17826175818E-08,-.10170437021E+02,0.16326899274E-02,0.59648922988E-12,0.11929784590E-04,0.50361601537E-06,0.10072320303E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11962718756E-04,0.18270191744E-08,-.11204015921E+02,0.17905443841E-02,0.59865967363E-12,0.11973193463E-04,0.55534021118E-06,0.11106804219E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12051945184E-04,0.17603578003E-08,-.12245303985E+02,0.19426392981E-02,0.60251561993E-12,0.12050312389E-04,0.60739756074E-06,0.12147951209E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12232634575E-04,0.18842821977E-08,-.13302203613E+02,0.21054412799E-02,0.60751004061E-12,0.12150200801E-04,0.65988642825E-06,0.13197728558E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12282493644E-04,0.19107042475E-08,-.14363411063E+02,0.22705261269E-02,0.61055065829E-12,0.12211013154E-04,0.71263800512E-06,0.14252760095E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12216348352E-04,0.18124205256E-08,-.15418903561E+02,0.24271192603E-02,0.61086361189E-12,0.12217272226E-04,0.76541662119E-06,0.15308332415E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12307450816E-04,0.18259317829E-08,-.16482267312E+02,0.25848797664E-02,0.61534000202E-12,0.12306800028E-04,0.81858199736E-06,0.16371639937E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12371445844E-04,0.18270363705E-08,-.17551160232E+02,0.27427357088E-02,0.61859223965E-12,0.12371844779E-04,0.87202836687E-06,0.17440567326E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12442805093E-04,0.18299458413E-08,-.18626218592E+02,0.29008430295E-02,0.62207727998E-12,0.12441545585E-04,0.92577584386E-06,0.18515516865E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12515750661E-04,0.18185048277E-08,-.19707579450E+02,0.30579618466E-02,0.62571317828E-12,0.12514263550E-04,0.97983746246E-06,0.19596749236E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12568626532E-04,0.17871149155E-08,-.20793508782E+02,0.32123685753E-02,0.62834898600E-12,0.12566979703E-04,0.10341268149E-05,0.20682536282E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12658887823E-04,0.18134791434E-08,-.21887236690E+02,0.33690531733E-02,0.63285958750E-12,0.12657191733E-04,0.10888058832E-05,0.21776117648E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12720827757E-04,0.17836033216E-08,-.22986316208E+02,0.35231565003E-02,0.63586839751E-12,0.12717367932E-04,0.11437449128E-05,0.22874898237E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12925570270E-04,0.18864307577E-08,-.24103085479E+02,0.36861441177E-02,0.64294792375E-12,0.12858958457E-04,0.11992956134E-05,0.23985912248E+02
