gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.73457143E+00, -0.73457143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.67701355E+00, -0.67701355E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.43337024E+01,  0.43337024E+01,  0.10300783E-01,  0.19782157E+03,  0.47921139E+03,  0.20139385E+03,  0.13070175E-06,  0.11221337E-05,  0.57385599E-06,  0.14447018E+01,  0.24224425E+01,  0.18731694E+01,  0.59086492E-03,  0.14771623E-02,  0.23050748E-02,  0.57626870E-02,  0.26848609E-03,  0.67121523E-03,  0.34731029E-01,  0.24392728E-02,  0.86827573E-01,  0.13544201E+00,  0.18001988E+00,  0.33860501E+00,  0.15767044E-01, -0.93747599E-01,  0.39417610E-01, -0.64969665E+05, -0.62523525E+05, -0.59435837E+06,  0.58835988E+07,  0.22953022E+08,  0.26734782E+07,  0.74230699E-06,  0.10616914E-05,  0.69917400E+00, -0.56073810E+00, -0.56073810E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16151397E+01,  0.39273668E+00,  0.90646889E-02,  0.16668301E+03,  0.32137879E+03,  0.19982596E+03,  0.11355115E-06,  0.17329798E-05,  0.57342432E-06,  0.86946185E+00,  0.10346267E+01,  0.94337699E+00,  0.59256151E-03,  0.14814038E-02,  0.26532297E-02,  0.66330743E-02,  0.17384928E-03,  0.43462320E-03,  0.34832659E-01,  0.22177892E-02,  0.87081649E-01,  0.15437163E+00,  0.89696658E-01,  0.38592907E+00,  0.10193473E-01, -0.11274883E+00,  0.25483684E-01, -0.16273165E+06, -0.15753276E+06, -0.69726943E+06,  0.59004928E+07,  0.26419811E+08,  0.17311223E+07,  0.15185310E-06,  0.26096719E-06,  0.58188580E+00, -0.69568712E+00, -0.69568712E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.35801396E+01,  0.45662067E+00,  0.59744541E-02,  0.16666673E+03,  0.31820453E+03,  0.19960364E+03,  0.10613454E-06,  0.15875720E-05,  0.57246852E-06,  0.86515329E+00,  0.99486859E+00,  0.91453141E+00,  0.59296777E-03,  0.14824194E-02,  0.28386358E-02,  0.70965896E-02,  0.18977237E-03,  0.47443091E-03,  0.34856794E-01,  0.22791437E-02,  0.87141985E-01,  0.16688120E+00,  0.11794790E+00,  0.41720300E+00,  0.11140247E-01, -0.10080912E+00,  0.27850618E-01, -0.12016490E+06, -0.11629525E+06, -0.50683347E+06,  0.59045382E+07,  0.28266011E+08,  0.18896781E+07,  0.59771273E-07,  0.95937077E-07,  0.62302579E+00, -0.55085415E+00, -0.55085415E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.28086944E+01,  0.49971829E+00,  0.51503914E-02,  0.16666677E+03,  0.29602198E+03,  0.19954133E+03,  0.81141439E-07,  0.12008175E-05,  0.57067758E-06,  0.86667618E+00,  0.98123417E+00,  0.91337240E+00,  0.59487252E-03,  0.14871813E-02,  0.37129893E-02,  0.92824734E-02,  0.25089349E-03,  0.62723373E-03,  0.34967711E-01,  0.24263640E-02,  0.87419278E-01,  0.21685381E+00,  0.16195271E+00,  0.54213454E+00,  0.14714641E-01, -0.92532586E-01,  0.36786603E-01, -0.77374207E+05, -0.74884797E+05, -0.29247971E+06,  0.59235049E+07,  0.36972477E+08,  0.24982980E+07,  0.50656479E-06,  0.31506891E-07,  0.16077905E+02, -0.74817965E+00, -0.74817965E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.39402254E+01,  0.53782769E+00,  0.10506799E-01,  0.16668385E+03,  0.53283447E+03,  0.20213272E+03,  0.16999799E-07,  0.89610689E-06,  0.56883353E-06,  0.85299614E+00,  0.10572351E+01,  0.91776901E+00,  0.66049146E-03,  0.16512286E-02,  0.17722403E-01,  0.44306009E-01,  0.33620688E-03,  0.84051719E-03,  0.37356420E-01,  0.17134490E-01,  0.93391050E-01,  0.58174327E+00,  0.43229038E+01,  0.14543582E+01,  0.19767071E-01, -0.51208841E+00,  0.49417678E-01, -0.47457112E+05, -0.43192803E+05, -0.54170412E+06,  0.65769123E+07,  0.17647267E+09,  0.33478149E+07,  0.18495622E-06,  0.50656479E-06,  0.36511858E+00, -0.60171429E+00, -0.60171429E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83628744E+00,  0.54533909E+00,  0.92707046E-02,  0.16667386E+03,  0.43903428E+03,  0.20196751E+03,  0.66256139E-07,  0.98615531E-06,  0.57192431E-06,  0.85182909E+00,  0.10842856E+01,  0.91207816E+00,  0.59976455E-03,  0.14994114E-02,  0.45471605E-02,  0.11367901E-01,  0.30550695E-03,  0.76376736E-03,  0.35232741E-01,  0.32188448E-02,  0.88081853E-01,  0.23154316E+00,  0.66850779E+00,  0.57885790E+00,  0.17907360E-01, -0.71896283E-01,  0.44768401E-01, -0.56480695E+05, -0.51532522E+05, -0.40163358E+06,  0.59722179E+07,  0.45278823E+08,  0.30421172E+07,  0.10473700E-06,  0.18495622E-06,  0.56627997E+00, -0.57633709E+00, -0.57633709E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.23525951E+01,  0.50880178E+00,  0.65925010E-02,  0.16666707E+03,  0.48470066E+03,  0.20196339E+03,  0.10277034E-06,  0.94264151E-06,  0.57081564E-06,  0.86942215E+00,  0.97353581E+00,  0.91918609E+00,  0.60313418E-03,  0.15078354E-02,  0.29315587E-02,  0.73288968E-02,  0.31960962E-03,  0.79902406E-03,  0.35436754E-01,  0.34665838E-02,  0.88591886E-01,  0.16521072E+00,  0.29513764E+00,  0.41302680E+00,  0.18789256E-01, -0.12056208E-02,  0.46973141E-01, -0.45725584E+05, -0.41444198E+05, -0.40502070E+06,  0.60057713E+07,  0.29191301E+08,  0.31825460E+07,  0.29577382E-07,  0.46557598E-07,  0.63528583E+00, -0.55308491E+00, -0.55308491E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15541919E+01,  0.45841009E+00,  0.53564071E-02,  0.16666874E+03,  0.46643724E+03,  0.20183848E+03,  0.11684107E-06,  0.11310906E-05,  0.57275494E-06,  0.87741379E+00,  0.97627490E+00,  0.92420018E+00,  0.59272036E-03,  0.14818009E-02,  0.25785222E-02,  0.64463056E-02,  0.26636000E-03,  0.66590000E-03,  0.34837913E-01,  0.26961346E-02,  0.87094782E-01,  0.14761978E+00,  0.19124453E+00,  0.36904945E+00,  0.15637931E-01, -0.46625783E-01,  0.39094828E-01, -0.47575141E+05, -0.43190720E+05, -0.38519201E+06,  0.59020745E+07,  0.25675903E+08,  0.26523074E+07,  0.43523248E-06,  0.16813059E-07,  0.25886573E+02, -0.70540476E+00, -0.70540476E+00,
