  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.12768778620E-04,0.00000000000E+00,-.11032224727E+01,0.00000000000E+00,0.56467091794E-12,0.11293418358E-04,0.48787567310E-07,0.97575134610E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11211234867E-04,0.00000000000E+00,-.20718731653E+01,0.00000000000E+00,0.57567049631E-12,0.11513409924E-04,0.98525498191E-07,0.19705099635E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11597595251E-04,0.00000000000E+00,-.30739053949E+01,0.00000000000E+00,0.57585076847E-12,0.11517015367E-04,0.14827900459E-06,0.29655800912E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11565617757E-04,0.11909340300E-08,-.40731747691E+01,0.10289670019E-03,0.57923165311E-12,0.11584633058E-04,0.19832461942E-06,0.39664923874E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11634300618E-04,0.15703375973E-08,-.50783783425E+01,0.23857386860E-03,0.58177163910E-12,0.11635432778E-04,0.24858968903E-06,0.49717937794E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11644355489E-04,0.18242522141E-08,-.60844506567E+01,0.39618925990E-03,0.58352893069E-12,0.11670578609E-04,0.29900658864E-06,0.59801317712E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11705675170E-04,0.18341248884E-08,-.70958209914E+01,0.55465765025E-03,0.58632057376E-12,0.11726411469E-04,0.34966468622E-06,0.69932937221E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11803786935E-04,0.18503511196E-08,-.81156681826E+01,0.71452798698E-03,0.59018854478E-12,0.11803770889E-04,0.40065697649E-06,0.80131395270E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11839240224E-04,0.18581882662E-08,-.91385785379E+01,0.87507545318E-03,0.59225537803E-12,0.11845107553E-04,0.45182784115E-06,0.90365568196E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11926057270E-04,0.18323806912E-08,-.10168989886E+02,0.10333931449E-02,0.59612686616E-12,0.11922537316E-04,0.50333320239E-06,0.10066664044E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11969779386E-04,0.18736100638E-08,-.11203178825E+02,0.11952730544E-02,0.59843115890E-12,0.11968623169E-04,0.55503765452E-06,0.11100753085E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12016962299E-04,0.18327711373E-08,-.12241444368E+02,0.13536244807E-02,0.60133140260E-12,0.12026628042E-04,0.60699268770E-06,0.12139853748E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12095227695E-04,0.18483668240E-08,-.13286472040E+02,0.15133233743E-02,0.60466581151E-12,0.12093316219E-04,0.65923581381E-06,0.13184716270E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12146835758E-04,0.18576425822E-08,-.14335958650E+02,0.16738236934E-02,0.60770524053E-12,0.12154104799E-04,0.71174154660E-06,0.14234830924E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12245373250E-04,0.18938279160E-08,-.15393958899E+02,0.18374504253E-02,0.61195238994E-12,0.12239047787E-04,0.76461423309E-06,0.15292284653E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12312549033E-04,0.18894458906E-08,-.16457763135E+02,0.20006985503E-02,0.61532726196E-12,0.12306545226E-04,0.81777850852E-06,0.16355570161E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12379775582E-04,0.18904103263E-08,-.17527375746E+02,0.21640300025E-02,0.61878275879E-12,0.12375655161E-04,0.87124133888E-06,0.17424826767E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12450755180E-04,0.18866272012E-08,-.18603120993E+02,0.23270345926E-02,0.62219054143E-12,0.12443810814E-04,0.92499860166E-06,0.18499972021E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12519232128E-04,0.18765243599E-08,-.19684782649E+02,0.24891662973E-02,0.62575536004E-12,0.12515107186E-04,0.97906386477E-06,0.19581277282E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12593142057E-04,0.18717102631E-08,-.20772830123E+02,0.26508820641E-02,0.62932792262E-12,0.12586558436E-04,0.10334377973E-05,0.20668755931E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12664249847E-04,0.18669345310E-08,-.21867021309E+02,0.28121852075E-02,0.63299144596E-12,0.12659828902E-04,0.10881282582E-05,0.21762565148E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12739630314E-04,0.18742222308E-08,-.22967725369E+02,0.29741180083E-02,0.63669212112E-12,0.12733842404E-04,0.11431384575E-05,0.22862769132E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12815261186E-04,0.18696746283E-08,-.24074963935E+02,0.31356578962E-02,0.64047686563E-12,0.12809537294E-04,0.11984756587E-05,0.23969513154E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12892953722E-04,0.18689695377E-08,-.25188915137E+02,0.32971368642E-02,0.64433456655E-12,0.12886691312E-04,0.12541461652E-05,0.25082923283E+02
 0.21600000000E+07,0.68493150685E-01,0.30000000000E+03,-.12969574180E-04,0.18634521107E-08,-.26309486346E+02,0.34581391266E-02,0.64814978808E-12,0.12962995740E-04,0.13101463069E-05,0.26202926115E+02
 0.22464000000E+07,0.71232876712E-01,0.30000000000E+03,-.13050270840E-04,0.18609616244E-08,-.27437029746E+02,0.36189262109E-02,0.65222012762E-12,0.13044402527E-04,0.13664981259E-05,0.27329962493E+02
 0.23328000000E+07,0.73972602740E-01,0.30000000000E+03,-.13131663003E-04,0.18542036530E-08,-.28571605430E+02,0.37791294066E-02,0.65632039934E-12,0.13126407960E-04,0.14232042084E-05,0.28464084141E+02
 0.24192000000E+07,0.76712328767E-01,0.30000000000E+03,-.13212949135E-04,0.18443891394E-08,-.29713204235E+02,0.39384846282E-02,0.66034272093E-12,0.13206854391E-04,0.14802578195E-05,0.29605156361E+02
 0.25056000000E+07,0.79452054795E-01,0.30000000000E+03,-.13299317093E-04,0.18291652967E-08,-.30862265232E+02,0.40965245098E-02,0.66462459279E-12,0.13292491826E-04,0.15376813843E-05,0.30753627654E+02
 0.25920000000E+07,0.82191780822E-01,0.30000000000E+03,-.13385626773E-04,0.18238558571E-08,-.32018783385E+02,0.42541056559E-02,0.66896491193E-12,0.13379298209E-04,0.15954799527E-05,0.31909599020E+02
 0.26784000000E+07,0.84931506849E-01,0.30000000000E+03,-.13471457605E-04,0.18181016247E-08,-.33182717322E+02,0.44111896363E-02,0.67322834897E-12,0.13464566948E-04,0.16536468821E-05,0.33072937604E+02
