gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.64291250E+00, -0.64291250E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.67999935E+00, -0.67999935E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.43605107E+01,  0.43605107E+01,  0.10300783E-01,  0.19781213E+03,  0.48287920E+03,  0.20141462E+03,  0.13095876E-06,  0.11199064E-05,  0.57386771E-06,  0.14529347E+01,  0.24411001E+01,  0.18860381E+01,  0.59085205E-03,  0.14771301E-02,  0.23005509E-02,  0.57513773E-02,  0.26902007E-03,  0.67255018E-03,  0.34730279E-01,  0.24416450E-02,  0.86825697E-01,  0.13516477E+00,  0.18033730E+00,  0.33791193E+00,  0.15798681E-01, -0.93101666E-01,  0.39496702E-01, -0.64398933E+05, -0.61938016E+05, -0.59976240E+06,  0.58834707E+07,  0.22907975E+08,  0.26787953E+07,  0.74607791E-06,  0.10616914E-05,  0.70272580E+00, -0.56361914E+00, -0.56361914E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16049301E+01,  0.39298175E+00,  0.94767202E-02,  0.16668189E+03,  0.32132959E+03,  0.19982680E+03,  0.11359614E-06,  0.17336389E-05,  0.57342809E-06,  0.86948623E+00,  0.10337845E+01,  0.94556300E+00,  0.59255959E-03,  0.14813990E-02,  0.26521790E-02,  0.66304474E-02,  0.17378319E-03,  0.43445797E-03,  0.34832534E-01,  0.22172863E-02,  0.87081335E-01,  0.15427154E+00,  0.89630063E-01,  0.38567886E+00,  0.10189501E-01, -0.11402934E+00,  0.25473752E-01, -0.16291708E+06, -0.15771587E+06, -0.69791257E+06,  0.59004737E+07,  0.26409348E+08,  0.17304641E+07,  0.15264281E-06,  0.26238008E-06,  0.58176220E+00, -0.62621060E+00, -0.62621060E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.36191644E+01,  0.56505149E+00,  0.88586733E-02,  0.16666717E+03,  0.31851206E+03,  0.19960762E+03,  0.10644746E-06,  0.16054385E-05,  0.57246119E-06,  0.86357643E+00,  0.10196990E+01,  0.91186474E+00,  0.59298881E-03,  0.14824720E-02,  0.28302912E-02,  0.70757280E-02,  0.18766044E-03,  0.46915109E-03,  0.34858008E-01,  0.22725666E-02,  0.87145020E-01,  0.16641160E+00,  0.11761084E+00,  0.41602900E+00,  0.11016531E-01, -0.10222785E+00,  0.27541327E-01, -0.12000453E+06, -0.11618818E+06, -0.50712817E+06,  0.59047477E+07,  0.28182919E+08,  0.18686483E+07,  0.30728365E-06,  0.52629937E-06,  0.58385715E+00, -0.57865300E+00, -0.57865300E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.27272379E+01,  0.50908645E+00,  0.49443758E-02,  0.16666747E+03,  0.29606755E+03,  0.19954096E+03,  0.10949332E-06,  0.16218478E-05,  0.57252997E-06,  0.86748676E+00,  0.98080394E+00,  0.91344516E+00,  0.59317052E-03,  0.14829263E-02,  0.27515588E-02,  0.68788970E-02,  0.18576175E-03,  0.46440438E-03,  0.34868256E-01,  0.22584660E-02,  0.87170641E-01,  0.16144718E+00,  0.10121616E+00,  0.40361794E+00,  0.10900235E-01, -0.10187701E+00,  0.27250586E-01, -0.15840449E+06, -0.15332403E+06, -0.59897870E+06,  0.59065571E+07,  0.27398933E+08,  0.18497420E+07,  0.33776277E-07,  0.26665218E-06,  0.12666792E+00, -0.67949367E+00, -0.67949367E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.30450988E+01,  0.51379580E+00,  0.55624227E-02,  0.16666671E+03,  0.30057085E+03,  0.19951791E+03,  0.81077318E-07,  0.12009726E-05,  0.57065557E-06,  0.86717588E+00,  0.98159357E+00,  0.91668299E+00,  0.59490127E-03,  0.14872532E-02,  0.37159258E-02,  0.92898145E-02,  0.25086108E-03,  0.62715271E-03,  0.34968828E-01,  0.24510811E-02,  0.87422070E-01,  0.21585233E+00,  0.16944501E+00,  0.53963083E+00,  0.14710555E-01, -0.87873592E-01,  0.36776387E-01, -0.76931554E+05, -0.74478915E+05, -0.29757440E+06,  0.59237913E+07,  0.37001717E+08,  0.24979753E+07,  0.50596548E-06,  0.16102680E-06,  0.31421196E+01, -0.68185720E+00, -0.68185720E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.38630632E+01,  0.54463132E+00,  0.98887515E-02,  0.16668401E+03,  0.50488614E+03,  0.20178936E+03,  0.40049484E-07,  0.89807250E-06,  0.56912661E-06,  0.85685690E+00,  0.10407477E+01,  0.91473639E+00,  0.62666878E-03,  0.15666720E-02,  0.75226262E-02,  0.18806565E-01,  0.33547102E-03,  0.83867755E-03,  0.36648685E-01,  0.63183073E-02,  0.91621711E-01,  0.31752881E+00,  0.15397375E+01,  0.79382201E+00,  0.19723398E-01, -0.89301872E+00,  0.49308494E-01, -0.42288480E+05, -0.38827186E+05, -0.42060347E+06,  0.62401195E+07,  0.74907332E+08,  0.33404876E+07,  0.18422644E-06,  0.50596548E-06,  0.36410872E+00, -0.60413620E+00, -0.60413620E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83533749E+00,  0.54391019E+00,  0.94767202E-02,  0.16666689E+03,  0.53961587E+03,  0.20203849E+03,  0.11115262E-06,  0.96788948E-06,  0.57174190E-06,  0.85091764E+00,  0.10722894E+01,  0.91899679E+00,  0.59986658E-03,  0.14996664E-02,  0.27104831E-02,  0.67762076E-02,  0.31127242E-03,  0.77818104E-03,  0.35249135E-01,  0.32428201E-02,  0.88122837E-01,  0.15582749E+00,  0.24158882E+00,  0.38956872E+00,  0.18248921E-01, -0.22515052E-01,  0.45622303E-01, -0.46066636E+05, -0.41874402E+05, -0.54459369E+06,  0.59732338E+07,  0.26989917E+08,  0.30995274E+07,  0.98816767E-07,  0.18422644E-06,  0.53638754E+00, -0.58540180E+00, -0.58540180E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16897599E+01,  0.51471819E+00,  0.72105480E-02,  0.16666772E+03,  0.55430937E+03,  0.20192927E+03,  0.87791699E-07,  0.93626543E-06,  0.57085565E-06,  0.87316443E+00,  0.99080999E+00,  0.92525814E+00,  0.60275376E-03,  0.15068844E-02,  0.34317288E-02,  0.85793219E-02,  0.32178620E-03,  0.80446551E-03,  0.35414377E-01,  0.34359098E-02,  0.88535943E-01,  0.19353362E+00,  0.28557774E+00,  0.48383406E+00,  0.18917199E-01, -0.23213443E-01,  0.47292998E-01, -0.46053872E+05, -0.41706419E+05, -0.58750250E+06,  0.60019832E+07,  0.34171796E+08,  0.32042196E+07,  0.25411070E-07,  0.43103976E-07,  0.58952961E+00, -0.58139170E+00, -0.58139170E+00,
