  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.13028016489E-04,0.00000000000E+00,-.11256206246E+01,0.00000000000E+00,0.56490016154E-12,0.11298003230E-04,0.48807373957E-07,0.97614747907E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11191984982E-04,0.23421461639E-08,-.20926081271E+01,0.20236142856E-03,0.57582703096E-12,0.11516540618E-04,0.98558829433E-07,0.19711765884E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11496660951E-04,0.17954304420E-08,-.30859196333E+01,0.35748661876E-03,0.57570749740E-12,0.11514149945E-04,0.14829995721E-06,0.29659991437E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11564910621E-04,0.18838450459E-08,-.40851279109E+01,0.52025083072E-03,0.57929614661E-12,0.11585922928E-04,0.19835114427E-06,0.39670228847E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11617148068E-04,0.19388728534E-08,-.50888495040E+01,0.68776944525E-03,0.58179363625E-12,0.11635872721E-04,0.24861811445E-06,0.49723622878E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11674067160E-04,0.19133150905E-08,-.60974889066E+01,0.85307986907E-03,0.58457567561E-12,0.11691513507E-04,0.29912545282E-06,0.59825090548E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11739538705E-04,0.19459735481E-08,-.71117850507E+01,0.10212119836E-02,0.58721462170E-12,0.11744292428E-04,0.34986079613E-06,0.69972159206E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11800422058E-04,0.18268754405E-08,-.81313415166E+01,0.11790540217E-02,0.59032699871E-12,0.11806539968E-04,0.40086504882E-06,0.80173009738E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11832598739E-04,0.18753867901E-08,-.91536780476E+01,0.13410874403E-02,0.59216409574E-12,0.11843281907E-04,0.45202802670E-06,0.90405605306E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11920945993E-04,0.18189424655E-08,-.10183647781E+02,0.14982440694E-02,0.59614233129E-12,0.11922846618E-04,0.50353472412E-06,0.10070694478E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11965737734E-04,0.18464086011E-08,-.11217487522E+02,0.16577737725E-02,0.59840737538E-12,0.11968147498E-04,0.55523712135E-06,0.11104742422E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12041962649E-04,0.17988769457E-08,-.12257913095E+02,0.18131967406E-02,0.60211394452E-12,0.12042278881E-04,0.60725976616E-06,0.12145195318E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12097280905E-04,0.18098704593E-08,-.13303118165E+02,0.19695695483E-02,0.60476842322E-12,0.12095368453E-04,0.65951175792E-06,0.13190235152E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12172520502E-04,0.18381948791E-08,-.14354823936E+02,0.21283895858E-02,0.60851629556E-12,0.12170325900E-04,0.71208756586E-06,0.14241751310E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12249788700E-04,0.18510592749E-08,-.15413205680E+02,0.22883211072E-02,0.61214757508E-12,0.12242951490E-04,0.76497711635E-06,0.15299542318E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12311276943E-04,0.18491045639E-08,-.16476900008E+02,0.24480837415E-02,0.61526920987E-12,0.12305384185E-04,0.81813637608E-06,0.16362727512E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12382725226E-04,0.18503453097E-08,-.17546767467E+02,0.26079535763E-02,0.61894215246E-12,0.12378843036E-04,0.87161297805E-06,0.17432259550E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12447107677E-04,0.18495206727E-08,-.18622197570E+02,0.27677521624E-02,0.62210840131E-12,0.12442168012E-04,0.92536314393E-06,0.18507262866E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12520575356E-04,0.18360228892E-08,-.19703975281E+02,0.29263845400E-02,0.62581392035E-12,0.12516278392E-04,0.97943346664E-06,0.19588669319E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12593392839E-04,0.18339631326E-08,-.20792044422E+02,0.30848389547E-02,0.62942092388E-12,0.12588418462E-04,0.10338154345E-05,0.20676308675E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12662122088E-04,0.18289448273E-08,-.21886051771E+02,0.32428597878E-02,0.63292238857E-12,0.12658447754E-04,0.10884999288E-05,0.21769998560E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12720132799E-04,0.18059395092E-08,-.22985071245E+02,0.33988929614E-02,0.63582020350E-12,0.12716404051E-04,0.11434347944E-05,0.22868695871E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12810597471E-04,0.18313485247E-08,-.24091906866E+02,0.35571214739E-02,0.64030644290E-12,0.12806128840E-04,0.11987572711E-05,0.23975145402E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12893439935E-04,0.18316153971E-08,-.25205900077E+02,0.37153730442E-02,0.64442625978E-12,0.12888525176E-04,0.12544356999E-05,0.25088713977E+02
 0.21600000000E+07,0.68493150685E-01,0.30000000000E+03,-.12967908093E-04,0.18288058057E-08,-.26326327336E+02,0.38733818658E-02,0.64814434343E-12,0.12962886846E-04,0.13104353712E-05,0.26208707401E+02
 0.22464000000E+07,0.71232876712E-01,0.30000000000E+03,-.13032158098E-04,0.17980888733E-08,-.27452305795E+02,0.40287367445E-02,0.65132523393E-12,0.13026504652E-04,0.13667098714E-05,0.27334197403E+02
