gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.80620015E+00, -0.80620015E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453217E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.57949877E+00, -0.57949877E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.34744960E+01,  0.34744960E+01,  0.10300783E-01,  0.19813081E+03,  0.37118308E+03,  0.20078604E+03,  0.12025277E-06,  0.12000743E-05,  0.57349296E-06,  0.12061415E+01,  0.18734244E+01,  0.14965496E+01,  0.59130845E-03,  0.14782711E-02,  0.25053669E-02,  0.62634171E-02,  0.25104887E-03,  0.62762218E-03,  0.34756684E-01,  0.23657062E-02,  0.86891710E-01,  0.14726264E+00,  0.16809137E+00,  0.36815659E+00,  0.14734076E-01, -0.11227338E+00,  0.36835190E-01, -0.87300566E+05, -0.85226045E+05, -0.47934900E+06,  0.58880154E+07,  0.24947451E+08,  0.24998452E+07,  0.62162669E-06,  0.10616914E-05,  0.58550603E+00, -0.51402783E+00, -0.51402783E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.19634576E+01,  0.38596486E+00,  0.82406263E-02,  0.16675019E+03,  0.31981666E+03,  0.19979072E+03,  0.11102937E-06,  0.17135515E-05,  0.57329213E-06,  0.86961494E+00,  0.10190503E+01,  0.94392177E+00,  0.59262297E-03,  0.14815574E-02,  0.27134919E-02,  0.67837297E-02,  0.17582039E-03,  0.43955097E-03,  0.34836628E-01,  0.22350132E-02,  0.87091570E-01,  0.15906265E+00,  0.94295654E-01,  0.39765664E+00,  0.10312722E-01, -0.93675779E-01,  0.25781805E-01, -0.15409203E+06, -0.14914122E+06, -0.65511780E+06,  0.59011049E+07,  0.27019877E+08,  0.17507498E+07,  0.12777855E-06,  0.20823316E-06,  0.61363209E+00, -0.58877290E+00, -0.58877290E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.33012918E+01,  0.42998249E+00,  0.61804697E-02,  0.16666669E+03,  0.31332913E+03,  0.19958907E+03,  0.80716213E-07,  0.12022747E-05,  0.57074497E-06,  0.86502076E+00,  0.97492276E+00,  0.90918813E+00,  0.59483011E-03,  0.14870753E-02,  0.37325500E-02,  0.93313749E-02,  0.25058940E-03,  0.62647350E-03,  0.34964922E-01,  0.24446262E-02,  0.87412305E-01,  0.21709602E+00,  0.16494873E+00,  0.54274004E+00,  0.14696350E-01, -0.89118088E-01,  0.36740875E-01, -0.73706995E+05, -0.71339468E+05, -0.30357486E+06,  0.59230827E+07,  0.37167254E+08,  0.24952700E+07,  0.50896425E-06,  0.74754138E-07,  0.68085095E+01, -0.64420915E+00, -0.64420915E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.36332044E+01,  0.55692609E+00,  0.88586733E-02,  0.16667852E+03,  0.49083834E+03,  0.20164878E+03,  0.68748418E-07,  0.92469241E-06,  0.56958372E-06,  0.85766358E+00,  0.10737329E+01,  0.91533568E+00,  0.61523667E-03,  0.15380917E-02,  0.43823160E-02,  0.10955790E-01,  0.32581353E-03,  0.81453382E-03,  0.36100828E-01,  0.44866553E-02,  0.90252070E-01,  0.23429173E+00,  0.48024270E+00,  0.58572932E+00,  0.19155185E-01, -0.53634092E+00,  0.47887963E-01, -0.42014770E+05, -0.38756234E+05, -0.39071207E+06,  0.61262831E+07,  0.43637367E+08,  0.32443221E+07,  0.19538168E-06,  0.50896425E-06,  0.38388095E+00, -0.49742085E+00, -0.49742085E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.10565886E+01,  0.58352766E+00,  0.94767202E-02,  0.16667438E+03,  0.53430504E+03,  0.20200314E+03,  0.11052875E-06,  0.97396771E-06,  0.57170560E-06,  0.85363172E+00,  0.10276203E+01,  0.91189648E+00,  0.59939696E-03,  0.14984924E-02,  0.27257821E-02,  0.68144552E-02,  0.30932986E-03,  0.77332465E-03,  0.35221797E-01,  0.32181806E-02,  0.88054492E-01,  0.15251688E+00,  0.24632270E+00,  0.38129219E+00,  0.18140628E-01, -0.17418189E-01,  0.45351569E-01, -0.46093550E+05, -0.41969738E+05, -0.53051237E+06,  0.59685575E+07,  0.27142259E+08,  0.30801842E+07,  0.11021094E-06,  0.19538168E-06,  0.56408020E+00, -0.46503717E+00, -0.46503717E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16720769E+01,  0.51639529E+00,  0.76225793E-02,  0.16676100E+03,  0.55339857E+03,  0.20197391E+03,  0.99574717E-07,  0.94428283E-06,  0.57093092E-06,  0.86722172E+00,  0.99047063E+00,  0.92078176E+00,  0.60219708E-03,  0.15054927E-02,  0.30256405E-02,  0.75641013E-02,  0.31905409E-03,  0.79763522E-03,  0.35382710E-01,  0.34100775E-02,  0.88456774E-01,  0.17295019E+00,  0.25081058E+00,  0.43237547E+00,  0.18756995E-01, -0.14056687E-01,  0.46892488E-01, -0.46131313E+05, -0.41783517E+05, -0.58565365E+06,  0.59964400E+07,  0.30128130E+08,  0.31770142E+07,  0.29345750E-07,  0.47084951E-07,  0.62325115E+00, -0.44620168E+00, -0.44620168E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15931881E+01,  0.46851447E+00,  0.61804697E-02,  0.16669648E+03,  0.54432726E+03,  0.20195946E+03,  0.11848478E-06,  0.11347307E-05,  0.57284051E-06,  0.86923287E+00,  0.96799873E+00,  0.91489589E+00,  0.59263581E-03,  0.14815895E-02,  0.25427510E-02,  0.63568775E-02,  0.26550554E-03,  0.66376385E-03,  0.34832320E-01,  0.27173131E-02,  0.87080799E-01,  0.14416240E+00,  0.19852111E+00,  0.36040599E+00,  0.15588431E-01, -0.35946787E-01,  0.38971078E-01, -0.47430156E+05, -0.42921192E+05, -0.57258400E+06,  0.59012327E+07,  0.25319707E+08,  0.26437990E+07,  0.43919155E-06,  0.16967591E-07,  0.25884143E+02, -0.66348290E+00, -0.66348290E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.21349232E+01,  0.67939948E+00,  0.94767202E-02,  0.16673868E+03,  0.58938278E+03,  0.20389135E+03,  0.11957338E-06,  0.12304636E-05,  0.57611605E-06,  0.85113954E+00,  0.10152714E+01,  0.92013465E+00,  0.58974479E-03,  0.14743620E-02,  0.25196017E-02,  0.62990044E-02,  0.24484861E-03,  0.61212153E-03,  0.34660182E-01,  0.28597730E-02,  0.86650456E-01,  0.14133679E+00,  0.22209787E+00,  0.35334198E+00,  0.14379142E-01, -0.35167337E-01,  0.35947854E-01, -0.47933252E+05, -0.41311388E+05, -0.70931147E+06,  0.58724451E+07,  0.25089196E+08,  0.24381055E+07,  0.17797367E-06,  0.43919155E-06,  0.40523018E+00, -0.57743550E+00, -0.57743550E+00,
