  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.30000000000E+03,-.14282625324E-04,0.00000000000E+00,-.12340188280E+01,0.00000000000E+00,0.57118124416E-12,0.11423624882E-04,0.49350059495E-07,0.98700118978E+00
 0.17280000000E+06,0.54794520548E-02,0.30000000000E+03,-.11108691651E-04,0.22269520446E-08,-.21938097866E+01,0.19240865665E-03,0.57545563393E-12,0.11509112677E-04,0.99069426267E-07,0.19813885251E+01
 0.25920000000E+06,0.82191780822E-02,0.30000000000E+03,-.11579340594E-04,0.18265493250E-08,-.31942648139E+01,0.35022251833E-03,0.57611945044E-12,0.11522389006E-04,0.14884614678E-06,0.29769229352E+01
 0.34560000000E+06,0.10958904110E-01,0.30000000000E+03,-.11529386421E-04,0.20176536403E-08,-.41904038007E+01,0.52454779286E-03,0.57816469358E-12,0.11563293868E-04,0.19879957631E-06,0.39759915254E+01
 0.43200000000E+06,0.13698630137E-01,0.30000000000E+03,-.11625951514E-04,0.19213438344E-08,-.51948860115E+01,0.69055190015E-03,0.58168554603E-12,0.11633710916E-04,0.24905720749E-06,0.49811441485E+01
 0.51840000000E+06,0.16438356164E-01,0.30000000000E+03,-.11687414243E-04,0.19646627087E-08,-.62046786021E+01,0.86029875818E-03,0.58447984648E-12,0.11689596924E-04,0.29955626622E-06,0.59911253228E+01
 0.60480000000E+06,0.19178082192E-01,0.30000000000E+03,-.11755831242E-04,0.19712675581E-08,-.72203824214E+01,0.10306162752E-02,0.58708428067E-12,0.11741685607E-04,0.35028034807E-06,0.70056069593E+01
 0.69120000000E+06,0.21917808219E-01,0.30000000000E+03,-.11808349098E-04,0.19114303863E-08,-.82406237835E+01,0.11957638606E-02,0.59026841298E-12,0.11805368253E-04,0.40127953895E-06,0.80255907763E+01
 0.77760000000E+06,0.24657534247E-01,0.30000000000E+03,-.11867764508E-04,0.19305385102E-08,-.92659986370E+01,0.13625623879E-02,0.59286498098E-12,0.11857299612E-04,0.45250307331E-06,0.90500614629E+01
 0.86400000000E+06,0.27397260274E-01,0.30000000000E+03,-.11926576895E-04,0.18603492177E-08,-.10296454881E+02,0.15232965603E-02,0.59607793991E-12,0.11921558789E-04,0.50400420732E-06,0.10080084142E+02
 0.95040000000E+06,0.30136986301E-01,0.30000000000E+03,-.11988761667E-04,0.18823194600E-08,-.11332283889E+02,0.16859289616E-02,0.59905022759E-12,0.11981004543E-04,0.55576214698E-06,0.11115242935E+02
 0.10368000000E+07,0.32876712329E-01,0.30000000000E+03,-.12048527677E-04,0.18166349736E-08,-.12373276680E+02,0.18428862233E-02,0.60207946230E-12,0.12041589237E-04,0.60778181252E-06,0.12155636245E+02
 0.11232000000E+07,0.35616438356E-01,0.30000000000E+03,-.12117827289E-04,0.18316556518E-08,-.13420256958E+02,0.20011412716E-02,0.60539457645E-12,0.12107891518E-04,0.66008790393E-06,0.13201758072E+02
 0.12096000000E+07,0.38356164384E-01,0.30000000000E+03,-.12174074340E-04,0.18386017604E-08,-.14472096981E+02,0.21599964637E-02,0.60841463702E-12,0.12168292729E-04,0.71265492857E-06,0.14253098564E+02
 0.12960000000E+07,0.41095890411E-01,0.30000000000E+03,-.12248243022E-04,0.18557046176E-08,-.15530345178E+02,0.23203293427E-02,0.61195886400E-12,0.12239177268E-04,0.76552817442E-06,0.15310563480E+02
 0.13824000000E+07,0.43835616438E-01,0.30000000000E+03,-.12311657614E-04,0.18518800125E-08,-.16594072396E+02,0.24803317758E-02,0.61513054267E-12,0.12302610841E-04,0.81867545331E-06,0.16373509056E+02
 0.14688000000E+07,0.46575342466E-01,0.30000000000E+03,-.12380027848E-04,0.18551224910E-08,-.17663706802E+02,0.26406143590E-02,0.61863753511E-12,0.12372750688E-04,0.87212573634E-06,0.17442514716E+02
 0.15552000000E+07,0.49315068493E-01,0.30000000000E+03,-.12448168194E-04,0.18574977005E-08,-.18739228534E+02,0.28011021603E-02,0.62197227838E-12,0.12439445553E-04,0.92586414119E-06,0.18517282812E+02
 0.16416000000E+07,0.52054794521E-01,0.30000000000E+03,-.12515744833E-04,0.18408150771E-08,-.19820588887E+02,0.29601485830E-02,0.62550887893E-12,0.12510177564E-04,0.97990810833E-06,0.19598162153E+02
 0.17280000000E+07,0.54794520548E-01,0.30000000000E+03,-.12590255058E-04,0.18377655651E-08,-.20908386924E+02,0.31189315278E-02,0.62910699019E-12,0.12582139788E-04,0.10342629523E-05,0.20685259031E+02
 0.18144000000E+07,0.57534246575E-01,0.30000000000E+03,-.12659724229E-04,0.18305126029E-08,-.22002187098E+02,0.32770878167E-02,0.63267114674E-12,0.12653422917E-04,0.10889257394E-05,0.21778514771E+02
 0.19008000000E+07,0.60273972603E-01,0.30000000000E+03,-.12736527305E-04,0.18385550708E-08,-.23102623057E+02,0.34359389748E-02,0.63643756519E-12,0.12728751286E-04,0.11439139450E-05,0.22878278882E+02
 0.19872000000E+07,0.63013698630E-01,0.30000000000E+03,-.12810580555E-04,0.18311559201E-08,-.24209457217E+02,0.35941508463E-02,0.64013635300E-12,0.12802727041E-04,0.11992217259E-05,0.23984434498E+02
 0.20736000000E+07,0.65753424658E-01,0.30000000000E+03,-.12885669318E-04,0.18360432301E-08,-.25322779046E+02,0.37527849814E-02,0.64387587708E-12,0.12877517521E-04,0.12548526017E-05,0.25097052012E+02
