  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59997012376E-05,0.26614641299E-07,-.51837418693E+00,0.22995050082E-02,0.26404620606E-12,0.52809241160E-05,0.22813592204E-07,0.45627184363E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52220060765E-05,0.78568431685E-07,-.96955551194E+00,0.90878175058E-02,0.26646115213E-12,0.53292230364E-05,0.45835835747E-07,0.91671671397E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.56109418139E-05,0.14040958786E-06,-.14543408847E+01,0.21219205897E-01,0.26707044733E-12,0.53414089331E-05,0.68910722397E-07,0.13782144458E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54320108171E-05,0.14244007342E-06,-.19236666193E+01,0.33526028241E-01,0.26734969722E-12,0.53469939319E-05,0.92009736237E-07,0.18401947215E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55018542253E-05,0.17424033497E-06,-.23990268243E+01,0.48580393182E-01,0.26817898464E-12,0.53635796753E-05,0.11518040051E-06,0.23036080055E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55001172243E-05,0.18637287360E-06,-.28742369525E+01,0.64683009460E-01,0.26864134646E-12,0.53728269095E-05,0.13839101284E-06,0.27678202504E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55737403159E-05,0.20625826915E-06,-.33558081158E+01,0.82503723915E-01,0.26956638113E-12,0.53913275967E-05,0.16168154817E-06,0.32336309548E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55867660168E-05,0.21527646874E-06,-.38385046996E+01,0.10110361081E+00,0.26995774637E-12,0.53991548986E-05,0.18500589746E-06,0.37001179380E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56292380217E-05,0.22718104424E-06,-.43248708647E+01,0.12073205304E+00,0.27076599106E-12,0.54153197915E-05,0.20840007909E-06,0.41680015680E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56498257074E-05,0.23146892102E-06,-.48130158058E+01,0.14073096781E+00,0.27130600430E-12,0.54261200527E-05,0.23184091786E-06,0.46368183406E+01
