gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.80769231E+00, -0.80769231E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293907E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694174E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094058E+02,  0.70040994E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504854E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.87500000E+00, -0.87500000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.59887865E+01,  0.59887865E+01,  0.47694754E-02,  0.16709623E+03,  0.73928424E+03,  0.20081164E+03,  0.98533460E-09,  0.12988888E-05,  0.27354079E-06,  0.83593360E+00,  0.37383363E+01,  0.21310347E+01,  0.22138593E-02,  0.55346484E-01,  0.16745581E+00,  0.41863952E+01,  0.12703166E-03,  0.31757915E-02,  0.11865197E+00,  0.17375294E+00,  0.29662992E+01,  0.57173166E+01,  0.40082387E+02,  0.14293292E+03,  0.52441485E-02,  0.63938783E-04,  0.13110371E+00, -0.17491134E+06, -0.16785463E+06, -0.80654995E+07,  0.40251988E+08,  0.30446510E+10,  0.23096666E+07,  0.62377608E-06,  0.67480606E-06,  0.92437830E+00, -0.72222222E+00, -0.72222222E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.16814279E+01,  0.48738748E+00,  0.43720191E-02,  0.16666675E+03,  0.30133834E+03,  0.19983861E+03,  0.19967338E-08,  0.15139792E-05,  0.27277036E-06,  0.84078793E+00,  0.98559039E+00,  0.89723716E+00,  0.21249974E-02,  0.53124934E-01,  0.82634950E-01,  0.20658738E+01,  0.10898432E-03,  0.27246080E-02,  0.11761626E+00,  0.13789665E+00,  0.29404064E+01,  0.44813706E+01,  0.11074174E+02,  0.11203427E+03,  0.52834314E-02,  0.57437711E-04,  0.13208578E+00, -0.16844338E+06, -0.16669132E+06, -0.66854888E+06,  0.38636316E+08,  0.15024536E+10,  0.19815331E+07,  0.11948493E-06,  0.21731561E-06,  0.54982211E+00, -0.75833333E+00, -0.75833333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25788345E+01,  0.35503758E+00,  0.49682035E-02,  0.16676316E+03,  0.27756766E+03,  0.19975706E+03,  0.17536702E-08,  0.13510055E-05,  0.27228895E-06,  0.86849867E+00,  0.10242580E+01,  0.90998570E+00,  0.21347832E-02,  0.53369581E-01,  0.94088388E-01,  0.23522097E+01,  0.12213126E-03,  0.30532814E-02,  0.11780075E+00,  0.14145308E+00,  0.29450187E+01,  0.49529713E+01,  0.12324259E+02,  0.12382428E+03,  0.52791926E-02, -0.10726766E-02,  0.13197982E+00, -0.16858298E+06, -0.16678129E+06, -0.59313378E+06,  0.38814241E+08,  0.17106980E+10,  0.22205683E+07,  0.59762768E-07,  0.91581060E-07,  0.65256689E+00, -0.76250000E+00, -0.76250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24691700E+01,  0.39490425E+00,  0.49682035E-02,  0.16667714E+03,  0.26332438E+03,  0.19973341E+03,  0.19664039E-08,  0.14053123E-05,  0.27239472E-06,  0.83537829E+00,  0.99934790E+00,  0.90482074E+00,  0.21267965E-02,  0.53169912E-01,  0.83909515E-01,  0.20977379E+01,  0.11741162E-03,  0.29352906E-02,  0.11766361E+00,  0.13846632E+00,  0.29415901E+01,  0.45406858E+01,  0.11119893E+02,  0.11351714E+03,  0.52825154E-02, -0.25322238E-02,  0.13206288E+00, -0.16857245E+06, -0.16671444E+06, -0.55027631E+06,  0.38669027E+08,  0.15256275E+10,  0.21347568E+07,  0.17090499E-07,  0.30115298E-07,  0.56750225E+00, -0.55833333E+00, -0.55833333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24590646E+01,  0.43889022E+00,  0.53656598E-02,  0.16670917E+03,  0.25557990E+03,  0.19972694E+03,  0.19730126E-08,  0.14003654E-05,  0.27236588E-06,  0.83664411E+00,  0.10044736E+01,  0.90573079E+00,  0.21266807E-02,  0.53167018E-01,  0.83628458E-01,  0.20907114E+01,  0.11782639E-03,  0.29456598E-02,  0.11765263E+00,  0.13845229E+00,  0.29413157E+01,  0.45348696E+01,  0.11108449E+02,  0.11337174E+03,  0.52825689E-02, -0.15462161E-02,  0.13206422E+00, -0.16857028E+06, -0.16671334E+06, -0.52782218E+06,  0.38666922E+08,  0.15205174E+10,  0.21422980E+07,  0.10266165E-07,  0.17090499E-07,  0.60069429E+00, -0.64444444E+00, -0.64444444E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24400865E+01,  0.43760107E+00,  0.51669316E-02,  0.16671040E+03,  0.25788923E+03,  0.19972546E+03,  0.93293834E-09,  0.12946958E-05,  0.27152753E-06,  0.83771393E+00,  0.10071960E+01,  0.90680343E+00,  0.21914181E-02,  0.54785453E-01,  0.17686056E+00,  0.44215141E+01,  0.12744306E-03,  0.31860766E-02,  0.11729717E+00,  0.16627445E+00,  0.29324293E+01,  0.29957528E+01,  0.49792823E+02,  0.74893819E+02,  0.52611353E-02,  0.60512863E-04,  0.13152838E+00, -0.16922214E+06, -0.16735397E+06, -0.53652221E+06,  0.39843966E+08,  0.32156466E+10,  0.23171466E+07,  0.34277273E-06,  0.10266165E-07,  0.33388585E+02, -0.87500000E+00, -0.87500000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.43059368E+01,  0.43472333E+00,  0.59618442E-02,  0.16666667E+03,  0.59926895E+03,  0.20070435E+03,  0.12554511E-08,  0.13066948E-05,  0.27265866E-06,  0.85116629E+00,  0.10962912E+01,  0.91185191E+00,  0.22348568E-02,  0.55871421E-01,  0.13142686E+00,  0.32856715E+01,  0.12627280E-03,  0.31568199E-02,  0.11559078E+00,  0.19078104E+00,  0.28897695E+01,  0.34172828E+01,  0.38583164E+02,  0.85432069E+02,  0.63314161E-03, -0.91952398E-02,  0.15828540E-01, -0.17571086E+06, -0.16907347E+06, -0.30760159E+07,  0.40633761E+08,  0.23895793E+10,  0.22958690E+07,  0.13826353E-06,  0.34277273E-06,  0.40336795E+00, -0.80000000E+00, -0.80000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.14320586E+01,  0.43439489E+00,  0.53656598E-02,  0.16673409E+03,  0.44493159E+03,  0.20041250E+03,  0.16007124E-08,  0.13016344E-05,  0.27264809E-06,  0.84724155E+00,  0.11290076E+01,  0.91147336E+00,  0.22113393E-02,  0.55283482E-01,  0.10307910E+00,  0.25769776E+01,  0.12676370E-03,  0.31690926E-02,  0.11830650E+00,  0.17472538E+00,  0.29576625E+01,  0.50902528E+01,  0.17605633E+02,  0.12725632E+03,  0.55527296E-05,  0.64954006E-04,  0.13881824E-03, -0.17350450E+06, -0.16823796E+06, -0.13495132E+07,  0.40206169E+08,  0.18741655E+10,  0.23047946E+07,  0.92917947E-07,  0.13826353E-06,  0.67203510E+00, -0.76000000E+00, -0.76000000E+00,
