  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.46933297708E-05,0.12581840120E-07,-.40550369219E+00,0.10870709864E-02,0.26500785255E-12,0.53001570464E-05,0.22896678460E-07,0.45793356881E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.51608984915E-05,0.79957477838E-07,-.85140532186E+00,0.79953970716E-02,0.26620530144E-12,0.53241060222E-05,0.45896816505E-07,0.91793632912E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.54142447919E-05,0.13132736077E-06,-.13191960719E+01,0.19342081042E-01,0.26683297807E-12,0.53366595483E-05,0.68951185811E-07,0.13790237141E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54397054161E-05,0.15263722985E-06,-.17891866198E+01,0.32529937700E-01,0.26744018024E-12,0.53488035912E-05,0.92058017384E-07,0.18411603444E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55230922541E-05,0.17675717470E-06,-.22663817906E+01,0.47801757594E-01,0.26827653191E-12,0.53655306236E-05,0.11523710974E-06,0.23047421903E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55321480338E-05,0.19173372386E-06,-.27443593807E+01,0.64367551336E-01,0.26879960251E-12,0.53759920294E-05,0.13846139540E-06,0.27692279016E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55743857406E-05,0.20863626209E-06,-.32259863087E+01,0.82393724380E-01,0.26936910807E-12,0.53873821386E-05,0.16173488634E-06,0.32346977184E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55876921023E-05,0.21946056327E-06,-.37087629063E+01,0.10135511705E+00,0.27003642944E-12,0.54007285599E-05,0.18506603384E-06,0.37013206659E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56316387592E-05,0.22912283123E-06,-.41953364951E+01,0.12115132966E+00,0.27065240495E-12,0.54130480695E-05,0.20845040163E-06,0.41690080191E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56530859484E-05,0.23354703058E-06,-.46837631211E+01,0.14132979311E+00,0.27131907589E-12,0.54263814807E-05,0.23189236978E-06,0.46378473791E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56738394751E-05,0.24040977260E-06,-.51739828517E+01,0.16210119746E+00,0.27194333820E-12,0.54388667241E-05,0.25538827420E-06,0.51077654640E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56775381991E-05,0.24718550830E-06,-.56645221521E+01,0.18345802538E+00,0.27257882802E-12,0.54515765174E-05,0.27893908494E-06,0.55787816751E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.56930932284E-05,0.25092175021E-06,-.61564054071E+01,0.20513766459E+00,0.27321229192E-12,0.54642457912E-05,0.30254462697E-06,0.60508925115E+01
