gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293910E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877669E+00,  0.44694173E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016397E+01,  0.52094057E+02,  0.70040993E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504853E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.59090909E-01, -0.59090909E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.11845940E+01,  0.00000000E+00,  0.00000000E+00,  0.17232575E+03,  0.20000000E+03,  0.19991704E+03,  0.95799127E-09,  0.13280708E-05,  0.27220650E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21850500E-02,  0.54626251E-01,  0.17223539E+00,  0.43058847E+01,  0.12424036E-03,  0.31060090E-02,  0.11820365E+00,  0.16159806E+00,  0.29550913E+01,  0.58269638E+01,  0.41416045E+02,  0.14567409E+03,  0.52633269E-02,  0.59812458E-04,  0.13158317E+00, -0.16733495E+06, -0.16723627E+06, -0.20545822E+06,  0.39728182E+08,  0.31315525E+10,  0.22589157E+07,  0.60334002E-06,  0.67480606E-06,  0.89409394E+00, -0.35000000E+00, -0.35000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25265854E+01,  0.53516929E+00,  0.57631161E-02,  0.16668253E+03,  0.24353661E+03,  0.19978960E+03,  0.14836052E-08,  0.13182159E-05,  0.27217000E-06,  0.85296038E+00,  0.10814834E+01,  0.93872691E+00,  0.21474376E-02,  0.53685941E-01,  0.11121557E+00,  0.27803892E+01,  0.12516918E-03,  0.31292295E-02,  0.11807542E+00,  0.14587212E+00,  0.29518856E+01,  0.55765529E+01,  0.17078347E+02,  0.13941382E+03,  0.52741837E-02,  0.58633428E-04,  0.13185459E+00, -0.16819863E+06, -0.16688901E+06, -0.49427105E+06,  0.39044321E+08,  0.20221013E+10,  0.22758033E+07,  0.11813185E-06,  0.92302132E-07,  0.12798388E+01, -0.88888889E+00, -0.88888889E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25486559E+01,  0.30627010E+00,  0.51669316E-02,  0.16684463E+03,  0.25711764E+03,  0.19974846E+03,  0.89501425E-09,  0.12948184E-05,  0.27156353E-06,  0.83925334E+00,  0.93883247E+00,  0.89057033E+00,  0.21947859E-02,  0.54869647E-01,  0.18435461E+00,  0.46088652E+01,  0.12743100E-03,  0.31857750E-02,  0.11816034E+00,  0.16556826E+00,  0.29540085E+01,  0.53053329E+01,  0.47265248E+02,  0.13263332E+03,  0.52606371E-02,  0.60644469E-04,  0.13151593E+00, -0.16911333E+06, -0.16732023E+06, -0.53418093E+06,  0.39905198E+08,  0.33519019E+10,  0.23169272E+07,  0.34763067E-06,  0.54989664E-07,  0.63217456E+01, -0.88888889E+00, -0.88888889E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.44360548E+01,  0.44762161E+00,  0.57631161E-02,  0.16668571E+03,  0.60367225E+03,  0.20074901E+03,  0.12794021E-08,  0.13060724E-05,  0.27277258E-06,  0.84658090E+00,  0.12595485E+01,  0.96416315E+00,  0.22316426E-02,  0.55791066E-01,  0.12896649E+00,  0.32241622E+01,  0.12633296E-03,  0.31583241E-02,  0.11604203E+00,  0.18898945E+00,  0.29010507E+01,  0.35215915E+01,  0.37357468E+02,  0.88039789E+02,  0.60119913E-03, -0.43682402E-02,  0.15029978E-01, -0.17570679E+06, -0.16897846E+06, -0.31556440E+07,  0.40575321E+08,  0.23448452E+10,  0.22969630E+07,  0.15454216E-06,  0.34763067E-06,  0.44455846E+00, -0.75555556E+00, -0.75555556E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.12836517E+01,  0.65256317E+00,  0.57631161E-02,  0.16705658E+03,  0.45032196E+03,  0.20042208E+03,  0.13669625E-08,  0.13004219E-05,  0.27275853E-06,  0.84557212E+00,  0.10978789E+01,  0.92370217E+00,  0.22083317E-02,  0.55208293E-01,  0.12070558E+00,  0.30176394E+01,  0.12688190E-03,  0.31720475E-02,  0.11846719E+00,  0.17282283E+00,  0.29616796E+01,  0.54722486E+01,  0.22599131E+02,  0.13680622E+03,  0.33088012E-02,  0.64139012E-04,  0.82720031E-01, -0.17326097E+06, -0.16808229E+06, -0.13843521E+07,  0.40151486E+08,  0.21946468E+10,  0.23069436E+07,  0.10232519E-06,  0.15454216E-06,  0.66211833E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22408019E+01,  0.41840868E+00,  0.53656598E-02,  0.16667117E+03,  0.49695016E+03,  0.20039569E+03,  0.12180904E-08,  0.13000100E-05,  0.27256434E-06,  0.83759102E+00,  0.10145952E+01,  0.90302168E+00,  0.22105193E-02,  0.55262982E-01,  0.13545793E+00,  0.33864481E+01,  0.12692210E-03,  0.31730524E-02,  0.11857616E+00,  0.17308460E+00,  0.29644040E+01,  0.59464068E+01,  0.26495421E+02,  0.14866017E+03,  0.21275138E-02,  0.63439138E-04,  0.53187846E-01, -0.17340654E+06, -0.16800281E+06, -0.17472664E+07,  0.40191260E+08,  0.24628714E+10,  0.23076745E+07,  0.16458409E-07,  0.29759063E-07,  0.55305536E+00, -0.41000000E+00, -0.41000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22279036E+01,  0.42541301E+00,  0.49682035E-02,  0.16667587E+03,  0.49305515E+03,  0.20038952E+03,  0.12060996E-08,  0.12999515E-05,  0.27257458E-06,  0.83779128E+00,  0.10129430E+01,  0.90556727E+00,  0.22106003E-02,  0.55265007E-01,  0.13680462E+00,  0.34201156E+01,  0.12692781E-03,  0.31731953E-02,  0.11859020E+00,  0.17304857E+00,  0.29647550E+01,  0.59602938E+01,  0.27010476E+02,  0.14900735E+03,  0.25599157E-02,  0.63435951E-04,  0.63997891E-01, -0.17341322E+06, -0.16799507E+06, -0.17128075E+07,  0.40192732E+08,  0.24873568E+10,  0.23077784E+07,  0.68137647E-08,  0.16458409E-07,  0.41399899E+00, -0.60000000E+00, -0.60000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.21891433E+01,  0.37387325E+00,  0.49682035E-02,  0.16668747E+03,  0.49263021E+03,  0.20038304E+03,  0.98543222E-09,  0.12988094E-05,  0.27290458E-06,  0.83802030E+00,  0.10134318E+01,  0.90669772E+00,  0.22141389E-02,  0.55353473E-01,  0.16743922E+00,  0.41859805E+01,  0.12703942E-03,  0.31759856E-02,  0.11856180E+00,  0.17412838E+00,  0.29640450E+01,  0.56891438E+01,  0.40176503E+02,  0.14222860E+03,  0.52444692E-02,  0.63214097E-04,  0.13111173E+00, -0.17326490E+06, -0.16784530E+06, -0.17075824E+07,  0.40257071E+08,  0.30443494E+10,  0.23098077E+07,  0.29842282E-06,  0.68137647E-08,  0.43797053E+02, -0.88888889E+00, -0.88888889E+00,
