  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.60947157202E-05,0.71707968467E-07,-.52658343823E+00,0.61955684756E-02,0.26586702916E-12,0.53173405797E-05,0.22970911320E-07,0.45941822609E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.51715492595E-05,0.10922937073E-06,-.97340529425E+00,0.15632986107E-01,0.26636734699E-12,0.53273469335E-05,0.45985050100E-07,0.91970100114E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53873424928E-05,0.14178004223E-06,-.14388716856E+01,0.27882781755E-01,0.26683509624E-12,0.53367019151E-05,0.69039602414E-07,0.13807920466E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54443321798E-05,0.16562626323E-06,-.19092619860E+01,0.42192890898E-01,0.26752972744E-12,0.53505945333E-05,0.92154170866E-07,0.18430834143E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55051810206E-05,0.18606120370E-06,-.23849096261E+01,0.58268578898E-01,0.26821920503E-12,0.53643840829E-05,0.11532831018E-06,0.23065661990E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55377495316E-05,0.19848233566E-06,-.28633711857E+01,0.75417452699E-01,0.26883275669E-12,0.53766551139E-05,0.13855546036E-06,0.27711092009E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55818110353E-05,0.21266572308E-06,-.33456396591E+01,0.93791771173E-01,0.26944495648E-12,0.53888991068E-05,0.16183550460E-06,0.32367100837E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.56068265606E-05,0.22136316463E-06,-.38300694740E+01,0.11291754860E+00,0.27011897879E-12,0.54023795501E-05,0.18517378437E-06,0.37034756768E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56315805362E-05,0.22938983093E-06,-.43166380323E+01,0.13273682999E+00,0.27067918188E-12,0.54135836081E-05,0.20856046568E-06,0.41712093006E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56556125436E-05,0.23460135221E-06,-.48052829561E+01,0.15300638682E+00,0.27137430309E-12,0.54274860291E-05,0.23200720547E-06,0.46401440935E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56756371146E-05,0.23980748834E-06,-.52956580028E+01,0.17372575381E+00,0.27198875163E-12,0.54397749934E-05,0.25550703361E-06,0.51101406529E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56913340755E-05,0.24597693669E-06,-.57873892669E+01,0.19497816114E+00,0.27259686272E-12,0.54519372113E-05,0.27905940255E-06,0.55811880280E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57053935696E-05,0.24989381914E-06,-.62803352713E+01,0.21656898712E+00,0.27324584345E-12,0.54649168222E-05,0.30266784342E-06,0.60533568414E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57084178440E-05,0.25384903876E-06,-.67735425730E+01,0.23850154407E+00,0.27385337196E-12,0.54770673886E-05,0.32632877476E-06,0.65265754638E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57244191463E-05,0.25772906568E-06,-.72681323872E+01,0.26076933534E+00,0.27450952184E-12,0.54901903827E-05,0.35004639744E-06,0.70009279129E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57355715464E-05,0.26035430901E-06,-.77636857689E+01,0.28326394764E+00,0.27510264160E-12,0.55020527743E-05,0.37381526568E-06,0.74763052726E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57519505980E-05,0.26309679800E-06,-.82606543005E+01,0.30599551099E+00,0.27576159867E-12,0.55152319122E-05,0.39764106780E-06,0.79528213098E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57694555626E-05,0.26397944972E-06,-.87591352611E+01,0.32880333544E+00,0.27633343031E-12,0.55266685410E-05,0.42151627618E-06,0.84303254717E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57831409342E-05,0.26560121326E-06,-.92587986378E+01,0.35175128027E+00,0.27699915451E-12,0.55399830215E-05,0.44544900313E-06,0.89089800048E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.58049673893E-05,0.26668122874E-06,-.97603478203E+01,0.37479253843E+00,0.27756020071E-12,0.55512039416E-05,0.46943020447E-06,0.93886040253E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58140959836E-05,0.26745241566E-06,-.10262685713E+02,0.39790042715E+00,0.27821673829E-12,0.55643346892E-05,0.49346813066E-06,0.98693625425E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58265760276E-05,0.26850116147E-06,-.10766101882E+02,0.42109892750E+00,0.27881800064E-12,0.55763599324E-05,0.51755800592E-06,0.10351160041E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58424897199E-05,0.26909246835E-06,-.11270892994E+02,0.44434851676E+00,0.27947045815E-12,0.55894090789E-05,0.54170425350E-06,0.10834084985E+02
 0.20736000000E+07,0.65753424658E-01,0.40000000000E+03,-.58540901083E-05,0.26953205168E-06,-.11776686379E+02,0.46763608603E+00,0.28009761051E-12,0.56019521225E-05,0.56590468705E-06,0.11318093648E+02
 0.21600000000E+07,0.68493150685E-01,0.40000000000E+03,-.58695940585E-05,0.26976456265E-06,-.12283819306E+02,0.49094374424E+00,0.28071371237E-12,0.56142741557E-05,0.59015835180E-06,0.11803166936E+02
 0.22464000000E+07,0.71232876712E-01,0.40000000000E+03,-.58810004195E-05,0.27005394135E-06,-.12791937742E+02,0.51427640477E+00,0.28136409436E-12,0.56272817918E-05,0.61446820955E-06,0.12289364082E+02
 0.23328000000E+07,0.73972602740E-01,0.40000000000E+03,-.58942717413E-05,0.26993622004E-06,-.13301202821E+02,0.53759889418E+00,0.28198757611E-12,0.56397514229E-05,0.63883193613E-06,0.12776638605E+02
 0.24192000000E+07,0.76712328767E-01,0.40000000000E+03,-.59084122076E-05,0.26965735726E-06,-.13811689635E+02,0.56089728985E+00,0.28264389376E-12,0.56528777722E-05,0.66325236855E-06,0.13265047245E+02
 0.25056000000E+07,0.79452054795E-01,0.40000000000E+03,-.59217647933E-05,0.26962729274E-06,-.14323330113E+02,0.58419308794E+00,0.28329118994E-12,0.56658236919E-05,0.68772872736E-06,0.13754574412E+02
 0.25920000000E+07,0.82191780822E-01,0.40000000000E+03,-.59352361555E-05,0.26941603019E-06,-.14836134517E+02,0.60747063295E+00,0.28393554238E-12,0.56787107368E-05,0.71226075822E-06,0.14245215019E+02
 0.26784000000E+07,0.84931506849E-01,0.40000000000E+03,-.59481314805E-05,0.26870557172E-06,-.15350053077E+02,0.63068679435E+00,0.28459719024E-12,0.56919436901E-05,0.73684995546E-06,0.14736998954E+02
 0.27648000000E+07,0.87671232877E-01,0.40000000000E+03,-.59610148333E-05,0.26795973119E-06,-.15865084759E+02,0.65383851512E+00,0.28524812090E-12,0.57049622994E-05,0.76149539310E-06,0.15229907697E+02
 0.28512000000E+07,0.90410958904E-01,0.40000000000E+03,-.59737954287E-05,0.26720790533E-06,-.16381220684E+02,0.67692527815E+00,0.28592100695E-12,0.57184200163E-05,0.78619896810E-06,0.15723979186E+02
 0.29376000000E+07,0.93150684932E-01,0.40000000000E+03,-.59868729270E-05,0.26637568312E-06,-.16898486505E+02,0.69994013717E+00,0.28659822462E-12,0.57319643657E-05,0.81096105471E-06,0.16219220908E+02
 0.30240000000E+07,0.95890410959E-01,0.40000000000E+03,-.59998180841E-05,0.26558190278E-06,-.17416870787E+02,0.72288641357E+00,0.28727068621E-12,0.57454135937E-05,0.83578124200E-06,0.16715624642E+02
 0.31104000000E+07,0.98630136986E-01,0.40000000000E+03,-.60137854722E-05,0.26482295505E-06,-.17936461852E+02,0.74576711688E+00,0.28796409034E-12,0.57592816722E-05,0.86066133940E-06,0.17213226578E+02
 0.31968000000E+07,0.10136986301E+00,0.40000000000E+03,-.60268102882E-05,0.26373826907E-06,-.18457178261E+02,0.76855410333E+00,0.28863966532E-12,0.57727931742E-05,0.88559980649E-06,0.17711995909E+02
 0.32832000000E+07,0.10410958904E+00,0.40000000000E+03,-.60409007996E-05,0.26278351866E-06,-.18979112090E+02,0.79125859934E+00,0.28935546087E-12,0.57871090821E-05,0.91060011831E-06,0.18212002133E+02
 0.33696000000E+07,0.10684931507E+00,0.40000000000E+03,-.60541772573E-05,0.26190450774E-06,-.19502193005E+02,0.81388714881E+00,0.29005005413E-12,0.58010009435E-05,0.93566044298E-06,0.18713208615E+02
 0.34560000000E+07,0.10958904110E+00,0.40000000000E+03,-.60679365572E-05,0.26079478950E-06,-.20026462724E+02,0.83641981862E+00,0.29075141316E-12,0.58150281203E-05,0.96078136508E-06,0.19215627045E+02
 0.35424000000E+07,0.11232876712E+00,0.40000000000E+03,-.60819846387E-05,0.25970748887E-06,-.20551946196E+02,0.85885854566E+00,0.29148262630E-12,0.58296523793E-05,0.98596546399E-06,0.19719309010E+02
 0.36288000000E+07,0.11506849315E+00,0.40000000000E+03,-.60958691603E-05,0.25895451833E-06,-.21078629292E+02,0.88123221605E+00,0.29219530383E-12,0.58439059261E-05,0.10112111382E-05,0.20224222482E+02
 0.37152000000E+07,0.11780821918E+00,0.40000000000E+03,-.61101515623E-05,0.25783677135E-06,-.21606546387E+02,0.90350931309E+00,0.29294625430E-12,0.58589249318E-05,0.10365216946E-05,0.20730433596E+02
