gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.80327143E+00, -0.80327143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293907E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694174E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094058E+02,  0.70040994E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504854E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.82797619E+00, -0.82797619E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.55611110E+01,  0.55611110E+01,  0.47694754E-02,  0.16676271E+03,  0.66543621E+03,  0.20067974E+03,  0.91211744E-09,  0.12983570E-05,  0.27330985E-06,  0.83424084E+00,  0.33628937E+01,  0.19517487E+01,  0.22152561E-02,  0.55381402E-01,  0.18089776E+00,  0.45224440E+01,  0.12708369E-03,  0.31770924E-02,  0.11840245E+00,  0.17462902E+00,  0.29600612E+01,  0.51402215E+01,  0.46561622E+02,  0.12850554E+03,  0.52462970E-02,  0.63502273E-04,  0.13115742E+00, -0.17254717E+06, -0.16778444E+06, -0.46355445E+07,  0.40277383E+08,  0.32890502E+10,  0.23106126E+07,  0.58121713E-06,  0.67480606E-06,  0.86130988E+00, -0.69052381E+00, -0.69052381E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.17345392E+01,  0.51403781E+00,  0.49682035E-02,  0.16667348E+03,  0.29973302E+03,  0.19983893E+03,  0.19760507E-08,  0.15044386E-05,  0.27276560E-06,  0.83540199E+00,  0.10996737E+01,  0.91389546E+00,  0.21258196E-02,  0.53145491E-01,  0.83499880E-01,  0.20874970E+01,  0.10967546E-03,  0.27418866E-02,  0.11763662E+00,  0.13817336E+00,  0.29409155E+01,  0.45184343E+01,  0.11101294E+02,  0.11296086E+03,  0.52830554E-02,  0.57551190E-04,  0.13207638E+00, -0.16848222E+06, -0.16669956E+06, -0.66326169E+06,  0.38651266E+08,  0.15181796E+10,  0.19940993E+07,  0.11428004E-06,  0.21268563E-06,  0.53731906E+00, -0.75050476E+00, -0.75050476E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24992955E+01,  0.33039158E+00,  0.43720191E-02,  0.16669408E+03,  0.27554286E+03,  0.19975599E+03,  0.89014923E-09,  0.12948613E-05,  0.27156033E-06,  0.86760399E+00,  0.94491615E+00,  0.90187814E+00,  0.21954366E-02,  0.54885914E-01,  0.18536218E+00,  0.46340544E+01,  0.12742677E-03,  0.31856693E-02,  0.11813953E+00,  0.16588526E+00,  0.29534883E+01,  0.52545486E+01,  0.47745255E+02,  0.13136372E+03,  0.52604626E-02,  0.60670907E-04,  0.13151157E+00, -0.16913888E+06, -0.16732550E+06, -0.58887315E+06,  0.39917028E+08,  0.33702214E+10,  0.23168504E+07,  0.34578002E-06,  0.82947183E-07,  0.41686771E+01, -0.76230952E+00, -0.76230952E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.39976842E+01,  0.44570328E+00,  0.61605723E-02,  0.16711054E+03,  0.53924178E+03,  0.20053500E+03,  0.13068069E-08,  0.13055379E-05,  0.27221380E-06,  0.85219140E+00,  0.12300057E+01,  0.94061774E+00,  0.22302132E-02,  0.55755330E-01,  0.12626196E+00,  0.31565490E+01,  0.12638469E-03,  0.31596173E-02,  0.11655241E+00,  0.18732923E+00,  0.29138102E+01,  0.37273890E+01,  0.35662334E+02,  0.93184725E+02,  0.78725403E-05, -0.14539968E-01,  0.19681351E-03, -0.17431893E+06, -0.16888035E+06, -0.21919431E+07,  0.40549331E+08,  0.22956720E+10,  0.22979035E+07,  0.13661623E-06,  0.34578002E-06,  0.39509579E+00, -0.74847436E+00, -0.74847436E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.16539532E+01,  0.61066275E+00,  0.59618442E-02,  0.16682921E+03,  0.46740272E+03,  0.20049435E+03,  0.15832983E-08,  0.13014872E-05,  0.27272757E-06,  0.84825552E+00,  0.10578986E+01,  0.90687198E+00,  0.22103286E-02,  0.55258215E-01,  0.10421283E+00,  0.26053209E+01,  0.12677805E-03,  0.31694511E-02,  0.11830394E+00,  0.17429727E+00,  0.29575985E+01,  0.51016051E+01,  0.17040078E+02,  0.12754013E+03,  0.54716845E-03,  0.65006452E-04,  0.13679211E-01, -0.17365530E+06, -0.16822254E+06, -0.15074935E+07,  0.40187793E+08,  0.18947788E+10,  0.23050554E+07,  0.88481380E-07,  0.13661623E-06,  0.64766374E+00, -0.67911905E+00, -0.67911905E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22407197E+01,  0.42161640E+00,  0.53656598E-02,  0.16676412E+03,  0.50735549E+03,  0.20041398E+03,  0.13704970E-08,  0.13008022E-05,  0.27251369E-06,  0.84576648E+00,  0.10121904E+01,  0.90356605E+00,  0.22109960E-02,  0.55274899E-01,  0.12039428E+00,  0.30098569E+01,  0.12684481E-03,  0.31711201E-02,  0.11848782E+00,  0.17365074E+00,  0.29621956E+01,  0.56920523E+01,  0.21044821E+02,  0.14230131E+03,  0.56449655E-03,  0.64106892E-04,  0.14112414E-01, -0.17361976E+06, -0.16810690E+06, -0.18444183E+07,  0.40199926E+08,  0.21889868E+10,  0.23062692E+07,  0.17551095E-07,  0.29836893E-07,  0.58823465E+00, -0.57613095E+00, -0.57613095E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22884395E+01,  0.45351448E+00,  0.53656598E-02,  0.16668580E+03,  0.50338939E+03,  0.20040455E+03,  0.13382997E-08,  0.13007288E-05,  0.27249852E-06,  0.84558986E+00,  0.10121517E+01,  0.90658395E+00,  0.22113988E-02,  0.55284970E-01,  0.12329077E+00,  0.30822693E+01,  0.12685196E-03,  0.31712991E-02,  0.11853574E+00,  0.17362034E+00,  0.29633936E+01,  0.57982396E+01,  0.21757544E+02,  0.14495599E+03,  0.19169679E-03,  0.63992112E-04,  0.47924198E-02, -0.17361847E+06, -0.16809238E+06, -0.18069085E+07,  0.40207251E+08,  0.22416504E+10,  0.23063994E+07,  0.73555455E-08,  0.17551095E-07,  0.41909326E+00, -0.58544653E+00, -0.58544653E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22311180E+01,  0.37660873E+00,  0.49682035E-02,  0.16670218E+03,  0.50387938E+03,  0.20040035E+03,  0.99117915E-09,  0.12988605E-05,  0.27293924E-06,  0.84509859E+00,  0.10125878E+01,  0.90824632E+00,  0.22141957E-02,  0.55354893E-01,  0.16646839E+00,  0.41617098E+01,  0.12703443E-03,  0.31758608E-02,  0.11858208E+00,  0.17410591E+00,  0.29645519E+01,  0.57220159E+01,  0.39708363E+02,  0.14305040E+03,  0.52442630E-02,  0.63279628E-04,  0.13110658E+00, -0.17337126E+06, -0.16785185E+06, -0.18088809E+07,  0.40258104E+08,  0.30266981E+10,  0.23097169E+07,  0.29800815E-06,  0.73555455E-08,  0.40514759E+02, -0.77105181E+00, -0.77105181E+00,
