  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59902890791E-05,0.30012063136E-07,-.51756097643E+00,0.25930422549E-02,0.26404748489E-12,0.52809496937E-05,0.22813702694E-07,0.45627405354E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52034313475E-05,0.90476534463E-07,-.96713744486E+00,0.10410214833E-01,0.26649627766E-12,0.53299255462E-05,0.45838981084E-07,0.91677962073E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53837929042E-05,0.12628553843E-06,-.14322971518E+01,0.21321285353E-01,0.26664581334E-12,0.53329162573E-05,0.68877179357E-07,0.13775435854E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54486848030E-05,0.14905350946E-06,-.19030635188E+01,0.34199508571E-01,0.26742484498E-12,0.53484968851E-05,0.91982685963E-07,0.18396537162E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55295389818E-05,0.16945717402E-06,-.23808156868E+01,0.48840608406E-01,0.26803656890E-12,0.53607313615E-05,0.11514104552E-06,0.23028209059E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55519738188E-05,0.18260735421E-06,-.28605062247E+01,0.64617883809E-01,0.26866620583E-12,0.53733240977E-05,0.13835380570E-06,0.27670761079E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55825000103E-05,0.20051067801E-06,-.33428342256E+01,0.81942006390E-01,0.26931068421E-12,0.53862136613E-05,0.16162224882E-06,0.32324449682E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55991123911E-05,0.21107475534E-06,-.38265975362E+01,0.10017886525E+00,0.26990824726E-12,0.53981649154E-05,0.18494232138E-06,0.36988464169E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56299573377E-05,0.22117757092E-06,-.43130258502E+01,0.11928860738E+00,0.27055737294E-12,0.54111474241E-05,0.20831847840E-06,0.41663695544E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56420824151E-05,0.22786626971E-06,-.48005017709E+01,0.13897625308E+00,0.27116141154E-12,0.54232281940E-05,0.23174682436E-06,0.46349364703E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56661932244E-05,0.23303224753E-06,-.52900608654E+01,0.15911023927E+00,0.27181052625E-12,0.54362104860E-05,0.25523125383E-06,0.51046250563E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56811775525E-05,0.23919815207E-06,-.57809146060E+01,0.17977695961E+00,0.27241978269E-12,0.54483956113E-05,0.27876832305E-06,0.55753664372E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57031180996E-05,0.24429328663E-06,-.62736640098E+01,0.20088389957E+00,0.27306522270E-12,0.54613044081E-05,0.30236115829E-06,0.60472231380E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57101846048E-05,0.24889364787E-06,-.67670239596E+01,0.22238831075E+00,0.27365471086E-12,0.54730941676E-05,0.32600492531E-06,0.65200984741E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57272717397E-05,0.25284656595E-06,-.72618602379E+01,0.24423425405E+00,0.27430005408E-12,0.54860010284E-05,0.34970444998E-06,0.69940889629E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57382673966E-05,0.25548593303E-06,-.77576465410E+01,0.26630823866E+00,0.27487465623E-12,0.54974930676E-05,0.37345362028E-06,0.74690723640E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57504973428E-05,0.25806320453E-06,-.82544895114E+01,0.28860489953E+00,0.27551893976E-12,0.55103787347E-05,0.39725845668E-06,0.79451690867E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57617972151E-05,0.25926224780E-06,-.87523087908E+01,0.31100515774E+00,0.27610491649E-12,0.55220982657E-05,0.42111392146E-06,0.84222783768E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57746293039E-05,0.26079670771E-06,-.92512367627E+01,0.33353799329E+00,0.27672787027E-12,0.55345573379E-05,0.44502320945E-06,0.89004641308E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.57895887573E-05,0.26175611099E-06,-.97514572313E+01,0.35615372128E+00,0.27732274995E-12,0.55464549276E-05,0.46898389505E-06,0.93796778366E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58049303942E-05,0.26334162745E-06,-.10253003217E+02,0.37890643789E+00,0.27794919228E-12,0.55589837702E-05,0.49299870526E-06,0.98599740343E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58213927306E-05,0.26397033366E-06,-.10755971549E+02,0.40171347472E+00,0.27855913355E-12,0.55711825920E-05,0.51706621440E-06,0.10341324210E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58355441481E-05,0.26517820062E-06,-.11260162564E+02,0.42462487125E+00,0.27917488787E-12,0.55834976748E-05,0.54118692471E-06,0.10823738409E+02
 0.20736000000E+07,0.65753424658E-01,0.40000000000E+03,-.58507546961E-05,0.26605797268E-06,-.11765667769E+02,0.44761228009E+00,0.27978708272E-12,0.55957415682E-05,0.56536052866E-06,0.11307210481E+02
 0.21600000000E+07,0.68493150685E-01,0.40000000000E+03,-.58620115613E-05,0.26648695164E-06,-.12272145568E+02,0.47063675271E+00,0.28041145104E-12,0.56082289308E-05,0.58958807803E-06,0.11791761460E+02
 0.22464000000E+07,0.71232876712E-01,0.40000000000E+03,-.58770156538E-05,0.26666776977E-06,-.12779919721E+02,0.49367684802E+00,0.28106434714E-12,0.56212868492E-05,0.61387203762E-06,0.12277440644E+02
 0.23328000000E+07,0.73972602740E-01,0.40000000000E+03,-.58882900820E-05,0.26732473664E-06,-.13288667984E+02,0.51677370526E+00,0.28166913857E-12,0.56333826740E-05,0.63820825119E-06,0.12764164907E+02
 0.24192000000E+07,0.76712328767E-01,0.40000000000E+03,-.58983099898E-05,0.26637254866E-06,-.13798281967E+02,0.53978829347E+00,0.28232207850E-12,0.56464414687E-05,0.66260087878E-06,0.13252017450E+02
 0.25056000000E+07,0.79452054795E-01,0.40000000000E+03,-.59121309950E-05,0.26687525586E-06,-.14309090085E+02,0.56284631557E+00,0.28292644434E-12,0.56585287819E-05,0.68704572357E-06,0.13740914337E+02
 0.25920000000E+07,0.82191780822E-01,0.40000000000E+03,-.59231234624E-05,0.26637470772E-06,-.14820847952E+02,0.58586109032E+00,0.28360277473E-12,0.56720553858E-05,0.71154900330E-06,0.14230979922E+02
 0.26784000000E+07,0.84931506849E-01,0.40000000000E+03,-.59386337618E-05,0.26654812387E-06,-.15333945909E+02,0.60889084822E+00,0.28422037687E-12,0.56844074249E-05,0.73610564387E-06,0.14722112724E+02
 0.27648000000E+07,0.87671232877E-01,0.40000000000E+03,-.59505638118E-05,0.26560824324E-06,-.15848074622E+02,0.63183940044E+00,0.28489084877E-12,0.56978168588E-05,0.76072021320E-06,0.15214404100E+02
 0.28512000000E+07,0.90410958904E-01,0.40000000000E+03,-.59587213262E-05,0.26451568652E-06,-.16362908145E+02,0.65469355575E+00,0.28553421694E-12,0.57106842184E-05,0.78539036954E-06,0.15707807217E+02
 0.29376000000E+07,0.93150684932E-01,0.40000000000E+03,-.59736747414E-05,0.26425160330E-06,-.16879033643E+02,0.67752489428E+00,0.28618776461E-12,0.57237551681E-05,0.81011699240E-06,0.16202339663E+02
 0.30240000000E+07,0.95890410959E-01,0.40000000000E+03,-.59850844725E-05,0.26343848113E-06,-.17396144941E+02,0.70028597905E+00,0.28685842425E-12,0.57371683570E-05,0.83490156026E-06,0.16698031009E+02
 0.31104000000E+07,0.98630136986E-01,0.40000000000E+03,-.59992158497E-05,0.26289623698E-06,-.17914477191E+02,0.72300021392E+00,0.28753433861E-12,0.57506866451E-05,0.85974452712E-06,0.17194890336E+02
 0.31968000000E+07,0.10136986301E+00,0.40000000000E+03,-.60107898396E-05,0.26181255152E-06,-.18433809433E+02,0.74562081838E+00,0.28821997095E-12,0.57643992892E-05,0.88464673261E-06,0.17692934434E+02
 0.32832000000E+07,0.10410958904E+00,0.40000000000E+03,-.60258177330E-05,0.26092134217E-06,-.18954440085E+02,0.76816442234E+00,0.28890852169E-12,0.57781703006E-05,0.90960842888E-06,0.18192168348E+02
 0.33696000000E+07,0.10684931507E+00,0.40000000000E+03,-.60383647115E-05,0.26015613148E-06,-.19476154796E+02,0.79064191210E+00,0.28961226948E-12,0.57922452526E-05,0.93463092896E-06,0.18692618338E+02
 0.34560000000E+07,0.10958904110E+00,0.40000000000E+03,-.60524461387E-05,0.25936962448E-06,-.19999086142E+02,0.81305144765E+00,0.29029909787E-12,0.58059818167E-05,0.95971277102E-06,0.19194255167E+02
