gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.25586133E+00, -0.25586133E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661908E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293899E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877671E+00,  0.44694178E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094062E+02,  0.70040996E+02,  0.52601177E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739564E+06,  0.39858860E+08,  0.32504857E+10,  0.23166984E+07,  0.67480607E-06,  0.23907852E-13,  0.28225291E+08, -0.10276192E+03, -0.10276192E+03,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.71435309E+01,  0.71435309E+01,  0.47694754E-02,  0.16914361E+03,  0.96036798E+03,  0.20121101E+03,  0.15093643E-08,  0.18733623E-05,  0.27548042E-06,  0.84624141E+00,  0.48640122E+01,  0.26735776E+01,  0.22141424E-02,  0.55353559E-01,  0.10931755E+00,  0.27329387E+01,  0.88076930E-04,  0.22019232E-02,  0.11864839E+00,  0.17460031E+00,  0.29662096E+01,  0.53985626E+01,  0.17841110E+02,  0.13496407E+03,  0.22921239E-03,  0.67473662E-04,  0.57303096E-02, -0.31276359E+06, -0.16824850E+06, -0.34719891E+09,  0.40257134E+08,  0.19875918E+10,  0.16013987E+07,  0.82864343E-06,  0.67480607E-06,  0.12279727E+01, -0.47332724E+00, -0.47332724E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.29089320E+01,  0.46897677E+00,  0.37758347E-02,  0.16667846E+03,  0.30820907E+03,  0.19983417E+03,  0.20880806E-08,  0.18213640E-05,  0.27299404E-06,  0.86213657E+00,  0.11654797E+01,  0.99881700E+00,  0.21206545E-02,  0.53016361E-01,  0.79019939E-01,  0.19754985E+01,  0.90591449E-04,  0.22647862E-02,  0.11746034E+00,  0.13669413E+00,  0.29365085E+01,  0.43219321E+01,  0.10946455E+02,  0.10804830E+03,  0.52608676E-02,  0.55949085E-04,  0.13152169E+00, -0.16825971E+06, -0.16663792E+06, -0.69146451E+06,  0.38557354E+08,  0.14367262E+10,  0.16471173E+07,  0.18484085E-06,  0.38713325E-06,  0.47746054E+00, -0.46121187E+00, -0.46121187E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25217744E+01,  0.35440009E+00,  0.39745628E-02,  0.16677851E+03,  0.30885641E+03,  0.19976325E+03,  0.17096829E-08,  0.13107822E-05,  0.27221227E-06,  0.87291008E+00,  0.97518713E+00,  0.90441561E+00,  0.21365603E-02,  0.53414006E-01,  0.96509123E-01,  0.24127281E+01,  0.12587904E-03,  0.31469759E-02,  0.11782567E+00,  0.14214356E+00,  0.29456417E+01,  0.50426215E+01,  0.13014033E+02,  0.12606554E+03,  0.52785404E-02, -0.14675586E-04,  0.13196351E+00, -0.16855963E+06, -0.16679389E+06, -0.69432456E+06,  0.38846550E+08,  0.17547113E+10,  0.22887097E+07,  0.81332867E-07,  0.14831550E-06,  0.54837738E+00, -0.46063517E+00, -0.46063517E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26075513E+01,  0.37723323E+00,  0.49682035E-02,  0.16669232E+03,  0.26876761E+03,  0.19973679E+03,  0.19540865E-08,  0.14178665E-05,  0.27239988E-06,  0.83588988E+00,  0.98389062E+00,  0.90136733E+00,  0.21269645E-02,  0.53174113E-01,  0.84438433E-01,  0.21109608E+01,  0.11637202E-03,  0.29093006E-02,  0.11765803E+00,  0.13858295E+00,  0.29414507E+01,  0.45590775E+01,  0.11137682E+02,  0.11397694E+03,  0.52824899E-02, -0.28877687E-02,  0.13206225E+00, -0.16855521E+06, -0.16671345E+06, -0.56634472E+06,  0.38672082E+08,  0.15352442E+10,  0.21158550E+07,  0.20819116E-07,  0.36731294E-07,  0.56679506E+00, -0.46135029E+00, -0.46135029E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24764444E+01,  0.43519413E+00,  0.49682035E-02,  0.16671089E+03,  0.25941957E+03,  0.19973011E+03,  0.19270305E-08,  0.13851570E-05,  0.27235178E-06,  0.83607101E+00,  0.10003210E+01,  0.90474319E+00,  0.21281595E-02,  0.53203986E-01,  0.85623967E-01,  0.21405992E+01,  0.11912007E-03,  0.29780018E-02,  0.11768430E+00,  0.13899066E+00,  0.29421075E+01,  0.46073279E+01,  0.11168482E+02,  0.11518320E+03,  0.52820346E-02, -0.13493702E-02,  0.13205087E+00, -0.16857789E+06, -0.16672318E+06, -0.53892664E+06,  0.38693808E+08,  0.15567994E+10,  0.21658195E+07,  0.54045916E-08,  0.14732328E-07,  0.36685252E+00, -0.46136837E+00, -0.46136837E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24552544E+01,  0.43456658E+00,  0.51669316E-02,  0.16671036E+03,  0.25799323E+03,  0.19972758E+03,  0.93320482E-09,  0.12946891E-05,  0.27153173E-06,  0.83699963E+00,  0.10044302E+01,  0.90562644E+00,  0.21913380E-02,  0.54783450E-01,  0.17681006E+00,  0.44202515E+01,  0.12744373E-03,  0.31860932E-02,  0.11730089E+00,  0.16624034E+00,  0.29325222E+01,  0.30106756E+01,  0.49754804E+02,  0.75266889E+02,  0.52611627E-02,  0.60505814E-04,  0.13152907E+00, -0.16921861E+06, -0.16735302E+06, -0.53682057E+06,  0.39842509E+08,  0.32147283E+10,  0.23171587E+07,  0.34315143E-06,  0.54045916E-08,  0.63492572E+02, -0.46147575E+00, -0.46147575E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.31968541E+01,  0.45408380E+00,  0.57631161E-02,  0.16690933E+03,  0.40628577E+03,  0.20009752E+03,  0.15595739E-08,  0.13018158E-05,  0.27153282E-06,  0.85059758E+00,  0.11510943E+01,  0.93862731E+00,  0.22146654E-02,  0.55366636E-01,  0.10579813E+00,  0.26449533E+01,  0.12674604E-03,  0.31686510E-02,  0.11842123E+00,  0.17548983E+00,  0.29605307E+01,  0.53057632E+01,  0.18930511E+02,  0.13264408E+03,  0.24879058E-02,  0.65068548E-04,  0.62197645E-01, -0.17177877E+06, -0.16823734E+06, -0.11192632E+07,  0.40266644E+08,  0.19236024E+10,  0.23044735E+07,  0.17648226E-06,  0.34315143E-06,  0.51429850E+00, -0.46182661E+00, -0.46182661E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.19262362E+01,  0.48400093E+00,  0.59618442E-02,  0.16666671E+03,  0.47027583E+03,  0.20033578E+03,  0.14701791E-08,  0.13014326E-05,  0.27233493E-06,  0.83901854E+00,  0.10487338E+01,  0.90369381E+00,  0.22132036E-02,  0.55330091E-01,  0.11223122E+00,  0.28057806E+01,  0.12678336E-03,  0.31695839E-02,  0.11851548E+00,  0.17449877E+00,  0.29628870E+01,  0.54926814E+01,  0.18289229E+02,  0.13731704E+03,  0.22607949E-02,  0.64979980E-04,  0.56519872E-01, -0.17290112E+06, -0.16818822E+06, -0.15289021E+07,  0.40240066E+08,  0.20405677E+10,  0.23051520E+07,  0.93342506E-07,  0.17648226E-06,  0.52890588E+00, -0.46173083E+00, -0.46173083E+00,
