  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.58013760766E-05,0.45589173953E-07,-.50123889302E+00,0.39389046295E-02,0.26436945237E-12,0.52873890415E-05,0.22841520685E-07,0.45683041319E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52183964455E-05,0.77496420642E-07,-.95210834591E+00,0.10634595373E-01,0.26642665167E-12,0.53285330267E-05,0.45860783389E-07,0.91721566670E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53427618006E-05,0.13091014555E-06,-.14137229655E+01,0.21945231948E-01,0.26680162020E-12,0.53360323912E-05,0.68912443375E-07,0.13782488653E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54321738273E-05,0.14905622153E-06,-.18830627842E+01,0.34823689488E-01,0.26752469347E-12,0.53504938532E-05,0.92026576891E-07,0.18405315342E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55125698422E-05,0.17269622202E-06,-.23593488185E+01,0.49744643071E-01,0.26822224276E-12,0.53644448381E-05,0.11520097867E-06,0.23040195682E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55193667237E-05,0.18866352654E-06,-.28362221035E+01,0.66045171764E-01,0.26882056582E-12,0.53764112967E-05,0.13842707555E-06,0.27685415043E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55790972543E-05,0.20519856421E-06,-.33182561062E+01,0.83774327712E-01,0.26945029406E-12,0.53890058541E-05,0.16170758096E-06,0.32341516101E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55905416450E-05,0.21644114697E-06,-.38012789044E+01,0.10247484281E+00,0.27013093995E-12,0.54026187668E-05,0.18504689417E-06,0.37009378715E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56295400257E-05,0.22541197566E-06,-.42876711626E+01,0.12195043751E+00,0.27065876598E-12,0.54131752863E-05,0.20843181155E-06,0.41686362163E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56503232962E-05,0.23229081049E-06,-.47758590954E+01,0.14202036353E+00,0.27141639710E-12,0.54283279061E-05,0.23188218826E-06,0.46376437473E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56732970880E-05,0.23680027977E-06,-.52660319638E+01,0.16247990771E+00,0.27194777850E-12,0.54389555304E-05,0.25537847632E-06,0.51075695052E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56883707987E-05,0.24420057631E-06,-.57575072008E+01,0.18357883750E+00,0.27265595406E-12,0.54531190383E-05,0.27893595075E-06,0.55787189901E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.57013781975E-05,0.24789451578E-06,-.62501062770E+01,0.20499692366E+00,0.27319619668E-12,0.54639238869E-05,0.30254010215E-06,0.60508020139E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57075699706E-05,0.25260798323E-06,-.67432403225E+01,0.22682225341E+00,0.27389495605E-12,0.54778990706E-05,0.32620462635E-06,0.65240924936E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57223505256E-05,0.25621878530E-06,-.72376514079E+01,0.24895955646E+00,0.27447668810E-12,0.54895337081E-05,0.34991941220E-06,0.69983882060E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57368268413E-05,0.25982052906E-06,-.77333132470E+01,0.27140805017E+00,0.27512595075E-12,0.55025189573E-05,0.37369029435E-06,0.74738058439E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57505815459E-05,0.26140005934E-06,-.82301634926E+01,0.29399301530E+00,0.27572559892E-12,0.55145119171E-05,0.39751298609E-06,0.79502596735E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57700471652E-05,0.26349891470E-06,-.87286955676E+01,0.31675932153E+00,0.27634992069E-12,0.55269983488E-05,0.42138961924E-06,0.84277923309E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57826314298E-05,0.26459725874E-06,-.92283149232E+01,0.33962052469E+00,0.27696555253E-12,0.55393109818E-05,0.44531944298E-06,0.89063887997E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.58049184397E-05,0.26621666721E-06,-.97298598764E+01,0.36262164473E+00,0.27757225918E-12,0.55514451111E-05,0.46930168617E-06,0.93860336573E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58128519062E-05,0.26686005824E-06,-.10232090281E+02,0.38567835377E+00,0.27819337763E-12,0.55638674762E-05,0.49333759400E-06,0.98667518073E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58258750300E-05,0.26799965667E-06,-.10735445884E+02,0.40883352410E+00,0.27881225582E-12,0.55762450364E-05,0.51742697290E-06,0.10348539378E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58405695544E-05,0.26873232430E-06,-.11240071093E+02,0.43205199692E+00,0.27945209972E-12,0.55890419103E-05,0.54157163432E-06,0.10831432599E+02
