gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.42132990E+00, -0.42132990E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661908E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293902E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877671E+00,  0.44694177E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094061E+02,  0.70040995E+02,  0.52601177E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504856E+10,  0.23166984E+07,  0.67480607E-06,  0.23907852E-13,  0.28225291E+08, -0.12816344E+03, -0.12816344E+03,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.71435309E+01,  0.71435309E+01,  0.47694754E-02,  0.16914361E+03,  0.96036798E+03,  0.20121101E+03,  0.15093642E-08,  0.18733623E-05,  0.27548042E-06,  0.84624141E+00,  0.48640122E+01,  0.26735776E+01,  0.22141424E-02,  0.55353559E-01,  0.10931755E+00,  0.27329387E+01,  0.88076930E-04,  0.22019233E-02,  0.11864839E+00,  0.17460031E+00,  0.29662096E+01,  0.53985627E+01,  0.17841110E+02,  0.13496407E+03,  0.22921237E-03,  0.67473662E-04,  0.57303093E-02, -0.31276359E+06, -0.16824850E+06, -0.34719890E+09,  0.40257134E+08,  0.19875918E+10,  0.16013987E+07,  0.82864343E-06,  0.67480607E-06,  0.12279727E+01, -0.87934804E+00, -0.87934804E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.29391619E+01,  0.46885469E+00,  0.35771065E-02,  0.16673264E+03,  0.31125779E+03,  0.19984379E+03,  0.20377069E-08,  0.18197125E-05,  0.27300225E-06,  0.86221633E+00,  0.11650091E+01,  0.10000235E+01,  0.21224806E-02,  0.53062015E-01,  0.80973373E-01,  0.20243343E+01,  0.90673666E-04,  0.22668417E-02,  0.11750150E+00,  0.13733194E+00,  0.29375374E+01,  0.44100564E+01,  0.11018709E+02,  0.11025141E+03,  0.52664372E-02,  0.56182134E-04,  0.13166093E+00, -0.16828491E+06, -0.16665656E+06, -0.70200364E+06,  0.38590556E+08,  0.14722432E+10,  0.16486121E+07,  0.19345583E-06,  0.40421134E-06,  0.47860071E+00, -0.70653720E+00, -0.70653720E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.41370610E+01,  0.35516246E+00,  0.39745628E-02,  0.16667848E+03,  0.54690175E+03,  0.19985211E+03,  0.15933599E-08,  0.12910367E-05,  0.27225922E-06,  0.87327840E+00,  0.97228431E+00,  0.90290159E+00,  0.21424793E-02,  0.53561982E-01,  0.10355476E+00,  0.25888689E+01,  0.12780427E-03,  0.31951068E-02,  0.11797349E+00,  0.14412358E+00,  0.29493373E+01,  0.52946021E+01,  0.15036081E+02,  0.13236505E+03,  0.52760491E-02,  0.58739903E-04,  0.13190123E+00, -0.16917772E+06, -0.16685070E+06, -0.22571500E+07,  0.38954169E+08,  0.18828138E+10,  0.23237140E+07,  0.12658241E-06,  0.30064273E-06,  0.42103932E+00, -0.69441810E+00, -0.69441810E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25364170E+01,  0.37015673E+00,  0.49682035E-02,  0.16672188E+03,  0.28804157E+03,  0.19973963E+03,  0.19527849E-08,  0.14485275E-05,  0.27241609E-06,  0.83577538E+00,  0.98464118E+00,  0.90057534E+00,  0.21269792E-02,  0.53174479E-01,  0.84494714E-01,  0.21123679E+01,  0.11390878E-03,  0.28477195E-02,  0.11766323E+00,  0.13856899E+00,  0.29415807E+01,  0.45584290E+01,  0.11140621E+02,  0.11396072E+03,  0.52824948E-02, -0.28974133E-02,  0.13206237E+00, -0.16855332E+06, -0.16671333E+06, -0.62549273E+06,  0.38672348E+08,  0.15362675E+10,  0.20710687E+07,  0.25304307E-07,  0.94653346E-07,  0.26733663E+00, -0.73237616E+00, -0.73237616E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25276579E+01,  0.43632705E+00,  0.49682035E-02,  0.16672728E+03,  0.27063829E+03,  0.19973074E+03,  0.90842475E-09,  0.12947247E-05,  0.27153263E-06,  0.83725386E+00,  0.10041102E+01,  0.90581892E+00,  0.21933385E-02,  0.54833461E-01,  0.18163310E+00,  0.45408274E+01,  0.12744022E-03,  0.31860056E-02,  0.11823014E+00,  0.16480143E+00,  0.29557535E+01,  0.55104730E+01,  0.45743208E+02,  0.13776182E+03,  0.52610180E-02,  0.60566513E-04,  0.13152545E+00, -0.16918169E+06, -0.16730713E+06, -0.57396462E+06,  0.39878881E+08,  0.33024199E+10,  0.23170950E+07,  0.34302153E-06,  0.18821136E-07,  0.18225336E+02, -0.80845904E+00, -0.80845904E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.41001746E+01,  0.43704560E+00,  0.63593005E-02,  0.16670743E+03,  0.56087374E+03,  0.20059185E+03,  0.12803077E-08,  0.13060323E-05,  0.27234087E-06,  0.85051908E+00,  0.10774324E+01,  0.91471457E+00,  0.22322090E-02,  0.55805225E-01,  0.12887527E+00,  0.32218817E+01,  0.12633684E-03,  0.31584211E-02,  0.11615808E+00,  0.18888178E+00,  0.29039519E+01,  0.35709688E+01,  0.37215011E+02,  0.89274220E+02,  0.25500000E-03, -0.47637191E-02,  0.63749999E-02, -0.17488678E+06, -0.16896583E+06, -0.24679624E+07,  0.40585618E+08,  0.23431867E+10,  0.22970335E+07,  0.12991892E-06,  0.34302153E-06,  0.37874860E+00, -0.70944965E+00, -0.70944965E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.14684980E+01,  0.52644089E+00,  0.59618442E-02,  0.16705026E+03,  0.46177407E+03,  0.20045296E+03,  0.16449306E-08,  0.13017888E-05,  0.27267169E-06,  0.84792594E+00,  0.10393451E+01,  0.90956017E+00,  0.22115744E-02,  0.55289361E-01,  0.10030819E+00,  0.25077046E+01,  0.12674867E-03,  0.31687168E-02,  0.11826062E+00,  0.17501786E+00,  0.29565156E+01,  0.49919764E+01,  0.18085100E+02,  0.12479941E+03,  0.47355395E-03,  0.65110903E-04,  0.11838849E-01, -0.17366005E+06, -0.16826100E+06, -0.14663089E+07,  0.40210444E+08,  0.18237852E+10,  0.23045213E+07,  0.77214322E-07,  0.12991892E-06,  0.59432699E+00, -0.59182750E+00, -0.59182750E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.23144234E+01,  0.36826322E+00,  0.49682035E-02,  0.16682543E+03,  0.51092870E+03,  0.20040045E+03,  0.14282703E-08,  0.13010920E-05,  0.27247178E-06,  0.85030976E+00,  0.10310194E+01,  0.91321909E+00,  0.22115859E-02,  0.55289648E-01,  0.11552435E+00,  0.28881088E+01,  0.12681655E-03,  0.31704137E-02,  0.11845294E+00,  0.17408196E+00,  0.29613235E+01,  0.55795212E+01,  0.19372345E+02,  0.13948803E+03,  0.17971281E-02,  0.64152196E-04,  0.44928202E-01, -0.17371570E+06, -0.16814420E+06, -0.18792953E+07,  0.40210653E+08,  0.21004428E+10,  0.23057554E+07,  0.15023364E-07,  0.38175318E-07,  0.39353606E+00, -0.61524934E+00, -0.61524934E+00,
