gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.81430952E+00, -0.81430952E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293908E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694174E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094058E+02,  0.70040994E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504854E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.76254762E+00, -0.76254762E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.49733739E+01,  0.49733739E+01,  0.47694754E-02,  0.16669584E+03,  0.57116312E+03,  0.20051290E+03,  0.84079128E-09,  0.12976842E-05,  0.27304632E-06,  0.83387258E+00,  0.28840596E+01,  0.17248193E+01,  0.22165170E-02,  0.55412925E-01,  0.19624371E+00,  0.49060927E+01,  0.12714958E-03,  0.31787395E-02,  0.11783708E+00,  0.17570284E+00,  0.29459270E+01,  0.37672484E+01,  0.54534247E+02,  0.94181210E+02,  0.52490174E-02,  0.62987272E-04,  0.13122544E+00, -0.17081397E+06, -0.16769601E+06, -0.25944165E+07,  0.40300309E+08,  0.35680675E+10,  0.23118106E+07,  0.52244119E-06,  0.67480606E-06,  0.77420939E+00, -0.67295238E+00, -0.67295238E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.18396779E+01,  0.48406346E+00,  0.47694754E-02,  0.16666690E+03,  0.29663977E+03,  0.19983466E+03,  0.19763343E-08,  0.14856093E-05,  0.27275211E-06,  0.85703343E+00,  0.99004108E+00,  0.90180977E+00,  0.21262258E-02,  0.53155644E-01,  0.83487900E-01,  0.20871975E+01,  0.11106554E-03,  0.27766386E-02,  0.11767435E+00,  0.13817624E+00,  0.29418587E+01,  0.45183209E+01,  0.11101944E+02,  0.11295802E+03,  0.52829935E-02,  0.57605947E-04,  0.13207484E+00, -0.16851674E+06, -0.16670152E+06, -0.65310684E+06,  0.38658650E+08,  0.15179618E+10,  0.20193735E+07,  0.10734901E-06,  0.19197514E-06,  0.55918180E+00, -0.68261057E+00, -0.68261057E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.23321005E+01,  0.56762476E+00,  0.59618442E-02,  0.16666667E+03,  0.27318121E+03,  0.19974815E+03,  0.89819638E-09,  0.12947828E-05,  0.27156742E-06,  0.86393889E+00,  0.11083904E+01,  0.93537656E+00,  0.21943557E-02,  0.54858892E-01,  0.18370148E+00,  0.45925369E+01,  0.12743451E-03,  0.31858626E-02,  0.11817021E+00,  0.16538303E+00,  0.29542553E+01,  0.53672876E+01,  0.46868912E+02,  0.13418219E+03,  0.52607819E-02,  0.60547288E-04,  0.13151955E+00, -0.16910075E+06, -0.16731519E+06, -0.58166061E+06,  0.39897376E+08,  0.33400268E+10,  0.23169910E+07,  0.35237599E-06,  0.19385348E-06,  0.18177439E+01, -0.84302381E+00, -0.84302381E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.43098621E+01,  0.45113950E+00,  0.61605723E-02,  0.16708247E+03,  0.57803015E+03,  0.20068703E+03,  0.12704653E-08,  0.13062459E-05,  0.27257191E-06,  0.84494572E+00,  0.11761418E+01,  0.92905701E+00,  0.22324383E-02,  0.55810958E-01,  0.12987367E+00,  0.32468419E+01,  0.12631619E-03,  0.31579047E-02,  0.11591512E+00,  0.18947538E+00,  0.28978779E+01,  0.34910440E+01,  0.37829929E+02,  0.87276101E+02,  0.15689318E-03, -0.43217208E-02,  0.39223295E-02, -0.17530218E+06, -0.16900506E+06, -0.27183950E+07,  0.40589788E+08,  0.23613395E+10,  0.22966580E+07,  0.17314451E-06,  0.35237599E-06,  0.49136296E+00, -0.72597619E+00, -0.72597619E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.15023045E+01,  0.74854143E+00,  0.59618442E-02,  0.16701217E+03,  0.46356942E+03,  0.20047273E+03,  0.15860438E-08,  0.13014954E-05,  0.27271571E-06,  0.85050371E+00,  0.11196793E+01,  0.91832613E+00,  0.22103733E-02,  0.55259333E-01,  0.10403244E+00,  0.26008109E+01,  0.12677724E-03,  0.31694311E-02,  0.11830216E+00,  0.17431978E+00,  0.29575539E+01,  0.50953024E+01,  0.17065398E+02,  0.12738256E+03,  0.14763080E-02,  0.65015852E-04,  0.36907700E-01, -0.17357594E+06, -0.16822384E+06, -0.14790826E+07,  0.40188606E+08,  0.18914988E+10,  0.23050408E+07,  0.11713243E-06,  0.17314451E-06,  0.67650099E+00, -0.70657333E+00, -0.70657333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22696409E+01,  0.41935173E+00,  0.53656598E-02,  0.16668701E+03,  0.50978429E+03,  0.20038923E+03,  0.13654107E-08,  0.13007542E-05,  0.27246702E-06,  0.83923997E+00,  0.10170692E+01,  0.91273183E+00,  0.22108964E-02,  0.55272409E-01,  0.12084277E+00,  0.30210691E+01,  0.12684949E-03,  0.31712371E-02,  0.11847801E+00,  0.17361628E+00,  0.29619502E+01,  0.57000506E+01,  0.21212219E+02,  0.14250127E+03,  0.76451532E-03,  0.63944579E-04,  0.19112883E-01, -0.17355972E+06, -0.16810089E+06, -0.18676902E+07,  0.40198116E+08,  0.21971412E+10,  0.23063543E+07,  0.18170137E-07,  0.37995027E-07,  0.47822408E+00, -0.68354552E+00, -0.68354552E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.21982098E+01,  0.42498985E+00,  0.49682035E-02,  0.16672303E+03,  0.49856079E+03,  0.20038190E+03,  0.13444786E-08,  0.13007718E-05,  0.27245625E-06,  0.84000699E+00,  0.10164799E+01,  0.90826355E+00,  0.22115522E-02,  0.55288804E-01,  0.12272415E+00,  0.30681039E+01,  0.12684777E-03,  0.31711943E-02,  0.11853093E+00,  0.17368310E+00,  0.29632731E+01,  0.57917143E+01,  0.21522839E+02,  0.14479286E+03,  0.34780467E-03,  0.64008584E-04,  0.86951167E-02, -0.17355806E+06, -0.16809735E+06, -0.17627165E+07,  0.40210039E+08,  0.22313483E+10,  0.23063231E+07,  0.66299968E-08,  0.18170137E-07,  0.36488425E+00, -0.65087905E+00, -0.65087905E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.21841920E+01,  0.37444920E+00,  0.49682035E-02,  0.16671936E+03,  0.50149756E+03,  0.20037775E+03,  0.98196540E-09,  0.12987924E-05,  0.27289821E-06,  0.83948491E+00,  0.10186040E+01,  0.90871490E+00,  0.22143258E-02,  0.55358145E-01,  0.16803036E+00,  0.42007590E+01,  0.12704109E-03,  0.31760273E-02,  0.11855662E+00,  0.17420108E+00,  0.29639154E+01,  0.56757616E+01,  0.40436305E+02,  0.14189404E+03,  0.52445381E-02,  0.63190127E-04,  0.13111345E+00, -0.17329482E+06, -0.16784288E+06, -0.17867596E+07,  0.40260469E+08,  0.30550975E+10,  0.23098380E+07,  0.29441681E-06,  0.66299968E-08,  0.44406780E+02, -0.81945238E+00, -0.81945238E+00,
