gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.81880000E+00, -0.81880000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293908E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694174E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094058E+02,  0.70040994E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504854E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.68653333E+00, -0.68653333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.43030438E+01,  0.43030438E+01,  0.47694754E-02,  0.16719857E+03,  0.47402719E+03,  0.20034345E+03,  0.79681240E-09,  0.12969406E-05,  0.27279802E-06,  0.83634805E+00,  0.23912512E+01,  0.14940467E+01,  0.22157370E-02,  0.55393425E-01,  0.20707509E+00,  0.51768773E+01,  0.12722248E-03,  0.31805620E-02,  0.11688177E+00,  0.17587325E+00,  0.29220443E+01,  0.31595380E+01,  0.60474258E+02,  0.78988450E+02,  0.52520274E-02,  0.62431061E-04,  0.13130069E+00, -0.16968980E+06, -0.16759872E+06, -0.15523497E+07,  0.40286127E+08,  0.37650016E+10,  0.23131360E+07,  0.45439214E-06,  0.67480606E-06,  0.67336701E+00, -0.64343725E+00, -0.64343725E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.19959234E+01,  0.33579228E+00,  0.33783784E-02,  0.16666733E+03,  0.29222076E+03,  0.19982432E+03,  0.19729672E-08,  0.14532002E-05,  0.27267148E-06,  0.86795360E+00,  0.91388685E+00,  0.88289941E+00,  0.21255913E-02,  0.53139782E-01,  0.83630380E-01,  0.20907595E+01,  0.11354251E-03,  0.28385627E-02,  0.11761000E+00,  0.13818120E+00,  0.29402499E+01,  0.45255348E+01,  0.11108387E+02,  0.11313837E+03,  0.52829780E-02, -0.56902927E-02,  0.13207445E+00, -0.16853701E+06, -0.16670131E+06, -0.63878513E+06,  0.38647114E+08,  0.15205524E+10,  0.20644092E+07,  0.91512696E-07,  0.15493922E-06,  0.59063609E+00, -0.71943333E+00, -0.71943333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24200646E+01,  0.40330668E+00,  0.49682035E-02,  0.16675870E+03,  0.26838637E+03,  0.19974403E+03,  0.18139534E-08,  0.13768794E-05,  0.27232462E-06,  0.83962043E+00,  0.97516976E+00,  0.89844746E+00,  0.21324856E-02,  0.53312141E-01,  0.90961545E-01,  0.22740386E+01,  0.11983621E-03,  0.29959051E-02,  0.11777008E+00,  0.14056031E+00,  0.29442519E+01,  0.48293649E+01,  0.11493588E+02,  0.12073412E+03,  0.52801468E-02, -0.58663734E-03,  0.13200367E+00, -0.16859729E+06, -0.16676221E+06, -0.56537606E+06,  0.38772466E+08,  0.16538463E+10,  0.21788401E+07,  0.24971750E-07,  0.43414780E-07,  0.57519005E+00, -0.54879298E+00, -0.54879298E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24841400E+01,  0.41117363E+00,  0.51669316E-02,  0.16670043E+03,  0.25901694E+03,  0.19973285E+03,  0.19628529E-08,  0.13991209E-05,  0.27237865E-06,  0.83536603E+00,  0.99448261E+00,  0.90280114E+00,  0.21268437E-02,  0.53171093E-01,  0.84061317E-01,  0.21015329E+01,  0.11793120E-03,  0.29482800E-02,  0.11765712E+00,  0.13851930E+00,  0.29414280E+01,  0.45480570E+01,  0.11123963E+02,  0.11370142E+03,  0.52825234E-02, -0.20906819E-02,  0.13206308E+00, -0.16856605E+06, -0.16671349E+06, -0.53772901E+06,  0.38669885E+08,  0.15283876E+10,  0.21442036E+07,  0.73411475E-08,  0.17736286E-07,  0.41390557E+00, -0.66935619E+00, -0.66935619E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24483678E+01,  0.44264989E+00,  0.51669316E-02,  0.16670749E+03,  0.25639388E+03,  0.19972662E+03,  0.93357302E-09,  0.12946823E-05,  0.27153078E-06,  0.83745755E+00,  0.10073560E+01,  0.90605744E+00,  0.21912723E-02,  0.54781808E-01,  0.17674033E+00,  0.44185081E+01,  0.12744439E-03,  0.31861098E-02,  0.11730384E+00,  0.16621195E+00,  0.29325961E+01,  0.30220333E+01,  0.49716160E+02,  0.75550832E+02,  0.52611901E-02,  0.60492392E-04,  0.13152975E+00, -0.16921681E+06, -0.16735216E+06, -0.53219181E+06,  0.39841315E+08,  0.32134605E+10,  0.23171708E+07,  0.34322168E-06,  0.73411475E-08,  0.46753138E+02, -0.71952292E+00, -0.71952292E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.38764237E+01,  0.44100728E+00,  0.59618442E-02,  0.16676688E+03,  0.51990069E+03,  0.20044558E+03,  0.13401512E-08,  0.13050776E-05,  0.27208062E-06,  0.85232197E+00,  0.10450528E+01,  0.90939037E+00,  0.22284329E-02,  0.55710823E-01,  0.12312043E+00,  0.30780109E+01,  0.12642926E-03,  0.31607316E-02,  0.11687838E+00,  0.18587417E+00,  0.29219594E+01,  0.38937216E+01,  0.33820741E+02,  0.97343040E+02,  0.10621825E-02,  0.66848716E-04,  0.26554563E-01, -0.17394427E+06, -0.16879947E+06, -0.19770473E+07,  0.40516962E+08,  0.22385534E+10,  0.22987139E+07,  0.12846430E-06,  0.34322168E-06,  0.37428959E+00, -0.71254879E+00, -0.71254879E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.15414187E+01,  0.47860957E+00,  0.59618442E-02,  0.16683632E+03,  0.46242559E+03,  0.20045666E+03,  0.16909773E-08,  0.13019669E-05,  0.27265040E-06,  0.84730481E+00,  0.10158734E+01,  0.90181345E+00,  0.22119392E-02,  0.55298479E-01,  0.97576708E-01,  0.24394177E+01,  0.12673133E-03,  0.31682832E-02,  0.11820445E+00,  0.17537501E+00,  0.29551113E+01,  0.49040358E+01,  0.18788015E+02,  0.12260090E+03,  0.10325414E-02,  0.65198023E-04,  0.25813535E-01, -0.17366278E+06, -0.16828514E+06, -0.14712584E+07,  0.40217076E+08,  0.17741220E+10,  0.23042060E+07,  0.71634317E-07,  0.12846430E-06,  0.55762040E+00, -0.63328788E+00, -0.63328788E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22777979E+01,  0.37134040E+00,  0.49682035E-02,  0.16681765E+03,  0.49260084E+03,  0.20039173E+03,  0.14461061E-08,  0.13011298E-05,  0.27246946E-06,  0.85198561E+00,  0.10309203E+01,  0.91288434E+00,  0.22113023E-02,  0.55282558E-01,  0.11409951E+00,  0.28524878E+01,  0.12681286E-03,  0.31703216E-02,  0.11842831E+00,  0.17406182E+00,  0.29607077E+01,  0.55252111E+01,  0.19028539E+02,  0.13813028E+03,  0.18899510E-02,  0.64187341E-04,  0.47248774E-01, -0.17364806E+06, -0.16815155E+06, -0.17104424E+07,  0.40205497E+08,  0.20745366E+10,  0.23056884E+07,  0.14188326E-07,  0.33122564E-07,  0.42835831E+00, -0.63100858E+00, -0.63100858E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22487475E+01,  0.47490102E+00,  0.53656598E-02,  0.16682537E+03,  0.48820951E+03,  0.20038563E+03,  0.14366310E-08,  0.13011508E-05,  0.27247016E-06,  0.85366545E+00,  0.10349332E+01,  0.91396119E+00,  0.22117811E-02,  0.55294528E-01,  0.11485204E+00,  0.28713010E+01,  0.12681082E-03,  0.31702706E-02,  0.11845195E+00,  0.17417205E+00,  0.29612987E+01,  0.55670588E+01,  0.19114730E+02,  0.13917647E+03,  0.88206722E-03,  0.64225106E-04,  0.22051680E-01, -0.17367061E+06, -0.16815116E+06, -0.16727163E+07,  0.40214202E+08,  0.20882189E+10,  0.23056513E+07,  0.63573052E-08,  0.14188326E-07,  0.44806592E+00, -0.52463358E+00, -0.52463358E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22336779E+01,  0.37212547E+00,  0.49682035E-02,  0.16680224E+03,  0.48968460E+03,  0.20038272E+03,  0.98073215E-09,  0.12988069E-05,  0.27293049E-06,  0.85446606E+00,  0.10385189E+01,  0.91718255E+00,  0.22145110E-02,  0.55362775E-01,  0.16824166E+00,  0.42060414E+01,  0.12703967E-03,  0.31759916E-02,  0.11856198E+00,  0.17426248E+00,  0.29640494E+01,  0.56818041E+01,  0.40490994E+02,  0.14204510E+03,  0.52444792E-02,  0.63189881E-04,  0.13111198E+00, -0.17335969E+06, -0.16784435E+06, -0.16822006E+07,  0.40263837E+08,  0.30589392E+10,  0.23098121E+07,  0.29527909E-06,  0.63573052E-08,  0.46447209E+02, -0.75698958E+00, -0.75698958E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.28489300E+01,  0.44750049E+00,  0.59618442E-02,  0.16667921E+03,  0.58378557E+03,  0.20110513E+03,  0.15668504E-08,  0.13980975E-05,  0.27463940E-06,  0.85416954E+00,  0.11066844E+01,  0.94326166E+00,  0.22184480E-02,  0.55461200E-01,  0.10530680E+00,  0.26326700E+01,  0.11801752E-03,  0.29504380E-02,  0.11794215E+00,  0.17892410E+00,  0.29485537E+01,  0.45982478E+01,  0.24647019E+02,  0.11495620E+03,  0.40415454E-02,  0.66408941E-04,  0.10103863E+00, -0.17766331E+06, -0.16849274E+06, -0.28009241E+07,  0.40335418E+08,  0.19146691E+10,  0.21457731E+07,  0.10328368E-06,  0.29527909E-06,  0.34978324E+00, -0.70523084E+00, -0.70523084E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26699300E+01,  0.53385684E+00,  0.57631161E-02,  0.16668580E+03,  0.59260439E+03,  0.20112900E+03,  0.16517071E-08,  0.14518487E-05,  0.27484236E-06,  0.85156944E+00,  0.10137586E+01,  0.90516760E+00,  0.22158961E-02,  0.55397401E-01,  0.99896646E-01,  0.24974161E+01,  0.11364820E-03,  0.28412051E-02,  0.11811374E+00,  0.17727913E+00,  0.29528436E+01,  0.48615199E+01,  0.22115697E+02,  0.12153800E+03,  0.13696890E-02,  0.65863955E-04,  0.34242225E-01, -0.17815795E+06, -0.16839108E+06, -0.29459999E+07,  0.40289019E+08,  0.18163027E+10,  0.20663310E+07,  0.45325551E-07,  0.10328368E-06,  0.43884526E+00, -0.69545105E+00, -0.69545105E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26526493E+01,  0.45103837E+00,  0.47694754E-02,  0.16667307E+03,  0.59153138E+03,  0.20109094E+03,  0.15798952E-08,  0.14522658E-05,  0.27481988E-06,  0.85804800E+00,  0.10215958E+01,  0.91681167E+00,  0.22126247E-02,  0.55315619E-01,  0.10443731E+00,  0.26109326E+01,  0.11361556E-03,  0.28403891E-02,  0.11828860E+00,  0.17527313E+00,  0.29572149E+01,  0.52382168E+01,  0.18923686E+02,  0.13095542E+03,  0.35431571E-02,  0.64944266E-04,  0.88578928E-01, -0.17810595E+06, -0.16824447E+06, -0.29250689E+07,  0.40229541E+08,  0.18988601E+10,  0.20657375E+07,  0.86843453E-08,  0.22092727E-07,  0.39308616E+00, -0.62452581E+00, -0.62452581E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26557310E+01,  0.45006030E+00,  0.47694754E-02,  0.16666744E+03,  0.59101618E+03,  0.20108527E+03,  0.15779726E-08,  0.14325899E-05,  0.27471382E-06,  0.85778491E+00,  0.10226642E+01,  0.91956322E+00,  0.22127896E-02,  0.55319740E-01,  0.10456455E+00,  0.26141138E+01,  0.11517601E-03,  0.28794004E-02,  0.11829298E+00,  0.17532742E+00,  0.29573245E+01,  0.52475428E+01,  0.18978778E+02,  0.13118857E+03,  0.28329170E-02,  0.64981359E-04,  0.70822925E-01, -0.17812257E+06, -0.16824675E+06, -0.29163427E+07,  0.40232538E+08,  0.19011737E+10,  0.20941094E+07,  0.28108784E-06,  0.86843453E-08,  0.32367188E+02, -0.77362292E+00, -0.77362292E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.27808206E+01,  0.34708836E+00,  0.57631161E-02,  0.16666925E+03,  0.64992636E+03,  0.20182396E+03,  0.12976663E-08,  0.15626062E-05,  0.27601840E-06,  0.85661295E+00,  0.10876948E+01,  0.92987206E+00,  0.22325538E-02,  0.55813845E-01,  0.12715133E+00,  0.31787833E+01,  0.10559283E-03,  0.26398207E-02,  0.11560677E+00,  0.19142223E+00,  0.28901692E+01,  0.30475635E+01,  0.36855795E+02,  0.76189087E+02,  0.18308873E-03,  0.67990380E-04,  0.45772183E-02, -0.18330539E+06, -0.16925904E+06, -0.42174094E+07,  0.40591887E+08,  0.23118424E+10,  0.19198696E+07,  0.10267696E-06,  0.28108784E-06,  0.36528425E+00, -0.68601643E+00, -0.68601643E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26725417E+01,  0.49041719E+00,  0.51669316E-02,  0.16666697E+03,  0.66293356E+03,  0.20188837E+03,  0.12830998E-08,  0.16222766E-05,  0.27637830E-06,  0.86247804E+00,  0.10440178E+01,  0.90626140E+00,  0.22317656E-02,  0.55794139E-01,  0.12859483E+00,  0.32148708E+01,  0.10170892E-03,  0.25427230E-02,  0.11574086E+00,  0.18998649E+00,  0.28935216E+01,  0.33231823E+01,  0.37603006E+02,  0.83079558E+02,  0.85811026E-03,  0.67325202E-04,  0.21452756E-01, -0.18416730E+06, -0.16907437E+06, -0.45928158E+07,  0.40577556E+08,  0.23380879E+10,  0.18492531E+07,  0.46210743E-07,  0.10267696E-06,  0.45005950E+00, -0.66186998E+00, -0.66186998E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26552624E+01,  0.27104468E+00,  0.41732909E-02,  0.16667015E+03,  0.66219794E+03,  0.20188173E+03,  0.12841244E-08,  0.16440148E-05,  0.27637209E-06,  0.86659750E+00,  0.10484054E+01,  0.93386023E+00,  0.22291877E-02,  0.55729692E-01,  0.12849222E+00,  0.32123055E+01,  0.10036406E-03,  0.25091016E-02,  0.11601257E+00,  0.18858259E+00,  0.29003141E+01,  0.35028087E+01,  0.37186352E+02,  0.87570217E+02,  0.68636124E-03,  0.66556321E-04,  0.17159031E-01, -0.18428347E+06, -0.16897292E+06, -0.45673766E+07,  0.40530685E+08,  0.23362222E+10,  0.18248011E+07,  0.79119879E-08,  0.21787163E-07,  0.36314906E+00, -0.64086093E+00, -0.64086093E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.26633633E+01,  0.26143297E+00,  0.41732909E-02,  0.16667027E+03,  0.66216165E+03,  0.20187964E+03,  0.13539303E-08,  0.16741917E-05,  0.27662260E-06,  0.86732784E+00,  0.10491718E+01,  0.93627734E+00,  0.22250343E-02,  0.55625856E-01,  0.12186743E+00,  0.30466857E+01,  0.98555020E-04,  0.24638755E-02,  0.11689515E+00,  0.18502424E+00,  0.29223789E+01,  0.38845782E+01,  0.33222411E+02,  0.97114455E+02,  0.11149786E-02,  0.66429198E-04,  0.27874464E-01, -0.18412132E+06, -0.16878820E+06, -0.45612695E+07,  0.40455168E+08,  0.22157714E+10,  0.17919095E+07,  0.26996603E-06,  0.79119879E-08,  0.34121138E+02, -0.79549476E+00, -0.79549476E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.28171852E+01,  0.38706341E+00,  0.57631161E-02,  0.16674734E+03,  0.70251049E+03,  0.20264987E+03,  0.15316547E-08,  0.18152076E-05,  0.27808013E-06,  0.84069556E+00,  0.10693342E+01,  0.90984344E+00,  0.22352233E-02,  0.55880583E-01,  0.10772663E+00,  0.26931657E+01,  0.90898695E-04,  0.22724674E-02,  0.11585872E+00,  0.19367468E+00,  0.28964681E+01,  0.33989159E+01,  0.26725949E+02,  0.84972896E+02,  0.65630340E-03,  0.69240084E-04,  0.16407585E-01, -0.18977903E+06, -0.16972693E+06, -0.61028987E+07,  0.40640424E+08,  0.19586660E+10,  0.16527035E+07,  0.96216445E-07,  0.26996603E-06,  0.35640204E+00, -0.70051153E+00, -0.70051153E+00,
