  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59917841626E-05,0.20943240207E-07,-.51769015165E+00,0.18094959539E-02,0.26404813162E-12,0.52809626279E-05,0.22813758572E-07,0.45627517105E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52214893897E-05,0.77926003068E-07,-.96882683492E+00,0.85423026189E-02,0.26644484562E-12,0.53288969063E-05,0.45834593234E-07,0.91669186376E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53767682236E-05,0.12426214203E-06,-.14333796094E+01,0.19278551691E-01,0.26672441850E-12,0.53344883608E-05,0.68879582992E-07,0.13775916581E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54357673083E-05,0.14657558768E-06,-.19030299049E+01,0.31942682466E-01,0.26755607799E-12,0.53511215468E-05,0.91996428130E-07,0.18399285598E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55027296581E-05,0.17388882744E-06,-.23784657473E+01,0.46966677157E-01,0.26806518564E-12,0.53613036901E-05,0.11515726017E-06,0.23031451986E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55269076564E-05,0.18732930682E-06,-.28559905688E+01,0.63151929266E-01,0.26880874391E-12,0.53761748572E-05,0.13838233564E-06,0.27676467063E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55752591966E-05,0.20529142818E-06,-.33376929634E+01,0.80889108661E-01,0.26947046034E-12,0.53894091800E-05,0.16166458342E-06,0.32332916594E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55928222277E-05,0.21544927440E-06,-.38209128039E+01,0.99503925969E-01,0.27005291198E-12,0.54010582129E-05,0.18499715501E-06,0.36999430890E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56324470426E-05,0.22576874700E-06,-.43075562284E+01,0.11901034571E+00,0.27073687100E-12,0.54147373903E-05,0.20838882067E-06,0.41677763995E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56501354518E-05,0.23129796892E-06,-.47957279314E+01,0.13899449022E+00,0.27135060735E-12,0.54270121143E-05,0.23183351314E-06,0.46366702462E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56725443331E-05,0.23769353153E-06,-.52858357618E+01,0.15953121135E+00,0.27200109609E-12,0.54400218823E-05,0.25533440784E-06,0.51066881368E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56840636651E-05,0.24314820802E-06,-.57769388625E+01,0.18053921652E+00,0.27261041242E-12,0.54522082050E-05,0.27888794748E-06,0.55777589258E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.56993236568E-05,0.24797495989E-06,-.62693604264E+01,0.20196425306E+00,0.27324596540E-12,0.54649192610E-05,0.30249639889E-06,0.60499279499E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57050937438E-05,0.25215013465E-06,-.67622805259E+01,0.22375002469E+00,0.27387555384E-12,0.54775110259E-05,0.32615924674E-06,0.65231849025E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57234978316E-05,0.25582824411E-06,-.72567907385E+01,0.24585358498E+00,0.27450489135E-12,0.54900977729E-05,0.34987646935E-06,0.69975293501E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57370777779E-05,0.25885000840E-06,-.77524742585E+01,0.26821822571E+00,0.27512360691E-12,0.55024720801E-05,0.37364714899E-06,0.74729429378E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57533147822E-05,0.26123954275E-06,-.82495606557E+01,0.29078932220E+00,0.27574721145E-12,0.55149441672E-05,0.39747170806E-06,0.79494341139E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57724171090E-05,0.26290571459E-06,-.87482974939E+01,0.31350437594E+00,0.27636890507E-12,0.55273780360E-05,0.42134998145E-06,0.84269995762E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57830108798E-05,0.26438949074E-06,-.92479496340E+01,0.33634762794E+00,0.27698126736E-12,0.55396252781E-05,0.44528116295E-06,0.89056232002E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.58054336712E-05,0.26579879440E-06,-.97495391031E+01,0.35931264378E+00,0.27759418138E-12,0.55518835544E-05,0.46926530023E-06,0.93853059393E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58135714997E-05,0.26657526990E-06,-.10251831681E+02,0.38234474710E+00,0.27822659296E-12,0.55645317823E-05,0.49330407786E-06,0.98660814853E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58288925361E-05,0.26740964950E-06,-.10755447996E+02,0.40544894081E+00,0.27884614239E-12,0.55769227670E-05,0.51739638456E-06,0.10347927612E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58441279851E-05,0.26809652584E-06,-.11260380654E+02,0.42861248064E+00,0.27948187108E-12,0.55896373369E-05,0.54154361822E-06,0.10830872278E+02
 0.20736000000E+07,0.65753424658E-01,0.40000000000E+03,-.58574327417E-05,0.26887528099E-06,-.11766462843E+02,0.45184330492E+00,0.28012071424E-12,0.56024141964E-05,0.56574604793E-06,0.11314920865E+02
 0.21600000000E+07,0.68493150685E-01,0.40000000000E+03,-.58707098064E-05,0.26898362361E-06,-.12273692170E+02,0.47508349000E+00,0.28074662974E-12,0.56149325027E-05,0.59000255674E-06,0.11800051033E+02
 0.22464000000E+07,0.71232876712E-01,0.40000000000E+03,-.58839497813E-05,0.26930266670E-06,-.12782065431E+02,0.49835124040E+00,0.28139646441E-12,0.56279291925E-05,0.61431521127E-06,0.12286304115E+02
 0.23328000000E+07,0.73972602740E-01,0.40000000000E+03,-.58966421992E-05,0.26910492049E-06,-.13291535317E+02,0.52160190554E+00,0.28202436853E-12,0.56404872707E-05,0.63868211671E-06,0.12773642216E+02
 0.24192000000E+07,0.76712328767E-01,0.40000000000E+03,-.59094679224E-05,0.26905541415E-06,-.13802113346E+02,0.54484829332E+00,0.28268046263E-12,0.56536091493E-05,0.66310570868E-06,0.13262114046E+02
 0.25056000000E+07,0.79452054795E-01,0.40000000000E+03,-.59221520095E-05,0.26891080820E-06,-.14313787279E+02,0.56808218715E+00,0.28333091719E-12,0.56666182365E-05,0.68758549992E-06,0.13751709862E+02
 0.25920000000E+07,0.82191780822E-01,0.40000000000E+03,-.59343110302E-05,0.26862897693E-06,-.14826511752E+02,0.59129173075E+00,0.28398278718E-12,0.56796556322E-05,0.71212161274E-06,0.14242432108E+02
 0.26784000000E+07,0.84931506849E-01,0.40000000000E+03,-.59483904820E-05,0.26809203712E-06,-.15340452690E+02,0.61445488276E+00,0.28464870266E-12,0.56929739380E-05,0.73671526065E-06,0.14734305057E+02
 0.27648000000E+07,0.87671232877E-01,0.40000000000E+03,-.59612284832E-05,0.26732406208E-06,-.15855502831E+02,0.63755168172E+00,0.28530778904E-12,0.57061556614E-05,0.76136585362E-06,0.15227316906E+02
 0.28512000000E+07,0.90410958904E-01,0.40000000000E+03,-.59746877142E-05,0.26652650415E-06,-.16371715849E+02,0.66057957168E+00,0.28598195855E-12,0.57196390478E-05,0.78607469484E-06,0.15721493719E+02
 0.29376000000E+07,0.93150684932E-01,0.40000000000E+03,-.59881289371E-05,0.26573929850E-06,-.16889090189E+02,0.68353944707E+00,0.28666106097E-12,0.57332210924E-05,0.81084221050E-06,0.16216844022E+02
 0.30240000000E+07,0.95890410959E-01,0.40000000000E+03,-.60017709508E-05,0.26495467003E-06,-.17407643200E+02,0.70643153056E+00,0.28735184161E-12,0.57470367014E-05,0.83566940962E-06,0.16713387993E+02
 0.31104000000E+07,0.98630136986E-01,0.40000000000E+03,-.60151155180E-05,0.26408878773E-06,-.17927349180E+02,0.72924880182E+00,0.28803457903E-12,0.57606914458E-05,0.86055559725E-06,0.17211111734E+02
 0.31968000000E+07,0.10136986301E+00,0.40000000000E+03,-.60290857304E-05,0.26298896840E-06,-.18448262187E+02,0.75197104869E+00,0.28874232504E-12,0.57748463684E-05,0.88550293413E-06,0.17710058460E+02
 0.32832000000E+07,0.10410958904E+00,0.40000000000E+03,-.60424546471E-05,0.26240338143E-06,-.18970330269E+02,0.77464270085E+00,0.28943859302E-12,0.57887717246E-05,0.91051042857E-06,0.18210208337E+02
 0.33696000000E+07,0.10684931507E+00,0.40000000000E+03,-.60561496974E-05,0.26137754118E-06,-.19493581603E+02,0.79722572041E+00,0.29014954051E-12,0.58029906705E-05,0.93557934887E-06,0.18711586731E+02
 0.34560000000E+07,0.10958904110E+00,0.40000000000E+03,-.60698832630E-05,0.26032260354E-06,-.20018019517E+02,0.81971759335E+00,0.29086701659E-12,0.58173401883E-05,0.96071025910E-06,0.19214204923E+02
 0.35424000000E+07,0.11232876712E+00,0.40000000000E+03,-.60842231519E-05,0.25938233700E-06,-.20543696397E+02,0.84212822727E+00,0.29159012953E-12,0.58318024432E-05,0.98590364629E-06,0.19718072654E+02
 0.36288000000E+07,0.11506849315E+00,0.40000000000E+03,-.60984835262E-05,0.25826254368E-06,-.21070605374E+02,0.86444211104E+00,0.29232470597E-12,0.58464939682E-05,0.10111605009E-05,0.20223209733E+02
 0.37152000000E+07,0.11780821918E+00,0.40000000000E+03,-.61125938293E-05,0.25762668872E-06,-.21598733481E+02,0.88670105695E+00,0.29306710637E-12,0.58613419724E-05,0.10364814989E-05,0.20729629679E+02
 0.38016000000E+07,0.12054794521E+00,0.40000000000E+03,-.61274368302E-05,0.25640724235E-06,-.22128144023E+02,0.90885464269E+00,0.29382381097E-12,0.58764760606E-05,0.10618678761E-05,0.21237357211E+02
 0.38880000000E+07,0.12328767123E+00,0.40000000000E+03,-.61416735706E-05,0.25568786311E-06,-.22658784619E+02,0.93094607406E+00,0.29458016344E-12,0.58916031063E-05,0.10873196023E-05,0.21746391719E+02
 0.39744000000E+07,0.12602739726E+00,0.40000000000E+03,-.61564665209E-05,0.25448180303E-06,-.23190703327E+02,0.95293330184E+00,0.29535237338E-12,0.59070473010E-05,0.11128380473E-05,0.22256760606E+02
 0.40608000000E+07,0.12876712329E+00,0.40000000000E+03,-.61717397700E-05,0.25369602766E-06,-.23723941643E+02,0.97485263863E+00,0.29614905119E-12,0.59229808533E-05,0.11384253254E-05,0.22768506152E+02
 0.41472000000E+07,0.13150684932E+00,0.40000000000E+03,-.61868249807E-05,0.25243998289E-06,-.24258483321E+02,0.99666345315E+00,0.29694471173E-12,0.59388940601E-05,0.11640813484E-05,0.23281626599E+02
 0.42336000000E+07,0.13424657534E+00,0.40000000000E+03,-.62017192140E-05,0.25171142207E-06,-.24794311861E+02,0.10184113200E+01,0.29772942172E-12,0.59545882560E-05,0.11898051705E-05,0.23796103024E+02
 0.43200000000E+07,0.13698630137E+00,0.40000000000E+03,-.62166674273E-05,0.25054253610E-06,-.25331431927E+02,0.10400581951E+01,0.29852827518E-12,0.59705653212E-05,0.12155980135E-05,0.24311959868E+02
 0.44064000000E+07,0.13972602740E+00,0.40000000000E+03,-.62327746139E-05,0.24969295693E-06,-.25869943653E+02,0.10616316666E+01,0.29937598772E-12,0.59875195681E-05,0.12414640988E-05,0.24829281559E+02
 0.44928000000E+07,0.14246575342E+00,0.40000000000E+03,-.62491309453E-05,0.24880766196E-06,-.26409868567E+02,0.10831286486E+01,0.30023163163E-12,0.60046324422E-05,0.12674041118E-05,0.25348081802E+02
 0.45792000000E+07,0.14520547945E+00,0.40000000000E+03,-.62659744573E-05,0.24793792582E-06,-.26951248760E+02,0.11045504854E+01,0.30110723670E-12,0.60221445396E-05,0.12934197770E-05,0.25868395090E+02
 0.46656000000E+07,0.14794520548E+00,0.40000000000E+03,-.62818345901E-05,0.24697668021E-06,-.27493999269E+02,0.11258892706E+01,0.30195352757E-12,0.60390703528E-05,0.13195085618E-05,0.26390170768E+02
 0.47520000000E+07,0.15068493151E+00,0.40000000000E+03,-.62981736432E-05,0.24610156866E-06,-.28038161472E+02,0.11471524461E+01,0.30281824065E-12,0.60563646105E-05,0.13456720578E-05,0.26913440671E+02
 0.48384000000E+07,0.15342465753E+00,0.40000000000E+03,-.63108231360E-05,0.24522070897E-06,-.28583416591E+02,0.11683395154E+01,0.30349601461E-12,0.60699200856E-05,0.13718941135E-05,0.27437881766E+02
 0.49248000000E+07,0.15616438356E+00,0.40000000000E+03,-.63019293331E-05,0.24537897169E-06,-.29127903285E+02,0.11895402585E+01,0.30302312207E-12,0.60604622325E-05,0.13980753112E-05,0.27961505703E+02
 0.50112000000E+07,0.15890410959E+00,0.40000000000E+03,-.63115801900E-05,0.24287220339E-06,-.29673223813E+02,0.12105244169E+01,0.30420878269E-12,0.60841754432E-05,0.14243589500E-05,0.28487178461E+02
 0.50976000000E+07,0.16164383562E+00,0.40000000000E+03,-.63721232834E-05,0.24339165369E-06,-.30223775265E+02,0.12315534558E+01,0.30676767005E-12,0.61353531855E-05,0.14508636767E-05,0.29017272976E+02
 0.51840000000E+07,0.16438356164E+00,0.40000000000E+03,-.63750018800E-05,0.24079743889E-06,-.30774575427E+02,0.12523583545E+01,0.30758271648E-12,0.61516541099E-05,0.14774388234E-05,0.29548775892E+02
 0.52704000000E+07,0.16712328767E+00,0.40000000000E+03,-.64206425921E-05,0.24053580044E-06,-.31329318947E+02,0.12731406476E+01,0.30957743220E-12,0.61915484198E-05,0.15041863136E-05,0.30083725675E+02
 0.53568000000E+07,0.16986301370E+00,0.40000000000E+03,-.64993794819E-05,0.23932401069E-06,-.31890865335E+02,0.12938182422E+01,0.31309750678E-12,0.62619499057E-05,0.15312379382E-05,0.30624758147E+02
