gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.66577980E+00, -0.66577980E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293905E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694175E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094059E+02,  0.70040995E+02,  0.52601177E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504855E+10,  0.23166984E+07,  0.67480607E-06,  0.23907852E-13,  0.28225291E+08, -0.75552120E+00, -0.75552120E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.49108141E+01,  0.49108141E+01,  0.47694754E-02,  0.16671615E+03,  0.56162573E+03,  0.20049614E+03,  0.83506725E-09,  0.12976144E-05,  0.27302097E-06,  0.83397051E+00,  0.28356465E+01,  0.17020065E+01,  0.22165623E-02,  0.55414057E-01,  0.19758888E+00,  0.49397219E+01,  0.12715642E-03,  0.31789105E-02,  0.11776118E+00,  0.17578087E+00,  0.29440295E+01,  0.35805358E+01,  0.55263672E+02,  0.89513396E+02,  0.52492998E-02,  0.62935033E-04,  0.13123249E+00, -0.17068213E+06, -0.16768688E+06, -0.24595229E+07,  0.40301133E+08,  0.35925250E+10,  0.23119349E+07,  0.51613077E-06,  0.67480607E-06,  0.76485793E+00, -0.70214640E+00, -0.70214640E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.18558309E+01,  0.34087464E+00,  0.37758347E-02,  0.16666832E+03,  0.29664911E+03,  0.19983302E+03,  0.19834898E-08,  0.14675958E-05,  0.27272147E-06,  0.86030036E+00,  0.10025792E+01,  0.89324294E+00,  0.21259472E-02,  0.53148680E-01,  0.83186713E-01,  0.20796678E+01,  0.11242877E-03,  0.28107193E-02,  0.11766785E+00,  0.13808042E+00,  0.29416964E+01,  0.45052961E+01,  0.11092456E+02,  0.11263240E+03,  0.52831285E-02,  0.57568930E-04,  0.13207821E+00, -0.16851987E+06, -0.16669853E+06, -0.65312564E+06,  0.38653586E+08,  0.15124857E+10,  0.20441595E+07,  0.89260270E-07,  0.16786909E-06,  0.53172548E+00, -0.65869164E+00, -0.65869164E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24595879E+01,  0.35626987E+00,  0.43720191E-02,  0.16666811E+03,  0.27163300E+03,  0.19975337E+03,  0.17946484E-08,  0.13653446E-05,  0.27231434E-06,  0.86676224E+00,  0.96701613E+00,  0.90452954E+00,  0.21331013E-02,  0.53327533E-01,  0.91940016E-01,  0.22985004E+01,  0.12084861E-03,  0.30212154E-02,  0.11776998E+00,  0.14082655E+00,  0.29442495E+01,  0.48687416E+01,  0.11748383E+02,  0.12171854E+03,  0.52799086E-02, -0.19122927E-02,  0.13199771E+00, -0.16859043E+06, -0.16676620E+06, -0.57509156E+06,  0.38783660E+08,  0.16716367E+10,  0.21972475E+07,  0.44732686E-07,  0.37369286E-07,  0.11970442E+01, -0.83343110E+00, -0.83343110E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.23726177E+01,  0.39394837E+00,  0.49682035E-02,  0.16666791E+03,  0.27275732E+03,  0.19973384E+03,  0.19572504E-08,  0.13746766E-05,  0.27237056E-06,  0.83650361E+00,  0.99855513E+00,  0.90754677E+00,  0.21272998E-02,  0.53182495E-01,  0.84301938E-01,  0.21075485E+01,  0.12002823E-03,  0.30007058E-02,  0.11768255E+00,  0.13860084E+00,  0.29420638E+01,  0.45586156E+01,  0.11132114E+02,  0.11396539E+03,  0.52822863E-02, -0.20228898E-02,  0.13205716E+00, -0.16858955E+06, -0.16671995E+06, -0.57831339E+06,  0.38678178E+08,  0.15327625E+10,  0.21823315E+07,  0.29073131E-07,  0.36715293E-07,  0.79185345E+00, -0.67728900E+00, -0.67728900E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.25649324E+01,  0.44811147E+00,  0.53656598E-02,  0.16670465E+03,  0.25323821E+03,  0.19972610E+03,  0.19819660E-08,  0.14223083E-05,  0.27238773E-06,  0.83673824E+00,  0.10097525E+01,  0.90385350E+00,  0.21264150E-02,  0.53160376E-01,  0.83250672E-01,  0.20812668E+01,  0.11600861E-03,  0.29002151E-02,  0.11764926E+00,  0.13834211E+00,  0.29412315E+01,  0.45187324E+01,  0.11096200E+02,  0.11296831E+03,  0.52826820E-02, -0.18255111E-02,  0.13206705E+00, -0.16856810E+06, -0.16671132E+06, -0.52111604E+06,  0.38662091E+08,  0.15136486E+10,  0.21092474E+07,  0.19032433E-07,  0.29073131E-07,  0.65463994E+00, -0.60104346E+00, -0.60104346E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.23982932E+01,  0.43238791E+00,  0.49682035E-02,  0.16671182E+03,  0.25701773E+03,  0.19972498E+03,  0.19694903E-08,  0.13776488E-05,  0.27235086E-06,  0.83795920E+00,  0.10052870E+01,  0.90757163E+00,  0.21269373E-02,  0.53173433E-01,  0.83778021E-01,  0.20944505E+01,  0.11976928E-03,  0.29942320E-02,  0.11766808E+00,  0.13849276E+00,  0.29417021E+01,  0.45398156E+01,  0.11114775E+02,  0.11349539E+03,  0.52824769E-02, -0.13195112E-02,  0.13206192E+00, -0.16857744E+06, -0.16671576E+06, -0.53196330E+06,  0.38671588E+08,  0.15232368E+10,  0.21776233E+07,  0.10796455E-07,  0.19032433E-07,  0.56726616E+00, -0.55412126E+00, -0.55412126E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24785747E+01,  0.43860685E+00,  0.51669316E-02,  0.16670745E+03,  0.25804576E+03,  0.19972468E+03,  0.19681341E-08,  0.13919388E-05,  0.27236493E-06,  0.83781338E+00,  0.10073771E+01,  0.90683194E+00,  0.21270411E-02,  0.53176027E-01,  0.83835750E-01,  0.20958937E+01,  0.11853970E-03,  0.29634924E-02,  0.11767345E+00,  0.13851170E+00,  0.29418363E+01,  0.45421138E+01,  0.11117234E+02,  0.11355285E+03,  0.52824245E-02, -0.13774393E-02,  0.13206061E+00, -0.16857978E+06, -0.16671719E+06, -0.53493270E+06,  0.38673474E+08,  0.15242864E+10,  0.21552672E+07,  0.71167179E-08,  0.10796455E-07,  0.65917173E+00, -0.56889510E+00, -0.56889510E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24576191E+01,  0.43755805E+00,  0.51669316E-02,  0.16670671E+03,  0.25795603E+03,  0.19972432E+03,  0.93458335E-09,  0.12946713E-05,  0.27152811E-06,  0.83785041E+00,  0.10070696E+01,  0.90708749E+00,  0.21911705E-02,  0.54779262E-01,  0.17654926E+00,  0.44137315E+01,  0.12744548E-03,  0.31861370E-02,  0.11731985E+00,  0.16614148E+00,  0.29329963E+01,  0.30604082E+01,  0.49598656E+02,  0.76510205E+02,  0.52612350E-02,  0.60496951E-04,  0.13153088E+00, -0.16922062E+06, -0.16735066E+06, -0.53670517E+06,  0.39839464E+08,  0.32099866E+10,  0.23171905E+07,  0.34284730E-06,  0.71167179E-08,  0.48174918E+02, -0.81455290E+00, -0.81455290E+00,
