  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.59548460171E-05,0.21019175987E-07,-.51449869587E+00,0.18160568053E-02,0.26415315410E-12,0.52830630787E-05,0.22822832514E-07,0.45645665000E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.52235613367E-05,0.77204191990E-07,-.96581439536E+00,0.84864989932E-02,0.26643147742E-12,0.53286295420E-05,0.45842512163E-07,0.91685024243E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53564725547E-05,0.12706318184E-06,-.14286136241E+01,0.19464757904E-01,0.26674819910E-12,0.53349639701E-05,0.68889556565E-07,0.13777911294E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54449642087E-05,0.14660086487E-06,-.18990585317E+01,0.32131072629E-01,0.26754654602E-12,0.53509309064E-05,0.92005578141E-07,0.18401115598E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.55046591843E-05,0.17370950298E-06,-.23746610852E+01,0.47139573687E-01,0.26807532497E-12,0.53615064806E-05,0.11516728622E-06,0.23033457197E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.55216921314E-05,0.18835352794E-06,-.28517352854E+01,0.63413318501E-01,0.26882162969E-12,0.53764325740E-05,0.13839347502E-06,0.27678694941E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55795381223E-05,0.20575634266E-06,-.33338073792E+01,0.81190666507E-01,0.26945493572E-12,0.53890986855E-05,0.16167438147E-06,0.32334876205E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55927722352E-05,0.21604007233E-06,-.38170229003E+01,0.99856528756E-01,0.27010869636E-12,0.54021738998E-05,0.18501177284E-06,0.37002354454E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56297136423E-05,0.22564361774E-06,-.43034301590E+01,0.11935213733E+00,0.27069118816E-12,0.54138237292E-05,0.20839949149E-06,0.41679898156E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56484616053E-05,0.23179207422E-06,-.47914572417E+01,0.13937897254E+00,0.27137589523E-12,0.54275178688E-05,0.23184636884E-06,0.46369273595E+01
