gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.81973050E+00, -0.81973050E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293908E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877670E+00,  0.44694174E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016398E+01,  0.52094058E+02,  0.70040994E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504854E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.62383020E+00, -0.62383020E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.37621463E+01,  0.37621463E+01,  0.47694754E-02,  0.16808280E+03,  0.40392422E+03,  0.20022339E+03,  0.79071853E-09,  0.12963455E-05,  0.27262962E-06,  0.84073851E+00,  0.20359775E+01,  0.13302362E+01,  0.22125262E-02,  0.55313154E-01,  0.20867097E+00,  0.52167741E+01,  0.12728088E-03,  0.31820221E-02,  0.11661295E+00,  0.17453642E+00,  0.29153236E+01,  0.30552673E+01,  0.61205807E+02,  0.76381682E+02,  0.52544388E-02,  0.61980874E-04,  0.13136097E+00, -0.16908615E+06, -0.16752083E+06, -0.11019376E+07,  0.40227749E+08,  0.37940176E+10,  0.23141979E+07,  0.40086783E-06,  0.67480606E-06,  0.59404895E+00, -0.70848596E+00, -0.70848596E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.21253176E+01,  0.46998426E+00,  0.49682035E-02,  0.16667060E+03,  0.28688804E+03,  0.19981629E+03,  0.19661490E-08,  0.14508096E-05,  0.27265545E-06,  0.86853638E+00,  0.10189538E+01,  0.90843803E+00,  0.21258560E-02,  0.53146399E-01,  0.83920395E-01,  0.20980099E+01,  0.11372960E-03,  0.28432401E-02,  0.11761464E+00,  0.13828334E+00,  0.29403659E+01,  0.45391220E+01,  0.11120196E+02,  0.11347805E+03,  0.52828789E-02, -0.50898003E-02,  0.13207197E+00, -0.16853837E+06, -0.16670314E+06, -0.62180730E+06,  0.38651927E+08,  0.15258254E+10,  0.20678109E+07,  0.92038251E-07,  0.13577510E-06,  0.67787282E+00, -0.72453500E+00, -0.72453500E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.23914900E+01,  0.39595289E+00,  0.49682035E-02,  0.16680472E+03,  0.26617210E+03,  0.19974214E+03,  0.18261379E-08,  0.13822310E-05,  0.27232595E-06,  0.84007296E+00,  0.97279925E+00,  0.89866336E+00,  0.21319560E-02,  0.53298901E-01,  0.90354624E-01,  0.22588656E+01,  0.11937223E-03,  0.29843057E-02,  0.11775754E+00,  0.14037930E+00,  0.29439385E+01,  0.48049366E+01,  0.11334659E+02,  0.12012341E+03,  0.52803747E-02, -0.80186336E-03,  0.13200937E+00, -0.16858926E+06, -0.16675724E+06, -0.55879627E+06,  0.38762837E+08,  0.16428113E+10,  0.21704042E+07,  0.23214461E-07,  0.40068767E-07,  0.57936548E+00, -0.61431000E+00, -0.61431000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24750478E+01,  0.41341015E+00,  0.49682035E-02,  0.16670225E+03,  0.26036216E+03,  0.19973171E+03,  0.19555179E-08,  0.13935834E-05,  0.27237592E-06,  0.83582887E+00,  0.99603812E+00,  0.90461009E+00,  0.21272148E-02,  0.53180369E-01,  0.84376624E-01,  0.21094156E+01,  0.11839981E-03,  0.29599952E-02,  0.11767115E+00,  0.13861921E+00,  0.29417788E+01,  0.45615610E+01,  0.11134062E+02,  0.11403902E+03,  0.52823431E-02, -0.19132062E-02,  0.13205858E+00, -0.16857455E+06, -0.16671788E+06, -0.54164501E+06,  0.38676632E+08,  0.15341204E+10,  0.21527237E+07,  0.10424754E-07,  0.19315205E-07,  0.53971749E+00, -0.60890985E+00, -0.60890985E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.24644685E+01,  0.44109929E+00,  0.51669316E-02,  0.16670652E+03,  0.25661737E+03,  0.19972584E+03,  0.93507684E-09,  0.12946582E-05,  0.27153027E-06,  0.83734387E+00,  0.10062338E+01,  0.90587859E+00,  0.21910225E-02,  0.54775562E-01,  0.17645609E+00,  0.44114022E+01,  0.12744676E-03,  0.31861690E-02,  0.11732330E+00,  0.16608608E+00,  0.29330824E+01,  0.30809679E+01,  0.49538138E+02,  0.77024198E+02,  0.52612880E-02,  0.60469844E-04,  0.13153220E+00, -0.16921369E+06, -0.16734891E+06, -0.53282675E+06,  0.39836772E+08,  0.32082925E+10,  0.23172138E+07,  0.34291882E-06,  0.10424754E-07,  0.32894668E+02, -0.77573560E+00, -0.77573560E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.40201942E+01,  0.43669588E+00,  0.63593005E-02,  0.16667219E+03,  0.54762338E+03,  0.20053448E+03,  0.12994340E-08,  0.13056429E-05,  0.27225933E-06,  0.85050947E+00,  0.10652186E+01,  0.91205741E+00,  0.22308014E-02,  0.55770035E-01,  0.12697836E+00,  0.31744591E+01,  0.12637452E-03,  0.31593631E-02,  0.11645509E+00,  0.18776198E+00,  0.29113773E+01,  0.36942978E+01,  0.36062936E+02,  0.92357444E+02,  0.26132843E-03,  0.67119548E-04,  0.65332107E-02, -0.17451709E+06, -0.16889835E+06, -0.22938326E+07,  0.40560025E+08,  0.23086975E+10,  0.22977186E+07,  0.12757605E-06,  0.34291882E-06,  0.37202989E+00, -0.66120267E+00, -0.66120267E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.14711072E+01,  0.47003682E+00,  0.59618442E-02,  0.16683483E+03,  0.46351962E+03,  0.20045067E+03,  0.16468648E-08,  0.13018949E-05,  0.27264896E-06,  0.84662347E+00,  0.10227307E+01,  0.90309995E+00,  0.22123593E-02,  0.55308983E-01,  0.10019038E+00,  0.25047594E+01,  0.12673834E-03,  0.31684585E-02,  0.11826464E+00,  0.17531144E+00,  0.29566160E+01,  0.50127039E+01,  0.18515913E+02,  0.12531760E+03,  0.74887009E-03,  0.65157477E-04,  0.18721752E-01, -0.17363385E+06, -0.16826990E+06, -0.14791225E+07,  0.40224715E+08,  0.18216432E+10,  0.23043335E+07,  0.69950921E-07,  0.12757605E-06,  0.54830763E+00, -0.66677845E+00, -0.66677845E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22893405E+01,  0.37107627E+00,  0.49682035E-02,  0.16679162E+03,  0.50085681E+03,  0.20039294E+03,  0.14378529E-08,  0.13011156E-05,  0.27246809E-06,  0.85292150E+00,  0.10316643E+01,  0.91387881E+00,  0.22114588E-02,  0.55286469E-01,  0.11475444E+00,  0.28688609E+01,  0.12681425E-03,  0.31703562E-02,  0.11843547E+00,  0.17410110E+00,  0.29608867E+01,  0.55534206E+01,  0.19163179E+02,  0.13883552E+03,  0.16873445E-02,  0.64148030E-04,  0.42183611E-01, -0.17367387E+06, -0.16814814E+06, -0.17841291E+07,  0.40208341E+08,  0.20864443E+10,  0.23057136E+07,  0.15456745E-07,  0.35865838E-07,  0.43096009E+00, -0.73020875E+00, -0.73020875E+00,
