  Current Time (s),Current Time (years),Pore Volume,Phase1-S2- Volume rate,Phase2-S2- Volume rate,Phase1-S2- Cumulative production,Phase2-S2- Cumulative production,Phase1-S3- Volume rate,Phase2-S3- Volume rate,Phase1-S3- Cumulative production,Phase2-S3- Cumulative production
 0.86400000000E+05,0.27397260274E-02,0.40000000000E+03,-.58762191724E-05,0.10902628347E-06,-.50770533649E+00,0.94198708920E-02,0.26469836526E-12,0.52939673020E-05,0.22869938759E-07,0.45739877489E+00
 0.17280000000E+06,0.54794520548E-02,0.40000000000E+03,-.51896769068E-05,0.83523289483E-07,-.95609342124E+00,0.16636283103E-01,0.26638372452E-12,0.53276744824E-05,0.45885492557E-07,0.91770985018E+00
 0.25920000000E+06,0.82191780822E-02,0.40000000000E+03,-.53705860378E-05,0.12827596639E-06,-.14201120549E+01,0.27719326599E-01,0.26656836142E-12,0.53313672172E-05,0.68916998984E-07,0.13783399777E+01
 0.34560000000E+06,0.10958904110E-01,0.40000000000E+03,-.54725080573E-05,0.13902090973E-06,-.18929367511E+01,0.39730733200E-01,0.26732815233E-12,0.53465630318E-05,0.92014151346E-07,0.18402830237E+01
 0.43200000000E+06,0.13698630137E-01,0.40000000000E+03,-.54789447522E-05,0.20147933074E-06,-.23663175777E+01,0.57138547376E-01,0.26865479369E-12,0.53730958611E-05,0.11522592552E-06,0.23045185061E+01
 0.51840000000E+06,0.16438356164E-01,0.40000000000E+03,-.56403913874E-05,0.19805377160E-06,-.28536473935E+01,0.74250393242E-01,0.26936654651E-12,0.53873309101E-05,0.13849919514E-06,0.27699838967E+01
 0.60480000000E+06,0.19178082192E-01,0.40000000000E+03,-.55715767138E-05,0.20540923929E-06,-.33350316216E+01,0.91997751516E-01,0.26943581123E-12,0.53887162011E-05,0.16177844923E-06,0.32355689765E+01
 0.69120000000E+06,0.21917808219E-01,0.40000000000E+03,-.55987320399E-05,0.21524942226E-06,-.38187620698E+01,0.11059530160E+00,0.26994736383E-12,0.53989472513E-05,0.18510190146E-06,0.37020380190E+01
 0.77760000000E+06,0.24657534247E-01,0.40000000000E+03,-.56276374689E-05,0.22359973540E-06,-.43049899472E+01,0.12991431874E+00,0.27050052971E-12,0.54100105649E-05,0.20847314723E-06,0.41694629318E+01
 0.86400000000E+06,0.27397260274E-01,0.40000000000E+03,-.56411669523E-05,0.23143584231E-06,-.47923867718E+01,0.14991037551E+00,0.27127270842E-12,0.54254541347E-05,0.23191110924E-06,0.46382221690E+01
 0.95040000000E+06,0.30136986301E-01,0.40000000000E+03,-.56589124984E-05,0.23668119713E-06,-.52813168117E+01,0.17035963095E+00,0.27182683990E-12,0.54365367612E-05,0.25539694821E-06,0.51079389452E+01
 0.10368000000E+07,0.32876712329E-01,0.40000000000E+03,-.56663843844E-05,0.24347951148E-06,-.57708924225E+01,0.19139626074E+00,0.27247289369E-12,0.54494578306E-05,0.27893860622E-06,0.55787721018E+01
 0.11232000000E+07,0.35616438356E-01,0.40000000000E+03,-.56977769984E-05,0.24796372111E-06,-.62631803552E+01,0.21282032624E+00,0.27311262179E-12,0.54622523916E-05,0.30253553674E-06,0.60507107084E+01
 0.12096000000E+07,0.38356164384E-01,0.40000000000E+03,-.57205148982E-05,0.25296680996E-06,-.67574328424E+01,0.23467665862E+00,0.27378073853E-12,0.54756147229E-05,0.32619019255E-06,0.65238038205E+01
 0.12960000000E+07,0.41095890411E-01,0.40000000000E+03,-.57362079449E-05,0.25662592311E-06,-.72530412088E+01,0.25684913838E+00,0.27441330898E-12,0.54882661283E-05,0.34989950245E-06,0.69979900140E+01
 0.13824000000E+07,0.43835616438E-01,0.40000000000E+03,-.57534623490E-05,0.25928494487E-06,-.77501403558E+01,0.27925135762E+00,0.27507201623E-12,0.55014402699E-05,0.37366572465E-06,0.74733144533E+01
 0.14688000000E+07,0.46575342466E-01,0.40000000000E+03,-.57675485472E-05,0.26162598375E-06,-.82484565502E+01,0.30185584261E+00,0.27572390334E-12,0.55144780074E-05,0.39748826990E-06,0.79497653531E+01
 0.15552000000E+07,0.49315068493E-01,0.40000000000E+03,-.57821268964E-05,0.26341187203E-06,-.87480323141E+01,0.32461462836E+00,0.27629903632E-12,0.55259806646E-05,0.42136050664E-06,0.84272100825E+01
 0.16416000000E+07,0.52054794521E-01,0.40000000000E+03,-.57951615253E-05,0.26450870030E-06,-.92487342699E+01,0.34746818006E+00,0.27690810999E-12,0.55381621340E-05,0.44528536734E-06,0.89057072909E+01
 0.17280000000E+07,0.54794520548E-01,0.40000000000E+03,-.58096841311E-05,0.26595962200E-06,-.97506909788E+01,0.37044709140E+00,0.27754349920E-12,0.55508699151E-05,0.46926512567E-06,0.93853024516E+01
 0.18144000000E+07,0.57534246575E-01,0.40000000000E+03,-.58244363152E-05,0.26724352972E-06,-.10253922276E+02,0.39353693237E+00,0.27820230731E-12,0.55640460736E-05,0.49330180502E-06,0.98660360323E+01
 0.19008000000E+07,0.60273972603E-01,0.40000000000E+03,-.58380003066E-05,0.26831789888E-06,-.10758325503E+02,0.41671959883E+00,0.27881670092E-12,0.55763339423E-05,0.51739156798E-06,0.10347831285E+02
 0.19872000000E+07,0.63013698630E-01,0.40000000000E+03,-.58503528716E-05,0.26868394141E-06,-.11263795991E+02,0.43993389137E+00,0.27941919617E-12,0.55883838438E-05,0.54153338653E-06,0.10830667649E+02
 0.20736000000E+07,0.65753424658E-01,0.40000000000E+03,-.58646632563E-05,0.26938114761E-06,-.11770502896E+02,0.46320842253E+00,0.28009400108E-12,0.56018799378E-05,0.56573350822E-06,0.11314670076E+02
 0.21600000000E+07,0.68493150685E-01,0.40000000000E+03,-.58769235660E-05,0.26987819498E-06,-.12278269092E+02,0.48652589857E+00,0.28067720347E-12,0.56135439826E-05,0.58998401860E-06,0.11799680276E+02
 0.22464000000E+07,0.71232876712E-01,0.40000000000E+03,-.58919052374E-05,0.27001698261E-06,-.12787329705E+02,0.50985536587E+00,0.28138502455E-12,0.56277004007E-05,0.61429568472E-06,0.12285913590E+02
 0.23328000000E+07,0.73972602740E-01,0.40000000000E+03,-.59039241909E-05,0.27001323428E-06,-.13297428755E+02,0.53318450931E+00,0.28199198071E-12,0.56398395203E-05,0.63865979186E-06,0.12773195725E+02
 0.24192000000E+07,0.76712328767E-01,0.40000000000E+03,-.59084271280E-05,0.27029076774E-06,-.13807916859E+02,0.55653763164E+00,0.28259720474E-12,0.56519439907E-05,0.66307619035E-06,0.13261523686E+02
 0.25056000000E+07,0.79452054795E-01,0.40000000000E+03,-.59296474657E-05,0.26986586204E-06,-.14320238400E+02,0.57985404212E+00,0.28328781812E-12,0.56657562608E-05,0.68755225783E-06,0.13751045027E+02
 0.25920000000E+07,0.82191780822E-01,0.40000000000E+03,-.59436614681E-05,0.26956575584E-06,-.14833770751E+02,0.60314452343E+00,0.28397617848E-12,0.56795234648E-05,0.71208779965E-06,0.14241755854E+02
 0.26784000000E+07,0.84931506849E-01,0.40000000000E+03,-.59668845296E-05,0.26705718392E-06,-.15349309574E+02,0.62621826412E+00,0.28486151546E-12,0.56972301905E-05,0.73669983459E-06,0.14733996542E+02
 0.27648000000E+07,0.87671232877E-01,0.40000000000E+03,-.59696520849E-05,0.26843268172E-06,-.15865087514E+02,0.64941084782E+00,0.28532295735E-12,0.57064590347E-05,0.76135173810E-06,0.15227034603E+02
 0.28512000000E+07,0.90410958904E-01,0.40000000000E+03,-.59758033143E-05,0.26775038408E-06,-.16381396921E+02,0.67254448101E+00,0.28592601591E-12,0.57185201937E-05,0.78605574588E-06,0.15721114748E+02
 0.29376000000E+07,0.93150684932E-01,0.40000000000E+03,-.59955555426E-05,0.26689237887E-06,-.16899412920E+02,0.69560398254E+00,0.28667958075E-12,0.57335914951E-05,0.81082486166E-06,0.16216497053E+02
 0.30240000000E+07,0.95890410959E-01,0.40000000000E+03,-.60076883211E-05,0.26597905586E-06,-.17418477190E+02,0.71858457297E+00,0.28734390613E-12,0.57468779988E-05,0.83565137514E-06,0.16713027312E+02
 0.31104000000E+07,0.98630136986E-01,0.40000000000E+03,-.60214799189E-05,0.26507097925E-06,-.17938733055E+02,0.74148670557E+00,0.28808655467E-12,0.57617309660E-05,0.86054205347E-06,0.17210840868E+02
 0.31968000000E+07,0.10136986301E+00,0.40000000000E+03,-.60303063018E-05,0.26422893900E-06,-.18459751520E+02,0.76431608590E+00,0.28872857530E-12,0.57745713733E-05,0.88548820237E-06,0.17709763834E+02
 0.32832000000E+07,0.10410958904E+00,0.40000000000E+03,-.60442289377E-05,0.26341474989E-06,-.18981972900E+02,0.78707512029E+00,0.28941639029E-12,0.57883276694E-05,0.91049377850E-06,0.18209875345E+02
 0.33696000000E+07,0.10684931507E+00,0.40000000000E+03,-.60606614916E-05,0.26247833873E-06,-.19505614053E+02,0.80975324876E+00,0.29015330263E-12,0.58030659141E-05,0.93556302384E-06,0.18711260240E+02
 0.34560000000E+07,0.10958904110E+00,0.40000000000E+03,-.60747598271E-05,0.26150476008E-06,-.20030473302E+02,0.83234726003E+00,0.29087931556E-12,0.58175861691E-05,0.96069499671E-06,0.19213899685E+02
 0.35424000000E+07,0.11232876712E+00,0.40000000000E+03,-.60848264357E-05,0.26058210522E-06,-.20556202306E+02,0.85486155392E+00,0.29158182377E-12,0.58316363276E-05,0.98588766628E-06,0.19717753064E+02
 0.36288000000E+07,0.11506849315E+00,0.40000000000E+03,-.61040387223E-05,0.25943239373E-06,-.21083591252E+02,0.87727651274E+00,0.29244558578E-12,0.58489115654E-05,0.10111549649E-05,0.20223099023E+02
 0.37152000000E+07,0.11780821918E+00,0.40000000000E+03,-.61157825129E-05,0.25860279963E-06,-.21611994861E+02,0.89961979463E+00,0.29307062171E-12,0.58614122803E-05,0.10364762666E-05,0.20729525044E+02
 0.38016000000E+07,0.12054794521E+00,0.40000000000E+03,-.61324190587E-05,0.25759733036E-06,-.22141835868E+02,0.92187620397E+00,0.29393343101E-12,0.58786684627E-05,0.10618721150E-05,0.21237441999E+02
 0.38880000000E+07,0.12328767123E+00,0.40000000000E+03,-.61462031383E-05,0.25662465210E-06,-.22672867819E+02,0.94404857391E+00,0.29463961232E-12,0.58927920840E-05,0.10873289776E-05,0.21746579235E+02
 0.39744000000E+07,0.12602739726E+00,0.40000000000E+03,-.61608236112E-05,0.25596078589E-06,-.23205162979E+02,0.96616358581E+00,0.29539118104E-12,0.59078234547E-05,0.11128507756E-05,0.22257015182E+02
 0.40608000000E+07,0.12876712329E+00,0.40000000000E+03,-.61662124078E-05,0.25333996031E-06,-.23737923731E+02,0.98805215838E+00,0.29627483770E-12,0.59254965807E-05,0.11384489216E-05,0.22768978086E+02
 0.41472000000E+07,0.13150684932E+00,0.40000000000E+03,-.61915512171E-05,0.25349759944E-06,-.24272873756E+02,0.10099543510E+01,0.29706508762E-12,0.59413015794E-05,0.11641153451E-05,0.23282306543E+02
 0.42336000000E+07,0.13424657534E+00,0.40000000000E+03,-.62060068467E-05,0.25294914600E-06,-.24809072747E+02,0.10318091572E+01,0.29782922452E-12,0.59565843122E-05,0.11898477901E-05,0.23796955427E+02
 0.43200000000E+07,0.13698630137E+00,0.40000000000E+03,-.62095429573E-05,0.25027505375E-06,-.25345577259E+02,0.10534329218E+01,0.29867935566E-12,0.59735869278E-05,0.12156536865E-05,0.24313073338E+02
 0.44064000000E+07,0.13972602740E+00,0.40000000000E+03,-.62227803689E-05,0.24925029209E-06,-.25883225483E+02,0.10749681471E+01,0.29958453047E-12,0.59916904207E-05,0.12415377899E-05,0.24830755390E+02
 0.44928000000E+07,0.14246575342E+00,0.40000000000E+03,-.62534122642E-05,0.24988980311E-06,-.26423520302E+02,0.10965586261E+01,0.30033461297E-12,0.60066920703E-05,0.12674867005E-05,0.25349733585E+02
 0.45792000000E+07,0.14520547945E+00,0.40000000000E+03,-.62562385307E-05,0.24747436043E-06,-.26964059311E+02,0.11179404108E+01,0.30132165521E-12,0.60264329060E-05,0.12935208915E-05,0.25870417388E+02
 0.46656000000E+07,0.14794520548E+00,0.40000000000E+03,-.62708993784E-05,0.24663060850E-06,-.27505865018E+02,0.11392492954E+01,0.30214757864E-12,0.60429513719E-05,0.13196264423E-05,0.26392528387E+02
 0.47520000000E+07,0.15068493151E+00,0.40000000000E+03,-.62856370023E-05,0.24567572119E-06,-.28048944055E+02,0.11604756777E+01,0.30300899720E-12,0.60601797383E-05,0.13458064196E-05,0.26916127916E+02
 0.48384000000E+07,0.15342465753E+00,0.40000000000E+03,-.63008334866E-05,0.24504634261E-06,-.28593336068E+02,0.11816476817E+01,0.30352618829E-12,0.60705235563E-05,0.13720310823E-05,0.27440621151E+02
 0.49248000000E+07,0.15616438356E+00,0.40000000000E+03,-.63312615816E-05,0.24523523750E-06,-.29140357069E+02,0.12028360062E+01,0.30443392266E-12,0.60886782415E-05,0.13983341732E-05,0.27966682951E+02
 0.50112000000E+07,0.15890410959E+00,0.40000000000E+03,-.63406214696E-05,0.24266206222E-06,-.29688186764E+02,0.12238020084E+01,0.30570222796E-12,0.61140443408E-05,0.14247468457E-05,0.28494936382E+02
 0.50976000000E+07,0.16164383562E+00,0.40000000000E+03,-.63552625900E-05,0.24263103892E-06,-.30237281451E+02,0.12447653301E+01,0.30649857453E-12,0.61299712687E-05,0.14512283225E-05,0.29024565900E+02
 0.51840000000E+07,0.16438356164E+00,0.40000000000E+03,-.64028130520E-05,0.24171035165E-06,-.30790484499E+02,0.12656491045E+01,0.30846748439E-12,0.61693494608E-05,0.14778799132E-05,0.29557597693E+02
 0.52704000000E+07,0.16712328767E+00,0.40000000000E+03,-.64379690880E-05,0.24051370364E-06,-.31346725028E+02,0.12864294885E+01,0.31056674154E-12,0.62113345990E-05,0.15047128797E-05,0.30094257003E+02
 0.53568000000E+07,0.16986301370E+00,0.40000000000E+03,-.65220754516E-05,0.23949017066E-06,-.31910232347E+02,0.13071214393E+01,0.31420972550E-12,0.62841942782E-05,0.15318605999E-05,0.30637211388E+02
 0.54432000000E+07,0.17260273973E+00,0.40000000000E+03,-.65602500017E-05,0.23863946635E-06,-.32477037947E+02,0.13277398892E+01,0.31619098215E-12,0.63238194065E-05,0.15591795008E-05,0.31183589385E+02
 0.55296000000E+07,0.17534246575E+00,0.40000000000E+03,-.65909992014E-05,0.23774588249E-06,-.33046500278E+02,0.13482811334E+01,0.31770434163E-12,0.63540865902E-05,0.15866291559E-05,0.31732582466E+02
 0.56160000000E+07,0.17808219178E+00,0.40000000000E+03,-.66281888601E-05,0.23678878897E-06,-.33619175796E+02,0.13687396848E+01,0.31960621718E-12,0.63921240976E-05,0.16142431331E-05,0.32284861988E+02
 0.57024000000E+07,0.18082191781E+00,0.40000000000E+03,-.66582546490E-05,0.23597635999E-06,-.34194448998E+02,0.13891280423E+01,0.32120685452E-12,0.64241368398E-05,0.16419954053E-05,0.32839907411E+02
 0.57888000000E+07,0.18356164384E+00,0.40000000000E+03,-.66885655075E-05,0.23557563757E-06,-.34772341058E+02,0.14094817774E+01,0.32279694681E-12,0.64559386808E-05,0.16698850615E-05,0.33397700513E+02
 0.58752000000E+07,0.18630136986E+00,0.40000000000E+03,-.67233743169E-05,0.23421841826E-06,-.35353240598E+02,0.14297182487E+01,0.32452393598E-12,0.64904784594E-05,0.16979239296E-05,0.33958477852E+02
 0.59616000000E+07,0.18904109589E+00,0.40000000000E+03,-.67619562695E-05,0.23386275029E-06,-.35937473620E+02,0.14499239903E+01,0.32650506881E-12,0.65301011112E-05,0.17261339675E-05,0.34522678588E+02
 0.60480000000E+07,0.19178082192E+00,0.40000000000E+03,-.67955432818E-05,0.23240346405E-06,-.36524608560E+02,0.14700036496E+01,0.32824349632E-12,0.65648696566E-05,0.17544942056E-05,0.35089883327E+02
 0.61344000000E+07,0.19452054795E+00,0.40000000000E+03,-.68308168380E-05,0.23211844624E-06,-.37114791135E+02,0.14900586834E+01,0.33002427688E-12,0.66004852630E-05,0.17830083031E-05,0.35660165253E+02
 0.62208000000E+07,0.19726027397E+00,0.40000000000E+03,-.68596911915E-05,0.23102959143E-06,-.37707468453E+02,0.15100196401E+01,0.33150432750E-12,0.66300862705E-05,0.18116502770E-05,0.36233004707E+02
 0.63072000000E+07,0.20000000000E+00,0.40000000000E+03,-.68974424114E-05,0.23036632459E-06,-.38303407478E+02,0.15299232905E+01,0.33344279141E-12,0.66688555438E-05,0.18404597342E-05,0.36809193826E+02
 0.63936000000E+07,0.20273972603E+00,0.40000000000E+03,-.69311960728E-05,0.22939571390E-06,-.38902262818E+02,0.15497430802E+01,0.33513755181E-12,0.67027507470E-05,0.18694156187E-05,0.37388311491E+02
 0.64800000000E+07,0.20547945205E+00,0.40000000000E+03,-.69655426903E-05,0.22872548128E-06,-.39504085707E+02,0.15695049618E+01,0.33691787592E-12,0.67383572241E-05,0.18985253232E-05,0.37970505555E+02
 0.65664000000E+07,0.20821917808E+00,0.40000000000E+03,-.69991860250E-05,0.22784404549E-06,-.40108815379E+02,0.15891906873E+01,0.33861561666E-12,0.67723120322E-05,0.19277817124E-05,0.38555633314E+02
 0.66528000000E+07,0.21095890411E+00,0.40000000000E+03,-.70338631628E-05,0.22708281453E-06,-.40716541157E+02,0.16088106425E+01,0.34040972261E-12,0.68081941480E-05,0.19571931125E-05,0.39143861289E+02
 0.67392000000E+07,0.21369863014E+00,0.40000000000E+03,-.70678662971E-05,0.22635627063E-06,-.41327204805E+02,0.16283678243E+01,0.34212659733E-12,0.68425316361E-05,0.19867528505E-05,0.39735056022E+02
 0.68256000000E+07,0.21643835616E+00,0.40000000000E+03,-.71023766376E-05,0.22563064014E-06,-.41940850146E+02,0.16478623116E+01,0.34391021398E-12,0.68782039653E-05,0.20164666930E-05,0.40329332845E+02
 0.69120000000E+07,0.21917808219E+00,0.40000000000E+03,-.71363722463E-05,0.22488704535E-06,-.42557432708E+02,0.16672925523E+01,0.34562424614E-12,0.69124846033E-05,0.20463286278E-05,0.40926571515E+02
 0.69984000000E+07,0.22191780822E+00,0.40000000000E+03,-.71695025189E-05,0.22417558263E-06,-.43176877726E+02,0.16866613226E+01,0.34733807827E-12,0.69467612408E-05,0.20763386378E-05,0.41526771686E+02
 0.70848000000E+07,0.22465753425E+00,0.40000000000E+03,-.72043347858E-05,0.22342796176E-06,-.43799332252E+02,0.17059654985E+01,0.34910281084E-12,0.69820558872E-05,0.21065011207E-05,0.42130021314E+02
 0.71712000000E+07,0.22739726027E+00,0.40000000000E+03,-.72376197983E-05,0.22272561831E-06,-.44424662602E+02,0.17252089920E+01,0.35081254311E-12,0.70162505272E-05,0.21368113244E-05,0.42736225360E+02
 0.72576000000E+07,0.23013698630E+00,0.40000000000E+03,-.72712975137E-05,0.22204418649E-06,-.45052902707E+02,0.17443936097E+01,0.35251428883E-12,0.70502854367E-05,0.21672685589E-05,0.43345370022E+02
 0.73440000000E+07,0.23287671233E+00,0.40000000000E+03,-.73062260369E-05,0.22119902929E-06,-.45684160637E+02,0.17635052058E+01,0.35431353829E-12,0.70862704177E-05,0.21978812487E-05,0.43957623786E+02
 0.74304000000E+07,0.23561643836E+00,0.40000000000E+03,-.73421732163E-05,0.22058292327E-06,-.46318524403E+02,0.17825635704E+01,0.35612968999E-12,0.71225934493E-05,0.22286508539E-05,0.44573015860E+02
 0.75168000000E+07,0.23835616438E+00,0.40000000000E+03,-.73758491096E-05,0.21971610135E-06,-.46955797766E+02,0.18015470415E+01,0.35786825355E-12,0.71573647147E-05,0.22595706710E-05,0.45191412171E+02
