gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.91240734E-09,  0.12949463E-05,  0.27173073E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21941081E-02,  0.54852704E-01,  0.18084028E+00,  0.45210070E+01,  0.12741841E-03,  0.31854603E-02,  0.11698826E+00,  0.16806208E+00,  0.29247066E+01,  0.27778213E+01,  0.51895368E+02,  0.69445533E+02,  0.52601176E-02,  0.60426614E-04,  0.13150294E+00, -0.16738504E+06, -0.16738504E+06, -0.16738504E+06,  0.39892875E+08,  0.32880051E+10,  0.23166984E+07,  0.23907852E-13, -0.10000000E+01, -0.23907852E-13, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.98661907E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.92293910E-09,  0.12949463E-05,  0.27222905E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.21922373E-02,  0.54805932E-01,  0.17877669E+00,  0.44694173E+01,  0.12741841E-03,  0.31854604E-02,  0.11663169E+00,  0.16762590E+00,  0.29157922E+01,  0.28016397E+01,  0.52094057E+02,  0.70040993E+02,  0.52601176E-02,  0.60366526E-04,  0.13150294E+00, -0.16739564E+06, -0.16739564E+06, -0.16739565E+06,  0.39858860E+08,  0.32504853E+10,  0.23166984E+07,  0.67480606E-06,  0.23907852E-13,  0.28225291E+08, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.71435310E+01,  0.71435310E+01,  0.47694754E-02,  0.16914361E+03,  0.96036798E+03,  0.20121101E+03,  0.15093642E-08,  0.18733623E-05,  0.27548042E-06,  0.84624141E+00,  0.48640122E+01,  0.26735776E+01,  0.22141424E-02,  0.55353559E-01,  0.10931755E+00,  0.27329388E+01,  0.88076931E-04,  0.22019233E-02,  0.11864839E+00,  0.17460031E+00,  0.29662096E+01,  0.53985627E+01,  0.17841110E+02,  0.13496407E+03,  0.22921232E-03,  0.67473662E-04,  0.57303080E-02, -0.31276358E+06, -0.16824850E+06, -0.34719889E+09,  0.40257134E+08,  0.19875918E+10,  0.16013987E+07,  0.82864343E-06,  0.67480606E-06,  0.12279727E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.29193866E+01,  0.46850719E+00,  0.45707472E-02,  0.16672124E+03,  0.30926043E+03,  0.19983585E+03,  0.20874623E-08,  0.18229197E-05,  0.27299030E-06,  0.86197578E+00,  0.11647967E+01,  0.98547872E+00,  0.21206240E-02,  0.53015599E-01,  0.79043342E-01,  0.19760835E+01,  0.90514135E-04,  0.22628534E-02,  0.11745595E+00,  0.13670315E+00,  0.29363988E+01,  0.43228914E+01,  0.10947067E+02,  0.10807228E+03,  0.52625703E-02,  0.55901680E-04,  0.13156426E+00, -0.16825326E+06, -0.16663688E+06, -0.69505354E+06,  0.38556799E+08,  0.14371517E+10,  0.16457115E+07,  0.18110539E-06,  0.39475660E-06,  0.45877737E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.38617046E+01,  0.46233266E+00,  0.43720191E-02,  0.16678448E+03,  0.49901235E+03,  0.19983493E+03,  0.15702810E-08,  0.12911595E-05,  0.27222986E-06,  0.87415933E+00,  0.98291817E+00,  0.91040640E+00,  0.21437397E-02,  0.53593491E-01,  0.10507673E+00,  0.26269184E+01,  0.12779211E-03,  0.31948028E-02,  0.11800415E+00,  0.14454269E+00,  0.29501038E+01,  0.53445765E+01,  0.15499607E+02,  0.13361441E+03,  0.52755470E-02,  0.58933645E-04,  0.13188868E+00, -0.16897244E+06, -0.16686219E+06, -0.17538161E+07,  0.38977085E+08,  0.19104861E+10,  0.23234929E+07,  0.13112594E-06,  0.43109868E-06,  0.30416688E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.50725783E+01,  0.24965621E+01,  0.89427663E-02,  0.16676356E+03,  0.48892188E+03,  0.19998189E+03,  0.12912416E-08,  0.14713441E-05,  0.27279541E-06,  0.83576808E+00,  0.20191418E+01,  0.10752637E+01,  0.21606931E-02,  0.54017328E-01,  0.12778399E+00,  0.31945998E+01,  0.11214236E-03,  0.28035590E-02,  0.11834085E+00,  0.15060962E+00,  0.29585212E+01,  0.57909758E+01,  0.23937558E+02,  0.14477439E+03,  0.52694832E-02,  0.61097342E-04,  0.13173708E+00, -0.16958451E+06, -0.16705851E+06, -0.16678588E+07,  0.39285329E+08,  0.23233453E+10,  0.20389520E+07,  0.51522480E-06,  0.63811660E-06,  0.80741483E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.19546747E+01,  0.36513768E+00,  0.53656598E-02,  0.16667173E+03,  0.28070542E+03,  0.19976929E+03,  0.19220113E-08,  0.13600124E-05,  0.27248603E-06,  0.83542182E+00,  0.96505305E+00,  0.88991556E+00,  0.21282435E-02,  0.53206089E-01,  0.85847571E-01,  0.21461893E+01,  0.12132242E-03,  0.30330605E-02,  0.11769142E+00,  0.13901442E+00,  0.29422856E+01,  0.46233078E+01,  0.11183542E+02,  0.11558269E+03,  0.52818675E-02, -0.19181263E-02,  0.13204669E+00, -0.16859919E+06, -0.16672702E+06, -0.60258859E+06,  0.38695337E+08,  0.15608649E+10,  0.22058622E+07,  0.74659468E-07,  0.16817239E-06,  0.44394605E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.22792962E+01,  0.47135976E+00,  0.57631161E-02,  0.16674691E+03,  0.25802026E+03,  0.19972506E+03,  0.91330599E-09,  0.12946790E-05,  0.27154944E-06,  0.83734346E+00,  0.10249883E+01,  0.91399293E+00,  0.21926920E-02,  0.54817301E-01,  0.18066234E+00,  0.45165586E+01,  0.12744471E-03,  0.31861179E-02,  0.11824323E+00,  0.16450862E+00,  0.29560809E+01,  0.55645870E+01,  0.45244433E+02,  0.13911468E+03,  0.52612034E-02,  0.60488031E-04,  0.13153009E+00, -0.16912276E+06, -0.16730116E+06, -0.53673254E+06,  0.39867128E+08,  0.32847699E+10,  0.23171766E+07,  0.35056724E-06,  0.15633891E-06,  0.22423543E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.47766583E+01,  0.44397057E+00,  0.61605723E-02,  0.16667130E+03,  0.66845852E+03,  0.20096706E+03,  0.12750631E-08,  0.13075559E-05,  0.27340939E-06,  0.84736847E+00,  0.11481769E+01,  0.91828462E+00,  0.22352847E-02,  0.55882117E-01,  0.12940536E+00,  0.32351340E+01,  0.12618963E-03,  0.31547408E-02,  0.11551935E+00,  0.19213466E+00,  0.28879837E+01,  0.31281681E+01,  0.37739494E+02,  0.78204202E+02,  0.13411009E-03,  0.67747079E-04,  0.33527523E-02, -0.17781549E+06, -0.16923382E+06, -0.47727482E+07,  0.40641540E+08,  0.23528248E+10,  0.22943569E+07,  0.20148116E-06,  0.35056724E-06,  0.57472900E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.50000000E+01,  0.12974045E+01,  0.60855579E+00,  0.57631161E-02,  0.16669410E+03,  0.40933179E+03,  0.20029648E+03,  0.14764684E-08,  0.13004899E-05,  0.27258292E-06,  0.84352847E+00,  0.10599891E+01,  0.89905011E+00,  0.22059079E-02,  0.55147698E-01,  0.11175315E+00,  0.27938288E+01,  0.12687527E-03,  0.31718817E-02,  0.11836456E+00,  0.17235017E+00,  0.29591140E+01,  0.51162544E+01,  0.20617410E+02,  0.12790636E+03,  0.44806909E-02, -0.63209052E-03,  0.11201727E+00, -0.17295929E+06, -0.16811563E+06, -0.11349363E+07,  0.40107417E+08,  0.20318755E+10,  0.23068231E+07,  0.19958743E-06,  0.20148116E-06,  0.99060096E+00, -0.10000000E+01, -0.10000000E+01,
