time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,       10,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       2,        1,        1,
       2,        2,        1,
       2,        3,        5,
       2,        4,        1,
       2,        5,        1,
       2,        6,        1,
       2,        7,        1,
       2,        8,        1,
       2,        9,        1,
       3,        1,        1,
       3,        2,        1,
       3,        3,        3,
       3,        4,        1,
       3,        5,        1,
       4,        1,        1,
       4,        2,        1,
       4,        3,        3,
       4,        4,        1,
       5,        1,        1,
       5,        2,        1,
       5,        3,        3,
       6,        1,        1,
       6,        2,        1,
       6,        3,        4,
       7,        1,        1,
       7,        2,        1,
       7,        3,        1,
       7,        4,        1,
       7,        5,        1,
       7,        6,        1,
       7,        7,        1,
       7,        8,        1,
       7,        9,        1,
       7,       10,        1,
       7,       11,        1,
       7,       12,        1,
       7,       13,        1,
       7,       14,        1,
       7,       15,        1,
       8,        1,        1,
       8,        2,        1,
       8,        3,        2,
       8,        4,        1,
       8,        5,        1,
       9,        1,        1,
       9,        2,        1,
       9,        3,        2,
       9,        4,        2,
      10,        1,        1,
      10,        2,        1,
      10,        3,        1,
      10,        4,        1,
      10,        5,        1,
      10,        6,        1,
      10,        7,        1,
      10,        8,        1,
      10,        9,        1,
      10,       10,        1,
      10,       11,        1,
      10,       12,        1,
      10,       13,        1,
      10,       14,        1,
      10,       15,        1,
      10,       16,        1,
      10,       17,        1,
      10,       18,        1,
      10,       19,        1,
      10,       20,        1,
      10,       21,        1,
      10,       22,        1,
      10,       23,        1,
      10,       24,        1,
      10,       25,        1,
      10,       26,        1,
      10,       27,        1,
      10,       28,        1,
      10,       29,        1,
      10,       30,        1,
      11,        1,        1,
      11,        2,        1,
      11,        3,        1,
      11,        4,        1,
      11,        5,        1,
      11,        6,        1,
      11,        7,        1,
      11,        8,        1,
      11,        9,        1,
      11,       10,        1,
      11,       11,        1,
      11,       12,        1,
      11,       13,        1,
      11,       14,        1,
      11,       15,        1,
      11,       16,        1,
      11,       17,        1,
      11,       18,        1,
      11,       19,        1,
      11,       20,        1,
      11,       21,        1,
      11,       22,        1,
      11,       23,        1,
      11,       24,        1,
      11,       25,        1,
      11,       26,        1,
      11,       27,        1,
      11,       28,        1,
      11,       29,        1,
      11,       30,        1,
      12,        1,        1,
      12,        2,        1,
      12,        3,        2,
      12,        4,        1,
      13,        1,        1,
      13,        2,        1,
      13,        3,        1,
      13,        4,        1,
      13,        5,        1,
      13,        6,        1,
      13,        7,        1,
      13,        8,        1,
      13,        9,        2,
      13,       10,        1,
      14,        1,        1,
      14,        2,        1,
      14,        3,        1,
      14,        4,        1,
      14,        5,        1,
      14,        6,        1,
      14,        7,        1,
      14,        8,        1,
      14,        9,        1,
      14,       10,        1,
      14,       11,        1,
      14,       12,        2,
      14,       13,        1,
      15,        1,        1,
      15,        2,        1,
      15,        3,        1,
      15,        4,        1,
      15,        5,        1,
      15,        6,        1,
      15,        7,        1,
      15,        8,        1,
      15,        9,        1,
      15,       10,        1,
      15,       11,        1,
      15,       12,        1,
      15,       13,        1,
      16,        1,        1,
      16,        2,        1,
      16,        3,        1,
      16,        4,        1,
      16,        5,        1,
      16,        6,        1,
      16,        7,        1,
      16,        8,        1,
      16,        9,        1,
      16,       10,        1,
      16,       11,        1,
      16,       12,        1,
      16,       13,        1,
      16,       14,        1,
      16,       15,        1,
      16,       16,        1,
      16,       17,        1,
      16,       18,        1,
      16,       19,        1,
      16,       20,        1,
      16,       21,        1,
