gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.60000000E+00, -0.60000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999992E+03,  0.16000000E+03,  0.16000000E+03,  0.42245715E-07,  0.83969335E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942122E-05,  0.14525782E-01,  0.72602831E-04,  0.35221714E+00,  0.36527126E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076248E+00, -0.31239285E+07, -0.31239284E+07, -0.31239299E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.90000000E+00, -0.90000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17445050E+02,  0.69297407E+01,  0.34463980E-01,  0.10435836E+03,  0.24460001E+03,  0.15951209E+03,  0.49379370E-07,  0.83613132E-05,  0.18754822E-05,  0.65239627E+00,  0.17589502E+01,  0.85563984E+00,  0.29756476E-05,  0.14435719E-01,  0.62114168E-04,  0.30133363E+00,  0.36682737E-06,  0.17795847E-02,  0.14289494E-02, -0.52520523E-04,  0.69322430E+01,  0.27727411E-01,  0.58874274E+00,  0.13451362E+03,  0.16668461E-03, -0.78618571E+00,  0.80863481E+00, -0.40939659E+07, -0.31068569E+07, -0.30158563E+09,  0.24580412E+06,  0.51309565E+07,  0.30301867E+05,  0.17183256E-03,  0.23529659E-03,  0.73028070E+00, -0.76250000E+00, -0.76250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.11736617E+02,  0.11736617E+02,  0.36797884E-01,  0.10434830E+03,  0.17786948E+03,  0.15800658E+03,  0.86992109E-07,  0.10285665E-04,  0.18529694E-05,  0.65446692E+00,  0.10045788E+01,  0.74177883E+00,  0.29548837E-05,  0.14334988E-01,  0.35257893E-04,  0.17104615E+00,  0.29819740E-06,  0.14466411E-02,  0.14182323E-02, -0.62115426E-04,  0.68802515E+01,  0.12523778E-01,  0.25919774E+00,  0.60756435E+02,  0.14248172E-03, -0.89549476E+00,  0.69121964E+00, -0.39645443E+07, -0.36943347E+07, -0.57429129E+08,  0.24408892E+06,  0.29124872E+07,  0.24632672E+05,  0.10119084E-03,  0.11996790E-03,  0.84348263E+00, -0.71428571E+00, -0.71428571E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18168910E+02,  0.18168910E+02,  0.36408900E-01,  0.10434838E+03,  0.18489561E+03,  0.15774391E+03,  0.92023757E-07,  0.82158107E-05,  0.18411954E-05,  0.65443454E+00,  0.10607932E+01,  0.73963060E+00,  0.29584105E-05,  0.14352097E-01,  0.33330072E-04,  0.16169373E+00,  0.37332390E-06,  0.18111012E-02,  0.14196789E-02, -0.85423987E-04,  0.68872694E+01,  0.12759628E-01,  0.24594704E+00,  0.61900611E+02,  0.17700176E-03, -0.91389008E+00,  0.85868627E+00, -0.39701917E+07, -0.36770150E+07, -0.66585400E+08,  0.24438025E+06,  0.27532390E+07,  0.30838515E+05,  0.19270779E-04,  0.39572162E-04,  0.48697817E+00, -0.77500000E+00, -0.77500000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18803421E+02,  0.18803421E+02,  0.36564494E-01,  0.10434783E+03,  0.17149419E+03,  0.15762362E+03,  0.93184523E-07,  0.88465446E-05,  0.18376875E-05,  0.65364061E+00,  0.10361634E+01,  0.74110987E+00,  0.29584873E-05,  0.14352470E-01,  0.32914892E-04,  0.15967957E+00,  0.34670695E-06,  0.16819748E-02,  0.14197267E-02, -0.74660500E-04,  0.68875011E+01,  0.12547439E-01,  0.24311281E+00,  0.60871224E+02,  0.16583768E-03, -0.90242174E+00,  0.80452611E+00, -0.40212816E+07, -0.37373816E+07, -0.50766726E+08,  0.24438659E+06,  0.27189429E+07,  0.28639815E+05,  0.95754581E-05,  0.16673430E-04,  0.57429442E+00, -0.76250000E+00, -0.76250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18281157E+02,  0.18281157E+02,  0.37342461E-01,  0.10434784E+03,  0.17267606E+03,  0.15760403E+03,  0.62079148E-07,  0.83088594E-05,  0.18369055E-05,  0.65359464E+00,  0.10473920E+01,  0.74461992E+00,  0.29991083E-05,  0.14549534E-01,  0.49407226E-04,  0.23968861E+00,  0.36914315E-06,  0.17908192E-02,  0.14364618E-02, -0.38634740E-03,  0.69686879E+01,  0.18716995E-01,  0.43491915E+00,  0.90801507E+02,  0.17267062E-03, -0.15295623E+01,  0.83767465E+00, -0.34385402E+07, -0.31924666E+07, -0.44453261E+08,  0.24774210E+06,  0.40812964E+07,  0.30493163E+05,  0.13616481E-03,  0.16529993E-04,  0.82374388E+01, -0.66666667E+00, -0.66666667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13987928E+02,  0.17848366E+01,  0.38509413E-01,  0.10435075E+03,  0.25028416E+03,  0.15769512E+03,  0.15924492E-07,  0.83643567E-05,  0.18361171E-05,  0.65840132E+00,  0.10607468E+01,  0.75478498E+00,  0.31282997E-05,  0.15176278E-01,  0.19260637E-03,  0.93438868E+00,  0.36669389E-06,  0.17789371E-02,  0.14923388E-02,  0.48259194E-03,  0.72397632E+01,  0.84710891E-01,  0.26443575E+01,  0.41095681E+03,  0.16854793E-03, -0.10652049E+01,  0.81767433E+00, -0.40841283E+07, -0.31323177E+07, -0.38297114E+09,  0.25841398E+06,  0.15910297E+08,  0.30290841E+05,  0.63887717E-04,  0.13616481E-03,  0.46919405E+00, -0.76250000E+00, -0.76250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17168976E+02,  0.33780466E+01,  0.36953478E-01,  0.10435024E+03,  0.25819325E+03,  0.15783170E+03,  0.13344488E-07,  0.83659042E-05,  0.18372861E-05,  0.65369560E+00,  0.12740849E+01,  0.76550703E+00,  0.31416406E-05,  0.15240999E-01,  0.22984460E-03,  0.11150420E+01,  0.36662606E-06,  0.17786081E-02,  0.14930363E-02, -0.17614369E-02,  0.72431468E+01,  0.66844165E-01,  0.11338067E+01,  0.32428020E+03,  0.17060221E-03, -0.61527770E+01,  0.82764020E+00, -0.45751337E+07, -0.31248311E+07, -0.54962740E+09,  0.25951602E+06,  0.18986371E+08,  0.30285238E+05,  0.54607086E-04,  0.63887717E-04,  0.85473529E+00, -0.71428571E+00, -0.71428571E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13602763E+02,  0.32554419E+01,  0.37575852E-01,  0.10434784E+03,  0.24861648E+03,  0.15734911E+03,  0.12424388E-07,  0.83454997E-05,  0.18220783E-05,  0.65253841E+00,  0.11214989E+01,  0.76403664E+00,  0.31443124E-05,  0.15253960E-01,  0.24686595E-03,  0.11976175E+01,  0.36752245E-06,  0.17829567E-02,  0.14905347E-02, -0.20227218E-02,  0.72310109E+01,  0.61237854E-01,  0.10983384E+01,  0.29708238E+03,  0.17458252E-03, -0.71052261E+01,  0.84694982E+00, -0.41701940E+07, -0.31206597E+07, -0.35574498E+09,  0.25973672E+06,  0.20392424E+08,  0.30359285E+05,  0.15907069E-04,  0.24421930E-04,  0.65134365E+00, -0.74000000E+00, -0.74000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14062952E+02,  0.41393847E+01,  0.37731445E-01,  0.10435268E+03,  0.24923821E+03,  0.15729053E+03,  0.49501123E-07,  0.82948516E-05,  0.18246843E-05,  0.65324696E+00,  0.11733157E+01,  0.76583235E+00,  0.30354455E-05,  0.14725816E-01,  0.61961392E-04,  0.30059247E+00,  0.36976653E-06,  0.17938434E-02,  0.14525106E-02, -0.45759565E-03,  0.70465454E+01,  0.20694035E-01,  0.59093151E+00,  0.10039270E+03,  0.17394859E-03, -0.18800903E+01,  0.84387449E+00, -0.41498155E+07, -0.31104504E+07, -0.36387184E+09,  0.25074374E+06,  0.51183364E+07,  0.30544657E+05,  0.13110983E-03,  0.11453785E-04,  0.11446856E+02, -0.67333333E+00, -0.67333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.15873108E+02,  0.29004271E+01,  0.37653649E-01,  0.10434783E+03,  0.27694859E+03,  0.15727204E+03,  0.70022541E-07,  0.82500489E-05,  0.18305023E-05,  0.65582805E+00,  0.11237425E+01,  0.76252457E+00,  0.30230570E-05,  0.14665716E-01,  0.43802445E-04,  0.21249821E+00,  0.37177458E-06,  0.18035851E-02,  0.14474735E-02, -0.33104193E-03,  0.70221088E+01,  0.20849527E-01,  0.46631499E+00,  0.10114703E+03,  0.17119020E-03, -0.12023595E+01,  0.83049270E+00, -0.52971174E+07, -0.32172114E+07, -0.18934369E+10,  0.24972038E+06,  0.36183120E+07,  0.30710533E+05,  0.60295907E-04,  0.13110983E-03,  0.45988855E+00, -0.76666667E+00, -0.76666667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.24680749E+02,  0.28002047E+01,  0.37109071E-01,  0.10434808E+03,  0.28111379E+03,  0.15739297E+03,  0.67664745E-07,  0.82614661E-05,  0.18324580E-05,  0.65329459E+00,  0.11775014E+01,  0.76308530E+00,  0.30344047E-05,  0.14720767E-01,  0.45328753E-04,  0.21990277E+00,  0.37126080E-06,  0.18010925E-02,  0.14518732E-02, -0.29766379E-03,  0.70434528E+01,  0.20399415E-01,  0.53228036E+00,  0.98963406E+02,  0.17095226E-03, -0.14447981E+01,  0.82933841E+00, -0.60743257E+07, -0.31305434E+07, -0.27263565E+10,  0.25065777E+06,  0.37443931E+07,  0.30668092E+05,  0.41952388E-04,  0.60295907E-04,  0.69577505E+00, -0.74000000E+00, -0.74000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17535364E+02,  0.18644638E+01,  0.37186868E-01,  0.10434789E+03,  0.27025826E+03,  0.15699603E+03,  0.69142596E-07,  0.82411664E-05,  0.18184523E-05,  0.65281010E+00,  0.11525263E+01,  0.76561944E+00,  0.30347495E-05,  0.14722440E-01,  0.44359898E-04,  0.21520258E+00,  0.37217529E-06,  0.18055290E-02,  0.14527200E-02, -0.32981045E-03,  0.70475612E+01,  0.20775273E-01,  0.44174066E+00,  0.10078680E+03,  0.17474126E-03, -0.13747521E+01,  0.84771992E+00, -0.53779988E+07, -0.31804892E+07, -0.11241828E+10,  0.25068625E+06,  0.36643606E+07,  0.30743634E+05,  0.58312674E-05,  0.25328826E-04,  0.23022257E+00, -0.67500000E+00, -0.67500000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18672185E+02,  0.21394032E+01,  0.37109071E-01,  0.10434784E+03,  0.27016475E+03,  0.15696097E+03,  0.39071867E-07,  0.82770470E-05,  0.18157173E-05,  0.65295756E+00,  0.11611056E+01,  0.76710541E+00,  0.30683686E-05,  0.14885536E-01,  0.78500434E-04,  0.38082810E+00,  0.37056193E-06,  0.17977021E-02,  0.14661633E-02, -0.54667838E-03,  0.71127782E+01,  0.22801129E-01,  0.67554626E+00,  0.11061481E+03,  0.17464241E-03, -0.24017127E+01,  0.84724038E+00, -0.52617798E+07, -0.30944864E+07, -0.10868673E+10,  0.25346337E+06,  0.64845481E+07,  0.30610361E+05,  0.12684676E-03,  0.73153733E-05,  0.17339752E+02, -0.67000000E+00, -0.67000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17456532E+02,  0.18268813E+01,  0.36642290E-01,  0.10434784E+03,  0.27959800E+03,  0.15695530E+03,  0.87116395E-08,  0.82903462E-05,  0.18176682E-05,  0.66076048E+00,  0.96552833E+00,  0.75151168E+00,  0.31856076E-05,  0.15454295E-01,  0.35207592E-03,  0.17080212E+01,  0.36996748E-06,  0.17948183E-02,  0.15237649E-02, -0.77936520E-03,  0.73922203E+01,  0.16308559E+00,  0.11650601E+01,  0.79117495E+03,  0.17334620E-03, -0.32648742E+01,  0.84095212E+00, -0.62493301E+07, -0.30982493E+07, -0.23198526E+10,  0.26314792E+06,  0.29083320E+08,  0.30561257E+05,  0.58997443E-04,  0.12684676E-03,  0.46510801E+00, -0.78333333E+00, -0.78333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.23713097E+02,  0.21149342E+01,  0.34386183E-01,  0.10434901E+03,  0.28279808E+03,  0.15728335E+03,  0.90418753E-08,  0.83099977E-05,  0.18215367E-05,  0.66051775E+00,  0.10756352E+01,  0.75441772E+00,  0.32015681E-05,  0.15531724E-01,  0.33921707E-03,  0.16456392E+01,  0.36909258E-06,  0.17905739E-02,  0.15306419E-02,  0.81472105E-03,  0.74255826E+01,  0.15942950E+00,  0.25223858E+01,  0.77343821E+03,  0.17284642E-03, -0.11078069E+01,  0.83852753E+00, -0.75905850E+07, -0.31056031E+07, -0.32432495E+10,  0.26446634E+06,  0.28021112E+08,  0.30488986E+05,  0.36638716E-04,  0.58997443E-04,  0.62102210E+00, -0.76666667E+00, -0.76666667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18011809E+02,  0.36015695E+01,  0.35475338E-01,  0.10434783E+03,  0.27981041E+03,  0.15694479E+03,  0.74440928E-08,  0.82877372E-05,  0.18104032E-05,  0.66607934E+00,  0.10079677E+01,  0.75855463E+00,  0.32137224E-05,  0.15590688E-01,  0.41202583E-03,  0.19988554E+01,  0.37008395E-06,  0.17953833E-02,  0.15382446E-02,  0.79644481E-04,  0.74624656E+01,  0.19848077E+00,  0.13358889E+01,  0.96288708E+03,  0.17828278E-03, -0.10970386E+01,  0.86490087E+00, -0.68813401E+07, -0.30977738E+07, -0.23676220E+10,  0.26547035E+06,  0.34035498E+08,  0.30570878E+05,  0.11652554E-04,  0.32549881E-04,  0.35799068E+00, -0.70000000E+00, -0.70000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18210125E+02,  0.44984560E+01,  0.36097713E-01,  0.10434834E+03,  0.27969207E+03,  0.15689228E+03,  0.75850599E-08,  0.82888360E-05,  0.18095180E-05,  0.66787386E+00,  0.10076464E+01,  0.75952674E+00,  0.32140739E-05,  0.15592394E-01,  0.40436840E-03,  0.19617070E+01,  0.37003488E-06,  0.17951453E-02,  0.15383216E-02,  0.20483909E-03,  0.74628389E+01,  0.19487803E+00,  0.13322029E+01,  0.94540915E+03,  0.17825914E-03, -0.10904535E+01,  0.86478616E+00, -0.69062061E+07, -0.30986983E+07, -0.23413288E+10,  0.26549939E+06,  0.33402953E+08,  0.30566825E+05,  0.17283662E-04,  0.70563391E-04,  0.24493808E+00, -0.65833333E+00, -0.65833333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19209543E+02,  0.54282460E+01,  0.36253306E-01,  0.10434802E+03,  0.27953753E+03,  0.15690480E+03,  0.72058384E-08,  0.82860083E-05,  0.18089524E-05,  0.66783351E+00,  0.10078759E+01,  0.75868846E+00,  0.32181737E-05,  0.15612283E-01,  0.42564908E-03,  0.20649457E+01,  0.37016116E-06,  0.17957579E-02,  0.15399321E-02, -0.29065866E-03,  0.74706518E+01,  0.20353069E+00,  0.13111440E+01,  0.98738572E+03,  0.17831996E-03, -0.17907160E+01,  0.86508123E+00, -0.68837481E+07, -0.30975263E+07, -0.23058747E+10,  0.26583805E+06,  0.35160850E+08,  0.30577256E+05,  0.49472482E-04,  0.67894403E-04,  0.72866804E+00, -0.74444444E+00, -0.74444444E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18187088E+02,  0.46293638E+01,  0.36564494E-01,  0.10435422E+03,  0.27960805E+03,  0.15689179E+03,  0.75155944E-08,  0.82884626E-05,  0.18093686E-05,  0.66785298E+00,  0.10077460E+01,  0.75888132E+00,  0.32140279E-05,  0.15592170E-01,  0.40810591E-03,  0.19798387E+01,  0.37005156E-06,  0.17952262E-02,  0.15382492E-02,  0.34662308E-03,  0.74624876E+01,  0.19644680E+00,  0.13353722E+01,  0.95301974E+03,  0.17826716E-03, -0.10927724E+01,  0.86482509E+00, -0.68866693E+07, -0.30982061E+07, -0.23220662E+10,  0.26549558E+06,  0.33711692E+08,  0.30568202E+05,  0.20817942E-04,  0.54283631E-04,  0.38350313E+00, -0.72142857E+00, -0.72142857E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18629325E+02,  0.47215779E+01,  0.36720087E-01,  0.10434783E+03,  0.27963590E+03,  0.15689742E+03,  0.77732563E-08,  0.82885574E-05,  0.18091579E-05,  0.66785238E+00,  0.10077935E+01,  0.76067647E+00,  0.32106755E-05,  0.15575907E-01,  0.39457833E-03,  0.19142126E+01,  0.37004733E-06,  0.17952056E-02,  0.15364612E-02,  0.51801673E-03,  0.74538138E+01,  0.18922521E+00,  0.13459818E+01,  0.91798573E+03,  0.17826514E-03, -0.10940529E+01,  0.86481527E+00, -0.68804357E+07, -0.30982926E+07, -0.23283684E+10,  0.26521866E+06,  0.32594243E+08,  0.30567853E+05,  0.11037913E-04,  0.36297312E-04,  0.30409725E+00, -0.70909091E+00, -0.70909091E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18466389E+02,  0.45459400E+01,  0.36408900E-01,  0.10435168E+03,  0.27962606E+03,  0.15689416E+03,  0.31555006E-07,  0.82698625E-05,  0.18114949E-05,  0.66785215E+00,  0.10077472E+01,  0.75926252E+00,  0.30962519E-05,  0.15020805E-01,  0.97200378E-04,  0.47154689E+00,  0.37088386E-06,  0.17992639E-02,  0.14763267E-02, -0.72536280E-03,  0.71620840E+01,  0.24820575E-01,  0.73274992E+00,  0.12041172E+03,  0.17866808E-03, -0.30931194E+01,  0.86677006E+00, -0.68639165E+07, -0.30894794E+07, -0.23195433E+10,  0.25576667E+06,  0.80292618E+07,  0.30636955E+05,  0.12229959E-03,  0.28305370E-04,  0.43207203E+01, -0.67333333E+00, -0.67333333E+00,
