  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37295569466E-09,0.59672888552E-02,0.32223372018E-03,0.51557375709E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.38167546756E-09,0.61068049603E-02,0.65200132416E-03,0.10432017057E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37770376822E-09,0.60432575382E-02,0.97833737990E-03,0.15653391570E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37748177912E-09,0.60397054788E-02,0.13044816371E-02,0.20871697103E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37686320237E-09,0.60298080049E-02,0.16300914439E-02,0.26081451219E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37878611099E-09,0.60605742867E-02,0.19573626438E-02,0.31317787403E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37713346062E-09,0.60341316524E-02,0.22832059538E-02,0.36531277151E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37842932638E-09,0.60548652485E-02,0.26101688918E-02,0.41762680726E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37850163243E-09,0.60560218992E-02,0.29371943022E-02,0.46995083646E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37876634538E-09,0.60602570599E-02,0.32644484246E-02,0.52231145746E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37896631292E-09,0.60634563000E-02,0.35918753190E-02,0.57469971989E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37821617019E-09,0.60514537814E-02,0.39186540900E-02,0.62698428057E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37975154789E-09,0.60760195524E-02,0.42467594274E-02,0.67948108950E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.38002665710E-09,0.60804210513E-02,0.45751024591E-02,0.73201592738E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38041131430E-09,0.60865753142E-02,0.49037778347E-02,0.78460393810E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37953056797E-09,0.60724831503E-02,0.52316922454E-02,0.83707019251E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38092173442E-09,0.60947415115E-02,0.55608086239E-02,0.88972875917E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.18469409223E-08,0.60836460310E-02,0.71565655808E-02,0.94229146088E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.12639493476E-04,0.60742547683E-02,0.10927678929E+02,0.99477302208E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.18255459749E-03,0.58426191194E-02,0.16865485116E+03,0.10452532513E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.52085562235E-03,0.56453267559E-02,0.61867410888E+03,0.10940288744E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.68409053110E-03,0.54284979441E-02,0.12097283277E+04,0.11409310967E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.84234862279E-03,0.53313977030E-02,0.19375175378E+04,0.11869943728E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.94253275261E-03,0.52764202480E-02,0.27518658361E+04,0.12325826438E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.10061740207E-02,0.52467633699E-02,0.36212001900E+04,0.12779146793E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10486237520E-02,0.52237675702E-02,0.45272111117E+04,0.13230480311E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10914648896E-02,0.52038417868E-02,0.54702367764E+04,0.13680092241E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11270550753E-02,0.51884588133E-02,0.64440123614E+04,0.14128375083E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11643167921E-02,0.51742474672E-02,0.74499820698E+04,0.14575430064E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11924660188E-02,0.51628751094E-02,0.84802727100E+04,0.15021502473E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12197558819E-02,0.51513029716E-02,0.95341417920E+04,0.15466575050E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12446453640E-02,0.51394478838E-02,0.10609515387E+05,0.15910623347E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12664929297E-02,0.51249150608E-02,0.11703765278E+05,0.16353416009E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12884512115E-02,0.51157318082E-02,0.12816987125E+05,0.16795415237E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13068858200E-02,0.51243678055E-02,0.13946136473E+05,0.17238160615E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13353853719E-02,0.50971340982E-02,0.15099909434E+05,0.17678553001E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13524676575E-02,0.50886513759E-02,0.16268441490E+05,0.18118212480E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13719011264E-02,0.50812981130E-02,0.17453764064E+05,0.18557236637E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13842061928E-02,0.50966474137E-02,0.18649718214E+05,0.18997586974E+06
 0.34560000000E+08,0.10958904110E+01,0.12030803138E+07,0.14041243055E-02,0.50912984796E-02,0.19862881614E+05,0.19437475162E+06
 0.35424000000E+08,0.11232876712E+01,0.12030803138E+07,0.14220223024E-02,0.50647490567E-02,0.21091508884E+05,0.19875069481E+06
 0.36288000000E+08,0.11506849315E+01,0.12030803138E+07,0.14386578103E-02,0.50622915080E-02,0.22334509232E+05,0.20312451467E+06
 0.37152000000E+08,0.11780821918E+01,0.12030803138E+07,0.14525280763E-02,0.50579885342E-02,0.23589493490E+05,0.20749461676E+06
 0.38016000000E+08,0.12054794521E+01,0.12030803138E+07,0.14668316299E-02,0.50570120563E-02,0.24856836018E+05,0.21186387518E+06
 0.38880000000E+08,0.12328767123E+01,0.12030803138E+07,0.14807571655E-02,0.50568438023E-02,0.26136210209E+05,0.21623298823E+06
 0.39744000000E+08,0.12602739726E+01,0.12030803138E+07,0.14938422354E-02,0.50577401672E-02,0.27426889900E+05,0.22060287573E+06
 0.40608000000E+08,0.12876712329E+01,0.12030803138E+07,0.15063018826E-02,0.50598845815E-02,0.28728334727E+05,0.22497461601E+06
 0.41472000000E+08,0.13150684932E+01,0.12030803138E+07,0.15184739399E-02,0.50611807927E-02,0.30040296211E+05,0.22934747621E+06
 0.42336000000E+08,0.13424657534E+01,0.12030803138E+07,0.15299299292E-02,0.50631274311E-02,0.31362155670E+05,0.23372201831E+06
 0.43200000000E+08,0.13698630137E+01,0.12030803138E+07,0.15311270392E-02,0.50886541208E-02,0.32685049431E+05,0.23811861548E+06
 0.44064000000E+08,0.13972602740E+01,0.12030803138E+07,0.15545938593E-02,0.50680542804E-02,0.34028218526E+05,0.24249741437E+06
 0.44928000000E+08,0.14246575342E+01,0.12030803138E+07,0.15593111170E-02,0.50964168779E-02,0.35375463331E+05,0.24690071856E+06
 0.45792000000E+08,0.14520547945E+01,0.12030803138E+07,0.15782735003E-02,0.51003505216E-02,0.36739091635E+05,0.25130742141E+06
 0.46656000000E+08,0.14794520548E+01,0.12030803138E+07,0.15889695924E-02,0.51027276537E-02,0.38111961363E+05,0.25571617810E+06
 0.47520000000E+08,0.15068493151E+01,0.12030803138E+07,0.15931975879E-02,0.51053077053E-02,0.39488484079E+05,0.26012716396E+06
 0.48384000000E+08,0.15342465753E+01,0.12030803138E+07,0.16039402411E-02,0.50836779408E-02,0.40874288447E+05,0.26451946170E+06
 0.49248000000E+08,0.15616438356E+01,0.12030803138E+07,0.16121124254E-02,0.50887265940E-02,0.42267153583E+05,0.26891612147E+06
 0.50112000000E+08,0.15890410959E+01,0.12030803138E+07,0.16208466323E-02,0.50941031408E-02,0.43667565073E+05,0.27331742659E+06
 0.50976000000E+08,0.16164383562E+01,0.12030803138E+07,0.16292676062E-02,0.51008187236E-02,0.45075252285E+05,0.27772453397E+06
 0.51840000000E+08,0.16438356164E+01,0.12030803138E+07,0.16375827600E-02,0.51069185941E-02,0.46490123790E+05,0.28213691163E+06
 0.52704000000E+08,0.16712328767E+01,0.12030803138E+07,0.16454897848E-02,0.51131001973E-02,0.47911826964E+05,0.28655463020E+06
 0.53568000000E+08,0.16986301370E+01,0.12030803138E+07,0.16528397296E-02,0.51168522330E-02,0.49339880490E+05,0.29097559053E+06
 0.54432000000E+08,0.17260273973E+01,0.12030803138E+07,0.16712305488E-02,0.51491266931E-02,0.50783823684E+05,0.29542443599E+06
 0.55296000000E+08,0.17534246575E+01,0.12030803138E+07,0.16786890558E-02,0.51527443529E-02,0.52234211028E+05,0.29987640711E+06
 0.56160000000E+08,0.17808219178E+01,0.12030803138E+07,0.16863242352E-02,0.51562969250E-02,0.53691195168E+05,0.30433144766E+06
 0.57024000000E+08,0.18082191781E+01,0.12030803138E+07,0.16939965980E-02,0.51604463254E-02,0.55154808228E+05,0.30879007328E+06
 0.57888000000E+08,0.18356164384E+01,0.12030803138E+07,0.16998370985E-02,0.51664268543E-02,0.56623467481E+05,0.31325386609E+06
 0.58752000000E+08,0.18630136986E+01,0.12030803138E+07,0.17078406144E-02,0.51739436935E-02,0.58099041772E+05,0.31772415344E+06
 0.59616000000E+08,0.18904109589E+01,0.12030803138E+07,0.17146621086E-02,0.51820095262E-02,0.59580509834E+05,0.32220140967E+06
 0.60480000000E+08,0.19178082192E+01,0.12030803138E+07,0.17207118716E-02,0.51911215582E-02,0.61067204891E+05,0.32668653869E+06
 0.61344000000E+08,0.19452054795E+01,0.12030803138E+07,0.17150241768E-02,0.51703530985E-02,0.62548985780E+05,0.33115372377E+06
 0.62208000000E+08,0.19726027397E+01,0.12030803138E+07,0.17201550419E-02,0.51798607999E-02,0.64035199736E+05,0.33562912350E+06
 0.63072000000E+08,0.20000000000E+01,0.12030803138E+07,0.17263475824E-02,0.51903429188E-02,0.65526764047E+05,0.34011357978E+06
 0.63936000000E+08,0.20273972603E+01,0.12030803138E+07,0.17319003496E-02,0.52008524715E-02,0.67023125949E+05,0.34460711632E+06
 0.64800000000E+08,0.20547945205E+01,0.12030803138E+07,0.17385774782E-02,0.52104193022E-02,0.68525256890E+05,0.34910891860E+06
 0.65664000000E+08,0.20821917808E+01,0.12030803138E+07,0.17744035832E-02,0.52244451386E-02,0.70058341586E+05,0.35362283920E+06
 0.66528000000E+08,0.21095890411E+01,0.12030803138E+07,0.18324796776E-02,0.51858785174E-02,0.71641604028E+05,0.35810343823E+06
 0.67392000000E+08,0.21369863014E+01,0.12030803138E+07,0.18844871982E-02,0.51511762308E-02,0.73269800967E+05,0.36255405450E+06
 0.68256000000E+08,0.21643835616E+01,0.12030803138E+07,0.19004405684E-02,0.51055017177E-02,0.74911781618E+05,0.36696520798E+06
 0.69120000000E+08,0.21917808219E+01,0.12030803138E+07,0.19348986091E-02,0.50881660458E-02,0.76583534016E+05,0.37136138345E+06
 0.69984000000E+08,0.22191780822E+01,0.12030803138E+07,0.19629399547E-02,0.50788586883E-02,0.78279514137E+05,0.37574951735E+06
 0.70848000000E+08,0.22465753425E+01,0.12030803138E+07,0.19993650014E-02,0.50616921295E-02,0.80006965498E+05,0.38012281935E+06
 0.71712000000E+08,0.22739726027E+01,0.12030803138E+07,0.20449319229E-02,0.50368378210E-02,0.81773786680E+05,0.38447464723E+06
 0.72576000000E+08,0.23013698630E+01,0.12030803138E+07,0.20999228489E-02,0.49965039911E-02,0.83588120021E+05,0.38879162668E+06
 0.73440000000E+08,0.23287671233E+01,0.12030803138E+07,0.21560577434E-02,0.49589517951E-02,0.85450953912E+05,0.39307616103E+06
 0.74304000000E+08,0.23561643836E+01,0.12030803138E+07,0.22114227526E-02,0.49203735814E-02,0.87361623170E+05,0.39732736380E+06
 0.75168000000E+08,0.23835616438E+01,0.12030803138E+07,0.22840365212E-02,0.48971127006E-02,0.89335030724E+05,0.40155846918E+06
 0.76032000000E+08,0.24109589041E+01,0.12030803138E+07,0.23351609406E-02,0.48586237705E-02,0.91352609777E+05,0.40575632011E+06
 0.76896000000E+08,0.24383561644E+01,0.12030803138E+07,0.23620538908E-02,0.48122915050E-02,0.93393424339E+05,0.40991413997E+06
 0.77760000000E+08,0.24657534247E+01,0.12030803138E+07,0.24050006839E-02,0.47849311079E-02,0.95471344929E+05,0.41404832045E+06
 0.78624000000E+08,0.24931506849E+01,0.12030803138E+07,0.24432963028E-02,0.47612348220E-02,0.97582352935E+05,0.41816202734E+06
 0.79488000000E+08,0.25205479452E+01,0.12030803138E+07,0.24785545176E-02,0.47397725181E-02,0.99723824038E+05,0.42225719079E+06
 0.80352000000E+08,0.25479452055E+01,0.12030803138E+07,0.25124016660E-02,0.47208659407E-02,0.10189453908E+06,0.42633601897E+06
