gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999987E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969330E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221715E+00,  0.36527128E-06,  0.17720357E-02,  0.14328501E-02, -0.45503223E-03,  0.69511667E+01,  0.18930028E-01,  0.58744491E+00,  0.91834992E+02,  0.16712319E-03, -0.20498014E+01,  0.81076251E+00, -0.31239285E+07, -0.31239284E+07, -0.31239309E+07,  0.24733766E+06,  0.59973753E+07,  0.30173326E+05,  0.23529658E-03,  0.65235044E-10,  0.36069046E+07, -0.76250000E+00, -0.76250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16775959E+02,  0.69585395E+01,  0.33297028E-01,  0.10438679E+03,  0.18344690E+03,  0.15923869E+03,  0.50243594E-07,  0.83529242E-05,  0.18726022E-05,  0.65254594E+00,  0.13252456E+01,  0.79123101E+00,  0.29735992E-05,  0.14425782E-01,  0.61045762E-04,  0.29615049E+00,  0.36719578E-06,  0.17813720E-02,  0.14277616E-02, -0.87549834E-04,  0.69264808E+01,  0.26228846E-01,  0.55815538E+00,  0.12724365E+03,  0.16743134E-03, -0.92847418E+00,  0.81225741E+00, -0.33624175E+07, -0.31042943E+07, -0.54451297E+08,  0.24563491E+06,  0.50427006E+07,  0.30332300E+05,  0.14625156E-03,  0.23529658E-03,  0.62156263E+00, -0.29250000E+00, -0.29250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12192469E+02,  0.12192469E+02,  0.36019916E-01,  0.10434793E+03,  0.17336457E+03,  0.15797376E+03,  0.85815549E-07,  0.96296967E-05,  0.18502020E-05,  0.65400761E+00,  0.10126027E+01,  0.74000576E+00,  0.29554109E-05,  0.14337545E-01,  0.35741291E-04,  0.17339125E+00,  0.31851039E-06,  0.15451852E-02,  0.14184223E-02, -0.67883535E-04,  0.68811733E+01,  0.12469833E-01,  0.26743850E+00,  0.60494732E+02,  0.15239301E-03, -0.90677199E+00,  0.73930217E+00, -0.39576844E+07, -0.36887610E+07, -0.52113235E+08,  0.24413246E+06,  0.29524184E+07,  0.26310631E+05,  0.75065616E-04,  0.74466378E-04,  0.10080471E+01, -0.63333333E+00, -0.63333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18496607E+02,  0.18496607E+02,  0.36408900E-01,  0.10434784E+03,  0.17055488E+03,  0.15772137E+03,  0.92522254E-07,  0.82782152E-05,  0.18405421E-05,  0.65419502E+00,  0.10535517E+01,  0.73947738E+00,  0.29582458E-05,  0.14351298E-01,  0.33150495E-04,  0.16082255E+00,  0.37050963E-06,  0.17974484E-02,  0.14196205E-02, -0.84063781E-04,  0.68869859E+01,  0.12738884E-01,  0.24462429E+00,  0.61799979E+02,  0.17739010E-03, -0.90972124E+00,  0.86057023E+00, -0.39681953E+07, -0.36825689E+07, -0.49049435E+08,  0.24436664E+06,  0.27384050E+07,  0.30606042E+05,  0.15970089E-04,  0.35180745E-04,  0.45394404E+00, -0.57769231E+00, -0.57769231E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19021735E+02,  0.19021735E+02,  0.36875681E-01,  0.10435033E+03,  0.17171819E+03,  0.15762222E+03,  0.93367737E-07,  0.87743782E-05,  0.18373888E-05,  0.65456450E+00,  0.10418952E+01,  0.74183639E+00,  0.29585080E-05,  0.14352570E-01,  0.32850303E-04,  0.15936624E+00,  0.34955850E-06,  0.16958085E-02,  0.14197280E-02, -0.76344343E-04,  0.68875072E+01,  0.12569636E-01,  0.24150397E+00,  0.60978908E+02,  0.16725131E-03, -0.90180249E+00,  0.81138405E+00, -0.40258961E+07, -0.37394286E+07, -0.51033387E+08,  0.24438830E+06,  0.27136076E+07,  0.28875368E+05,  0.56611493E-05,  0.12662587E-04,  0.44707682E+00, -0.57769231E+00, -0.57769231E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18183901E+02,  0.18183901E+02,  0.37342461E-01,  0.10434785E+03,  0.17210341E+03,  0.15760312E+03,  0.62117041E-07,  0.83088906E-05,  0.18367708E-05,  0.65561344E+00,  0.10484340E+01,  0.74362696E+00,  0.29990153E-05,  0.14549083E-01,  0.49377086E-04,  0.23954240E+00,  0.36914176E-06,  0.17908125E-02,  0.14364228E-02, -0.38729060E-03,  0.69684985E+01,  0.18711347E-01,  0.43431755E+00,  0.90774108E+02,  0.17271485E-03, -0.15286668E+01,  0.83788924E+00, -0.34429348E+07, -0.31966666E+07, -0.43979824E+08,  0.24773442E+06,  0.40788067E+07,  0.30493048E+05,  0.13557045E-03,  0.14416591E-04,  0.94037802E+01, -0.94444444E+00, -0.94444444E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14178492E+02,  0.17386906E+01,  0.37031274E-01,  0.10434866E+03,  0.29115613E+03,  0.15807155E+03,  0.22750155E-07,  0.83760475E-05,  0.18390349E-05,  0.65247352E+00,  0.12979552E+01,  0.76668296E+00,  0.31419443E-05,  0.15242472E-01,  0.13481923E-03,  0.65404674E+00,  0.36618208E-06,  0.17764542E-02,  0.14878119E-02,  0.78660636E-03,  0.72178018E+01,  0.30647043E-01,  0.39907901E+01,  0.14867759E+03,  0.16606123E-03, -0.11746433E+01,  0.80561060E+00, -0.16788834E+08, -0.31362489E+07, -0.11451202E+11,  0.25954110E+06,  0.11136777E+08,  0.30248563E+05,  0.68189726E-04,  0.13557045E-03,  0.50298369E+00, -0.75454545E+00, -0.75454545E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18685564E+02,  0.34386114E+01,  0.36875681E-01,  0.10434830E+03,  0.26402623E+03,  0.15759287E+03,  0.16138335E-07,  0.83549048E-05,  0.18355975E-05,  0.65253014E+00,  0.11800204E+01,  0.76003987E+00,  0.31239782E-05,  0.15155314E-01,  0.19005421E-03,  0.92200743E+00,  0.36710873E-06,  0.17809497E-02,  0.14824875E-02, -0.16168959E-02,  0.71919716E+01,  0.38216639E-01,  0.10574749E+01,  0.18539987E+03,  0.17155902E-03, -0.57982096E+01,  0.83228196E+00, -0.44199762E+07, -0.31190555E+07, -0.74837741E+09,  0.25805701E+06,  0.15699476E+08,  0.30325109E+05,  0.62528585E-04,  0.68189726E-04,  0.91697956E+00, -0.63636364E+00, -0.63636364E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14614921E+02,  0.32857313E+01,  0.37887039E-01,  0.10435662E+03,  0.26775598E+03,  0.15737314E+03,  0.10561767E-07,  0.83509523E-05,  0.18226837E-05,  0.65260423E+00,  0.11542456E+01,  0.76475906E+00,  0.31594985E-05,  0.15327633E-01,  0.29040202E-03,  0.14088234E+01,  0.36728248E-06,  0.17817926E-02,  0.14999865E-02, -0.20887708E-02,  0.72768646E+01,  0.93182299E-01,  0.11675967E+01,  0.45205404E+03,  0.17431045E-03, -0.72740958E+01,  0.84562995E+00, -0.43852167E+07, -0.31225095E+07, -0.93697053E+09,  0.26099117E+06,  0.23988732E+08,  0.30339462E+05,  0.31591338E-04,  0.39288061E-04,  0.80409512E+00, -0.42500000E+00, -0.42500000E+00,
