  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37280546409E-09,0.59648851662E-02,0.32210392097E-03,0.51536607836E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37960618595E-09,0.60736964660E-02,0.65008366563E-03,0.10401334530E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37727848760E-09,0.60364530484E-02,0.97605227892E-03,0.15616829964E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37776540065E-09,0.60442434246E-02,0.13024415851E-02,0.20839056283E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37667952463E-09,0.60268691627E-02,0.16278926944E-02,0.26046271239E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37728551593E-09,0.60365647841E-02,0.19538673801E-02,0.31261863213E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37744926324E-09,0.60391844925E-02,0.22799835436E-02,0.36479718614E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37810167715E-09,0.60496228663E-02,0.26066633926E-02,0.41706592771E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37740697248E-09,0.60385073607E-02,0.29327430168E-02,0.46923863131E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37737162870E-09,0.60379416165E-02,0.32587921040E-02,0.52140644687E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37857907360E-09,0.60572604784E-02,0.35858844236E-02,0.57374117741E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37816013188E-09,0.60505571723E-02,0.39126147776E-02,0.62601799138E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37949456889E-09,0.60719078964E-02,0.42404980851E-02,0.67847927560E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37910247572E-09,0.60656341696E-02,0.45680426241E-02,0.73088635483E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38065924498E-09,0.60905422005E-02,0.48969322118E-02,0.78350863944E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.38040000922E-09,0.60863941823E-02,0.52255978197E-02,0.83609508517E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38070644035E-09,0.60912968127E-02,0.55545281842E-02,0.88872388963E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.18796558572E-08,0.60848692249E-02,0.71785508448E-02,0.94129715974E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.15493275308E-04,0.60603093575E-02,0.13393368417E+02,0.99365823259E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.21795001048E-03,0.59905326479E-02,0.20170217748E+03,0.10454164347E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.53801615708E-03,0.56451104675E-02,0.66654813719E+03,0.10941901891E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.75416957021E-03,0.54509011821E-02,0.13181506459E+04,0.11412859753E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.86387016063E-03,0.53460247798E-02,0.20645344646E+04,0.11874756294E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.93214257241E-03,0.52923362360E-02,0.28699056472E+04,0.12332014145E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.98531218765E-03,0.52571093169E-02,0.37212153773E+04,0.12786228390E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10508596771E-02,0.52169918383E-02,0.46291581383E+04,0.13236976485E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10903471088E-02,0.52004310296E-02,0.55712180403E+04,0.13686293726E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11301118472E-02,0.51829262855E-02,0.65476346763E+04,0.14134098557E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11636892465E-02,0.51683628603E-02,0.75530621853E+04,0.14580645108E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11959422250E-02,0.51554582752E-02,0.85863562676E+04,0.15026076703E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12240836177E-02,0.51435117208E-02,0.96439645133E+04,0.15470476116E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12506481034E-02,0.51306526502E-02,0.10724524475E+05,0.15913764505E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12711530880E-02,0.51313119936E-02,0.11822800743E+05,0.16357109861E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12990989745E-02,0.51038778421E-02,0.12945222257E+05,0.16798084906E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13172334682E-02,0.51134858963E-02,0.14083311973E+05,0.17239890088E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13423006013E-02,0.50864874102E-02,0.15243059693E+05,0.17679362600E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13583695790E-02,0.50986949998E-02,0.16416691009E+05,0.18119889848E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13759149404E-02,0.50891036069E-02,0.17605481518E+05,0.18559588400E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13931425252E-02,0.50845171433E-02,0.18809156659E+05,0.18998890681E+06
