gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.84163555E+00, -0.84163555E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999989E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969332E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221714E+00,  0.36527127E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834992E+02,  0.16712319E-03, -0.20498014E+01,  0.81076250E+00, -0.31239285E+07, -0.31239284E+07, -0.31239305E+07,  0.24733766E+06,  0.59973752E+07,  0.30173326E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.69197619E+00, -0.69197619E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16786569E+02,  0.69733139E+01,  0.33141435E-01,  0.10434814E+03,  0.16000000E+03,  0.15914715E+03,  0.50654809E-07,  0.83501446E-05,  0.18714300E-05,  0.65217587E+00,  0.11328862E+01,  0.76682234E+00,  0.29728316E-05,  0.14422058E-01,  0.60550194E-04,  0.29374634E+00,  0.36731801E-06,  0.17819649E-02,  0.14272447E-02, -0.10597918E-03,  0.69239731E+01,  0.25401058E-01,  0.54588387E+00,  0.12322781E+03,  0.16782128E-03, -0.10007472E+01,  0.81414911E+00, -0.32734339E+07, -0.31036455E+07, -0.32468560E+08,  0.24557151E+06,  0.50017640E+07,  0.30342397E+05,  0.13344814E-03,  0.23529659E-03,  0.56714865E+00, -0.80907143E+00, -0.80907143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12722959E+02,  0.12722959E+02,  0.35708729E-01,  0.10434954E+03,  0.17263585E+03,  0.15797480E+03,  0.84922986E-07,  0.89884024E-05,  0.18492866E-05,  0.65380467E+00,  0.10128988E+01,  0.74303566E+00,  0.29560698E-05,  0.14340742E-01,  0.36116941E-04,  0.17521363E+00,  0.34123511E-06,  0.16554293E-02,  0.14187062E-02, -0.73211598E-04,  0.68825503E+01,  0.12464866E-01,  0.27281069E+00,  0.60470638E+02,  0.16365005E-03, -0.91403769E+00,  0.79391328E+00, -0.39494461E+07, -0.36804282E+07, -0.51204572E+08,  0.24418689E+06,  0.29834491E+07,  0.28187813E+05,  0.51320635E-04,  0.69682373E-04,  0.73649378E+00, -0.84035714E+00, -0.84035714E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17340805E+02,  0.17340805E+02,  0.37342461E-01,  0.10435331E+03,  0.16904916E+03,  0.15771842E+03,  0.92160701E-07,  0.82154273E-05,  0.18403596E-05,  0.65480846E+00,  0.10421797E+01,  0.74226823E+00,  0.29585087E-05,  0.14352574E-01,  0.33280546E-04,  0.16145347E+00,  0.37334132E-06,  0.18111857E-02,  0.14197187E-02, -0.93721435E-04,  0.68874622E+01,  0.12918256E-01,  0.23810014E+00,  0.62670161E+02,  0.17723854E-03, -0.91548405E+00,  0.85983494E+00, -0.39659750E+07, -0.36808378E+07, -0.47512305E+08,  0.24438836E+06,  0.27491479E+07,  0.30839954E+05,  0.67715986E-04,  0.58428374E-04,  0.11589572E+01, -0.81352381E+00, -0.81352381E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.24356765E+02,  0.24356765E+02,  0.39053991E-01,  0.10435508E+03,  0.19727462E+03,  0.15784515E+03,  0.93390707E-07,  0.88762362E-05,  0.18478797E-05,  0.65378897E+00,  0.11908556E+01,  0.74657391E+00,  0.29580985E-05,  0.14350584E-01,  0.32842224E-04,  0.15932704E+00,  0.34554719E-06,  0.16763485E-02,  0.14195172E-02, -0.96419115E-04,  0.68864847E+01,  0.12621357E-01,  0.23955657E+00,  0.61229820E+02,  0.16433504E-03, -0.90433768E+00,  0.79723635E+00, -0.40964791E+07, -0.37285996E+07, -0.89560222E+08,  0.24435447E+06,  0.27129402E+07,  0.28544013E+05,  0.25236819E-03,  0.26076663E-03,  0.96779329E+00, -0.82505952E+00, -0.82505952E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16125258E+02,  0.16125258E+02,  0.36720087E-01,  0.10434789E+03,  0.16647304E+03,  0.15763638E+03,  0.93982467E-07,  0.83554378E-05,  0.18392627E-05,  0.65320433E+00,  0.10123731E+01,  0.74087368E+00,  0.29580619E-05,  0.14350406E-01,  0.32635433E-04,  0.15832384E+00,  0.36708531E-06,  0.17808360E-02,  0.14194689E-02, -0.67747729E-04,  0.68862506E+01,  0.12656559E-01,  0.23864178E+00,  0.61400594E+02,  0.17632632E-03, -0.90386177E+00,  0.85540950E+00, -0.40118130E+07, -0.37332130E+07, -0.45683302E+08,  0.24435145E+06,  0.26958582E+07,  0.30323175E+05,  0.47348910E-04,  0.20083792E-03,  0.23575683E+00, -0.82264286E+00, -0.82264286E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19433305E+02,  0.19433305E+02,  0.37109071E-01,  0.10434794E+03,  0.17129596E+03,  0.15761361E+03,  0.94118019E-07,  0.86151280E-05,  0.18374006E-05,  0.65410218E+00,  0.10579053E+01,  0.74346571E+00,  0.29587852E-05,  0.14353915E-01,  0.32588430E-04,  0.15809581E+00,  0.35602007E-06,  0.17271554E-02,  0.14198557E-02, -0.79154507E-04,  0.68881268E+01,  0.12570766E-01,  0.23961449E+00,  0.60984391E+02,  0.17033591E-03, -0.90227390E+00,  0.82634830E+00, -0.40263540E+07, -0.37375013E+07, -0.50558163E+08,  0.24441120E+06,  0.26919755E+07,  0.29409128E+05,  0.92261220E-05,  0.18500495E-04,  0.49869595E+00, -0.82247619E+00, -0.82247619E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18654665E+02,  0.36131992E+01,  0.37575852E-01,  0.10434796E+03,  0.17431629E+03,  0.15760816E+03,  0.62069187E-07,  0.83073450E-05,  0.18371770E-05,  0.65447583E+00,  0.10403045E+01,  0.74530540E+00,  0.29990430E-05,  0.14549217E-01,  0.49415155E-04,  0.23972708E+00,  0.36921044E-06,  0.17911457E-02,  0.14364132E-02, -0.38695618E-03,  0.69684520E+01,  0.18727581E-01,  0.43449625E+00,  0.90852861E+02,  0.17271646E-03, -0.15301596E+01,  0.83789703E+00, -0.34378248E+07, -0.31932941E+07, -0.46028282E+08,  0.24773670E+06,  0.40819513E+07,  0.30498722E+05,  0.13904634E-03,  0.16911093E-03,  0.82221972E+00, -0.84440476E+00, -0.84440476E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.15867487E+02,  0.17358543E+01,  0.36720087E-01,  0.10435093E+03,  0.27629027E+03,  0.15791357E+03,  0.21409413E-07,  0.83773070E-05,  0.18380240E-05,  0.65330935E+00,  0.12060784E+01,  0.76051433E+00,  0.31360301E-05,  0.15213781E-01,  0.14326215E-03,  0.69500574E+00,  0.36612702E-06,  0.17761871E-02,  0.14875659E-02,  0.77087126E-03,  0.72166086E+01,  0.39508166E-01,  0.39441549E+01,  0.19166544E+03,  0.16700575E-03, -0.11596324E+01,  0.81019277E+00, -0.56861370E+07, -0.31326388E+07, -0.17435130E+10,  0.25905255E+06,  0.11834206E+08,  0.30244015E+05,  0.64822354E-04,  0.13904634E-03,  0.46619245E+00, -0.76604762E+00, -0.76604762E+00,
