  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37212188703E-09,0.59539479314E-02,0.32151331040E-03,0.51442110127E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37966662381E-09,0.60746634680E-02,0.64954527337E-03,0.10392720249E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37569277798E-09,0.60110816993E-02,0.97414383354E-03,0.15586294837E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37904089742E-09,0.60646513607E-02,0.13016351689E-02,0.20826153613E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37679779496E-09,0.60287614861E-02,0.16271884638E-02,0.26035003537E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37854787008E-09,0.60567624361E-02,0.19542538235E-02,0.31268046282E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37788660593E-09,0.60461819642E-02,0.22807478510E-02,0.36491947499E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37852096095E-09,0.60563313974E-02,0.26077899613E-02,0.41724617826E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37824296836E-09,0.60518832761E-02,0.29345918860E-02,0.46953444977E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37868355467E-09,0.60589324095E-02,0.32617744772E-02,0.52188362578E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37787660732E-09,0.60460210249E-02,0.35882598659E-02,0.57412124744E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37830916475E-09,0.60529416909E-02,0.39151189843E-02,0.62641866365E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37971866508E-09,0.60754934284E-02,0.42431959109E-02,0.67891092687E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37893289931E-09,0.60629209485E-02,0.45705939359E-02,0.73129456387E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38035918045E-09,0.60857411728E-02,0.48992242678E-02,0.78387536760E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37948324330E-09,0.60717259536E-02,0.52270977900E-02,0.83633507984E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38081881658E-09,0.60930948289E-02,0.55561252475E-02,0.88897941916E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.78473014073E-09,0.60977382412E-02,0.62341320891E-02,0.94166387756E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.77336515426E-05,0.60521592398E-02,0.66881090649E+01,0.99395453340E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.18062749120E-03,0.58597635119E-02,0.16275026147E+03,0.10445828901E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.48219123692E-03,0.56576105699E-02,0.57936349017E+03,0.10934646455E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.70774329149E-03,0.54156036576E-02,0.11908536940E+04,0.11402554611E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.87631055570E-03,0.53490158448E-02,0.19479860141E+04,0.11864709580E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.92818350609E-03,0.52993415271E-02,0.27499365634E+04,0.12322572688E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.98541838114E-03,0.52667576030E-02,0.36013380447E+04,0.12777620544E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10304565133E-02,0.52412730393E-02,0.44916524722E+04,0.13230466535E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10961071748E-02,0.52017833785E-02,0.54386890712E+04,0.13679900619E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11299270348E-02,0.51845824552E-02,0.64149460293E+04,0.14127848543E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11629885636E-02,0.51713687033E-02,0.74197681482E+04,0.14574654799E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11928368502E-02,0.51593894112E-02,0.84503791868E+04,0.15020426044E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12153908065E-02,0.51492576904E-02,0.95004768436E+04,0.15465321909E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12479314078E-02,0.51361607482E-02,0.10578689580E+05,0.15909086197E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12660423331E-02,0.51246433115E-02,0.11672550156E+05,0.16351855379E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12919686905E-02,0.51123131031E-02,0.12788811104E+05,0.16793559232E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13167571077E-02,0.51029064599E-02,0.13926489245E+05,0.17234450350E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13322612561E-02,0.50952503376E-02,0.15077562971E+05,0.17674679979E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13435417082E-02,0.51097281256E-02,0.16238383007E+05,0.18116160489E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13729171589E-02,0.50804341048E-02,0.17424583432E+05,0.18555109996E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13860476298E-02,0.50741168787E-02,0.18622128584E+05,0.18993513694E+06
 0.34560000000E+08,0.10958904110E+01,0.12030803138E+07,0.13869159592E-02,0.50911908061E-02,0.19820423973E+05,0.19433392579E+06
 0.35424000000E+08,0.11232876712E+01,0.12030803138E+07,0.14224413302E-02,0.50623564868E-02,0.21049413282E+05,0.19870780180E+06
 0.36288000000E+08,0.11506849315E+01,0.12030803138E+07,0.14360937026E-02,0.50590543740E-02,0.22290198241E+05,0.20307882478E+06
 0.37152000000E+08,0.11780821918E+01,0.12030803138E+07,0.14493769799E-02,0.50545632455E-02,0.23542459952E+05,0.20744596742E+06
 0.38016000000E+08,0.12054794521E+01,0.12030803138E+07,0.14659279548E-02,0.50530468940E-02,0.24809021705E+05,0.21181179994E+06
 0.38880000000E+08,0.12328767123E+01,0.12030803138E+07,0.14797559828E-02,0.50809571084E-02,0.26087530874E+05,0.21620174688E+06
 0.39744000000E+08,0.12602739726E+01,0.12030803138E+07,0.14969289295E-02,0.50542030550E-02,0.27380877469E+05,0.22056857832E+06
 0.40608000000E+08,0.12876712329E+01,0.12030803138E+07,0.15045609134E-02,0.50564230102E-02,0.28680818098E+05,0.22493732780E+06
 0.41472000000E+08,0.13150684932E+01,0.12030803138E+07,0.15041688887E-02,0.50834973243E-02,0.29980420018E+05,0.22932946949E+06
 0.42336000000E+08,0.13424657534E+01,0.12030803138E+07,0.15254038141E-02,0.50853712286E-02,0.31298368913E+05,0.23372323023E+06
 0.43200000000E+08,0.13698630137E+01,0.12030803138E+07,0.15423850289E-02,0.50887495134E-02,0.32630989578E+05,0.23811990981E+06
 0.44064000000E+08,0.13972602740E+01,0.12030803138E+07,0.15539745362E-02,0.50920066364E-02,0.33973623577E+05,0.24251940354E+06
 0.44928000000E+08,0.14246575342E+01,0.12030803138E+07,0.15611699017E-02,0.50679125009E-02,0.35322474372E+05,0.24689807994E+06
 0.45792000000E+08,0.14520547945E+01,0.12030803138E+07,0.15766861353E-02,0.50992499536E-02,0.36684731193E+05,0.25130383190E+06
 0.46656000000E+08,0.14794520548E+01,0.12030803138E+07,0.15872629850E-02,0.51024391589E-02,0.38056126412E+05,0.25571233934E+06
 0.47520000000E+08,0.15068493151E+01,0.12030803138E+07,0.15930550828E-02,0.50771727465E-02,0.39432526004E+05,0.26009901659E+06
 0.48384000000E+08,0.15342465753E+01,0.12030803138E+07,0.16079843739E-02,0.51073797097E-02,0.40821824503E+05,0.26451179266E+06
 0.49248000000E+08,0.15616438356E+01,0.12030803138E+07,0.16131221729E-02,0.50850834227E-02,0.42215562060E+05,0.26890530474E+06
 0.50112000000E+08,0.15890410959E+01,0.12030803138E+07,0.16175278058E-02,0.50918722320E-02,0.43613106085E+05,0.27330468235E+06
 0.50976000000E+08,0.16164383562E+01,0.12030803138E+07,0.16298584386E-02,0.50976986136E-02,0.45021303776E+05,0.27770909395E+06
 0.51840000000E+08,0.16438356164E+01,0.12030803138E+07,0.16360852881E-02,0.51033357405E-02,0.46434881464E+05,0.28211837603E+06
 0.52704000000E+08,0.16712328767E+01,0.12030803138E+07,0.16467032842E-02,0.51402345652E-02,0.47857633102E+05,0.28655953869E+06
 0.53568000000E+08,0.16986301370E+01,0.12030803138E+07,0.16548375891E-02,0.51440649215E-02,0.49287412779E+05,0.29100401078E+06
 0.54432000000E+08,0.17260273973E+01,0.12030803138E+07,0.16603968834E-02,0.51179064866E-02,0.50721995686E+05,0.29542588199E+06
 0.55296000000E+08,0.17534246575E+01,0.12030803138E+07,0.16670510936E-02,0.51231044794E-02,0.52162327831E+05,0.29985224426E+06
 0.56160000000E+08,0.17808219178E+01,0.12030803138E+07,0.16805938210E-02,0.51565246168E-02,0.53614360892E+05,0.30430748153E+06
 0.57024000000E+08,0.18082191781E+01,0.12030803138E+07,0.16894630537E-02,0.51605414676E-02,0.55074056971E+05,0.30876618936E+06
 0.57888000000E+08,0.18356164384E+01,0.12030803138E+07,0.16996769327E-02,0.51656551253E-02,0.56542577841E+05,0.31322931538E+06
 0.58752000000E+08,0.18630136986E+01,0.12030803138E+07,0.17062754184E-02,0.51738132961E-02,0.58016799802E+05,0.31769949007E+06
 0.59616000000E+08,0.18904109589E+01,0.12030803138E+07,0.17025084475E-02,0.51502925194E-02,0.59487767101E+05,0.32214934281E+06
 0.60480000000E+08,0.19178082192E+01,0.12030803138E+07,0.17073901681E-02,0.51587623110E-02,0.60962952206E+05,0.32660651345E+06
 0.61344000000E+08,0.19452054795E+01,0.12030803138E+07,0.17251532013E-02,0.52022353480E-02,0.62453484572E+05,0.33110124479E+06
 0.62208000000E+08,0.19726027397E+01,0.12030803138E+07,0.17205421246E-02,0.51771058442E-02,0.63940032968E+05,0.33557426424E+06
 0.63072000000E+08,0.20000000000E+01,0.12030803138E+07,0.17260795610E-02,0.51885535665E-02,0.65431365708E+05,0.34005717452E+06
 0.63936000000E+08,0.20273972603E+01,0.12030803138E+07,0.17407560700E-02,0.52313874902E-02,0.66935378953E+05,0.34457709331E+06
 0.64800000000E+08,0.20547945205E+01,0.12030803138E+07,0.17529670973E-02,0.52305387771E-02,0.68449942525E+05,0.34909627881E+06
 0.65664000000E+08,0.20821917808E+01,0.12030803138E+07,0.17630371834E-02,0.51591556526E-02,0.69973206651E+05,0.35355378930E+06
 0.66528000000E+08,0.21095890411E+01,0.12030803138E+07,0.18383930149E-02,0.51882179331E-02,0.71561578216E+05,0.35803640959E+06
 0.67392000000E+08,0.21369863014E+01,0.12030803138E+07,0.18979957066E-02,0.51377371707E-02,0.73201446507E+05,0.36247541451E+06
 0.68256000000E+08,0.21643835616E+01,0.12030803138E+07,0.18760528846E-02,0.51339067017E-02,0.74822356199E+05,0.36691110990E+06
 0.69120000000E+08,0.21917808219E+01,0.12030803138E+07,0.19359946311E-02,0.50819465595E-02,0.76495055560E+05,0.37130191172E+06
 0.69984000000E+08,0.22191780822E+01,0.12030803138E+07,0.19623301811E-02,0.50754283949E-02,0.78190508837E+05,0.37568708186E+06
 0.70848000000E+08,0.22465753425E+01,0.12030803138E+07,0.20169839328E-02,0.50826690055E-02,0.79933182955E+05,0.38007850788E+06
 0.71712000000E+08,0.22739726027E+01,0.12030803138E+07,0.20491385555E-02,0.50267888895E-02,0.81703638667E+05,0.38442165348E+06
 0.72576000000E+08,0.23013698630E+01,0.12030803138E+07,0.21008011493E-02,0.49931566823E-02,0.83518730860E+05,0.38873574085E+06
 0.73440000000E+08,0.23287671233E+01,0.12030803138E+07,0.21752759679E-02,0.49704071653E-02,0.85398169296E+05,0.39303017264E+06
 0.74304000000E+08,0.23561643836E+01,0.12030803138E+07,0.22114514485E-02,0.49125118976E-02,0.87308863347E+05,0.39727458292E+06
 0.75168000000E+08,0.23835616438E+01,0.12030803138E+07,0.22851408681E-02,0.49043803529E-02,0.89283225058E+05,0.40151196755E+06
 0.76032000000E+08,0.24109589041E+01,0.12030803138E+07,0.23353250789E-02,0.48626030553E-02,0.91300945926E+05,0.40571325659E+06
 0.76896000000E+08,0.24383561644E+01,0.12030803138E+07,0.23611505818E-02,0.48075850915E-02,0.93340980028E+05,0.40986701011E+06
