gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10,  0.30765497E+00,  0.30765497E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999996E+03,  0.16000000E+03,  0.16000000E+03,  0.42245715E-07,  0.83969339E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942122E-05,  0.14525782E-01,  0.72602831E-04,  0.35221714E+00,  0.36527125E-06,  0.17720355E-02,  0.14328501E-02, -0.45503224E-03,  0.69511666E+01,  0.18930028E-01,  0.58744490E+00,  0.91834989E+02,  0.16712318E-03, -0.20498014E+01,  0.81076246E+00, -0.31239284E+07, -0.31239284E+07, -0.31239292E+07,  0.24733766E+06,  0.59973752E+07,  0.30173323E+05,  0.23529659E-03,  0.65235044E-10,  0.36069048E+07, -0.12981467E+02, -0.12981467E+02,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.10589404E+02,  0.10589404E+02,  0.38353820E-01,  0.10435054E+03,  0.22645359E+03,  0.15842842E+03,  0.83611467E-07,  0.10811319E-04,  0.18691283E-05,  0.65246650E+00,  0.10631384E+01,  0.73766445E+00,  0.29501472E-05,  0.14312010E-01,  0.36683467E-04,  0.17796201E+00,  0.28369882E-06,  0.13763043E-02,  0.14165623E-02,  0.25079086E-04,  0.68721497E+01,  0.14388534E-01,  0.33797530E+00,  0.69802901E+02,  0.13653958E-03, -0.71560637E+00,  0.66239263E+00, -0.39101204E+07, -0.36192731E+07, -0.18896700E+09,  0.24369765E+06,  0.30302471E+07,  0.23435012E+05,  0.12664037E-03,  0.30394539E-03,  0.41665500E+00,  0.72708708E-01,  0.72708708E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14139296E+02,  0.14139296E+02,  0.38042633E-01,  0.10435548E+03,  0.21162314E+03,  0.15833875E+03,  0.65676390E-07,  0.92338117E-05,  0.18647550E-05,  0.65250460E+00,  0.89759934E+00,  0.73702818E+00,  0.29613725E-05,  0.14366467E-01,  0.46701082E-04,  0.22656033E+00,  0.33216602E-06,  0.16114326E-02,  0.14205812E-02, -0.13496928E-03,  0.68916465E+01,  0.14606316E-01,  0.39515118E+00,  0.70859426E+02,  0.16004656E-03, -0.11928039E+01,  0.77643172E+00, -0.37683257E+07, -0.35081181E+07, -0.12047812E+09,  0.24462492E+06,  0.38577547E+07,  0.27438658E+05,  0.11011153E-03,  0.12664037E-03,  0.86948210E+00,  0.73864262E-01,  0.73864262E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14514492E+02,  0.14514492E+02,  0.38509413E-01,  0.10434819E+03,  0.19828861E+03,  0.15826432E+03,  0.70582494E-07,  0.92609476E-05,  0.18627044E-05,  0.65504615E+00,  0.90998004E+00,  0.74064690E+00,  0.29590211E-05,  0.14355059E-01,  0.43454946E-04,  0.21081240E+00,  0.33119273E-06,  0.16067108E-02,  0.14198250E-02, -0.97730669E-04,  0.68879778E+01,  0.14250713E-01,  0.37227150E+00,  0.69134295E+02,  0.15956035E-03, -0.10690013E+01,  0.77407296E+00, -0.37948541E+07, -0.35435404E+07, -0.87189216E+08,  0.24443068E+06,  0.35896068E+07,  0.27358259E+05,  0.92981199E-04,  0.11011153E-03,  0.84442743E+00,  0.74486318E-01,  0.74486318E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.15329357E+02,  0.15329357E+02,  0.37731445E-01,  0.10434960E+03,  0.19037646E+03,  0.15819832E+03,  0.70708868E-07,  0.90863896E-05,  0.18604745E-05,  0.65509543E+00,  0.92423615E+00,  0.74037721E+00,  0.29596104E-05,  0.14357918E-01,  0.43377281E-04,  0.21043562E+00,  0.33755525E-06,  0.16375772E-02,  0.14200886E-02, -0.98923538E-04,  0.68892570E+01,  0.14150717E-01,  0.37104913E+00,  0.68649182E+02,  0.16263763E-03, -0.10718871E+01,  0.78900176E+00, -0.38005132E+07, -0.35538073E+07, -0.72752540E+08,  0.24447936E+06,  0.35831913E+07,  0.27883836E+05,  0.80841696E-04,  0.92981199E-04,  0.86944132E+00,  0.75727990E-01,  0.75727990E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.15837790E+02,  0.15837790E+02,  0.36953478E-01,  0.10434785E+03,  0.18798749E+03,  0.15814329E+03,  0.72471330E-07,  0.89469880E-05,  0.18585286E-05,  0.65373601E+00,  0.93800556E+00,  0.73904106E+00,  0.29593830E-05,  0.14356815E-01,  0.42322371E-04,  0.20531795E+00,  0.34281464E-06,  0.16630921E-02,  0.14200597E-02, -0.91493887E-04,  0.68891166E+01,  0.13859927E-01,  0.35948136E+00,  0.67238476E+02,  0.16517941E-03, -0.10423906E+01,  0.80133266E+00, -0.38115679E+07, -0.35662346E+07, -0.69176408E+08,  0.24446058E+06,  0.34960501E+07,  0.28318290E+05,  0.71985421E-04,  0.80841696E-04,  0.89044916E+00,  0.76793248E-01,  0.76793248E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16062661E+02,  0.16062661E+02,  0.37342461E-01,  0.10434786E+03,  0.18601721E+03,  0.15809487E+03,  0.73728311E-07,  0.88213117E-05,  0.18568538E-05,  0.65414061E+00,  0.95060145E+00,  0.73950327E+00,  0.29594122E-05,  0.14356957E-01,  0.41600824E-04,  0.20181752E+00,  0.34769869E-06,  0.16867860E-02,  0.14200920E-02, -0.91456465E-04,  0.68892732E+01,  0.13511180E-01,  0.34903909E+00,  0.65546604E+02,  0.16753818E-03, -0.10318174E+01,  0.81277573E+00, -0.38230231E+07, -0.35771737E+07, -0.66405458E+08,  0.24446300E+06,  0.34364465E+07,  0.28721738E+05,  0.59737729E-04,  0.71985421E-04,  0.82985872E+00,  0.77208759E-01,  0.77208759E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16690971E+02,  0.16690971E+02,  0.37575852E-01,  0.10435064E+03,  0.18429595E+03,  0.15805280E+03,  0.75126560E-07,  0.86323932E-05,  0.18553618E-05,  0.65371742E+00,  0.96181606E+00,  0.73959524E+00,  0.29593266E-05,  0.14356542E-01,  0.40826553E-04,  0.19806131E+00,  0.35530802E-06,  0.17237010E-02,  0.14200804E-02, -0.89906833E-04,  0.68892169E+01,  0.13185529E-01,  0.33888099E+00,  0.63966780E+02,  0.17121266E-03, -0.10173017E+01,  0.83060167E+00, -0.38355521E+07, -0.35880147E+07, -0.64120707E+08,  0.24445592E+06,  0.33724877E+07,  0.29350308E+05,  0.51758025E-04,  0.59737729E-04,  0.86642104E+00,  0.77495292E-01,  0.77495292E-01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17134543E+02,  0.17134543E+02,  0.37498055E-01,  0.10434947E+03,  0.18284538E+03,  0.15801615E+03,  0.76367761E-07,  0.85522702E-05,  0.18539828E-05,  0.65343851E+00,  0.97173599E+00,  0.73907580E+00,  0.29592550E-05,  0.14356194E-01,  0.40163001E-04,  0.19484223E+00,  0.35863676E-06,  0.17398497E-02,  0.14200591E-02, -0.90067368E-04,  0.68891135E+01,  0.12863345E-01,  0.32929851E+00,  0.62403773E+02,  0.17157534E-03, -0.10075001E+01,  0.83236115E+00, -0.38485125E+07, -0.35985453E+07, -0.62295123E+08,  0.24445000E+06,  0.33176748E+07,  0.29625280E+05,  0.45684879E-04,  0.51758025E-04,  0.88266272E+00,  0.77898942E-01,  0.77898942E-01,
