  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37367993756E-09,0.59788768170E-02,0.32285946605E-03,0.51657495699E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.38114763511E-09,0.60983597945E-02,0.65217102279E-03,0.10434732432E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37728035958E-09,0.60364832089E-02,0.97814125346E-03,0.15650253925E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37989578842E-09,0.60783298824E-02,0.13063712147E-02,0.20901930943E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37829905673E-09,0.60527819944E-02,0.16332215997E-02,0.26131534586E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37961164929E-09,0.60737832856E-02,0.19612060647E-02,0.31379283345E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37953443704E-09,0.60725476994E-02,0.22891238183E-02,0.36625964557E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37963610568E-09,0.60741742103E-02,0.26171294136E-02,0.41874051075E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37979604126E-09,0.60767329894E-02,0.29452731932E-02,0.47124348378E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37987813804E-09,0.60780463474E-02,0.32734879045E-02,0.52375780422E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37990027175E-09,0.60784002993E-02,0.36017217393E-02,0.57627518281E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.38035148562E-09,0.60856195270E-02,0.39303454229E-02,0.62885493552E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.38060557468E-09,0.60896847630E-02,0.42591886394E-02,0.68146981187E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.38083928355E-09,0.60934239156E-02,0.45882337804E-02,0.73411699450E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38169318980E-09,0.61070862148E-02,0.49180166964E-02,0.78688221940E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.38177259555E-09,0.61083565198E-02,0.52478682189E-02,0.83965841973E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38219551226E-09,0.61151229959E-02,0.55780851415E-02,0.89249308242E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.38261715090E-09,0.61218690224E-02,0.59086663599E-02,0.94538603077E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.38283715093E-09,0.61253888336E-02,0.62394376583E-02,0.99830939029E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.38319964087E-09,0.61311884781E-02,0.65705221480E-02,0.10512828587E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.38353043503E-09,0.61364809866E-02,0.69018924439E-02,0.11043020545E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.38379010072E-09,0.61406354388E-02,0.72334870909E-02,0.11573571447E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.38420233920E-09,0.61472303132E-02,0.75654379120E-02,0.12104692146E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.13427812752E-06,0.61564040802E-02,0.12358174009E+00,0.12636605458E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.74934412155E-04,0.61013488639E-02,0.64866913842E+02,0.13163762000E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.38385849017E-03,0.58408141543E-02,0.39652064935E+03,0.13668408343E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.70097803633E-03,0.55126620221E-02,0.10021656727E+04,0.14144702342E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.85215435197E-03,0.53780300399E-02,0.17384270328E+04,0.14609364137E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.93361267098E-03,0.53228227321E-02,0.25450683806E+04,0.15069256021E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.99029874422E-03,0.52870015032E-02,0.34006864956E+04,0.15526052951E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.10335754891E-02,0.52635003594E-02,0.42936957182E+04,0.15980819382E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.10698874718E-02,0.52441670531E-02,0.52180784938E+04,0.16433915415E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.11018799107E-02,0.52293525620E-02,0.61701027366E+04,0.16885731477E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.11302815990E-02,0.52174754941E-02,0.71466660382E+04,0.17336521360E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.11565713537E-02,0.52075559800E-02,0.81459436878E+04,0.17786454196E+06
