gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.42259675E+00, -0.42259675E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999995E+03,  0.16000000E+03,  0.16000000E+03,  0.42245715E-07,  0.83969337E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942122E-05,  0.14525782E-01,  0.72602831E-04,  0.35221714E+00,  0.36527125E-06,  0.17720355E-02,  0.14328501E-02, -0.45503224E-03,  0.69511666E+01,  0.18930028E-01,  0.58744490E+00,  0.91834989E+02,  0.16712319E-03, -0.20498014E+01,  0.81076247E+00, -0.31239285E+07, -0.31239284E+07, -0.31239295E+07,  0.24733766E+06,  0.59973752E+07,  0.30173324E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.16987305E+02, -0.16987305E+02,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19952476E+02,  0.69088023E+01,  0.34930761E-01,  0.10434906E+03,  0.30000000E+03,  0.15978975E+03,  0.48376846E-07,  0.83733314E-05,  0.18779499E-05,  0.65229986E+00,  0.21891862E+01,  0.92247556E+00,  0.29789807E-05,  0.14451889E-01,  0.63401374E-04,  0.30757823E+00,  0.36630086E-06,  0.17770304E-02,  0.14305772E-02, -0.40920948E-04,  0.69401401E+01,  0.28844987E-01,  0.61515926E+00,  0.13993530E+03,  0.16574377E-03, -0.70245190E+00,  0.80407051E+00, -0.20205268E+10, -0.31099694E+07, -0.11233241E+13,  0.24607945E+06,  0.52372865E+07,  0.30258375E+05,  0.18708476E-03,  0.23529659E-03,  0.79510186E+00, -0.70666146E+00, -0.70666146E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.11395585E+02,  0.11395585E+02,  0.37809242E-01,  0.10434784E+03,  0.28470521E+03,  0.15804973E+03,  0.87368204E-07,  0.10882377E-04,  0.18560821E-05,  0.65338993E+00,  0.98772775E+00,  0.74345711E+00,  0.29540957E-05,  0.14331165E-01,  0.35106118E-04,  0.17030984E+00,  0.28184638E-06,  0.13673175E-02,  0.14179039E-02, -0.53315948E-04,  0.68786580E+01,  0.12483735E-01,  0.25718553E+00,  0.60562178E+02,  0.13581269E-03, -0.88379756E+00,  0.65886628E+00, -0.51574520E+07, -0.36888276E+07, -0.48317888E+10,  0.24402382E+06,  0.28999497E+07,  0.23281991E+05,  0.84229738E-04,  0.13568979E-03,  0.62075223E+00, -0.56812700E+00, -0.56812700E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18414921E+02,  0.18414921E+02,  0.36875681E-01,  0.10434786E+03,  0.18469351E+03,  0.15773835E+03,  0.92210276E-07,  0.82151891E-05,  0.18432124E-05,  0.65356897E+00,  0.10680131E+01,  0.74155495E+00,  0.29580852E-05,  0.14350519E-01,  0.33262654E-04,  0.16136667E+00,  0.37335215E-06,  0.18112383E-02,  0.14195103E-02, -0.88500113E-04,  0.68864511E+01,  0.12752083E-01,  0.24722638E+00,  0.61864009E+02,  0.17595784E-03, -0.91300443E+00,  0.85362191E+00, -0.39222288E+07, -0.36788126E+07, -0.66321612E+08,  0.24435338E+06,  0.27476699E+07,  0.30840848E+05,  0.11954871E-03,  0.18784752E-03,  0.63641361E+00, -0.63399720E+00, -0.63399720E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19393035E+02,  0.19393035E+02,  0.36797884E-01,  0.10435012E+03,  0.16968564E+03,  0.15763925E+03,  0.93155362E-07,  0.86567325E-05,  0.18388193E-05,  0.65344986E+00,  0.10317394E+01,  0.74138933E+00,  0.29583428E-05,  0.14351769E-01,  0.32925195E-04,  0.15972956E+00,  0.35430903E-06,  0.17188546E-02,  0.14196413E-02, -0.72466904E-04,  0.68870868E+01,  0.12544684E-01,  0.24330636E+00,  0.60857858E+02,  0.16957626E-03, -0.90284640E+00,  0.82266304E+00, -0.40229710E+07, -0.37384460E+07, -0.48899282E+08,  0.24437465E+06,  0.27197941E+07,  0.29267787E+05,  0.18370372E-04,  0.35889015E-04,  0.51186616E+00, -0.44869733E+00, -0.44869733E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18251396E+02,  0.18251396E+02,  0.37109071E-01,  0.10434787E+03,  0.17310223E+03,  0.15761163E+03,  0.62074878E-07,  0.83088626E-05,  0.18371705E-05,  0.65422792E+00,  0.10486605E+01,  0.74350135E+00,  0.29990410E-05,  0.14549207E-01,  0.49410625E-04,  0.23970510E+00,  0.36914300E-06,  0.17908185E-02,  0.14364330E-02, -0.38700592E-03,  0.69685482E+01,  0.18716409E-01,  0.43504642E+00,  0.90798664E+02,  0.17259832E-03, -0.15296341E+01,  0.83732392E+00, -0.34391116E+07, -0.31923269E+07, -0.44851449E+08,  0.24773654E+06,  0.40815771E+07,  0.30493151E+05,  0.13576140E-03,  0.94101631E-05,  0.14427103E+02, -0.82329260E+00, -0.82329260E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13822083E+02,  0.17716286E+01,  0.37964836E-01,  0.10434827E+03,  0.27285657E+03,  0.15788315E+03,  0.20130007E-07,  0.83697293E-05,  0.18378570E-05,  0.65325948E+00,  0.11871775E+01,  0.76176110E+00,  0.31337453E-05,  0.15202696E-01,  0.15236748E-03,  0.73917834E+00,  0.36645850E-06,  0.17777952E-02,  0.14874810E-02,  0.78492702E-03,  0.72161966E+01,  0.46370276E-01,  0.39662171E+01,  0.22495550E+03,  0.16731674E-03, -0.11396443E+01,  0.81170144E+00, -0.52748815E+07, -0.31344269E+07, -0.13317982E+10,  0.25886382E+06,  0.12586355E+08,  0.30271397E+05,  0.63241918E-04,  0.13576140E-03,  0.46583138E+00, -0.52249400E+00, -0.52249400E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14968037E+02,  0.34050346E+01,  0.36331103E-01,  0.10434783E+03,  0.23747421E+03,  0.15769539E+03,  0.18455936E-07,  0.83624436E-05,  0.18360952E-05,  0.65342087E+00,  0.12185701E+01,  0.76095667E+00,  0.31214678E-05,  0.15143135E-01,  0.16618819E-03,  0.80622653E+00,  0.36677778E-06,  0.17793441E-02,  0.14870252E-02, -0.12633967E-02,  0.72139855E+01,  0.51090272E-01,  0.12078732E+01,  0.24785355E+03,  0.17078019E-03, -0.42965821E+01,  0.82850366E+00, -0.41440760E+07, -0.31229618E+07, -0.23335718E+09,  0.25784963E+06,  0.13728017E+08,  0.30297771E+05,  0.42565795E-04,  0.63241918E-04,  0.67306300E+00, -0.47908000E+00, -0.47908000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13982113E+02,  0.32089689E+01,  0.37575852E-01,  0.10434825E+03,  0.24738882E+03,  0.15736384E+03,  0.11677354E-07,  0.83500062E-05,  0.18219139E-05,  0.65297559E+00,  0.11382765E+01,  0.76399253E+00,  0.31508222E-05,  0.15285542E-01,  0.26265869E-03,  0.12742326E+01,  0.36732410E-06,  0.17819945E-02,  0.14916551E-02, -0.22073098E-02,  0.72364464E+01,  0.60494042E-01,  0.10443278E+01,  0.29347394E+03,  0.17467388E-03, -0.77454176E+01,  0.84739303E+00, -0.41426216E+07, -0.31223251E+07, -0.33848493E+09,  0.26027446E+06,  0.21696988E+08,  0.30342900E+05,  0.11419056E-04,  0.20885523E-04,  0.54674503E+00, -0.44050092E+00, -0.44050092E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13983417E+02,  0.41825751E+01,  0.37731445E-01,  0.10435108E+03,  0.24943441E+03,  0.15728684E+03,  0.12076947E-07,  0.83473657E-05,  0.18197157E-05,  0.65329886E+00,  0.11628788E+01,  0.76527277E+00,  0.31486804E-05,  0.15275151E-01,  0.25396804E-03,  0.12320717E+01,  0.36744029E-06,  0.17825582E-02,  0.14983160E-02, -0.16946653E-02,  0.72687603E+01,  0.88584998E-01,  0.12200038E+01,  0.42975121E+03,  0.17463150E-03, -0.58835185E+01,  0.84718746E+00, -0.41269657E+07, -0.31208753E+07, -0.36810477E+09,  0.26009754E+06,  0.20979094E+08,  0.30352498E+05,  0.53896679E-05,  0.79626571E-05,  0.67686802E+00, -0.42841923E+00, -0.42841923E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13887730E+02,  0.34235141E+01,  0.37186868E-01,  0.10434785E+03,  0.24979972E+03,  0.15727507E+03,  0.49536351E-07,  0.82947518E-05,  0.18241614E-05,  0.65330680E+00,  0.11598675E+01,  0.76464937E+00,  0.30354196E-05,  0.14725691E-01,  0.61917328E-04,  0.30037870E+00,  0.36977098E-06,  0.17938650E-02,  0.14525259E-02, -0.45296889E-03,  0.70466195E+01,  0.20683895E-01,  0.59042856E+00,  0.10034350E+03,  0.17402771E-03, -0.18786263E+01,  0.84425829E+00, -0.41128363E+07, -0.31101244E+07, -0.37252269E+09,  0.25074161E+06,  0.51146965E+07,  0.30545025E+05,  0.12935245E-03,  0.23956443E-05,  0.53994846E+02, -0.91547924E+00, -0.91547924E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16742121E+02,  0.28509922E+01,  0.37264665E-01,  0.10434800E+03,  0.28761661E+03,  0.15746257E+03,  0.68089333E-07,  0.82481491E-05,  0.18362835E-05,  0.65347438E+00,  0.11571922E+01,  0.75886535E+00,  0.30261982E-05,  0.14680955E-01,  0.45046094E-04,  0.21853151E+00,  0.37186021E-06,  0.18040005E-02,  0.14486793E-02, -0.31597728E-03,  0.70279585E+01,  0.21261135E-01,  0.44821316E+00,  0.10314386E+03,  0.16995017E-03, -0.12690499E+01,  0.82447696E+00, -0.68793291E+07, -0.31734186E+07, -0.62102123E+10,  0.24997987E+06,  0.37210440E+07,  0.30717607E+05,  0.58525145E-04,  0.12935245E-03,  0.45244714E+00, -0.51246420E+00, -0.51246420E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.21952858E+02,  0.28956197E+01,  0.36331103E-01,  0.10434842E+03,  0.28266543E+03,  0.15730121E+03,  0.68119225E-07,  0.82539345E-05,  0.18303550E-05,  0.65282112E+00,  0.11268471E+01,  0.75864077E+00,  0.30336126E-05,  0.14716924E-01,  0.45026327E-04,  0.21843562E+00,  0.37159957E-06,  0.18027360E-02,  0.14513637E-02, -0.30345502E-03,  0.70409812E+01,  0.20106674E-01,  0.51545305E+00,  0.97543240E+02,  0.17144193E-03, -0.14548725E+01,  0.83171392E+00, -0.61510219E+07, -0.31451133E+07, -0.32359848E+10,  0.25059234E+06,  0.37194111E+07,  0.30696076E+05,  0.34813294E-04,  0.58525145E-04,  0.59484337E+00, -0.46442350E+00, -0.46442350E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17678730E+02,  0.19023907E+01,  0.37264665E-01,  0.10434783E+03,  0.27051736E+03,  0.15699239E+03,  0.70251080E-07,  0.82390709E-05,  0.18183195E-05,  0.65282920E+00,  0.11542980E+01,  0.76643841E+00,  0.30345917E-05,  0.14721674E-01,  0.43659948E-04,  0.21180692E+00,  0.37226995E-06,  0.18059882E-02,  0.14525584E-02, -0.31709982E-03,  0.70467772E+01,  0.20403552E-01,  0.44828732E+00,  0.98983477E+02,  0.17478010E-03, -0.13870794E+01,  0.84790837E+00, -0.53969976E+07, -0.31862333E+07, -0.11462955E+10,  0.25067321E+06,  0.36065410E+07,  0.30751453E+05,  0.86254878E-05,  0.23389977E-04,  0.36876855E+00, -0.43465284E+00, -0.43465284E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18460686E+02,  0.21441232E+01,  0.37342461E-01,  0.10434785E+03,  0.27035966E+03,  0.15695619E+03,  0.39069456E-07,  0.82766097E-05,  0.18156886E-05,  0.65286000E+00,  0.11534365E+01,  0.76736051E+00,  0.30683215E-05,  0.14885307E-01,  0.78505278E-04,  0.38085160E+00,  0.37058151E-06,  0.17977971E-02,  0.14661573E-02, -0.54603215E-03,  0.71127494E+01,  0.22822731E-01,  0.67392622E+00,  0.11071961E+03,  0.17462015E-03, -0.24005963E+01,  0.84713242E+00, -0.52608557E+07, -0.30944812E+07, -0.11013560E+10,  0.25345947E+06,  0.64849483E+07,  0.30611979E+05,  0.12789727E-03,  0.51525895E-05,  0.24821940E+02, -0.88286334E+00, -0.88286334E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17418026E+02,  0.17782600E+01,  0.35086354E-01,  0.10434954E+03,  0.28270005E+03,  0.15710418E+03,  0.80740599E-08,  0.82944902E-05,  0.18224344E-05,  0.66255194E+00,  0.10185063E+01,  0.74674138E+00,  0.32045896E-05,  0.15546382E-01,  0.37987809E-03,  0.18428975E+01,  0.36978264E-06,  0.17939216E-02,  0.15333838E-02,  0.31387478E-03,  0.74388841E+01,  0.18210858E+00,  0.13173101E+01,  0.88346092E+03,  0.17218639E-03, -0.10940224E+01,  0.83532555E+00, -0.71726624E+07, -0.31001947E+07, -0.32021510E+10,  0.26471593E+06,  0.31379926E+08,  0.30545988E+05,  0.56796741E-04,  0.12789727E-03,  0.44408096E+00, -0.50799865E+00, -0.50799865E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.21251407E+02,  0.21771562E+01,  0.34697370E-01,  0.10434796E+03,  0.28209374E+03,  0.15714468E+03,  0.79585026E-08,  0.82995331E-05,  0.18192429E-05,  0.66046378E+00,  0.95886084E+00,  0.75211952E+00,  0.32053982E-05,  0.15550305E-01,  0.38539392E-03,  0.18696563E+01,  0.36955796E-06,  0.17928316E-02,  0.15336579E-02, -0.36281390E-03,  0.74402140E+01,  0.18326625E+00,  0.13097815E+01,  0.88907711E+03,  0.17348664E-03, -0.21071521E+01,  0.84163340E+00, -0.71316106E+07, -0.31028182E+07, -0.29976350E+10,  0.26478272E+06,  0.31835562E+08,  0.30527428E+05,  0.29086622E-04,  0.56796741E-04,  0.51211779E+00, -0.45706826E+00, -0.45706826E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18615890E+02,  0.36429855E+01,  0.35475338E-01,  0.10435342E+03,  0.27988310E+03,  0.15694993E+03,  0.81137103E-08,  0.82907618E-05,  0.18105321E-05,  0.66480188E+00,  0.10067953E+01,  0.75811654E+00,  0.32081665E-05,  0.15563735E-01,  0.37802169E-03,  0.18338916E+01,  0.36994894E-06,  0.17947283E-02,  0.15350340E-02,  0.57519871E-03,  0.74468901E+01,  0.18077352E+00,  0.15811682E+01,  0.87698414E+03,  0.17821773E-03, -0.10734011E+01,  0.86458530E+00, -0.68904690E+07, -0.30987506E+07, -0.23851797E+10,  0.26501140E+06,  0.31226577E+08,  0.30559725E+05,  0.65660168E-05,  0.21483377E-04,  0.30563243E+00, -0.42961620E+00, -0.42961620E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18649985E+02,  0.45764623E+01,  0.35475338E-01,  0.10434951E+03,  0.27972487E+03,  0.15691322E+03,  0.78240014E-08,  0.82908993E-05,  0.18095286E-05,  0.66832780E+00,  0.10086804E+01,  0.75885431E+00,  0.32105082E-05,  0.15575096E-01,  0.39201916E-03,  0.19017973E+01,  0.36994280E-06,  0.17946985E-02,  0.15365419E-02, -0.57884725E-04,  0.74542052E+01,  0.18846560E+00,  0.13423858E+01,  0.91430062E+03,  0.17821477E-03, -0.10822782E+01,  0.86457093E+00, -0.68889355E+07, -0.30991164E+07, -0.23490832E+10,  0.26520484E+06,  0.32382842E+08,  0.30559218E+05,  0.30678084E-05,  0.84537689E-05,  0.36289239E+00, -0.42128426E+00, -0.42128426E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18517413E+02,  0.45188526E+01,  0.35475338E-01,  0.10434906E+03,  0.27972528E+03,  0.15690477E+03,  0.31408291E-07,  0.82700755E-05,  0.18115571E-05,  0.66833633E+00,  0.10080050E+01,  0.75873278E+00,  0.30965284E-05,  0.15022147E-01,  0.97654422E-04,  0.47374959E+00,  0.37087430E-06,  0.17992175E-02,  0.14763194E-02, -0.72791451E-03,  0.71620486E+01,  0.24696496E-01,  0.73709859E+00,  0.11980978E+03,  0.17855850E-03, -0.31136850E+01,  0.86623845E+00, -0.68638973E+07, -0.30896089E+07, -0.23419700E+10,  0.25578951E+06,  0.80667682E+07,  0.30636166E+05,  0.12134423E-03,  0.15180227E-05,  0.79935716E+02, -0.90417050E+00, -0.90417050E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18391060E+02,  0.21698538E+01,  0.34697370E-01,  0.10434879E+03,  0.28553188E+03,  0.15707008E+03,  0.43652693E-07,  0.82528736E-05,  0.18225157E-05,  0.65964615E+00,  0.10338374E+01,  0.75128490E+00,  0.30879773E-05,  0.14980663E-01,  0.70262756E-04,  0.34086477E+00,  0.37164734E-06,  0.18029677E-02,  0.14736558E-02, -0.60152748E-03,  0.71491266E+01,  0.24490611E-01,  0.57399723E+00,  0.11881097E+03,  0.17903576E-03, -0.23227576E+01,  0.86855378E+00, -0.85262778E+07, -0.30830493E+07, -0.44914961E+10,  0.25508315E+06,  0.58040727E+07,  0.30700022E+05,  0.57363026E-04,  0.12134423E-03,  0.47272972E+00, -0.50795734E+00, -0.50795734E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.21872530E+02,  0.22875364E+01,  0.33997199E-01,  0.10435078E+03,  0.28594797E+03,  0.15712446E+03,  0.46205020E-07,  0.82624132E-05,  0.18209043E-05,  0.66028232E+00,  0.10827175E+01,  0.75733153E+00,  0.30911589E-05,  0.14996098E-01,  0.66381500E-04,  0.32203568E+00,  0.37121824E-06,  0.18008861E-02,  0.14748331E-02, -0.62950645E-03,  0.71548379E+01,  0.24620724E-01,  0.52438508E+00,  0.11944219E+03,  0.17882909E-03, -0.22113440E+01,  0.86755114E+00, -0.91078243E+07, -0.30867658E+07, -0.47542814E+10,  0.25534596E+06,  0.54834605E+07,  0.30664576E+05,  0.37989474E-04,  0.57363026E-04,  0.66226412E+00, -0.46813310E+00, -0.46813310E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19568506E+02,  0.16007762E+01,  0.35164151E-01,  0.10434789E+03,  0.28486549E+03,  0.15695394E+03,  0.43999709E-07,  0.82540640E-05,  0.18120459E-05,  0.65894110E+00,  0.99795756E+00,  0.76313714E+00,  0.30924142E-05,  0.15002188E-01,  0.69708608E-04,  0.33817644E+00,  0.37159374E-06,  0.18027077E-02,  0.14753112E-02, -0.66275682E-03,  0.71571576E+01,  0.24296117E-01,  0.52083697E+00,  0.11786743E+03,  0.17900997E-03, -0.23203098E+01,  0.86842869E+00, -0.89707970E+07, -0.30835798E+07, -0.41214356E+10,  0.25544966E+06,  0.57582972E+07,  0.30695594E+05,  0.71681162E-05,  0.24080212E-04,  0.29767662E+00, -0.43078095E+00, -0.43078095E+00,
